seconds_elapsed,dBFS
0.0,-12.203877724225334
0.01,-14.150184274884372
0.02,-12.035899997461959
0.03,-13.470552465605339
0.04,-13.495587472526179
0.05,-12.55440275343375
0.06,-14.002757828707175
0.07,-12.689298889459288
0.08,-13.604067899268138
0.09,-13.67672159301238
0.1,-12.677882103328123
0.11,-13.901028245114723
0.12,-13.777137620513395
0.13,-14.117804406489004
0.14,-12.898579698939072
0.15,-13.962981131327933
0.16,-12.940812632895158
0.17,-13.170797493178634
0.18,-13.466803430382157
0.19,-12.900920593613815
0.2,-13.679281914221209
0.21,-12.878707525026718
0.22,-13.41200268306158
0.23,-13.048492774604949
0.24,-12.997444550795777
0.25,-13.304653863226568
0.26,-12.833289482830342
0.27,-13.099842790724935
0.28,-12.585955059778424
0.29,-12.424893516352682
0.3,-12.977345157923379
0.31,-11.442076732062542
0.32,-12.493873660829994
0.33,-11.670692357569434
0.34,-11.70530565322196
0.35,-12.013675960677308
0.36,-11.64229049764133
0.37,-11.562653743944473
0.38,-11.464867853652452
0.39,-11.39076836280889
0.4,-11.710407497502601
0.41,-11.1453687478954
0.42,-11.846191578690345
0.43,-11.973605013531635
0.44,-11.777005621053808
0.45,-11.65445135316377
0.46,-12.017904728841684
0.47,-12.097577729569187
0.48,-11.92220596344609
0.49,-12.065620778001819
0.5,-12.330109361864167
0.51,-12.048625024235154
0.52,-11.98940041638987
0.53,-12.334495067404488
0.54,-12.399442773680065
0.55,-11.504647587199655
0.56,-11.383884555206409
0.57,-11.741081654060082
0.58,-11.341717579426971
0.59,-11.160684404740977
0.6,-10.835360329114682
0.61,-11.403567069040161
0.62,-11.02757928803525
0.63,-10.525343674083407
0.64,-10.74538836044608
0.65,-11.442076732062542
0.66,-9.726195103907921
0.67,-10.113184312108402
0.68,-10.320297701667762
0.69,-10.835360329114682
0.7,-9.612420386077622
0.71,-10.72714068642783
0.72,-11.013438258746838
0.73,-11.02757928803525
0.74,-10.538711382521036
0.75,-10.970215438772097
0.76,-11.561650348848564
0.77,-10.588800062129133
0.78,-10.73443515642452
0.79,-10.752698177530624
0.8,-11.661553056236079
0.81,-10.561930924478485
0.82,-10.297714375886846
0.83,-10.428818036722092
0.84,-11.947343006350613
0.85,-10.244097602931417
0.86,-10.034563138173098
0.87,-10.028674114027078
0.88,-11.688999860071315
0.89,-9.717265266585215
0.9,-9.904259820978204
0.91,-10.493344863131602
0.92,-11.061611985793935
0.93,-10.14466266740055
0.94,-10.391032226265613
0.95,-11.573698746995529
0.96,-10.945879956194949
0.97,-10.349045971034272
0.98,-10.528906385223621
0.99,-11.735961766120466
1.0,-10.81784380212276
1.01,-10.501333521069686
1.02,-11.19716769107987
1.03,-11.856565268730376
1.04,-11.547614974726644
1.05,-11.330963479790084
1.06,-11.228009763922467
1.07,-11.673740929570805
1.08,-11.530602454298924
1.09,-10.7417357575167
1.1,-10.765505178790608
1.11,-10.133589700439309
1.12,-11.760564798185984
1.13,-10.512885680457838
1.14,-11.335850056367951
1.15,-11.004964678676117
1.16,-11.657494229228544
1.17,-12.094376738326744
1.18,-12.44375298143453
1.19,-11.670692357569434
1.2,-13.360013449210902
1.21,-12.196318672655263
1.22,-12.470448014780857
1.23,-13.090266285192483
1.24,-12.348763923244324
1.25,-12.572418605654716
1.26,-12.62669145896098
1.27,-11.916978223512139
1.28,-12.680164260366492
1.29,-12.418246999279429
1.3,-12.494990745216853
1.31,-11.84826532577864
1.32,-11.546613315308123
1.33,-11.415398021568151
1.34,-11.707346031346933
1.35,-11.801725352112326
1.36,-11.979919728195856
1.37,-11.820311428329743
1.38,-11.794508160473105
1.39,-12.06774758742431
1.4,-12.19092337486202
1.41,-12.273295793122372
1.42,-12.465993141167075
1.43,-12.376270088602672
1.44,-12.338882988507184
1.45,-12.150028266948912
1.46,-12.005224595731232
1.47,-11.936860396294717
1.48,-12.06987491774062
1.49,-12.655093451562415
1.5,-13.012846118671417
1.51,-13.179254441821744
1.52,-13.158730403660561
1.53,-13.368656740487273
1.54,-13.374835790074222
1.55,-13.41200268306158
1.56,-13.486817009831277
1.57,-13.28627879896288
1.58,-13.12383034984822
1.59,-12.723639562702102
1.6,-12.267852483025026
1.61,-11.686963786541583
1.62,-11.625091712236667
1.63,-11.731868027556143
1.64,-11.896098671058606
1.65,-12.032721651520024
1.66,-12.267852483025026
1.67,-12.184453438147179
1.68,-11.425269473520608
1.69,-11.555632411214257
1.7,-9.935820747484003
1.71,-11.973605013531635
1.72,-13.243554218780693
1.73,-12.615356615073857
1.74,-11.730844894315304
1.75,-14.03204361461727
1.76,-15.803837371995135
1.77,-15.617802267604832
1.78,-15.312726993335602
1.79,-14.676763049331354
1.8,-12.286373672086919
1.81,-10.210539713263845
1.82,-9.104866277847357
1.83,-8.48621562267926
1.84,-8.137698224537669
1.85,-7.970869345064707
1.86,-7.968878766475024
1.87,-8.025455894305384
1.88,-7.688180067192376
1.89,-7.446828243944106
1.9,-6.98691180236203
1.91,-7.140542567496708
1.92,-7.546735769451017
