seconds_elapsed,dBFS
0.0,-10.20796369931444
0.01,-10.763674450648503
0.02,-10.875133920197138
0.03,-12.342175384644172
0.04,-13.919436131951905
0.05,-13.382256456598252
0.06,-16.388864394823447
0.07,-15.118663509950597
0.08,-18.038504642121307
0.09,-16.952471120180135
0.1,-15.064433013464868
0.11,-13.953726053587003
0.12,-13.690812708265492
0.13,-9.983378208337749
0.14,-9.68567870598118
0.15,-8.034141450607361
0.16,-6.672698399204871
0.17,-6.745580990218315
0.18,-9.293672474533512
0.19,-10.481818646435352
0.2,-10.666288803118968
0.21,-13.606606890703365
0.22,-16.45911054913267
0.23,-17.821293870789056
0.24,-16.01905052619824
0.25,-17.547204259504245
0.26,-18.501079755514102
0.27,-19.730664693641263
0.28,-19.351044347932415
0.29,-19.432602596341205
0.3,-21.534988041179627
0.31,-22.157781709467102
0.32,-22.305148927342838
0.33,-23.476351983633272
0.34,-24.349413816007107
0.35,-24.76598641991842
0.36,-26.729459753330964
0.37,-28.294696967732726
0.38,-15.102057128596229
0.39,-14.330463927650328
0.4,-14.115111524855878
0.41,-11.696129878351071
0.42,-8.60961292969461
0.43,-8.898636758796975
0.44,-6.799922174184697
0.45,-7.309844521373168
0.46,-8.090473853865952
0.47,-8.992924447693927
0.48,-10.872353100695856
0.49,-8.333356212900519
0.5,-11.858641494302129
0.51,-17.217767604359494
0.52,-26.39100565100968
0.53,-22.81036761963059
0.54,-24.03587176683373
0.55,-27.251006771319407
0.56,-27.50512512762173
0.57,-29.560468740381882
0.58,-29.201432071694352
0.59,-29.520716315671613
0.6,-32.51176427403059
0.61,-33.29607399553303
0.62,-33.09026628519248
0.63,-33.235034463670864
0.64,-33.878728131098896
0.65,-34.433191005377985
0.66,-34.89195846635147
0.67,-35.19150158574453
0.68,-35.54925217252573
0.69,-35.32974147407113
0.7,-35.01053900619659
0.71,-35.905812631075214
0.72,-35.42313903674083
0.73,-35.32974147407113
0.74,-35.82348130717857
0.75,-35.02547605138774
0.76,-35.36076254146589
0.77,-34.70265245639133
0.78,-35.04043882793561
0.79,-39.231338166316874
0.8,-38.053321564799646
0.81,-38.333188563932055
0.82,-38.18137139698226
0.83,-37.70044119869388
0.84,-38.03216226167297
0.85,-37.70044119869388
0.86,-38.289540785459394
0.87,-37.98999766606634
0.88,-37.88547306369365
0.89,-38.267798872635105
0.9,-39.42763781218884
0.91,-38.898139901556405
0.92,-36.612091466306104
