seconds_elapsed,dBFS
0.0,-18.40789690400828
0.01,-18.211523288141642
0.02,-17.810986655104553
0.03,-18.55477939881613
0.04,-18.736214499832908
0.05,-19.365816272646008
0.06,-19.577829847763756
0.07,-19.373211666569198
0.08,-19.805510142488927
0.09,-20.060647727177553
0.1,-18.97082559465829
0.11,-18.984964322096097
0.12,-19.962441053306886
0.13,-18.851566655184754
0.14,-19.224062535872147
0.15,-19.048874957958482
0.16,-19.2264870689341
0.17,-20.04464669783558
0.18,-19.865332346820633
0.19,-19.1492357346961
0.2,-19.26050178511265
0.21,-19.512427531636394
0.22,-19.187775519003704
0.23,-18.62916271522803
0.24,-19.410283381564305
0.25,-19.25806774008115
0.26,-19.039376991306145
0.27,-19.23376473139427
0.28,-19.321575652530814
0.29,-18.501079755514102
0.3,-17.19470770682016
0.31,-18.851566655184754
0.32,-18.443277358785213
0.33,-19.11325933518323
0.34,-19.445026986441423
0.35,-18.89347132329939
0.36,-19.272682252174043
0.37,-18.483253398024374
0.38,-17.509313738362586
0.39,-18.293895706401994
0.4,-19.336297502899324
0.41,-19.08458512051548
0.42,-19.575305246775756
0.43,-19.05838332194913
0.44,-18.973180451562524
0.45,-18.954359448232974
0.46,-18.727052168141483
0.47,-19.187775519003704
0.48,-19.355965531994975
0.49,-19.557653556140856
0.5,-19.370745835569505
0.51,-18.830689890763345
0.52,-18.796006404089972
0.53,-19.101300239754046
0.54,-18.770659579890218
0.55,-18.83300705487954
0.56,-18.837643238409985
0.57,-19.459959751674827
0.58,-19.28732139547875
0.59,-19.067902106066782
0.6,-19.216792994671078
0.61,-19.027519119651423
0.62,-19.370745835569505
0.63,-19.66410582666271
0.64,-19.623398595092727
0.65,-19.805510142488927
0.66,-20.0900597257349
0.67,-20.015387816694723
0.68,-19.192605037970534
0.69,-19.211950011753267
0.7,-18.71561282809995
0.71,-18.839962258484654
0.72,-18.94496421785446
0.73,-19.067902106066782
0.74,-20.00212083742674
0.75,-17.992101041700316
0.76,-18.676831378553203
0.77,-20.057978841110142
0.78,-19.823673323854784
0.79,-19.321575652530814
0.8,-19.301985253162048
0.81,-19.44005509756035
0.82,-19.383081996765508
0.83,-19.137227037030367
0.84,-19.425156483893705
0.85,-19.507416923110906
0.86,-19.2970945494078
0.87,-19.01094524861026
0.88,-19.557653556140856
0.89,-18.846923035914532
0.9,-19.25806774008115
0.91,-19.101300239754046
0.92,-20.20057214752874
0.93,-19.679420358349255
0.94,-20.233185038050735
0.95,-19.978291221278365
0.96,-19.3068787122425
0.97,-19.351044347932415
0.98,-18.996764201153184
0.99,-20.509829110697662
1.0,-20.195148550950353
1.01,-19.694761939561218
1.02,-19.582881252173685
1.03,-19.71525962373603
1.04,-19.265371922407642
1.05,-19.48740334366178
1.06,-19.694761939561218
1.07,-19.1588546610812
1.08,-18.80755218491811
1.09,-18.975535947072025
1.1,-20.304269202681574
1.11,-20.09273848894443
1.12,-19.053627838863974
1.13,-19.85229242598376
1.14,-19.48740334366178
1.15,-20.16537915398954
1.16,-19.279998739736854
1.17,-19.656458674616534
1.18,-19.71013066602097
1.19,-19.896708261629637
1.2,-19.245907735801847
1.21,-19.482407145860485
1.22,-19.442540686256113
1.23,-19.36828070439415
1.24,-19.679420358349255
1.25,-19.30932647600058
1.26,-20.1249482525723
1.27,-19.831469186431733
1.28,-19.54255203456556
1.29,-18.80755218491811
1.3,-19.262936512427274
1.31,-19.907192136937507
1.32,-19.489902520671702
1.33,-19.1708933180854
1.34,-19.52998745890713
1.35,-19.766716466398254
1.36,-20.34554548646348
1.37,-19.839272052329797
1.38,-19.748671875410327
1.39,-19.764136371432585
1.4,-19.656458674616534
1.41,-19.831469186431733
1.42,-19.854898844499356
1.43,-19.623398595092727
1.44,-19.717825238771095
1.45,-19.6360991232191
1.46,-19.844477859880335
1.47,-19.301985253162048
1.48,-20.02601600968561
1.49,-19.821076257117518
1.5,-20.2440832698921
1.51,-19.512427531636394
1.52,-19.52998745890713
1.53,-19.88100613688684
1.54,-19.841874566098504
1.55,-20.24680996576697
1.56,-19.216792994671078
1.57,-19.949254638692793
1.58,-19.93608821258813
1.59,-19.562693236954164
1.6,-19.420195952840512
1.61,-19.137227037030367
1.62,-18.63369133349436
1.63,-19.082199870016332
1.64,-18.959060877109906
1.65,-18.973180451562524
1.66,-19.472423363568108
1.67,-20.211429510990037
1.68,-19.656458674616534
1.69,-19.68453120853382
1.7,-19.40038210988733
1.71,-19.58793559601026
1.72,-19.39790855451306
1.73,-19.646272933621578
1.74,-19.59046387128297
1.75,-19.962441053306886
1.76,-19.928197926227465
1.77,-19.88362118722665
1.78,-20.660102860829053
1.79,-19.582881252173685
1.8,-20.557747494066795
1.81,-19.31667390881265
1.82,-19.8288697880469
1.83,-19.284879824236235
1.84,-20.028675091181366
1.85,-18.95200968773222
1.86,-19.190189942824134
1.87,-19.425156483893705
1.88,-19.336297502899324
1.89,-19.705004735132714
1.9,-19.49740436910527
1.91,-19.40038210988733
1.92,-19.459959751674827
1.93,-19.412760464038833
1.94,-19.988874091473402
1.95,-19.78479862236107
1.96,-19.592992882696404
1.97,-19.808102558457453
1.98,-20.039319565109217
1.99,-19.79773753379302
2.0,-19.815884452038816
2.01,-20.195148550950353
2.02,-20.20057214752874
2.03,-19.679420358349255
2.04,-19.437570219947048
2.05,-19.572781379363526
2.06,-19.730664693641263
2.07,-19.771878956676865
2.08,-19.73580579449456
2.09,-19.89408926880471
2.1,-19.85229242598376
2.11,-19.949254638692793
2.12,-19.557653556140856
2.13,-19.826271167342988
2.14,-19.725526633959895
2.15,-20.10346181084726
2.16,-19.85750604537082
2.17,-20.189728338831834
2.18,-20.036657223436862
2.19,-20.205999132796236
2.2,-19.901948617527996
2.21,-20.1303281781937
2.22,-19.517441032288176
2.23,-19.85750604537082
2.24,-19.746097134132228
2.25,-19.965080740194875
2.26,-20.063317433557284
2.27,-20.32075618574885
2.28,-19.854898844499356
2.29,-20.254995192983102
2.3,-20.1249482525723
2.31,-20.20328521631171
2.32,-19.899328044378517
2.33,-20.157277903934144
2.34,-20.055310774851087
2.35,-20.21686328635528
2.36,-20.04997709974454
2.37,-20.100779738990816
2.38,-19.75897847957195
2.39,-19.738377486486126
2.4,-19.545067132205272
2.41,-19.707567322446792
2.42,-19.417716749273495
2.43,-19.9703625218341
2.44,-19.671759717278167
2.45,-19.656458674616534
2.46,-19.653911119344404
2.47,-19.580355182754086
2.48,-19.2264870689341
2.49,-19.385551332855506
2.5,-19.294650229808703
2.51,-19.351044347932415
2.52,-19.24347777645237
2.53,-19.707567322446792
2.54,-19.185361766136133
2.55,-20.10346181084726
2.56,-19.36088950584456
2.57,-19.920314800920302
2.58,-19.445026986441423
2.59,-19.909815084152992
2.6,-19.771878956676865
2.61,-19.821076257117518
2.62,-19.331387446444058
2.63,-19.19502080481633
2.64,-19.32402756211324
2.65,-20.580389122105682
2.66,-19.9703625218341
2.67,-19.679420358349255
2.68,-19.59552263067935
2.69,-19.679420358349255
2.7,-20.642959652031013
2.71,-19.915063355997297
2.72,-20.041982723075215
2.73,-20.055310774851087
2.74,-20.041982723075215
2.75,-20.29329524084524
2.76,-19.88362118722665
2.77,-20.060647727177553
2.78,-20.3565857035686
2.79,-20.42034072466638
2.8,-20.608774407622896
2.81,-20.30976138727055
2.82,-20.529528204664192
2.83,-20.953877674313695
2.84,-21.254874168973778
2.85,-21.221249356255253
2.86,-21.37204449607818
2.87,-21.512874471327752
2.88,-23.304038332511098
2.89,-24.129178119191074
2.9,-22.82136473817671
2.91,-22.63269137958573
2.92,-23.615903361529533
2.93,-24.065451570398785
2.94,-24.384472953971144
