seconds_elapsed,dBFS
0.0,-16.32959861247398
0.01,-14.585331787841687
0.02,-13.887903598256592
0.03,-17.384846455060654
0.04,-17.85228910876395
0.05,-17.9984142264517
0.06,-15.574696027082135
0.07,-17.31451498060391
0.08,-17.050066412541863
0.09,-18.05755961789083
0.1,-18.43441872503614
0.11,-17.16788164205228
0.12,-18.665457945426184
0.13,-15.251135601502481
0.14,-13.688248986393848
0.15,-12.649405618448375
0.16,-14.979254574400475
0.17,-13.977544778672295
0.18,-11.46387569080506
0.19,-11.116724477773479
0.2,-10.97959342460867
0.21,-13.41324432263743
0.22,-17.080317691315955
0.23,-16.291464531656285
0.24,-13.066371112933615
0.25,-15.215917314085715
0.26,-20.211429510990037
0.27,-12.886884679482652
0.28,-15.677223395459583
0.29,-15.451355270448898
0.3,-14.252156444412869
0.31,-15.802202380999615
0.32,-15.725702905338956
0.33,-15.272642944456774
0.34,-16.553070471568464
0.35,-15.699813498278981
0.36,-19.51994886820514
0.37,-19.355965531994975
0.38,-15.938964921848871
0.39,-17.160232245135106
0.4,-16.089736319288843
0.41,-18.59527313014442
0.42,-15.960581964746858
0.43,-19.039376991306145
0.44,-16.791599592815224
0.45,-18.10644643767445
0.46,-18.937924458205504
0.47,-17.347656110215663
0.48,-14.064104763186974
0.49,-14.430398563740665
0.5,-13.210738253037245
0.51,-11.18370864522885
0.52,-10.543171861044605
0.53,-10.822449990722019
0.54,-14.506111398336346
0.55,-17.02556459195574
0.56,-15.374758248861149
0.57,-15.74029967970926
0.58,-18.328813902727486
0.59,-17.958508001468513
0.6,-14.132630197351872
0.61,-14.433191005377983
0.62,-14.98222919416861
0.63,-12.867039213709823
0.64,-12.28746438466926
0.65,-12.215769540883867
0.66,-13.382256456598252
0.67,-11.773920595399616
0.68,-15.231212069997685
0.69,-16.78976770635097
0.7,-14.980741756946367
0.71,-12.677882103328123
0.72,-15.965578162548155
0.73,-14.878718899601026
0.74,-11.225113662877108
0.75,-14.213946656185147
0.76,-17.165968661175025
0.77,-14.215308401055548
0.78,-10.067446708574055
0.79,-12.461540551225632
0.8,-13.670324089859449
0.81,-13.64350591338309
0.82,-13.51315501028777
0.83,-14.408091290771857
0.84,-13.201038766112983
0.85,-14.166419587345924
0.86,-14.459764072255343
0.87,-14.675327009047344
0.88,-18.379256024463476
0.89,-14.802616262604806
0.9,-13.82387794660071
0.91,-16.241451328947363
0.92,-16.56198730803381
0.93,-16.64445457836566
0.94,-15.511225597503495
0.95,-13.857791960340514
0.96,-10.885337882071129
0.97,-12.725933775509436
0.98,-14.136677990654519
0.99,-13.642230920406407
1.0,-17.88755127632184
1.01,-15.334387577224469
1.02,-13.577453202381378
1.03,-14.689698107028018
1.04,-16.039187837315506
1.05,-14.37057719259098
1.06,-17.076530514609757
1.07,-17.531230205092847
1.08,-13.916804044162651
1.09,-15.186931267492245
1.1,-15.215917314085715
1.11,-12.596121262479079
1.12,-10.31073605086293
1.13,-13.120227990093232
1.14,-12.707597017913015
1.15,-14.921452177671588
1.16,-17.676065440025965
1.17,-17.489437552027717
1.18,-15.728944513750555
1.19,-17.091689139116973
1.2,-17.631553446027702
1.21,-20.52108026465177
1.22,-19.499906425766117
1.23,-21.049066458633234
1.24,-19.679420358349255
1.25,-17.66998217401002
1.26,-19.07743133317514
1.27,-20.95683658752169
1.28,-17.757585415583495
1.29,-18.523414274475012
1.3,-18.724763094564373
1.31,-20.151881265277737
1.32,-20.40088743627049
1.33,-21.972861262735467
1.34,-20.645814504854766
1.35,-20.757892055214736
1.36,-20.36763997122426
1.37,-21.903281000356
1.38,-22.127251310237654
1.39,-19.67686606053991
1.4,-21.381362454745513
1.41,-12.933759534953353
1.42,-15.380985809363137
1.43,-15.877732332044738
1.44,-15.988931826498373
1.45,-17.41038454092261
1.46,-16.265559682040134
1.47,-16.503304648941764
1.48,-20.4817648225089
1.49,-18.642755659532803
1.5,-14.75466392700184
1.51,-16.667903157718214
1.52,-18.902810990476762
1.53,-17.422196722667906
1.54,-16.256941872385816
1.55,-17.503346105260743
1.56,-17.639629587602627
1.57,-19.3117749297555
1.58,-19.821076257117518
1.59,-21.446869564449035
1.6,-18.501079755514102
1.61,-16.455584716066976
1.62,-17.375044073207665
1.63,-21.424978921911165
1.64,-18.44106185319022
1.65,-15.156523781026577
1.66,-20.143792588947665
1.67,-14.933277761034073
1.68,-16.308777452752107
1.69,-20.329011427591293
1.7,-18.872493718377775
1.71,-19.115653131433206
1.72,-17.854359395899976
1.73,-18.77756501788854
1.74,-20.660102860829053
1.75,-18.94261699729212
1.76,-18.877151031968214
1.77,-19.55009951336462
1.78,-18.982606268698127
1.79,-19.412760464038833
1.8,-19.346125950497445
1.81,-20.290553915388344
1.82,-15.818566156823104
1.83,-17.684183094484172
1.84,-19.45000172291078
1.85,-21.10006302157995
1.86,-18.570504536297953
1.87,-18.570504536297953
1.88,-16.415140172564676
1.89,-14.3733504651682
1.9,-12.681305563782901
1.91,-14.592440299277046
1.92,-14.409483818171724
1.93,-14.219394917074501
1.94,-17.86057321968095
1.95,-18.79369908845997
1.96,-19.746097134132228
1.97,-19.65136431104641
1.98,-20.018043645988634
1.99,-21.085032926744493
2.0,-19.774461352901646
2.01,-17.659852855499874
2.02,-15.821842614665826
2.03,-18.722474624089255
2.04,-17.173623113874022
2.05,-14.837657720673183
2.06,-14.184042155278549
2.07,-14.238490787663709
2.08,-15.834960819369002
2.09,-21.15136076451451
2.1,-18.250444442010572
2.11,-14.185399219516611
2.12,-17.347656110215663
2.13,-19.841874566098504
2.14,-15.205226987027858
2.15,-18.557024104769457
2.16,-20.195148550950353
2.17,-18.123515251102603
2.18,-19.73323486369643
2.19,-18.851566655184754
2.2,-16.828318690569258
2.21,-17.304791605987177
2.22,-18.006838950330476
2.23,-19.108473720936512
2.24,-18.164188622559504
2.25,-19.01331100911462
2.26,-17.767829419174564
2.27,-14.490634794902792
2.28,-17.127797254375594
2.29,-19.008580132288483
2.3,-18.2331246164551
2.31,-15.468643756391591
2.32,-15.377871470986975
2.33,-16.569127373900784
2.34,-16.997378878835296
2.35,-13.740957129362494
2.36,-13.049683519639109
2.37,-13.753861439622021
2.38,-13.494334006958223
2.39,-13.747406888059439
2.4,-15.349892561059761
2.41,-16.03079161661525
2.42,-17.223542157240146
2.43,-17.912528690048795
2.44,-18.350709275143792
2.45,-18.828373344639978
2.46,-16.819124353267355
2.47,-16.09311670058781
2.48,-17.60938269816979
2.49,-18.235287706900362
2.5,-16.724075790917176
2.51,-15.508064218164478
2.52,-16.03079161661525
2.53,-15.28957901044798
2.54,-15.056927707858287
2.55,-15.38877654415584
2.56,-14.745973691521485
2.57,-14.173193267513023
2.58,-14.599554633066594
2.59,-16.795264525206335
2.6,-13.978869958267218
2.61,-15.102057128596229
2.62,-16.846736614429684
2.63,-16.734989999228272
2.64,-17.603345939230117
2.65,-19.336297502899324
2.66,-17.08221189907356
2.67,-17.59329398852132
2.68,-19.849686789354628
2.69,-18.28083748850068
2.7,-17.706545842008115
2.71,-19.353504591437904
2.72,-19.103690741940063
2.73,-18.642755659532803
2.74,-17.912528690048795
2.75,-20.597409159500785
2.76,-18.269970616523924
2.77,-21.02815459041814
2.78,-23.623945852509742
2.79,-23.35459435851359
2.8,-20.168081250647845
2.81,-19.983581044607554
2.82,-19.46245104371487
2.83,-21.996179101271274
2.84,-21.18471559203458
2.85,-19.557653556140856
2.86,-19.008580132288483
2.87,-20.18431150695184
2.88,-19.973004617561866
2.89,-19.168484251466694
2.9,-16.922661087872115
2.91,-18.388058548285574
2.92,-19.826271167342988
2.93,-21.478237925151138
2.94,-17.731007410782222
2.95,-12.85072986678645
2.96,-12.86937162232697
2.97,-14.3733504651682
2.98,-14.193546060480973
2.99,-10.077589827248794
3.0,-12.650542887142384
3.01,-12.822842036633578
3.02,-16.333073663385733
3.03,-21.88350287498743
3.04,-16.272460091251567
3.05,-16.513944776411225
3.06,-19.499906425766117
3.07,-18.563761705343673
3.08,-20.2604562995057
3.09,-20.492979658977255
3.1,-18.159898234900986
3.11,-18.474353920157643
3.12,-16.669709519300696
3.13,-18.322256039344577
3.14,-19.122838481054107
3.15,-16.660681465647187
3.16,-16.012348450527703
3.17,-18.083031453265782
3.18,-16.22770511102301
3.19,-15.088493664966904
3.2,-14.458363461168204
3.21,-17.269877308532873
