seconds_elapsed,dBFS
0.0,-5.073276967879278
0.01,-6.263047576418366
0.02,-6.996990648846129
0.03,-5.992547596106914
0.04,-6.057789539771483
0.05,-5.119032418575862
0.06,-8.736237931800906
0.07,-6.501804373887875
0.08,-7.570150443687008
0.09,-6.277233077723984
0.1,-8.371493338000604
0.11,-6.0930004912593505
0.12,-8.316076356729745
0.13,-8.137698224537669
0.14,-6.339705991756044
0.15,-8.671255910723362
0.16,-7.867959446529361
0.17,-9.447257255867775
0.18,-6.9043512955582855
0.19,-5.8635157032631025
0.2,-5.828183926640475
0.21,-4.822146376856699
0.22,-4.727528907715476
0.23,-3.7291815902057834
0.24,-5.900037397787995
0.25,-5.556113546410507
0.26,-6.884418764693329
0.27,-9.290581960486296
0.28,-7.395749285043437
0.29,-7.959595426791961
0.3,-9.019090163339799
0.31,-7.266902681336997
0.32,-7.15563324441897
0.33,-7.787020233422274
0.34,-7.105632840024118
0.35,-8.151238195538385
0.36,-7.952308328319412
0.37,-7.7811748668620675
0.38,-8.905284971626758
0.39,-8.126205821114034
0.4,-7.996122905795539
0.41,-7.904102788267052
0.42,-6.381053010447497
0.43,-6.887347152043837
0.44,-5.317694462687424
0.45,-4.255454958993971
0.46,-4.51276191684193
0.47,-5.536035198038264
0.48,-4.9243454230577415
0.49,-5.142000848807918
0.5,-5.453699144152429
0.51,-5.341194995744136
0.52,-7.090628708398745
0.53,-5.1434383943337325
0.54,-5.306944597901834
0.55,-5.547574576583162
0.56,-4.983423766572316
0.57,-4.35772755700722
0.58,-5.8214456559582235
0.59,-6.164931513033761
0.6,-5.155907098473022
0.61,-5.595905160055379
0.62,-5.559129305819797
0.63,-5.629289123590128
0.64,-4.695155413492007
0.65,-4.981542074702292
0.66,-2.8994771083084774
0.67,-5.759491829546947
0.68,-5.504006068818369
0.69,-5.593381292643152
0.7,-5.505504798808813
0.71,-4.710643158716455
0.72,-5.843753761661744
0.73,-6.114410138870253
0.74,-3.617511264095779
0.75,-6.079646210411519
0.76,-6.323222137546244
0.77,-4.765527589478652
0.78,-5.327968123092662
0.79,-5.522007919071621
0.8,-4.895887720134658
0.81,-5.199206737683632
0.82,-5.370660358895847
0.83,-5.520506339045742
0.84,-5.155427201810668
0.85,-5.251452847919149
0.86,-5.847910435612251
0.87,-6.859859211182615
0.88,-5.617640746480641
0.89,-4.88239127787118
0.9,-5.1142549641690405
0.91,-6.32706557308204
0.92,-5.804881379876318
0.93,-6.445393227887452
0.94,-6.5326780891473035
0.95,-6.957926275257863
0.96,-6.5840022836126035
0.97,-7.752006895441595
0.98,-6.921388792955368
0.99,-7.316611868531286
1.0,-7.862714739818232
1.01,-8.13566904811492
1.02,-9.368176630876215
1.03,-6.092465925629243
1.04,-4.610462959388618
1.05,-3.7810524322521073
1.06,-5.324542219260872
1.07,-3.85634446534989
1.08,-4.776086826576832
1.09,-6.844107517963023
1.1,-7.188318860721944
1.11,-5.354442040999896
1.12,-6.826639074109019
1.13,-5.658732845473203
1.14,-5.409609496470406
1.15,-5.002734648108414
1.16,-5.163589053216695
1.17,-5.220454268380993
1.18,-5.993076047397684
1.19,-5.173201060658149
1.2,-6.0535312287961
1.21,-7.781824157808964
1.22,-5.90893017605565
1.23,-8.759460309107512
1.24,-8.650420398891752
1.25,-6.828966171145863
1.26,-5.992547596106914
1.27,-6.469923356134456
1.28,-7.73197023225869
1.29,-7.451827676926545
1.3,-8.182460462755035
1.31,-7.789619437343238
1.32,-6.343556729807426
1.33,-7.833925324077532
1.34,-5.334823987176003
1.35,-8.248668892628054
1.36,-7.5277971262083305
1.37,-8.416781438551618
1.38,-8.727545522130676
1.39,-5.767211934613052
1.4,-8.611041529967249
1.41,-10.098759444450081
1.42,-7.817610112777553
1.43,-8.261010701894705
1.44,-8.20629194694292
1.45,-7.931144191721925
1.46,-6.444279866399283
1.47,-5.476575083365879
1.48,-6.284334525576865
1.49,-7.968878766475024
1.5,-5.957214399892456
1.51,-8.07971566746128
1.52,-7.6343893667033855
1.53,-8.771822496622487
1.54,-6.599288864504974
1.55,-8.46792657068485
1.56,-8.436363162615406
1.57,-4.838325096168403
1.58,-8.669098193748395
1.59,-9.718888190662819
1.6,-8.897160068953555
1.61,-9.20296141224555
1.62,-9.171663626028101
1.63,-9.48430407576574
1.64,-8.110007094582594
1.65,-8.39654679876191
1.66,-9.536595460200303
1.67,-5.947746342666865
1.68,-6.445949962152815
1.69,-7.209569868304934
1.7,-7.31907402987952
1.71,-6.5276185112078835
1.72,-6.392665533736919
1.73,-6.2244278450551676
1.74,-6.097278201091228
1.75,-7.6343893667033855
1.76,-7.714556525276803
1.77,-9.492206805487557
1.78,-10.233758282629434
1.79,-8.547695145390264
1.8,-9.317661315901328
1.81,-11.659523405651292
1.82,-9.028079441904703
1.83,-8.7094642265424
1.84,-9.036327794578664
1.85,-10.061535354744562
1.86,-7.690107338300775
1.87,-8.648267850955065
1.88,-7.815002520552006
1.89,-7.593628407837913
1.9,-7.021941583505615
1.91,-7.239408898755867
1.92,-8.569707221653339
1.93,-8.548404342340083
1.94,-9.525477011673537
1.95,-8.299519974041269
1.96,-11.507638424407308
1.97,-11.700206803860354
1.98,-9.382217587098173
1.99,-9.447257255867775
2.0,-7.79351970217665
2.01,-10.71712078221575
2.02,-11.300727911806735
2.03,-10.938405811697567
2.04,-10.958039174817118
2.05,-8.654727095767718
2.06,-11.812046039683615
2.07,-9.081457215316608
2.08,-5.5480766366184495
2.09,-6.2005803856675
2.1,-8.311244150965022
2.11,-5.752292583682613
2.12,-6.8324579861227654
2.13,-5.693380659081137
2.14,-5.08326539722519
2.15,-5.48953166239428
2.16,-7.6305598907189225
2.17,-5.482054354430374
2.18,-9.987562364513881
2.19,-7.899494365263849
2.2,-4.681512652093419
2.21,-7.670853843706633
2.22,-7.575221385749198
2.23,-7.098427622159211
2.24,-7.135719082914572
2.25,-8.601759825471769
2.26,-8.508072250047242
2.27,-7.477495033177959
2.28,-6.259232357992487
2.29,-5.476077139166582
2.3,-6.726009091971383
2.31,-6.025902978123555
2.32,-7.729388219862131
2.33,-4.731641220411906
2.34,-11.195243692924242
2.35,-6.0988828855749135
2.36,-7.246121568919504
2.37,-4.918739814836032
2.38,-7.986145622118483
2.39,-6.875639521698621
2.4,-4.940715807663511
2.41,-4.6429741251233665
2.42,-5.2344867941764
2.43,-4.587957143724031
2.44,-3.544252721573203
2.45,-3.5159955469206783
2.46,-3.508449333541146
2.47,-6.952022727393771
2.48,-6.17463943167769
2.49,-5.3903596124223165
2.5,-5.781641182064638
2.51,-6.431486456147166
2.52,-5.806432939552609
2.53,-5.194384993561771
2.54,-6.128354762463662
2.55,-6.458764709124334
2.56,-6.798762431925405
2.57,-7.241239112558192
2.58,-8.651855727266177
2.59,-9.476408529691604
2.6,-8.855914352533674
2.61,-10.929072166228114
2.62,-10.268270654003773
2.63,-12.193081091836985
2.64,-10.160017809239383
2.65,-7.943042672538828
2.66,-10.848289885455698
2.67,-10.232036258508398
2.68,-7.90278584646511
2.69,-6.66527236440346
2.7,-4.432469931470803
2.71,-8.515134523497585
2.72,-4.489174058684304
2.73,-5.790929800671156
2.74,-7.357327050761552
2.75,-8.20083898301082
2.76,-7.380235993478865
2.77,-8.483399414617608
2.78,-8.363852505325958
2.79,-7.249174498421977
2.8,-8.870622491918231
2.81,-9.262046714701082
2.82,-9.367397242869227
2.83,-8.513721609360584
2.84,-6.9886895727188545
2.85,-9.321536696163745
2.86,-11.656479818758713
2.87,-10.971152781851629
2.88,-10.130185471652615
2.89,-11.687981763646535
2.9,-8.822179851892813
2.91,-13.388445191906783
2.92,-9.875291654880247
2.93,-5.59842976104338
2.94,-7.578392228568358
2.95,-8.885355579392746
2.96,-9.44411161902468
2.97,-4.2962196064863925
2.98,-3.942722354714378
2.99,-7.271187324492584
3.0,-9.825855610000904
3.01,-5.760006289797524
3.02,-4.242053140702716
3.03,-6.113338402224059
3.04,-5.094218300986134
3.05,-7.380855993453293
3.06,-7.541681425614437
3.07,-12.44153209427386
3.08,-5.3343341030982625
3.09,-3.34134357083605
3.1,-2.281677267240815
3.11,-4.973549428932918
3.12,-3.5064645770857252
3.13,-4.341544973882286
3.14,-3.1514447145969013
3.15,-4.277981967191022
3.16,-3.5762023263605736
3.17,-4.9712000497733
3.18,-4.539989733681632
3.19,-4.2667111600703365
3.2,-3.104706433287311
3.21,-5.642475692197211
3.22,-3.2753911686364514
3.23,-3.4301975462801466
3.24,-4.402935806451326
3.25,-4.019435181910719
3.26,-4.556098750043417
3.27,-4.031232656917003
3.28,-4.211005892537055
3.29,-3.307916827613753
3.3,-5.01311431105125
3.31,-2.244185397504853
3.32,-3.788019340259543
3.33,-3.5390719930447267
3.34,-4.281886810371879
3.35,-3.37959198961925
3.36,-3.3799831490004633
3.37,-3.5263325797967777
3.38,-4.782520478790607
3.39,-3.9640333302879642
3.4,-3.8898799611747616
3.41,-3.6594215487270656
3.42,-3.7495662267341467
3.43,-2.7657888950546146
3.44,-2.523550115683295
3.45,-3.4313779348989453
3.46,-3.022482364444329
3.47,-3.235674039536312
3.48,-3.511625887501329
3.49,-3.7720447208745527
3.5,-3.201884231300226
3.51,-5.727654657777075
3.52,-5.146793592756737
3.53,-2.5434214300015774
3.54,-3.547841190799235
3.55,-4.17878258632671
3.56,-3.806488174855744
3.57,-3.790479583765034
3.58,-3.3277241366753394
3.59,-3.5670047719606934
3.6,-3.5299136516422114
3.61,-2.681281378926812
3.62,-3.725110397425336
3.63,-2.921712523569646
3.64,-3.3362824306334704
3.65,-2.9805395546749036
3.66,-3.5818056098897437
3.67,-4.539542687198708
3.68,-3.8795156785832425
3.69,-3.7552825083738703
3.7,-4.442631709972885
3.71,-3.7524238973103645
3.72,-3.328890680333017
3.73,-3.6388441208452598
3.74,-2.9406574844231255
3.75,-2.8802523511123406
3.76,-3.3706001822819354
3.77,-4.092159795908445
3.78,-3.921463538029368
3.79,-3.7528322127241456
3.8,-3.4353137225588677
3.81,-4.220911705519736
3.82,-3.3768543670717017
3.83,-3.2618746757978103
3.84,-3.451863533163861
3.85,-3.908982613899798
3.86,-3.104706433287311
3.87,-4.012280239102884
3.88,-3.9402186151905134
3.89,-4.0265960234136156
3.9,-3.2299051117601634
3.91,-3.502893157945814
3.92,-2.347072168194505
3.93,-3.4125109393991555
3.94,-2.1435208343352445
3.95,-3.1210172555766253
3.96,-3.834471356087324
3.97,-2.9421451127098814
3.98,-2.334924796932781
3.99,-4.418792404514804
4.0,-2.9708317287668944
4.01,-2.7501310940786796
4.02,-4.161645578423715
4.03,-4.565957876684319
4.04,-2.7334120779805273
4.05,-3.96570699273123
4.06,-2.602236543013259
4.07,-3.3670841813009815
4.08,-2.882837822075936
4.09,-3.3487459307504546
4.1,-2.3013477382857843
4.11,-3.0183540006351652
4.12,-3.0702888507714294
4.13,-3.9243783359889086
4.14,-3.50249642422852
4.15,-4.058681585926619
4.16,-3.9306276273140033
4.17,-4.822146376856699
4.18,-3.232596801246098
4.19,-3.7589592483926775
4.2,-3.317620649020842
4.21,-3.8299385483359623
4.22,-4.507415657150328
4.23,-3.3440700221696833
4.24,-2.6700996087822277
4.25,-4.333246700309648
4.26,-3.6966653533055913
4.27,-3.9694739127634104
4.28,-3.6159033615295315
4.29,-2.121496487108922
4.3,-2.0786247891813474
4.31,-4.136430047213304
4.32,-5.024451744069708
4.33,-3.364350497513093
4.34,-2.9730710334597594
4.35,-3.6227390040297336
4.36,-2.8254005061015968
4.37,-2.2424694628427075
4.38,-6.939049028733705
4.39,-4.1372836134127
4.4,-4.004290506839818
4.41,-3.1240552094004737
4.42,-3.783510702920798
4.43,-3.953162378132929
4.44,-4.383155679297126
4.45,-4.723875152424216
4.46,-4.374378949769405
4.47,-3.6861237317628737
4.48,-5.1549473316612096
4.49,-1.580656618267009
4.5,-2.169683684015401
4.51,-4.181356056190402
4.52,-4.276680742803968
4.53,-2.7254273886317777
4.54,-2.8408270732824543
4.55,-4.020277327503589
4.56,-2.76105216379664
4.57,-3.224908471788097
4.58,-2.789876843435628
4.59,-2.882837822075936
4.6,-3.8427188899530345
4.61,-3.6590176008307913
4.62,-3.998408034917374
4.63,-4.694700309374219
4.64,-4.040513355810504
4.65,-4.99330934238396
4.66,-5.407139177168732
4.67,-4.544014187754637
4.68,-7.922560969914815
4.69,-5.312317867258509
4.7,-4.32321201744076
4.71,-6.8167558613799715
4.72,-4.555650873711657
4.73,-5.400226018479013
4.74,-3.046164505235365
4.75,-3.7471175428938257
4.76,-3.204567249986099
4.77,-3.866267417272298
4.78,-3.2329813964170997
4.79,-5.462643424890455
4.8,-4.447938230637722
4.81,-4.02786031437988
4.82,-5.967219669610921
4.83,-5.100892054397873
4.84,-2.656052636100142
4.85,-3.7605938547749314
4.86,-4.467866606764987
4.87,-4.9033430198900945
4.88,-4.32495634712592
4.89,-6.766930050463632
4.9,-5.177529936719875
4.91,-7.629921808835213
4.92,-8.053548277086952
4.93,-3.4498916632745624
4.94,-7.2126099753108965
4.95,-7.018967473002986
4.96,-8.110681438718492
4.97,-8.977262769780468
4.98,-9.355714807163158
4.99,-8.581802085699394
5.0,-7.396991546149396
5.01,-4.390622878616521
5.02,-5.982513125461006
5.03,-5.382474548946961
5.04,-5.791446126403991
5.05,-6.3628360691323085
5.06,-6.556892390831387
5.07,-6.951432593233266
5.08,-6.004710117449807
5.09,-6.312250255031213
5.1,-6.929037153614482
5.11,-9.874465410918809
5.12,-7.8463454129763255
5.13,-8.948251506918654
5.14,-8.600332750854566
5.15,-9.816002075605466
5.16,-7.339413535931277
5.17,-8.437763547888581
5.18,-7.179832994385231
5.19,-5.959846248422746
5.2,-6.952022727393771
5.21,-7.1321032264946025
5.22,-8.359687609711244
5.23,-6.058854443792687
5.24,-9.368176630876215
5.25,-8.162763789380884
5.26,-9.377534745954252
5.27,-7.875176093042824
5.28,-5.877062984389099
5.29,-8.402821471486735
5.3,-7.710047553581015
5.31,-8.912677847754452
5.32,-9.515958227555881
5.33,-8.015444878976801
5.34,-7.817610112777553
5.35,-9.165569868249037
5.36,-7.890942346903813
5.37,-7.966225371116657
5.38,-8.194708487775927
5.39,-8.464413855937227
5.4,-7.572685544657377
5.41,-6.046615922965234
5.42,-6.491724036619457
5.43,-5.494021138832641
5.44,-6.833040091785153
