seconds_elapsed,dBFS
0.0,-19.580355182754086
0.01,-18.3266273980871
0.02,-18.563761705343673
0.03,-20.181604357284275
0.04,-23.79458153880612
0.05,-25.74099152513426
0.06,-28.718138551136235
0.07,-22.02290493662772
0.08,-15.43723569599628
0.09,-14.30428291264728
0.1,-16.920801353438705
0.11,-18.059679420131513
0.12,-20.047311489891474
0.13,-23.672357810469382
0.14,-25.26164840999638
0.15,-20.723252369670956
0.16,-19.1588546610812
0.17,-17.089792863672685
0.18,-18.447710066020008
0.19,-18.57725260575926
0.2,-17.839877737795685
0.21,-16.729531180799054
0.22,-18.29607398594647
0.23,-23.977012657317136
0.24,-21.118133533586096
0.25,-16.28282099463285
0.26,-16.480295656313114
0.27,-16.231139626543467
0.28,-16.169525175670792
0.29,-15.038941389842417
0.3,-16.04422946828112
0.31,-16.034149131012704
0.32,-18.867838900668264
0.33,-20.942052090951208
0.34,-23.7414066304196
0.35,-25.003206181977756
0.36,-27.244900697508672
0.37,-26.36890413873344
0.38,-24.99849199481288
0.39,-19.75897847957195
0.4,-17.82954845885443
0.41,-17.93966885521275
0.42,-16.811775884438124
0.43,-15.552428581278663
0.44,-16.09480738470761
0.45,-17.267941734232256
0.46,-20.543626389285162
0.47,-20.52108026465177
0.48,-22.74831225004773
0.49,-24.249399964229372
0.5,-26.897897528770187
0.51,-25.875498757778978
0.52,-25.42840691859392
0.53,-29.918365008569246
0.54,-34.117804406489
0.55,-31.224148510407858
0.56,-31.57872384961649
0.57,-30.213975587374332
0.58,-26.897897528770187
0.59,-25.13146611175173
0.6,-24.09088611167153
0.61,-24.271044355290194
0.62,-23.119878296774626
0.63,-22.708393739837746
0.64,-21.25181198327731
0.65,-21.720413411558603
0.66,-21.316345689792865
0.67,-20.708859840051343
0.68,-20.34554548646348
0.69,-19.973004617561866
0.7,-20.24680996576697
0.71,-19.699881827500832
0.72,-21.022189006641007
0.73,-21.4187345725135
0.74,-21.66886495380239
0.75,-24.807380730057183
0.76,-25.578253469420478
0.77,-27.70232332929423
0.78,-28.653291292865354
0.79,-30.95803917481711
0.8,-31.802756869201367
0.81,-35.13076085123488
0.82,-37.782191351693506
0.83,-37.302848236555626
0.84,-35.19150158574453
0.85,-31.771864520200506
0.86,-30.44027408924212
0.87,-27.606345671658858
0.88,-23.5319037741479
0.89,-18.21799804776913
0.9,-17.26213759794006
0.91,-16.34176737809216
0.92,-16.651662785947867
0.93,-17.139231073014017
0.94,-19.08935758746965
0.95,-23.57980402222377
0.96,-21.582564696399693
0.97,-21.154387734274387
0.98,-20.691620225451
0.99,-19.45000172291078
1.0,-20.769469384003813
1.01,-23.83158656838418
1.02,-26.758268700597117
1.03,-23.46844493744492
1.04,-22.444516371968408
1.05,-18.269970616523924
1.06,-21.778773471902856
1.07,-20.3565857035686
1.08,-20.886099395981695
1.09,-24.193375674094714
1.1,-26.547311224895594
1.11,-27.417514547002032
1.12,-29.394717520377004
1.13,-30.8003625290091
1.14,-32.7270811091929
1.15,-32.738562789170224
1.16,-34.68825992677172
1.17,-34.25352419335484
1.18,-33.28383172481285
1.19,-35.88928381611958
1.2,-35.08548243607973
1.21,-33.697225325491466
1.22,-24.490507511539267
1.23,-18.539082679050154
1.24,-17.27181331425538
1.25,-16.630056084164114
1.26,-14.958460711026717
1.27,-15.102057128596229
1.28,-22.71926242484888
1.29,-23.765908451005725
1.3,-23.199968296664007
1.31,-21.297858510827776
1.32,-17.11828055611003
1.33,-14.193546060480973
1.34,-14.335985790288978
1.35,-16.243171136821132
1.36,-19.36828070439415
1.37,-23.2306740807871
1.38,-18.536842604340627
1.39,-16.052638695037356
1.4,-16.13718179618748
1.41,-21.1121058514302
1.42,-28.117427761106622
1.43,-31.128170852772485
1.44,-38.55477939881613
1.45,-34.21258512477111
1.46,-40.07133147961686
1.47,-31.875269189522314
1.48,-31.4094805309534
1.49,-23.15411219558684
1.5,-19.275120396649864
1.51,-18.984964322096097
1.52,-20.617308113537497
1.53,-22.367587700006183
1.54,-22.64346569104135
1.55,-23.57980402222377
1.56,-26.172481178557362
1.57,-27.015994380508417
1.58,-28.841964651456337
1.59,-28.85664916828962
1.6,-29.22440050192641
1.61,-32.601774298564116
1.62,-30.699840853672352
1.63,-29.386902954273584
1.64,-30.672626555781086
1.65,-30.47561855159539
1.66,-29.489044850724543
1.67,-32.76157178179887
1.68,-30.8003625290091
1.69,-29.8521864816638
1.7,-33.918119988356985
1.71,-31.253149838312517
1.72,-29.819285345211014
1.73,-25.247086982213727
1.74,-27.910690494034537
1.75,-32.61309142021474
1.76,-34.951046378832544
1.77,-36.191724453515974
1.78,-36.364411844
1.79,-35.88928381611958
1.8,-36.38187092452772
1.81,-41.00134167022599
1.82,-30.609456170884485
1.83,-24.232123201421267
1.84,-24.17192372533418
1.85,-22.568324673547092
1.86,-20.90961450919517
1.87,-22.82136473817671
1.88,-31.37013328523785
1.89,-32.61309142021474
1.9,-34.23985638622608
1.91,-29.46536680887903
1.92,-30.300317149607984
1.93,-28.689257760976613
1.94,-27.956944865392668
1.95,-30.12848385745615
1.96,-25.45817013322667
1.97,-23.078219273808777
1.98,-20.977577251467274
1.99,-19.922941714485784
2.0,-16.881838630324527
2.01,-14.725730223904383
2.02,-14.333224420169373
2.03,-14.499073159852166
2.04,-13.216805937278453
2.05,-13.704926720680275
2.06,-14.076158270131337
2.07,-14.897849202174456
2.08,-14.194904610517067
2.09,-14.248054489371784
2.1,-13.948441862009233
2.11,-15.64505339706297
2.12,-14.598131300062496
2.13,-17.086001554298626
2.14,-15.802202380999615
2.15,-14.75466392700184
2.16,-16.236293947516437
2.17,-16.64085271655246
2.18,-15.89093528292521
2.19,-15.771195884357924
2.2,-15.922372959519823
2.21,-16.397614158470645
2.22,-15.797299253780468
2.23,-17.27181331425538
2.24,-15.31581805729636
2.25,-16.510396618829997
2.26,-15.238869559374955
2.27,-15.92568881741009
2.28,-16.85042489033991
2.29,-16.594163927149083
2.3,-16.234575500653957
2.31,-16.36790085374287
2.32,-17.287316914334127
2.33,-16.369645884313893
2.34,-17.420226909837588
2.35,-16.553070471568464
2.36,-18.478802519301272
2.37,-16.902225876645513
2.38,-18.110710497474404
2.39,-16.86149912427277
2.4,-15.982252941403383
2.41,-17.786299126486583
2.42,-16.693226469060708
2.43,-16.039187837315506
2.44,-18.6268992912053
2.45,-18.521178236455697
2.46,-20.20057214752874
2.47,-24.258051249444645
2.48,-24.530606585959823
2.49,-25.74099152513426
2.5,-23.960268768492373
2.51,-21.15136076451451
2.52,-20.20328521631171
2.53,-18.43884691255905
2.54,-17.85021931496456
2.55,-18.472130474698666
2.56,-14.849369692295083
2.57,-13.474303119699487
2.58,-14.405306905545878
2.59,-13.318153659094023
2.6,-12.622155746253178
2.61,-13.484312789073538
2.62,-15.111111218684371
2.63,-16.583425137850334
2.64,-15.84316976964268
2.65,-14.727174622284377
2.66,-16.711359856937108
2.67,-21.19383463711162
2.68,-17.162143962901833
2.69,-20.149184202800527
2.7,-18.642755659532803
2.71,-18.02371295202025
2.72,-17.948036764952505
2.73,-17.375044073207665
2.74,-17.477533635630852
2.75,-16.762335670796322
2.76,-16.32091706288761
2.77,-15.434101127345132
2.78,-14.290535062929992
2.79,-13.988151880754424
2.8,-15.183885724109686
2.81,-15.412190763486773
2.82,-15.026971169669782
2.83,-16.689604329876417
2.84,-15.649871307681863
2.85,-18.25477980004321
2.86,-16.293194271707417
2.87,-17.021801208171535
2.88,-24.112138604872943
2.89,-28.732615037217386
2.9,-26.76981908745619
2.91,-26.38547499839489
2.92,-29.293672474533512
2.93,-30.892766481744005
2.94,-30.7636744506485
2.95,-25.59842976104338
2.96,-23.7414066304196
2.97,-23.492187702947724
2.98,-24.279717236328363
2.99,-25.022088558192507
3.0,-27.864681133737825
3.01,-27.41129033345151
3.02,-28.043504849907347
3.03,-30.62745802113774
3.04,-30.83720623064922
3.05,-27.619081582500886
3.06,-22.19865655966683
3.07,-21.89009058075491
3.08,-22.96188027867398
3.09,-21.0430864999543
3.1,-21.814631952563012
3.11,-20.50420899426861
3.12,-25.408621284439295
3.13,-22.954427777454825
3.14,-24.3625444150883
3.15,-28.25346640152553
3.16,-23.50011640239199
3.17,-22.701155498053808
3.18,-25.003206181977756
3.19,-26.683563268005127
3.2,-24.923410903756384
3.21,-23.704783007763798
3.22,-23.46844493744492
3.23,-24.75681441311253
3.24,-24.729356361885493
3.25,-23.346797329589602
3.26,-26.03333271248827
3.27,-27.027892861325324
3.28,-29.201432071694352
3.29,-27.85812821781927
3.3,-29.520716315671613
3.31,-32.51176427403059
3.32,-23.87703008988748
3.33,-20.836340161717537
3.34,-20.178898051096912
3.35,-19.48740334366178
3.36,-19.679420358349255
3.37,-19.779628449804807
3.38,-19.385551332855506
3.39,-18.147039772688764
3.4,-18.654099385368816
3.41,-18.786780816777565
3.42,-18.41010396529269
3.43,-18.94261699729212
3.44,-19.746097134132228
3.45,-22.14419939295737
3.46,-20.62300191225864
3.47,-20.398111948265388
3.48,-18.756865151943643
3.49,-19.314224073896376
3.5,-20.00212083742674
3.51,-20.52671131161597
3.52,-20.60024907766833
3.53,-22.315524269573594
3.54,-20.353824333448998
3.55,-23.15411219558684
3.56,-20.318006181091377
3.57,-22.40247083780734
3.58,-20.9953944672288
3.59,-22.777459558064116
3.6,-22.280987883563476
3.61,-23.025486043781967
3.62,-22.256893860796062
3.63,-22.44100479333232
3.64,-23.839831362205004
3.65,-24.816606317369594
3.66,-24.455018638315764
3.67,-25.227709640907598
3.68,-26.3248691159612
3.69,-24.74307453736888
3.7,-25.251938079596492
3.71,-27.3864379856296
3.72,-27.03384821955524
3.73,-24.17192372533418
3.74,-25.588335756841637
3.75,-25.443275777525432
3.76,-24.232123201421267
3.77,-23.922712617384114
3.78,-24.253724529734725
3.79,-23.342901438231145
3.8,-23.025486043781967
3.81,-23.889465152337888
3.82,-22.973071033459757
3.83,-18.248277574183923
3.84,-18.75456820901394
3.85,-18.425569116896114
3.86,-16.489138057196968
3.87,-14.80698872161386
3.88,-15.686897674875947
3.89,-14.968851420198275
3.9,-14.69113652545278
3.91,-14.763362865774063
3.92,-15.592232012852882
3.93,-14.783694333832166
3.94,-14.30565889516708
3.95,-13.692094853022127
3.96,-13.929972466390904
3.97,-13.309560452617355
3.98,-13.320610423256369
3.99,-13.674162026281593
4.0,-14.387230125580988
4.01,-13.663931295254198
4.02,-14.058753013394705
4.03,-14.233030539400872
4.04,-15.849742520344565
4.05,-16.55841947490167
4.06,-15.990602350522769
4.07,-15.168674004568345
4.08,-13.626945584938483
4.09,-13.679281914221209
4.1,-14.178616017580254
4.11,-14.004086860863097
4.12,-14.311165006057053
4.13,-15.15804162980948
4.14,-15.342136609443369
4.15,-17.40055331221252
4.16,-17.384846455060654
4.17,-15.554017221363212
4.18,-16.108344717879287
4.19,-16.26728427047786
4.2,-16.422160491910734
4.21,-17.004886130502346
4.22,-16.928242681491238
4.23,-16.791599592815224
4.24,-17.32035423436202
4.25,-13.891838910400358
4.26,-14.967366271927913
4.27,-15.413753957882797
4.28,-15.71922331560313
4.29,-13.834298931219733
4.3,-15.043434478814785
4.31,-16.68598370054593
4.32,-15.637029479967573
4.33,-16.439736154803736
4.34,-15.50174490930948
4.35,-16.106651396958032
4.36,-15.690124830639643
4.37,-15.6885111028806
4.38,-15.102057128596229
4.39,-14.902269877291374
4.4,-13.908912563028
4.41,-13.906283661785753
4.42,-14.409483818171724
4.43,-19.9571640849562
4.44,-17.070852843873944
4.45,-18.394666300325866
4.46,-17.741220098188123
4.47,-17.864718239868452
4.48,-16.00899935095351
4.49,-16.42567278053039
4.5,-18.26128689709225
4.51,-18.996764201153184
4.52,-17.70247560311542
4.53,-17.469606745153172
4.54,-15.900850683132186
4.55,-15.767938472117212
4.56,-17.85643017660786
4.57,-17.493409152297215
4.58,-16.06105607106006
4.59,-14.817199693898468
4.6,-15.413753957882797
4.61,-16.077915334190966
4.62,-15.816928391260024
4.63,-15.985591741997279
4.64,-18.860861348033243
4.65,-16.96367631154887
4.66,-16.40637274511384
4.67,-14.088228527110038
4.68,-15.26188261612434
4.69,-17.200466944275984
4.7,-14.861097477554353
4.71,-15.920715505142491
4.72,-14.959944337238895
4.73,-17.52325418098962
4.74,-17.71061798912352
4.75,-14.808446697217462
4.76,-13.490574695218921
4.77,-14.022714695045167
4.78,-15.136815845999482
4.79,-13.742246698014268
4.8,-13.448082488502973
4.81,-13.783614311319832
4.82,-17.42613768899598
4.83,-14.004086860863097
4.84,-14.76046225140813
4.85,-14.547046031588412
4.86,-15.78097545713591
4.87,-18.928546978603084
4.88,-19.14202852396196
4.89,-20.74055494439275
4.9,-20.274124106634464
4.91,-18.33975468971135
4.92,-18.736214499832908
4.93,-18.849244535230255
4.94,-20.02070028758698
4.95,-16.75868460321921
4.96,-17.553202111949773
4.97,-19.646272933621578
4.98,-18.521178236455697
4.99,-17.769879670485413
5.0,-15.520716645220451
5.01,-15.779344763497765
5.02,-14.951046378832544
5.03,-13.342752626648668
5.04,-13.816070404827318
5.05,-14.115111524855878
5.06,-13.71134977032449
5.07,-14.136677990654519
5.08,-14.31529688101235
5.09,-13.918119988356983
5.1,-13.952404704282246
5.11,-13.984172699358696
5.12,-15.023981190418894
5.13,-14.50751973066826
5.14,-14.318052556682057
5.15,-14.1596511855088
5.16,-14.906692803452323
5.17,-16.000632247293233
5.18,-16.05937194315598
5.19,-15.281876704686486
5.2,-14.709857674256238
5.21,-14.660979649263762
5.22,-15.331289899004021
5.23,-15.503324305556774
5.24,-14.808446697217462
5.25,-16.313978065404072
5.26,-16.98800392958404
5.27,-16.576273313948487
5.28,-14.179972234249114
5.29,-14.02671157661185
5.3,-15.58266254111218
5.31,-15.357655444441857
5.32,-15.471790817889087
5.33,-16.39236324266051
5.34,-16.298385559622524
5.35,-15.527049776844857
5.36,-17.601334618244387
5.37,-18.570504536297953
5.38,-19.771878956676865
5.39,-18.33537672105109
5.4,-17.761681567339703
5.41,-19.321575652530814
5.42,-17.150679962595255
5.43,-18.41010396529269
5.44,-17.543207990909217
5.45,-17.445869386800233
5.46,-18.017381359244638
5.47,-18.94496421785446
5.48,-14.593862699941496
5.49,-14.985204832991156
5.5,-15.235805753474382
5.51,-15.558784885724835
5.52,-15.02248658667468
5.53,-15.672390293431109
5.54,-15.78913352069991
5.55,-15.275719773974624
5.56,-15.741923058769789
5.57,-16.16611493234545
5.58,-15.75817355862323
5.59,-15.985591741997279
5.6,-15.746795017187544
5.61,-16.38711549928989
5.62,-18.11711051468996
5.63,-17.21007416750747
5.64,-17.254404777809405
5.65,-17.27762392187852
5.66,-16.61568141867714
5.67,-17.821293870789056
5.68,-17.680123318930917
5.69,-15.579475058640423
5.7,-14.646655949385014
5.71,-14.630927113739657
5.72,-17.686213694058136
5.73,-14.80698872161386
5.74,-15.292661846199266
5.75,-16.3836187642837
5.76,-15.523882633824144
5.77,-16.551288202220245
5.78,-15.191501585744529
5.79,-13.816070404827318
5.8,-14.1596511855088
5.81,-14.213946656185147
5.82,-13.857791960340514
5.83,-14.072138575664809
5.84,-14.650950579701465
5.85,-17.41038454092261
5.86,-18.136338909393615
5.87,-14.000100374307355
5.88,-15.649871307681863
5.89,-15.894239158825851
5.9,-16.48560001656228
5.91,-16.540602259140144
5.92,-16.642653460756705
5.93,-18.114976651606366
5.94,-17.971090171179156
5.95,-17.495395633641053
5.96,-18.92152050689344
5.97,-17.016159188071846
5.98,-16.066110414896638
5.99,-14.204420415125835
6.0,-14.878718899601026
6.01,-14.998607837235305
6.02,-14.351189038027378
6.03,-14.177260012638298
6.04,-16.64445457836566
6.05,-16.317446871216173
6.06,-16.689604329876417
6.07,-17.37700366478689
6.08,-16.324388641526177
6.09,-17.204308558508473
6.1,-17.714692046251713
6.11,-18.114976651606366
6.12,-18.15132381205456
6.13,-15.58266254111218
6.14,-14.779333582520726
6.15,-13.96827417819378
6.16,-15.803837371995135
6.17,-13.704926720680275
6.18,-13.28627879896288
6.19,-16.43270162140602
6.2,-16.978639088096738
6.21,-16.658876980414135
6.22,-18.984964322096097
6.23,-19.839272052329797
6.24,-19.560173031035404
6.25,-21.756031275455705
6.26,-21.59848166922126
6.27,-20.20328521631171
6.28,-21.446869564449035
6.29,-21.31943071544706
6.3,-20.010078593034272
6.31,-18.483253398024374
6.32,-19.834069362963064
6.33,-19.125234919098844
6.34,-17.432052493200075
6.35,-18.57725260575926
6.36,-21.54448254710377
6.37,-21.966210504647844
6.38,-22.679476893693757
6.39,-22.79938440682291
6.4,-23.835707987032354
6.41,-24.349413816007107
6.42,-24.807380730057183
6.43,-25.339724348173718
6.44,-25.553098833715904
6.45,-25.85466927624269
6.46,-24.793560695895728
6.47,-24.508306471943996
6.48,-23.782281480619325
6.49,-25.222872052568643
6.5,-24.01480484009088
6.51,-23.70072323221054
6.52,-25.27623429023012
6.53,-27.306155462223188
6.54,-23.90191804284092
6.55,-20.98054425051852
6.56,-19.137227037030367
6.57,-17.82954845885443
6.58,-16.37313699755947
6.59,-15.60500773074809
6.6,-15.269567204467814
6.61,-17.50732407173195
6.62,-19.001488644912882
6.63,-18.62916271522803
6.64,-18.532364187310215
6.65,-18.905147477279836
6.66,-17.659852855499874
6.67,-17.21969202879144
6.68,-15.725702905338956
6.69,-17.32035423436202
6.7,-16.948739266357716
6.71,-16.020726853451933
6.72,-16.9375533155032
6.73,-16.510396618829997
6.74,-15.970577235859135
6.75,-17.164056101520032
6.76,-18.608813101145138
6.77,-18.291717972997567
6.78,-17.225467861635146
6.79,-16.51217051644426
6.8,-16.57984848981212
6.81,-17.021801208171535
6.82,-17.66795536507816
6.83,-18.302612104161135
6.84,-18.586258194578495
6.85,-18.602040477302538
6.86,-19.507416923110906
6.87,-18.713326766858152
6.88,-18.291717972997567
6.89,-19.022780499982304
6.9,-18.76375962747806
6.91,-18.736214499832908
6.92,-18.68821972375101
6.93,-19.008580132288483
6.94,-18.79831433279707
6.95,-20.22774104562052
6.96,-19.692203126863948
6.97,-16.648057934417363
6.98,-19.49740436910527
6.99,-23.055580104681013
7.0,-20.04464669783558
7.01,-19.73580579449456
7.02,-20.095418078550157
7.03,-21.384470663631095
7.04,-18.474353920157643
7.05,-20.912558379631093
7.06,-19.608182434171148
7.07,-18.492162003562306
7.08,-20.93319345720214
7.09,-23.010478023394842
7.1,-26.892034626328165
7.11,-27.147782820462254
7.12,-28.732615037217386
7.13,-24.965564131134084
7.14,-25.088502019346407
7.15,-26.3248691159612
7.16,-26.134798301066336
7.17,-30.23978805700423
7.18,-29.8521864816638
7.19,-30.528906385223618
7.2,-31.639252942220246
7.21,-31.379953398932898
7.22,-33.33290467815828
7.23,-32.6813055637829
7.24,-32.796199959110986
7.25,-32.70416318128475
7.26,-31.282248323276
7.27,-31.090074784517725
7.28,-31.042688471472133
7.29,-32.19308109183699
7.3,-32.16077148370263
7.31,-32.26894087217977
7.32,-31.969397752786712
7.33,-31.75133049258022
7.34,-32.12858161497124
7.35,-32.075195524117134
7.36,-32.17152800475295
7.37,-32.345469029240824
7.38,-33.67160321358432
7.39,-31.099583148508376
7.4,-32.4005477784062
7.41,-30.92068045211473
7.42,-30.484477185344456
7.43,-33.102238567774485
7.44,-32.225511333511086
7.45,-30.846441627200385
7.46,-31.004964678676114
7.47,-30.663574038402984
7.48,-31.185630089687088
7.49,-34.559789208826054
7.5,-35.905812631075214
7.51,-32.70416318128475
7.52,-34.18539921951661
7.53,-32.45597802164835
7.54,-27.34311675049944
7.55,-24.647499204484923
7.56,-22.256893860796062
7.57,-21.512874471327752
7.58,-21.63360202069704
7.59,-18.701905477062525
7.6,-17.567213228587747
7.61,-19.01331100911462
7.62,-18.95200968773222
7.63,-20.821759178541743
7.64,-21.465676983499954
7.65,-17.70451048414571
7.66,-17.753491194608298
7.67,-16.443255559081248
7.68,-16.20883951252764
7.69,-15.802202380999615
7.7,-15.614601866080761
7.71,-15.724082554688223
7.72,-16.51217051644426
7.73,-17.497382569401303
7.74,-17.761681567339703
7.75,-19.289763653230835
7.76,-19.277559225709282
7.77,-19.98093573024629
7.78,-19.570258245100888
7.79,-20.569060930557907
7.8,-19.67686606053991
7.81,-18.6268992912053
7.82,-19.01331100911462
7.83,-18.856212758338092
7.84,-19.001488644912882
7.85,-17.78013819256846
7.86,-17.77193040585984
7.87,-18.361677693873805
7.88,-19.034631899880804
7.89,-19.638641458855005
7.9,-23.4526524064797
7.91,-25.933038736959606
