seconds_elapsed,dBFS
0.0,-12.376270088602672
0.01,-12.88805347308437
0.02,-12.73511669127219
0.03,-12.301656126064952
0.04,-14.27680893864798
0.05,-14.486418684648633
0.06,-13.628218336005025
0.07,-14.203060376034655
0.08,-14.208501810598253
0.09,-13.96827417819378
0.1,-15.609803473745451
0.11,-13.009289485998476
0.12,-14.915545418084509
0.13,-13.19256059107376
0.14,-13.16114248077633
0.15,-14.809904917591584
0.16,-12.12751067117627
0.17,-12.89273022088241
0.18,-11.182748082370466
0.19,-11.163559099335501
0.2,-13.698508417249187
0.21,-10.23031457572019
0.22,-12.158621777061771
0.23,-11.563657254966104
0.24,-14.660979649263762
0.25,-12.322439701641276
0.26,-12.998628317698877
0.27,-12.247198959355485
0.28,-14.70265245639133
0.29,-12.580312306615593
0.3,-10.930938093117796
0.31,-10.293378152124449
0.32,-11.925344118344345
0.33,-12.489406759400579
0.34,-12.102915337822981
0.35,-14.166419587345924
0.36,-11.018149377611621
0.37,-12.390607792994038
0.38,-12.18122027613774
0.39,-11.407508929619759
0.4,-12.395024160008246
0.41,-12.014732959721881
0.42,-9.983378208337749
0.43,-11.75030506437077
0.44,-13.81086927315211
0.45,-9.415852034497036
0.46,-12.058181043381609
0.47,-13.525725040901355
0.48,-10.980531780320495
0.49,-13.834298931219733
0.5,-9.333173222226163
0.51,-11.727776217499049
0.52,-7.931804791002622
0.53,-9.422908315676066
0.54,-8.776917927522142
0.55,-9.510410417023149
0.56,-9.202196708310728
0.57,-11.63419270925565
0.58,-9.809439257281863
0.59,-9.910894703102077
0.6,-9.673560548914319
0.61,-9.203726183510677
0.62,-11.612971864263624
0.63,-10.402438517646166
0.64,-10.872353100695856
0.65,-11.66662925861191
0.66,-11.833759482620351
0.67,-11.856565268730376
0.68,-11.356403751507267
0.69,-12.013675960677308
0.7,-12.730524019843015
0.71,-13.848648230273373
0.72,-13.159936358489029
0.73,-13.27282841462961
0.74,-13.176837330455633
0.75,-11.953638650239231
0.76,-10.801281719405011
0.77,-11.544610342939496
0.78,-12.890391532220441
0.79,-10.674438191962032
0.8,-12.4005477784062
0.81,-10.880698231494454
0.82,-12.507288164867854
0.83,-12.224428372392788
0.84,-11.139632331855484
0.85,-11.585763880971205
0.86,-11.218359846656076
0.87,-11.09577855377472
0.88,-11.418358279354736
0.89,-11.62812431848385
0.9,-11.466852519407247
0.91,-11.143456188240407
0.92,-11.439108381072305
0.93,-11.786267277845381
0.94,-12.444863637997399
0.95,-13.242336599147652
0.96,-13.901028245114723
0.97,-14.63950294754943
0.98,-16.747740599707452
0.99,-17.112575538080257
1.0,-17.87716518201
1.01,-17.42613768899598
1.02,-15.395014167144243
1.03,-16.40111653337216
1.04,-12.818202757774152
1.05,-10.839975818695663
1.06,-10.65905131524011
1.07,-11.472809239017593
1.08,-8.848569611999578
1.09,-10.34032432190498
1.1,-10.810478977399109
1.11,-9.010110178422007
1.12,-9.614023836264577
1.13,-10.76184410828833
1.14,-10.600469217534323
1.15,-15.05842825025436
1.16,-12.918497442049812
1.17,-15.440371396260685
1.18,-14.869903719915374
1.19,-13.269163739951214
1.2,-11.733914655661291
