seconds_elapsed,dBFS
0.0,-54.745973691521485
0.01,-43.90607297697328
0.02,-32.33449506740448
0.03,-38.44327735878521
0.04,-42.850758639792225
0.05,-47.02194158350561
0.06,-48.945281464271126
0.07,-48.87135855307185
0.08,-42.99923900137636
0.09,-36.46969664384714
0.1,-34.81865938462336
0.11,-35.11564180540175
0.12,-32.345469029240824
0.13,-29.449617231330755
0.14,-27.644609564544467
0.15,-27.587276751512412
0.16,-28.06360333084894
0.17,-28.50383764056803
0.18,-28.878722597292573
0.19,-29.91006506561751
0.2,-32.20387772422533
0.21,-34.60240199897902
0.22,-36.75685964478449
0.23,-38.532364187310215
0.24,-40.56623118965063
0.25,-42.63269137958573
0.26,-43.989591790056004
0.27,-45.75126460692089
0.28,-39.96508074019487
0.29,-33.55722993448413
0.3,-27.300010509976744
0.31,-25.059976904585763
0.32,-23.98120367773045
0.33,-23.547841190799232
0.34,-24.201971310261882
0.35,-27.214434550391246
0.36,-32.738562789170224
0.37,-36.39936516939041
0.38,-36.9973788788353
0.39,-37.74122009818812
0.4,-37.782191351693506
0.41,-37.42022690983759
0.42,-38.992042325724
0.43,-39.552616797728874
0.44,-45.20354859712824
0.45,-46.39100565100968
0.46,-45.251938079596485
0.47,-45.300598653016465
0.48,-47.44870269411245
0.49,-49.72132314549016
0.5,-51.03324215228325
0.51,-45.05997690458577
0.52,-31.090074784517725
0.53,-31.291969521423425
0.54,-31.948391963496753
0.55,-36.48736885673499
0.56,-43.50011640239199
0.57,-48.87135855307185
0.58,-51.22414851040786
0.59,-47.574587356066225
0.6,-53.40703789890922
0.61,-49.095041892122126
0.62,-50.573564013869465
0.63,-34.83326979957049
0.64,-30.911365824264358
0.65,-31.37013328523785
0.66,-36.64805793441736
0.67,-40.88316447801559
0.68,-47.141748857289365
0.69,-46.67212694029891
0.7,-49.095041892122126
0.71,-47.32461644608676
0.72,-47.63822053179
0.73,-49.40253912346121
0.74,-51.22414851040786
0.75,-33.235034463670864
0.76,-31.19524369292424
0.77,-31.24347196584827
0.78,-31.4094805309534
0.79,-30.736259731504866
0.8,-30.300317149607984
0.81,-30.352537084279845
0.82,-32.12858161497124
0.83,-33.569863958003346
0.84,-32.590471903165735
0.85,-31.08057681786539
0.86,-30.44027408924212
0.87,-30.4933448631316
0.88,-30.317688934674713
0.89,-29.481144996029855
0.9,-30.01858792403588
0.91,-30.56461410103426
0.92,-28.31538587700935
0.93,-28.349977279311354
0.94,-27.937091394719115
0.95,-28.57468542029671
0.96,-29.65662348217996
0.97,-29.496951896912897
0.98,-28.82730491862948
0.99,-29.729444595018798
1.0,-30.930005079567504
1.01,-33.38225645659825
1.02,-36.225988362398375
1.03,-36.793431865712655
1.04,-35.69335318586658
1.05,-33.697225325491466
1.06,-31.291969521423425
1.07,-29.632484820128152
1.08,-29.301403573965196
1.09,-29.14047821005425
1.1,-29.087492226598517
1.11,-29.125306346566934
1.12,-28.732615037217386
1.13,-28.28093168808774
1.14,-28.56757458106365
1.15,-32.64713152768056
1.16,-33.06637111293361
1.17,-33.722923242573856
1.18,-35.80710827756498
1.19,-37.36133929690196
1.2,-34.40530690554588
1.21,-36.29492435629397
1.22,-36.34698778672656
1.23,-36.277638998075815
1.24,-37.11067469779735
1.25,-39.88623702511363
1.26,-40.76657360480111
1.27,-43.66022950088225
1.28,-37.2640718791279
1.29,-32.90092059361382
1.3,-31.262838505951855
1.31,-32.107187787312995
1.32,-33.49433400695822
1.33,-33.235034463670864
1.34,-34.02404678455595
1.35,-32.55665269247964
1.36,-31.458916575832742
1.37,-31.17602711509029
1.38,-31.224148510407858
1.39,-31.379953398932898
1.4,-30.600469217534325
1.41,-30.0606912039457
1.42,-31.48871382508296
1.43,-31.5988533827001
1.44,-33.18650981434835
1.45,-34.349805824450435
1.46,-38.851566655184754
1.47,-35.77445451866291
1.48,-42.3501985257536
1.49,-40.151881265277744
1.5,-39.552616797728874
1.51,-38.074532539047524
1.52,-38.24611124679071
1.53,-37.619453295979724
1.54,-37.9062775997192
1.55,-36.45206031364975
1.56,-39.502409203376885
1.57,-42.455059634001046
1.58,-45.95931981491623
1.59,-40.651527027019284
1.6,-35.72570290533895
1.61,-33.054448132834864
1.62,-28.923038456883774
1.63,-27.22660818887742
1.64,-28.01677901455089
1.65,-26.435378108368724
1.66,-25.59842976104338
1.67,-26.816174845985387
1.68,-25.344627475392866
1.69,-24.606858107858116
1.7,-28.41259109209836
1.71,-33.06637111293361
1.72,-31.508635599041092
1.73,-31.639252942220246
1.74,-28.96014184366674
1.75,-28.212430626121247
1.76,-29.811079497044656
1.77,-26.586831102930255
1.78,-27.473734093678598
1.79,-28.62462496440958
1.8,-27.72164678473464
1.81,-31.109101932626032
1.82,-31.33096347979008
1.83,-32.06455756854605
1.84,-29.43389615982077
1.85,-28.790763469538803
1.86,-27.670212794985865
1.87,-27.34311675049944
1.88,-30.370013729286732
1.89,-30.591491553026483
1.9,-30.222571223541507
1.91,-28.461604706611944
1.92,-24.729356361885493
1.93,-22.26377105010075
1.94,-19.265371922407642
1.95,-19.831469186431733
1.96,-24.770576057878877
1.97,-25.608535509289887
1.98,-26.88032068033419
1.99,-28.96014184366674
2.0,-26.672126940298906
2.01,-27.950321998401524
2.02,-29.13288896567622
2.03,-29.209081468611522
2.04,-37.16788164205228
2.05,-37.823356782480985
2.06,-39.91243882367998
2.07,-42.77745955806411
2.08,-44.15907794093009
2.09,-47.83196587985263
2.1,-51.32119856629609
2.11,-46.22659904607586
2.12,-41.64961288170624
2.13,-24.150524626956727
2.14,-21.453134180398973
2.15,-18.588511051454844
2.16,-17.298962801627017
2.17,-16.610297046376562
2.18,-17.569216662949774
2.19,-22.43398589223275
2.2,-26.689287083459746
2.21,-26.113338402224056
2.22,-22.777459558064116
2.23,-22.497361128185652
2.24,-21.857201902164714
2.25,-21.37204449607818
2.26,-21.30093697608703
2.27,-22.063148512733424
2.28,-20.783962779053688
2.29,-20.839259297902988
2.3,-20.3565857035686
2.31,-18.11924490212865
2.32,-17.70044119869388
2.33,-20.662963354725502
2.34,-26.868622510703226
2.35,-33.5068768100592
2.36,-36.9973788788353
2.37,-36.072854118370536
2.38,-39.13482728853104
2.39,-41.97618855242873
2.4,-41.61762061851039
2.41,-34.433191005377985
