seconds_elapsed,dBFS
0.0,-29.91006506561751
0.01,-30.591491553026483
0.02,-28.631782681862894
0.03,-28.077028201586476
0.04,-29.019838914655985
0.05,-28.937860797747096
0.06,-30.672626555781086
0.07,-27.97020576817924
0.08,-28.103940352126294
0.09,-27.838499080339716
0.1,-29.057359014631096
0.11,-28.39863785273134
0.12,-26.897897528770187
0.13,-21.936344952113046
0.14,-19.1492357346961
0.15,-21.070028795119118
0.16,-21.53815172347214
0.17,-20.0900597257349
0.18,-18.83300705487954
0.19,-17.873014219141005
0.2,-18.36387304069152
0.21,-21.190793891539496
0.22,-20.998367559723363
0.23,-19.1588546610812
0.24,-18.70418853388683
0.25,-19.270244791897614
0.26,-20.290553915388344
0.27,-21.064034392094406
0.28,-21.509719980776257
0.29,-20.67441475999404
0.3,-24.336303036705647
0.31,-28.75437510614651
0.32,-27.689464867082016
0.33,-26.39100565100968
0.34,-28.18518075392605
0.35,-29.721323145490164
0.36,-34.308411514311665
0.37,-39.353504591437904
0.38,-38.44327735878521
0.39,-36.32959861247398
0.4,-37.28343841923147
0.41,-39.3289334586786
0.42,-36.59416392714908
0.43,-23.378027528224877
0.44,-21.10006302157995
0.45,-27.257117140644958
0.46,-38.944964217854455
0.47,-38.82837334463998
0.48,-39.9387199016366
0.49,-36.191724453515974
0.5,-37.07274498844913
0.51,-31.802756869201367
0.52,-23.960268768492373
0.53,-28.377749931711644
0.54,-33.93129040731416
0.55,-29.11016093795526
0.56,-29.2167376080566
0.57,-21.26406720878561
0.58,-19.25320169533872
0.59,-17.42613768899598
0.6,-18.170628180228533
0.61,-16.71680726359924
0.62,-17.14304569303056
0.63,-18.320071184688842
0.64,-15.525466060979758
0.65,-16.924521220578242
0.66,-14.708416152447592
0.67,-14.596708200257877
0.68,-14.054741363886983
0.69,-13.241119150181042
0.7,-14.976280972989006
0.71,-16.052638695037356
0.72,-20.677279971841912
0.73,-20.378708325239458
0.74,-22.77016355625918
0.75,-25.30059865301648
0.76,-26.833622236461355
0.77,-30.68168851762347
0.78,-26.129428353669283
0.79,-27.766902731898206
0.8,-26.107981701691614
0.81,-27.561916471779696
0.82,-21.12416540163272
0.83,-14.279552428764937
0.84,-16.171230799562
0.85,-13.773253922868513
0.86,-15.487543251727928
0.87,-14.486418684648633
0.88,-12.965543675621362
0.89,-13.053256734487471
0.9,-14.430398563740665
0.91,-14.174548637670732
0.92,-13.428157858374028
0.93,-14.424816372264427
0.94,-14.732954618929583
0.95,-13.309560452617355
0.96,-14.709857674256238
0.97,-14.558372376649672
0.98,-12.743159714198438
0.99,-14.04271752027766
1.0,-13.918119988356983
1.01,-13.847342768538283
1.02,-15.331289899004021
1.03,-15.844812491092128
1.04,-17.78013819256846
1.05,-20.850945663121077
1.06,-23.591820472798
1.07,-20.642959652031013
1.08,-17.692308342633346
1.09,-19.12763201850362
1.1,-21.487670566409093
1.11,-20.373172385193513
1.12,-21.12114894400974
1.13,-23.472397560784152
1.14,-21.98617807582778
1.15,-19.412760464038833
1.16,-19.38802137115967
1.17,-20.760784941049323
1.18,-22.256893860796062
1.19,-23.38193921018158
1.2,-22.657852261018636
1.21,-22.43398589223275
1.22,-27.461209376817635
1.23,-29.309141560791502
1.24,-30.995559274792225
1.25,-26.689287083459746
1.26,-21.190793891539496
1.27,-18.41010396529269
1.28,-19.05838332194913
1.29,-20.353824333448998
1.3,-21.736585245755577
1.31,-19.23133816631687
1.32,-20.65152702701928
1.33,-20.723252369670956
1.34,-22.185010225928103
1.35,-26.821986749606754
1.36,-25.694912426942977
1.37,-22.9805395546749
1.38,-26.986319293092173
1.39,-27.367845278627158
1.4,-17.639629587602627
1.41,-16.03079161661525
1.42,-15.38565941164865
1.43,-14.39834984499127
1.44,-14.49625946056029
1.45,-13.715205881214935
1.46,-14.712741435782748
1.47,-13.784910229209304
1.48,-14.525848860965564
1.49,-15.884331298848807
1.5,-14.933277761034073
1.51,-16.413385978953126
1.52,-16.225988362398375
1.53,-17.30673541032293
1.54,-21.64961288170624
1.55,-23.765908451005725
1.56,-29.004876138108116
1.57,-29.386902954273584
1.58,-31.57872384961649
1.59,-36.48736885673499
1.6,-37.2640718791279
1.61,-39.96508074019487
1.62,-37.32230152495152
1.63,-35.95558863914911
1.64,-35.83988525849064
1.65,-38.69049918568197
1.66,-36.43445972072142
1.67,-34.09091308582035
1.68,-37.42022690983759
1.69,-39.91243882367998
1.7,-38.532364187310215
1.71,-40.708859840051346
1.72,-39.834069362963064
1.73,-37.38092417473297
1.74,-33.28383172481285
1.75,-34.44716669566275
1.76,-38.39907426268287
1.77,-37.016159188071846
1.78,-36.17464305245918
1.79,-35.08548243607973
1.8,-18.239615504517584
1.81,-15.696582741448701
1.82,-13.385969168618049
1.83,-15.138330254448626
1.84,-15.064433013464868
1.85,-13.66137549425354
1.86,-14.048059395992201
1.87,-12.963185302096674
1.88,-14.022714695045167
1.89,-13.008104265332374
1.9,-14.167773900849575
1.91,-13.418212656614198
1.92,-14.578229089238308
1.93,-13.50185751512723
1.94,-14.902269877291374
1.95,-14.909642672605507
1.96,-15.088493664966904
1.97,-16.505077098624085
1.98,-17.034980191401395
1.99,-20.26592084176714
2.0,-22.30169323219558
2.01,-28.93044646555292
2.02,-28.26032458556763
2.03,-27.78637055395467
2.04,-29.034827511366007
2.05,-30.094521391358896
2.06,-28.603187134593053
2.07,-27.78637055395467
2.08,-28.384706992266256
2.09,-31.071089225837348
2.1,-35.11564180540175
2.11,-34.81865938462336
2.12,-35.26802974280558
2.13,-37.20623000296671
2.14,-37.619453295979724
2.15,-37.034980191401395
2.16,-35.82348130717857
2.17,-35.72570290533895
2.18,-38.42114769168582
2.19,-37.9062775997192
2.2,-36.05600466665013
2.21,-36.191724453515974
2.22,-38.69049918568197
2.23,-33.93129040731416
2.24,-30.17112454023635
2.25,-29.293672474533512
2.26,-32.52296464906815
2.27,-35.23733752133622
2.28,-34.60240199897902
2.29,-32.842586662886376
2.3,-32.579184195744716
2.31,-31.36032426145334
2.32,-32.83096674190513
2.33,-30.34381193072038
2.34,-29.762006543699226
2.35,-31.36032426145334
2.36,-29.441753138771766
2.37,-29.520716315671613
2.38,-32.06455756854605
2.39,-33.60787666479203
2.4,-33.456813906983115
2.41,-29.737573645343605
2.42,-29.729444595018798
2.43,-31.214502879613097
2.44,-33.22287786317275
2.45,-35.75817355862323
2.46,-37.459708294351934
2.47,-36.848580556616426
2.48,-33.29607399553303
2.49,-30.17112454023635
2.5,-30.827980643336808
2.51,-29.959984108983633
2.52,-29.072412553300374
2.53,-29.340162628186267
2.54,-31.95888850814342
2.55,-31.37013328523785
2.56,-33.247208102157046
2.57,-30.248409288121998
2.58,-32.715614586553286
2.59,-33.48180929009726
2.6,-30.484477185344456
2.61,-31.37013328523785
2.62,-31.74108165406008
2.63,-32.98325191751046
2.64,-31.813078783236115
2.65,-31.399626996557963
2.66,-33.684404821853086
2.67,-34.745973691521485
2.68,-31.46883763874809
2.69,-30.967404016304414
2.7,-30.663574038402984
2.71,-30.818764844447788
2.72,-32.54540882082786
2.73,-31.885677686439582
2.74,-30.809558813232975
2.75,-30.282980038785997
2.76,-33.33290467815828
2.77,-33.13825474780157
2.78,-33.59518726934584
2.79,-31.43910838107231
2.8,-31.46883763874809
2.81,-32.88922242398285
2.82,-31.350526302559825
2.83,-31.518613646821983
2.84,-31.896098671058603
2.85,-34.98074175694637
2.86,-29.918365008569246
2.87,-34.40530690554588
2.88,-31.099583148508376
2.89,-34.717068874037864
2.9,-30.326387873446933
2.91,-29.68891307192362
2.92,-30.431460400370135
2.93,-30.591491553026483
2.94,-35.42313903674083
2.95,-28.510896470406397
2.96,-31.659523405651292
2.97,-32.44486363799739
2.98,-29.843949506520126
2.99,-30.995559274792225
3.0,-29.745710310704958
3.01,-30.326387873446933
3.02,-33.55722993448413
3.03,-31.282248323276
3.04,-29.473252319759318
3.05,-33.64605646093865
3.06,-32.35645687338553
3.07,-33.054448132834864
3.08,-32.83096674190513
3.09,-32.52296464906815
3.1,-31.90653217337988
3.11,-32.738562789170224
3.12,-31.253149838312517
3.13,-34.06410476318697
3.14,-30.54674189382732
3.15,-31.48871382508296
3.16,-33.90496950948155
3.17,-33.735800768487955
3.18,-31.42922119771892
3.19,-29.95164431992424
3.2,-34.847904831909105
3.21,-30.511107424818892
3.22,-30.95803917481711
3.23,-32.635769996122
3.24,-35.145906259846555
3.25,-37.016159188071846
3.26,-35.85632024851811
3.27,-34.77497501942614
3.28,-32.29073734444098
3.29,-30.77283195243303
3.3,-34.308411514311665
3.31,-32.635769996122
3.32,-35.145906259846555
3.33,-35.70951298520325
3.34,-34.877249081569246
3.35,-31.350526302559825
3.36,-32.865873244228496
3.37,-31.109101932626032
3.38,-30.33509553296124
3.39,-32.83096674190513
3.4,-32.6813055637829
3.41,-33.58251638505932
3.42,-35.01053900619659
3.43,-35.42313903674083
3.44,-30.23978805700423
3.45,-30.213975587374332
3.46,-32.44486363799739
3.47,-31.43910838107231
3.48,-32.98325191751046
3.49,-31.948391963496753
3.5,-30.92068045211473
3.51,-34.06410476318697
3.52,-30.88348172443225
3.53,-34.906692803452316
3.54,-36.43445972072142
3.55,-31.62913542256951
3.56,-32.936109931297835
3.57,-31.518613646821983
3.58,-33.11422737525142
3.59,-32.69272685357853
3.6,-30.846441627200385
3.61,-30.36127101124809
3.62,-32.865873244228496
3.63,-31.508635599041092
3.64,-32.29073734444098
3.65,-34.01073507369288
3.66,-35.17627653427739
3.67,-31.875269189522314
3.68,-31.01438027812177
3.69,-31.099583148508376
3.7,-30.188239599248014
3.71,-31.17602711509029
3.72,-34.02404678455595
3.73,-32.715614586553286
3.74,-33.28383172481285
3.75,-31.710407497502597
3.76,-32.88922242398285
3.77,-34.46116490922928
3.78,-28.87135855307185
3.79,-30.4933448631316
3.8,-30.7911759711585
3.81,-32.085846524394825
3.82,-31.528603170221025
3.83,-31.979919728195853
3.84,-32.715614586553286
3.85,-33.102238567774485
3.86,-36.243171136821125
3.87,-33.53201688444925
3.88,-33.93129040731416
3.89,-33.76161323811785
3.9,-32.37847434940325
3.91,-33.53201688444925
3.92,-33.22287786317275
3.93,-31.43910838107231
3.94,-33.633311206064775
3.95,-32.52296464906815
3.96,-32.117878114370846
3.97,-32.85422214974098
3.98,-32.738562789170224
3.99,-33.04254149678523
4.0,-33.04254149678523
4.01,-31.340739383622335
4.02,-33.04254149678523
4.03,-32.44486363799739
4.04,-33.95769130799874
4.05,-36.75685964478449
4.06,-35.28341661952751
4.07,-38.62237421184374
4.08,-38.805241800641134
4.09,-41.273269988708556
4.1,-41.58574575837924
4.11,-39.88623702511363
4.12,-35.29883080216743
4.13,-33.684404821853086
4.14,-31.43910838107231
4.15,-32.21468779362074
4.16,-31.061611985793935
4.17,-30.77283195243303
4.18,-32.01156234839335
4.19,-34.15829813781729
4.2,-31.42922119771892
4.21,-31.979919728195853
4.22,-33.41945518428073
4.23,-32.13929832162136
4.24,-31.5988533827001
4.25,-33.60787666479203
4.26,-33.235034463670864
4.27,-32.52296464906815
4.28,-32.18229786309254
4.29,-34.03737892783052
4.3,-36.20883951252764
4.31,-38.645023219821894
4.32,-39.13482728853104
4.33,-39.13482728853104
4.34,-38.96847137601314
4.35,-40.79557493270576
4.36,-41.36583807234997
4.37,-42.52567701190371
4.38,-40.79557493270576
4.39,-38.55477939881613
4.4,-36.77512650669703
4.41,-32.715614586553286
4.42,-32.98325191751046
4.43,-30.431460400370135
4.44,-28.588924586826717
4.45,-31.23380486452978
4.46,-30.663574038402984
4.47,-31.23380486452978
4.48,-32.20387772422533
4.49,-32.83096674190513
4.5,-34.32218771012272
4.51,-33.710064780361634
4.52,-30.308998699194355
4.53,-31.042688471472133
4.54,-33.15029340480577
4.55,-35.13076085123488
4.56,-36.072854118370536
4.57,-36.46969664384714
4.58,-38.96847137601314
4.59,-40.17889805109691
4.6,-44.03165429181129
4.61,-46.729459753330964
4.62,-44.59785251903888
4.63,-46.96265200423083
4.64,-48.798059471343734
4.65,-48.653291292865354
4.66,-50.136995263955995
4.67,-48.510896470406394
4.68,-46.96265200423083
4.69,-44.073921478079264
4.7,-37.98999766606634
4.71,-30.645497258438095
4.72,-31.478770046506295
4.73,-33.102238567774485
4.74,-34.39139835231285
4.75,-33.36989219879788
4.76,-32.37847434940325
4.77,-30.78199911912889
4.78,-33.11422737525142
4.79,-32.47824954574307
4.8,-33.46930260739208
4.81,-29.968331913218748
4.82,-31.11863115973439
4.83,-33.36989219879788
4.84,-31.548616749670153
4.85,-32.422677445505585
4.86,-32.80777343136036
4.87,-32.12858161497124
4.88,-32.26894087217977
4.89,-33.49433400695822
4.9,-33.826482020863374
4.91,-36.05600466665013
4.92,-34.280924498847256
4.93,-34.363647882580025
4.94,-34.21258512477111
4.95,-33.918119988356985
4.96,-30.718031205112453
4.97,-31.57872384961649
4.98,-32.635769996122
4.99,-31.301701611671895
5.0,-32.107187787312995
5.01,-32.75005966661059
5.02,-32.44486363799739
5.03,-33.95769130799874
5.04,-33.93129040731416
5.05,-33.5068768100592
5.06,-30.077589827248794
5.07,-33.04254149678523
5.08,-33.38225645659825
5.09,-34.40530690554588
5.1,-32.25806311291453
5.11,-31.771864520200506
5.12,-32.865873244228496
5.13,-34.475185718792
5.14,-34.37751203498576
5.15,-30.78199911912889
5.16,-31.782149766681258
5.17,-30.618452432318502
5.18,-31.17602711509029
5.19,-30.205388449118754
5.2,-31.508635599041092
5.21,-32.001001994948965
5.22,-31.37013328523785
5.23,-34.10434833929267
5.24,-33.710064780361634
5.25,-39.67942035834925
5.26,-40.20599913279624
5.27,-42.2123243667956
5.28,-43.46054508275023
5.29,-47.141748857289365
5.3,-45.64907649135128
5.31,-47.63822053179
5.32,-46.39100565100968
5.33,-47.3864379856296
5.34,-45.34953337195822
5.35,-38.66773144096018
5.36,-33.826482020863374
5.37,-34.46116490922928
5.38,-36.8301587265126
5.39,-39.01567741415257
5.4,-39.086971026213234
5.41,-36.922661087872115
5.42,-38.805241800641134
5.43,-40.9125583796311
5.44,-42.280987883563476
5.45,-41.30401653280713
5.46,-41.77877347190285
5.47,-43.82334959324051
5.48,-40.17889805109691
5.49,-38.532364187310215
5.5,-39.86011402906796
5.51,-36.94128036539435
5.52,-34.077498581782486
5.53,-34.951046378832544
5.54,-34.68825992677172
5.55,-31.771864520200506
5.56,-31.57872384961649
5.57,-29.672753272586945
5.58,-37.016159188071846
5.59,-39.27999873973685
5.6,-37.459708294351934
5.61,-31.528603170221025
5.62,-28.81998432010253
5.63,-28.151238195538383
5.64,-27.996788465708363
5.65,-28.468629284138416
5.66,-30.19680979198875
5.67,-27.943704177404772
5.68,-28.539189295546432
5.69,-27.46746947772866
5.7,-33.04254149678523
5.71,-32.66989927240235
5.72,-28.28093168808774
5.73,-32.601774298564116
5.74,-30.23978805700423
5.75,-31.17602711509029
5.76,-31.969397752786712
5.77,-30.7911759711585
5.78,-30.378765256110782
5.79,-35.02547605138774
5.8,-32.389504052013066
5.81,-31.53860419566452
5.82,-31.528603170221025
5.83,-30.10299956639812
5.84,-29.70510299205933
5.85,-31.548616749670153
5.86,-31.262838505951855
5.87,-30.939339728115655
5.88,-31.782149766681258
5.89,-32.6813055637829
5.9,-32.13929832162136
5.91,-35.13076085123488
5.92,-33.39463833986118
5.93,-33.697225325491466
5.94,-31.813078783236115
5.95,-33.102238567774485
5.96,-33.78750264517783
5.97,-33.407037898909216
5.98,-33.198615585838354
5.99,-31.458916575832742
6.0,-30.7911759711585
6.01,-29.819285345211014
6.02,-28.496784542626223
6.03,-29.632484820128152
6.04,-31.147281728772654
6.05,-29.737573645343605
6.06,-32.422677445505585
6.07,-32.467106645384746
6.08,-31.558640858847422
6.09,-30.618452432318502
6.1,-30.618452432318502
6.11,-31.518613646821983
6.12,-30.63647295670367
6.13,-32.47824954574307
6.14,-31.43910838107231
6.15,-32.624423306542276
6.16,-30.582523158179047
6.17,-31.885677686439582
6.18,-31.62913542256951
6.19,-33.865637111834005
6.2,-31.36032426145334
6.21,-31.004964678676114
6.22,-30.308998699194355
6.23,-31.458916575832742
6.24,-33.48180929009726
6.25,-31.558640858847422
6.26,-31.48871382508296
6.27,-31.56867654989807
6.28,-32.87753998827678
6.29,-31.83375948262035
6.3,-30.718031205112453
6.31,-32.085846524394825
6.32,-30.026992268801944
6.33,-30.573564013869458
6.34,-33.13825474780157
6.35,-32.590471903165735
6.36,-32.04332066398599
6.37,-34.76046225140812
6.38,-31.478770046506295
6.39,-31.639252942220246
6.4,-32.78464188736151
6.41,-33.99744373270901
6.42,-32.18229786309254
6.43,-32.085846524394825
6.44,-31.291969521423425
6.45,-29.640523589455363
6.46,-31.224148510407858
6.47,-33.55722993448413
6.48,-28.878722597292573
6.49,-30.162579640739466
6.5,-32.6813055637829
6.51,-27.58092973651456
6.52,-32.13929832162136
6.53,-34.32218771012272
6.54,-30.74538836044608
6.55,-29.386902954273584
6.56,-31.802756869201367
6.57,-32.001001994948965
6.58,-35.629012968426615
6.59,-33.77454829581452
6.6,-34.995627604014075
6.61,-33.83951411578833
6.62,-37.782191351693506
6.63,-33.918119988356985
6.64,-35.66112350273499
6.65,-36.191724453515974
6.66,-35.517551810192515
6.67,-36.48736885673499
6.68,-34.17183810881801
6.69,-32.47824954574307
6.7,-31.75133049258022
6.71,-31.24347196584827
6.72,-33.5068768100592
6.73,-32.75005966661059
6.74,-30.8003625290091
6.75,-31.004964678676114
6.76,-30.231175374456143
6.77,-30.699840853672352
6.78,-29.632484820128152
6.79,-33.054448132834864
6.8,-32.31258865065243
6.81,-31.399626996557963
6.82,-32.389504052013066
6.83,-31.156852957992452
6.84,-32.06455756854605
6.85,-36.522821516721955
6.86,-37.9062775997192
6.87,-33.77454829581452
6.88,-33.431890246731136
6.89,-33.21073825303724
6.9,-32.01156234839335
6.91,-33.22287786317275
6.92,-30.56461410103426
6.93,-33.38225645659825
6.94,-36.34698778672656
6.95,-39.27999873973685
6.96,-37.63962958760262
6.97,-38.992042325724
6.98,-40.28781345483932
6.99,-41.58574575837924
7.0,-43.700723232210535
7.01,-43.82334959324051
