seconds_elapsed,dBFS
0.0,-13.86302127394703
0.01,-14.380287522990866
0.02,-15.032954217702505
0.03,-13.01877707802652
0.04,-15.343687245819543
0.05,-14.025379078390618
0.06,-15.115641805401747
0.07,-14.475185718791996
0.08,-13.825179886142692
0.09,-12.658507940096747
0.1,-13.768078359099674
0.11,-14.988181491566577
0.12,-14.897849202174456
0.13,-14.615226709165931
0.14,-15.046431163211619
0.15,-13.681842990353008
0.16,-13.996115716555051
0.17,-13.327984887804114
0.18,-13.961658373442473
0.19,-13.637132819225233
0.2,-13.679281914221209
0.21,-14.238490787663709
0.22,-13.686967409167167
0.23,-14.890486406414373
0.24,-14.05607837453198
0.25,-13.812169264120344
0.26,-14.331844064244645
0.27,-13.32675537550281
0.28,-13.302201607524776
0.29,-13.488069391008285
0.3,-11.766726460519145
0.31,-12.633499472089191
0.32,-13.132241670622648
0.33,-12.36635783155247
0.34,-11.492694526178331
0.35,-16.298385559622524
0.36,-16.15248733254973
0.37,-16.742273764550756
0.38,-15.238869559374955
0.39,-15.387217838070352
0.4,-16.20541380172083
0.41,-14.825961520100151
0.42,-13.416970306667427
0.43,-14.669585220943318
0.44,-14.575389635261383
0.45,-14.956977338187649
0.46,-15.105074110091678
0.47,-14.000100374307355
0.48,-13.779727717338332
0.49,-13.302201607524776
0.5,-11.947343006350613
0.51,-12.683588620607207
0.52,-12.804299770191058
0.53,-12.992711095834997
0.54,-13.484312789073538
0.55,-12.640312825534172
0.56,-15.291120291551849
0.57,-14.459764072255343
0.58,-13.881348704248374
0.59,-12.130723898774935
0.6,-14.559789208826057
0.61,-12.64713152768056
0.62,-12.708741931858922
0.63,-11.80069395750943
0.64,-14.161004444004652
0.65,-13.752570145538314
0.66,-11.900270568179184
0.67,-12.924364304574834
0.68,-14.499073159852166
0.69,-12.563406008593896
0.7,-12.821681984593381
0.71,-11.964141541045032
0.72,-14.70265245639133
0.73,-13.729359619035897
0.74,-11.900270568179184
0.75,-11.164517542331016
0.76,-13.47805539406329
0.77,-13.894463442717672
0.78,-16.71680726359924
0.79,-13.744826409835449
0.8,-14.748869470724191
0.81,-16.212266574966282
0.82,-14.403915047576701
0.83,-12.9149792257168
0.84,-15.1777978390607
0.85,-14.335985790288978
0.86,-13.762905877399659
0.87,-13.590116697317395
0.88,-12.630094798508761
0.89,-11.410466499470047
0.9,-13.312014787089199
0.91,-11.409480530953399
0.92,-15.15804162980948
0.93,-13.97489502586405
0.94,-10.981470237415898
0.95,-14.053404559015076
0.96,-13.028275044678857
0.97,-12.827483794733661
0.98,-13.67800165927924
0.99,-14.728619260896947
1.0,-14.600978199346606
1.01,-13.511899007156657
1.02,-15.624206610485256
1.03,-13.581250312666139
1.04,-15.525466060979758
1.05,-14.30841151431167
1.06,-14.811363382818431
1.07,-14.057415591013422
1.08,-10.841822701466404
1.09,-13.816070404827318
1.1,-14.528672163326865
1.11,-13.529499600084996
1.12,-14.173193267513023
1.13,-12.43043616834222
1.14,-11.670692357569434
1.15,-15.100549030730114
1.16,-13.62440064216081
1.17,-12.82052208746432
1.18,-12.88922242398285
1.19,-15.056927707858287
1.2,-13.431890246731136
1.21,-13.933926889240023
1.22,-12.744309325693475
1.23,-15.919058366982723
1.24,-17.122085984270818
1.25,-14.048059395992201
1.26,-14.283669289401955
1.27,-16.86149912427277
1.28,-14.098971743863762
1.29,-15.391894795719779
1.3,-12.86004574341409
1.31,-12.700730701636026
1.32,-14.116457861313362
1.33,-14.699772041960005
1.34,-13.602798681813104
1.35,-13.835602433831632
1.36,-14.136677990654519
1.37,-15.443508228955691
1.38,-13.852565793132266
1.39,-14.396959101310763
1.4,-11.84826532577864
1.41,-12.902091277575163
1.42,-12.158621777061771
1.43,-14.662413319257618
1.44,-16.101573413979104
1.45,-13.953726053587003
1.46,-13.028275044678857
1.47,-13.759028536525184
1.48,-12.486058090218936
1.49,-15.186931267492245
1.5,-16.388864394823447
1.51,-14.834732193653926
1.52,-23.429017318051134
1.53,-47.574587356066225
1.54,-51.128170852772485
1.55,-56.15759517723562
1.56,-59.42763781218885
1.57,-63.074441978842486
1.58,-67.3864379856296
1.59,-73.40703789890921
1.6,-90.30899869919435
1.61,-80.76657360480111
1.62,-73.40703789890921
1.63,-70.30899869919435
1.64,-68.72537377824186
1.65,-68.03013165305762
1.66,-67.3864379856296
1.67,-66.78717351808073
