seconds_elapsed,dBFS
0.0,-16.608502997080077
0.01,-13.597723665812422
0.02,-9.53739017996279
0.03,-8.236344594999537
0.04,-11.412438772330031
0.05,-13.29239950222374
0.06,-12.81124848227211
0.07,-14.815740248437912
0.08,-14.994137870773468
0.09,-15.459209407558854
0.1,-14.949564271561982
0.11,-15.044932691778925
0.12,-11.899227406028402
0.13,-11.256055304015495
0.14,-13.632037708571396
0.15,-14.76916700206626
0.16,-14.575389635261383
0.17,-15.722462506257141
0.18,-16.200277767489347
0.19,-15.54290283771226
0.2,-15.52229949527277
0.21,-16.23801273442975
0.22,-13.602798681813104
0.23,-14.135328516614972
0.24,-14.783694333832166
0.25,-15.988931826498373
0.26,-13.252082338894422
0.27,-16.082979500871044
0.28,-13.686967409167167
0.29,-15.371646142185769
0.3,-14.123192675668044
0.31,-13.670324089859449
0.32,-15.292661846199266
0.33,-12.439311774824635
0.34,-13.093856237563514
0.35,-15.034450623880392
0.36,-13.935245430364082
0.37,-12.337785800400116
0.38,-12.095443604340252
0.39,-12.882211077197137
0.4,-12.9690824369814
0.41,-12.248284763424413
0.42,-11.759538279288842
0.43,-11.990454465252043
0.44,-12.308213989447863
0.45,-12.665340946588959
0.46,-13.431890246731136
0.47,-15.426269651169411
0.48,-21.031138919476213
0.49,-19.738377486486126
0.5,-18.545806371532517
0.51,-18.194280821659426
0.52,-19.77704451712531
0.53,-15.614601866080761
0.54,-15.970577235859135
0.55,-13.062792500108948
0.56,-13.646056460938656
0.57,-15.234274255694153
0.58,-17.437971327935454
0.59,-18.11924490212865
0.6,-14.338748038567326
0.61,-16.554853106697976
0.62,-15.606606017556917
0.63,-13.525725040901355
0.64,-15.237337521336226
0.65,-14.311165006057053
0.66,-10.65814705313549
0.67,-11.938955906470882
0.68,-16.6968501193586
0.69,-17.365252741274567
0.7,-16.57269960904802
0.71,-15.905812631075218
0.72,-11.010612813461506
0.73,-10.395417488961913
0.74,-15.538143880618653
0.75,-12.439311774824635
0.76,-14.615226709165931
0.77,-15.284956807427292
0.78,-17.048179201314873
0.79,-20.063317433557284
0.8,-15.3592088540209
0.81,-15.487543251727928
0.82,-13.911542260183436
0.83,-13.724210136366576
0.84,-15.504903989045363
0.85,-17.927132086659505
0.86,-14.871372295392382
0.87,-16.190014800988443
0.88,-12.78002296162753
0.89,-13.51315501028777
0.9,-12.806615389942992
0.91,-13.150293404805778
0.92,-14.579649164388705
0.93,-13.443097044464213
0.94,-12.721345955707505
0.95,-14.138027674386247
0.96,-13.857791960340514
0.97,-14.96439673697999
0.98,-15.514388127900007
0.99,-15.112621151697832
1.0,-14.936236674242068
1.01,-15.763054643122608
1.02,-15.088493664966904
1.03,-15.659515153570487
1.04,-14.24942159248912
1.05,-14.24532092848752
1.06,-14.021382809795595
1.07,-13.058023308698498
1.08,-14.367804805194936
1.09,-12.766180903497936
1.1,-12.997444550795777
1.11,-16.25005377556324
1.12,-18.16204316382609
1.13,-19.420195952840512
1.14,-18.541323331619804
1.15,-20.67441475999404
1.16,-17.945944031623966
1.17,-17.18511745561064
1.18,-16.99362768480676
1.19,-17.741220098188123
1.2,-16.93010401003968
1.21,-14.804073504389628
1.22,-16.39236324266051
1.23,-15.434101127345132
1.24,-13.358779395129394
1.25,-14.770618642353428
1.26,-14.054741363886983
1.27,-16.239731861528494
1.28,-17.497382569401303
1.29,-18.41893782279257
1.3,-17.545205895377617
1.31,-19.098910395293224
1.32,-18.34194450180868
1.33,-17.694340842850426
1.34,-17.50135780500299
1.35,-12.306027484807478
1.36,-10.534253193418355
1.37,-12.034840419584699
1.38,-13.755152925705445
1.39,-16.143980927366805
1.4,-14.53290883830139
1.41,-16.03079161661525
1.42,-14.340129492190608
1.43,-10.809558813232979
1.44,-11.013438258746838
1.45,-11.181787625727914
1.46,-12.158621777061771
1.47,-13.63968149578051
1.48,-16.164410312648478
1.49,-14.92736295682998
1.5,-16.639052345598127
1.51,-16.542382336949032
1.52,-17.006763957693327
1.53,-18.16848113049864
1.54,-16.443255559081248
1.55,-17.273749751592142
1.56,-17.846081206435564
1.57,-15.88103118876425
1.58,-16.784274363928127
1.59,-17.18511745561064
1.6,-16.75868460321921
1.61,-14.956977338187649
1.62,-11.718576686572277
1.63,-15.554017221363212
1.64,-16.327861608241
1.65,-11.613981205922776
1.66,-10.655434831524673
1.67,-15.280337062807408
1.68,-13.41200268306158
1.69,-14.939196595769458
1.7,-15.412190763486773
1.71,-13.919436131951905
1.72,-11.834794811263102
1.73,-10.31073605086293
1.74,-11.869030073028938
1.75,-15.6643410947844
1.76,-17.252472647974265
1.77,-15.348340816591486
1.78,-15.049428881839496
1.79,-15.12924776184197
1.8,-14.4387785833372
1.81,-14.745973691521485
