seconds_elapsed,dBFS
0.0,-49.96833191321875
0.01,-48.87135855307185
0.02,-49.32463824579072
0.03,-50.573564013869465
0.04,-50.136995263955995
0.05,-50.754526593417395
0.06,-51.82341297795672
0.07,-49.32463824579072
0.08,-48.945281464271126
0.09,-49.247429829525956
0.1,-47.70232332929424
0.11,-49.72132314549016
0.12,-46.787173518080735
0.13,-49.481144996029855
0.14,-43.3040383325111
0.15,-19.459959751674827
0.16,-13.634584890301692
0.17,-13.890526941568009
0.18,-15.446646194899525
0.19,-17.50732407173195
0.2,-17.029329607029023
0.21,-15.323550533225951
0.22,-16.505077098624085
0.23,-18.179221690341397
0.24,-20.135711438135502
0.25,-20.50701859792826
0.26,-20.660102860829053
0.27,-21.89009058075491
0.28,-21.337963915162796
0.29,-24.00218916664859
0.3,-26.259232357992488
0.31,-26.93315829291072
0.32,-27.087630989770865
0.33,-28.886092890172698
0.34,-30.582523158179047
0.35,-30.699840853672352
0.36,-28.81998432010253
0.37,-27.676625412211845
0.38,-24.31449561968162
0.39,-20.723252369670956
0.4,-21.424978921911165
0.41,-20.83050483087121
0.42,-17.629535583400887
0.43,-17.819231448925375
0.44,-12.285283096451352
0.45,-8.007444366002744
0.46,-7.931804791002622
0.47,-8.648985307663693
0.48,-9.53182866799904
0.49,-10.181389528200494
0.5,-9.907576628517532
0.51,-10.336838112892469
0.52,-10.314211797062995
0.53,-9.949977322579514
0.54,-10.328128707131102
0.55,-9.727819697504364
0.56,-8.736962692086534
0.57,-8.29125360212249
0.58,-11.282248323276002
0.59,-13.239901871833023
0.6,-13.880038318843752
0.61,-12.674459991665998
0.62,-9.899286983263329
0.63,-8.675572953375882
0.64,-20.07935292667433
0.65,-26.96856278338923
0.66,-29.79469102116754
0.67,-35.04043882793561
0.68,-31.730844894315304
0.69,-37.09168913911697
0.7,-43.82334959324051
0.71,-42.043003417569324
0.72,-40.79557493270576
0.73,-44.779762615729474
0.74,-46.96265200423083
0.75,-47.20227794989312
0.76,-48.23292428007521
0.77,-46.06524661111521
0.78,-45.95931981491623
0.79,-49.56046874038188
0.8,-49.56046874038188
0.81,-46.50236473578853
0.82,-42.88764145375963
0.83,-49.40253912346121
0.84,-46.787173518080735
0.85,-46.39100565100968
0.86,-46.96265200423083
0.87,-46.67212694029891
0.88,-49.56046874038188
0.89,-47.02194158350561
0.9,-48.653291292865354
0.91,-48.23292428007521
0.92,-48.44056499594966
0.93,-50.30899869919435
0.94,-46.729459753330964
0.95,-44.82584171392076
0.96,-46.5585842824651
0.97,-44.91873981483603
0.98,-45.34953337195822
0.99,-47.7669027318982
1.0,-47.141748857289365
1.01,-50.05225420509091
1.02,-36.10665139695803
1.03,-25.73585953701565
1.04,-24.36692569620923
1.05,-22.063148512733424
1.06,-15.95891720391032
1.07,-14.956977338187649
1.08,-22.40946430810307
1.09,-26.183277810945707
1.1,-29.270520378272224
1.11,-29.340162628186267
1.12,-26.637908026817122
1.13,-26.35787443612363
1.14,-20.271388824093183
1.15,-18.153466624360494
1.16,-16.402868250558306
1.17,-17.086001554298626
1.18,-17.19470770682016
1.19,-15.77282504869508
1.2,-13.471802503693137
1.21,-12.54540882082786
1.22,-12.521843961415726
1.23,-11.509632888167634
1.24,-11.00402367985194
1.25,-11.87110928061231
1.26,-13.114227375251419
1.27,-12.972622640673393
1.28,-11.957838282685636
1.29,-12.61762240082769
1.3,-13.597723665812422
1.31,-12.842586662886381
1.32,-12.589342472094895
1.33,-12.677882103328123
1.34,-11.900270568179184
1.35,-12.05287084596851
1.36,-12.479364622403956
1.37,-13.343984405653508
1.38,-13.805671254063363
1.39,-14.167773900849575
1.4,-13.83038959668308
1.41,-14.74163183207688
1.42,-15.438803404625762
1.43,-14.850834799768922
1.44,-15.249601398612674
1.45,-15.004571373094741
1.46,-15.802202380999615
1.47,-15.756547139811609
1.48,-14.682509585854602
1.49,-14.84351173244528
1.5,-14.300156272469223
1.51,-13.847342768538283
1.52,-13.720350026842386
1.53,-14.033377135712708
1.54,-13.252082338894422
1.55,-13.01759056212575
1.56,-13.33659635051168
1.57,-13.423183834107494
1.58,-13.190139774548037
1.59,-13.403316172234527
1.6,-13.23625106002247
1.61,-13.488069391008285
1.62,-13.389683468284684
1.63,-13.760320791178772
1.64,-13.831692512704132
1.65,-13.30588025075251
1.66,-13.593919348806692
1.67,-13.5068768100592
1.68,-13.840818401343466
1.69,-14.219394917074501
1.7,-14.490634794902792
1.71,-14.064104763186974
1.72,-14.24532092848752
1.73,-13.42069788971787
1.74,-13.065178078162415
1.75,-12.913806803546152
1.76,-12.630094798508761
1.77,-12.487174169839882
1.78,-12.262412582027984
1.79,-12.337785800400116
1.8,-12.184453438147179
1.81,-11.763645082976726
1.82,-11.64127786113327
1.83,-12.13822605575517
1.84,-12.223345546281799
1.85,-13.131039554554288
1.86,-12.954936033792404
1.87,-12.841423971011537
1.88,-12.548780454293782
1.89,-12.474905174410702
1.9,-12.212524703175475
1.91,-12.085846524394825
1.92,-12.189844717345817
1.93,-12.252629337549287
1.94,-12.048625024235154
1.95,-11.863834230535025
1.96,-11.648368797146249
1.97,-12.095443604340252
1.98,-12.194160151362327
1.99,-11.904444470055786
2.0,-12.71790668041487
2.01,-12.512883661832648
2.02,-12.500578323176072
2.03,-12.432654219845096
2.04,-11.858641494302129
2.05,-11.90235726840257
2.06,-11.895056009795956
2.07,-11.907576213243875
2.08,-12.30493443885649
2.09,-12.43043616834222
2.1,-12.562280091211015
2.11,-12.94198870623499
2.12,-13.218019982935342
2.13,-13.779727717338332
2.14,-13.480557811147172
2.15,-13.368656740487273
2.16,-13.652436108407286
2.17,-13.812169264120344
2.18,-13.309560452617355
2.19,-13.523209579071418
2.2,-13.313242214440649
2.21,-13.65626614726029
2.22,-14.500480351372143
2.23,-14.814281048159291
2.24,-14.757562605366157
2.25,-14.939196595769458
2.26,-15.36698007189463
2.27,-15.495430194645259
2.28,-15.75817355862323
2.29,-16.172936758447594
2.3,-16.535264213511887
2.31,-16.09480738470761
2.32,-15.784237763141608
2.33,-15.967244200653976
2.34,-15.790766053293394
2.35,-15.624206610485256
2.36,-15.975579187991647
2.37,-15.180841248215195
2.38,-15.254204820487798
2.39,-15.52229949527277
2.4,-15.387217838070352
2.41,-15.291120291551849
2.42,-14.408091290771857
2.43,-14.599554633066594
2.44,-13.571128371665681
2.45,-13.027087230709409
2.46,-12.613091420214737
2.47,-11.613981205922776
2.48,-10.847365707167008
2.49,-9.230535688222858
2.5,-9.17852421761235
2.51,-9.068646722052113
2.52,-7.7941699166200475
2.53,-7.86927111817759
2.54,-7.613984977022069
2.55,-7.438710297683332
2.56,-7.133910966548594
2.57,-7.51582397503081
2.58,-8.589637158272877
2.59,-11.770836665085643
2.6,-10.181389528200494
2.61,-12.767333566181344
2.62,-16.88739404441737
2.63,-24.575379312095755
2.64,-32.09651060141033
2.65,-32.936109931297835
2.66,-34.93623667424207
2.67,-36.75685964478449
2.68,-37.96899187677637
2.69,-38.69049918568197
2.7,-37.51926891382263
2.71,-37.63962958760262
2.72,-36.81177588443812
2.73,-37.864718239868445
2.74,-35.741923058769785
2.75,-35.29883080216743
2.76,-35.75817355862323
2.77,-36.94128036539435
2.78,-36.666097171717716
2.79,-36.20883951252764
2.8,-34.906692803452316
2.81,-34.58817449434327
2.82,-35.629012968426615
2.83,-38.37705678666515
2.84,-37.20623000296671
2.85,-37.96899187677637
2.86,-36.793431865712655
2.87,-36.364411844
2.88,-39.9387199016366
2.89,-36.48736885673499
2.9,-37.579240772127044
2.91,-34.93623667424207
2.92,-34.39139835231285
2.93,-35.66112350273499
2.94,-37.559204108944144
2.95,-38.532364187310215
2.96,-41.00134167022599
2.97,-37.9062775997192
2.98,-39.52747672333882
2.99,-42.668657847696984
3.0,-43.782281480619325
3.01,-43.26534833696711
3.02,-44.28839878591474
3.03,-43.7414066304196
3.04,-44.37569489396373
3.05,-47.141748857289365
3.06,-46.61517008284237
3.07,-45.54807663661845
3.08,-44.91873981483603
3.09,-46.67212694029891
3.1,-48.44056499594966
3.11,-49.885212717795596
3.12,-47.83196587985263
3.13,-47.96357278607907
3.14,-46.90376439129521
3.15,-47.3864379856296
3.16,-45.95931981491623
3.17,-43.342901438231145
3.18,-43.15030175918528
3.19,-43.700723232210535
3.2,-41.81136596657302
3.21,-39.88623702511363
3.22,-38.37705678666515
3.23,-37.053842065562876
3.24,-35.50174490930948
3.25,-34.02404678455595
3.26,-31.253149838312517
3.27,-30.431460400370135
3.28,-29.087492226598517
3.29,-28.596052933257226
3.3,-27.956944865392668
3.31,-27.638220531790004
3.32,-27.58092973651456
3.33,-26.38547499839489
3.34,-26.69501467327366
3.35,-26.672126940298906
3.36,-26.810366828625504
3.37,-25.684705739942334
3.38,-26.950842499164757
3.39,-26.637908026817122
3.4,-26.145548165851924
3.41,-26.36338753668197
3.42,-26.626531614400935
3.43,-27.536630021204505
3.44,-27.269350790044875
3.45,-27.599984712284076
3.46,-27.281601694245147
3.47,-27.97020576817924
3.48,-28.09047385386595
3.49,-28.151238195538383
3.5,-27.644609564544467
3.51,-27.492555097008147
3.52,-28.00344687127633
3.53,-29.504866147700135
3.54,-29.426046281619897
3.55,-30.892766481744005
3.56,-30.600469217534325
3.57,-31.690018075843895
3.58,-31.813078783236115
3.59,-33.55722993448413
3.6,-34.77497501942614
3.61,-36.08973631928884
3.62,-38.35509498068411
3.63,-41.459403317905384
3.64,-42.280987883563476
3.65,-45.10757093949286
3.66,-47.32461644608676
3.67,-46.33585696010591
3.68,-46.39100565100968
3.69,-42.704773864962235
3.7,-23.906072976973274
3.71,-19.51994886820514
3.72,-16.673323369836734
3.73,-13.944480826915246
3.74,-12.217933439658902
3.75,-12.276563417327216
3.76,-12.077324679572843
3.77,-12.685872277683083
3.78,-12.933759534953353
3.79,-11.881512790824868
3.8,-10.787504066796878
3.81,-8.365935702275161
3.82,-5.347570680810327
3.83,-3.647714680154789
3.84,-4.302742340506962
