seconds_elapsed,dBFS
0.0,-15.12924776184197
0.01,-15.371646142185769
0.02,-13.768078359099674
0.03,-14.52020500785077
0.04,-13.835602433831632
0.05,-16.943144490229937
0.06,-16.631854591187427
0.07,-16.78976770635097
0.08,-13.840818401343466
0.09,-15.460781087584506
0.1,-15.517551810192519
0.11,-15.363870750351472
0.12,-15.040438827935612
0.13,-16.494447821787016
0.14,-17.43994516947061
0.15,-16.689604329876417
0.16,-16.123599479677743
0.17,-15.246533805560105
0.18,-13.32183906596838
0.19,-16.455584716066976
0.2,-16.099881412485864
0.21,-18.478802519301272
0.22,-16.68598370054593
0.23,-17.03686453670395
0.24,-13.58504908361585
0.25,-15.50174490930948
0.26,-17.133512282307223
0.27,-15.71436679345365
0.28,-16.95060499284713
0.29,-14.824500601815977
0.3,-11.342695885407402
0.31,-15.550840231701581
0.32,-16.784274363928127
0.33,-14.437381351831242
0.34,-14.531496383686022
0.35,-18.350709275143792
0.36,-17.864718239868452
0.37,-17.806867191125004
0.38,-17.398588401076875
0.39,-16.33481171034262
0.4,-16.94687394053973
0.41,-15.222031984973977
0.42,-11.578723849616491
0.43,-15.93398400440105
0.44,-16.56377177432423
0.45,-16.80626860983448
0.46,-16.736810368015835
0.47,-15.50174490930948
0.48,-15.462353052051391
0.49,-16.667903157718214
0.5,-15.514388127900007
0.51,-16.3609242351846
0.52,-16.397614158470645
0.53,-16.778784493543284
0.54,-15.930664978897134
0.55,-13.665209477824094
0.56,-11.354444159928043
0.57,-15.387217838070352
0.58,-18.48993399543464
0.59,-17.330095055880907
0.6,-15.60500773074809
0.61,-14.566876838462955
0.62,-12.457090242616394
0.63,-15.68205918827526
0.64,-17.645691625516296
0.65,-18.784475950202257
0.66,-16.885541844892693
0.67,-16.326124951304685
0.68,-16.348728620410725
0.69,-15.506483959879747
0.7,-18.405690403389766
0.71,-14.682509585854602
0.72,-16.258664750431343
0.73,-15.504903989045363
0.74,-18.40789690400828
0.75,-17.52325418098962
0.76,-17.46564601109545
0.77,-16.64085271655246
0.78,-17.912528690048795
0.79,-17.08221189907356
0.8,-17.889629986308563
0.81,-15.598617522890933
0.82,-17.753491194608298
0.83,-16.179763946567263
0.84,-18.602040477302538
0.85,-16.142280645549086
0.86,-15.410627850367295
0.87,-17.605357726069006
0.88,-18.12565121315396
0.89,-17.563207745630866
0.9,-17.75553806386204
0.91,-17.067069790835887
0.92,-17.402518667948492
0.93,-16.439736154803736
0.94,-14.098971743863762
0.95,-10.28471219347078
0.96,-12.404969203616494
0.97,-13.803073410575157
0.98,-10.468538143917346
0.99,-10.456161301626404
1.0,-11.883594988998105
1.01,-12.766180903497936
1.02,-13.96033581696667
1.03,-16.024080478836474
1.04,-15.978915423730019
1.05,-13.726784496088465
1.06,-13.610416769982841
1.07,-14.56404109255528
1.08,-14.025379078390618
1.09,-15.421574152557145
1.1,-13.526983045051292
1.11,-12.946694592650017
1.12,-12.572418605654716
1.13,-11.300727911806735
1.14,-12.165072493762324
1.15,-10.490683609072669
1.16,-9.709965858457545
1.17,-9.31223868674269
1.18,-8.432863186890865
1.19,-8.693583762379923
1.2,-9.006371256390159
1.21,-10.91415916393727
1.22,-13.219234198305749
1.23,-13.95769130799874
1.24,-10.718031205112455
1.25,-12.53305735006074
1.26,-11.620039720214956
1.27,-11.115771293724448
1.28,-10.071671568639873
1.29,-12.399442773680065
1.3,-10.420015958913638
1.31,-10.02447011140977
1.32,-10.219131948248869
1.33,-11.356403751507267
1.34,-10.111486024951155
1.35,-10.420015958913638
1.36,-8.199476276757936
1.37,-10.248409288121998
1.38,-8.546276925183333
1.39,-12.912634539607794
1.4,-13.01877707802652
1.41,-12.185531426313386
1.42,-11.455942465330114
1.43,-11.44702623908465
1.44,-10.72258475155387
1.45,-11.919068941933126
1.46,-11.781120693800712
1.47,-10.58969713309694
1.48,-9.990911141283288
1.49,-7.391402769781957
1.5,-9.90840602834037
1.51,-11.77494881554146
1.52,-8.564021343281201
1.53,-9.975851802750316
1.54,-9.097308071977062
1.55,-7.834578570393642
1.56,-9.183100957669799
1.57,-11.211611277864792
1.58,-7.451827676926545
1.59,-9.04533493984284
1.6,-8.294696967732726
1.61,-7.908054812133546
1.62,-7.893572840454526
1.63,-7.591722423196963
1.64,-7.280375825971566
1.65,-8.800249467482098
1.66,-9.86538191092105
1.67,-10.627458021137743
1.68,-7.337562520551215
1.69,-9.905088904130467
1.7,-8.864736247126716
1.71,-8.223354557305594
1.72,-8.45949844067476
1.73,-7.058307968207239
1.74,-7.326464704342071
1.75,-7.099027828747437
1.76,-8.182460462755035
1.77,-10.270864618376663
1.78,-9.456701007423861
1.79,-8.997404404625389
1.8,-7.766902731898205
1.81,-8.64683311529966
1.82,-9.684870302645116
1.83,-8.264442096731758
1.84,-7.732615855304147
1.85,-8.158694186165066
1.86,-10.085204946994528
1.87,-9.386902954273584
1.88,-9.319211260523227
1.89,-10.55835464459757
1.9,-9.044583987554468
1.91,-9.880250769852562
1.92,-8.620333163463464
1.93,-11.46586012984455
1.94,-10.971152781851629
1.95,-11.16260076208754
1.96,-12.092243399340688
1.97,-14.589596196554167
1.98,-13.961658373442473
1.99,-13.32675537550281
2.0,-10.776497658179807
2.01,-8.932670100749961
2.02,-11.889844580085374
2.03,-11.077729451952969
2.04,-10.897412584897342
2.05,-13.836906132091197
2.06,-14.383063898158525
2.07,-14.430398563740665
2.08,-15.02248658667468
2.09,-13.998771951939073
2.1,-14.31943072243474
2.11,-15.384101264790393
2.12,-14.1596511855088
2.13,-16.35918095577322
2.14,-13.801774780141692
2.15,-15.395014167144243
2.16,-14.335985790288978
2.17,-17.69027631791053
2.18,-14.62378704787268
2.19,-15.533387529506975
2.2,-13.95769130799874
2.21,-16.193434442622404
2.22,-13.65626614726029
2.23,-14.668150366783275
2.24,-15.73543136217608
2.25,-16.169525175670792
2.26,-18.722474624089255
2.27,-16.76050994516941
2.28,-19.067902106066782
2.29,-17.573224918506863
2.3,-15.12924776184197
2.31,-14.128584289520905
