seconds_elapsed,dBFS
0.0,-28.62462496440958
0.01,-27.423743223954546
0.02,-28.18518075392605
0.03,-28.864000746924063
0.04,-26.82780254469385
0.05,-26.666414418134387
0.06,-28.475659547280667
0.07,-29.394717520377004
0.08,-29.102598125428653
0.09,-31.185630089687088
0.1,-32.19308109183699
0.11,-31.99045446525204
0.12,-31.558640858847422
0.13,-32.70416318128475
0.14,-33.09026628519248
0.15,-29.386902954273584
0.16,-31.185630089687088
0.17,-26.775600045831368
0.18,-31.669676404630902
0.19,-31.730844894315304
0.2,-26.006827078132492
0.21,-29.46536680887903
0.22,-31.17602711509029
0.23,-28.945281464271126
0.24,-29.489044850724543
0.25,-29.504866147700135
0.26,-27.184074891247466
0.27,-32.36745863500595
0.28,-28.923038456883774
0.29,-27.232701412303776
0.3,-27.29386990198818
0.31,-26.402077532225967
0.32,-28.886092890172698
0.33,-30.484477185344456
0.34,-28.440564995949657
0.35,-29.04233152015937
0.36,-30.300317149607984
0.37,-28.81998432010253
0.38,-28.64611583633331
0.39,-29.36350135151077
0.4,-30.618452432318502
0.41,-31.449006831873547
0.42,-30.591491553026483
0.43,-31.08057681786539
0.44,-29.632484820128152
0.45,-31.449006831873547
0.46,-28.849303806635746
0.47,-30.352537084279845
0.48,-31.659523405651292
0.49,-29.61642956668795
0.5,-27.890942346903813
0.51,-29.426046281619897
0.52,-28.50383764056803
0.53,-31.262838505951855
0.54,-32.88922242398285
0.55,-32.936109931297835
0.56,-32.107187787312995
0.57,-31.70020680386035
0.58,-31.57872384961649
0.59,-31.166434745658094
0.6,-33.054448132834864
0.61,-30.222571223541507
0.62,-31.927436851672873
0.63,-33.0783104820136
0.64,-33.99744373270901
0.65,-30.95803917481711
0.66,-32.36745863500595
0.67,-33.0069192063718
0.68,-29.77016614001377
0.69,-26.752499261900724
0.7,-28.461604706611944
0.71,-31.710407497502597
0.72,-30.12848385745615
0.73,-32.279832271272106
0.74,-31.4094805309534
0.75,-29.301403573965196
0.76,-30.754526593417395
0.77,-31.979919728195853
0.78,-33.32061042325637
0.79,-32.61309142021474
0.8,-30.035404753370504
0.81,-31.20486794835552
0.82,-29.27823088888781
0.83,-29.680829414161877
0.84,-30.035404753370504
0.85,-26.655000632473506
0.86,-31.321198566296097
0.87,-30.8003625290091
0.88,-27.561916471779696
0.89,-28.689257760976613
0.9,-30.986164044413698
0.91,-31.659523405651292
0.92,-30.609456170884485
0.93,-30.001803591010074
0.94,-30.672626555781086
0.95,-28.356912121706138
0.96,-29.811079497044656
0.97,-31.844118326588827
0.98,-30.317688934674713
0.99,-28.79805947134374
1.0,-32.45597802164835
1.01,-32.20387772422533
1.02,-31.17602711509029
1.03,-27.392644409357803
1.04,-29.97668774805081
1.05,-27.599984712284076
1.06,-31.11863115973439
1.07,-29.170901672464904
1.08,-30.370013729286732
1.09,-33.852565793132264
1.1,-34.14477924070991
1.11,-30.68168851762347
1.12,-33.01877707802652
1.13,-29.410367776211153
1.14,-29.528652259246115
1.15,-31.36032426145334
1.16,-31.340739383622335
1.17,-28.077028201586476
1.18,-29.347935236882176
1.19,-31.004964678676114
1.2,-31.690018075843895
1.21,-33.76161323811785
1.22,-30.930005079567504
1.23,-30.78199911912889
1.24,-32.085846524394825
1.25,-30.33509553296124
1.26,-30.88348172443225
1.27,-30.265677464064204
1.28,-34.951046378832544
1.29,-35.69335318586658
1.3,-32.279832271272106
1.31,-35.80710827756498
1.32,-36.08973631928884
1.33,-33.12623275330374
1.34,-29.745710310704958
1.35,-29.560468740381882
1.36,-28.653291292865354
1.37,-31.20486794835552
