seconds_elapsed,dBFS
0.0,-7.473734093678599
0.01,-5.038644377355023
0.02,-3.966125458736566
0.03,-3.7667263698949878
0.04,-3.7565079154587973
0.05,-3.6654830225858896
0.06,-3.708438428862036
0.07,-3.714127698969665
0.08,-3.7157538894051316
0.09,-3.690987505835683
0.1,-3.735291959531338
0.11,-3.6590176008307913
0.12,-3.7487499220826304
0.13,-3.701129124387445
0.14,-3.874131135109745
0.15,-3.7100635543895915
0.16,-3.7003173590001195
0.17,-3.7986854319313954
0.18,-3.783100942824576
0.19,-3.613492065635251
0.2,-3.669526356444429
0.21,-3.7810524322521073
0.22,-3.786789479777762
0.23,-3.811008758148091
0.24,-3.7695896926959516
0.25,-3.777775819910495
0.26,-3.8435440742247993
0.27,-3.7802331632797896
0.28,-3.7589592483926775
0.29,-3.7401833518262055
0.3,-3.9824613782859783
0.31,-3.773272495226454
0.32,-3.767135358224107
0.33,-4.03038944852511
0.34,-4.423643255605202
0.35,-4.218757306709657
0.36,-4.078583450233382
0.37,-3.9677995243942608
0.38,-3.9673809777304974
0.39,-3.882830903676186
0.4,-4.070532523827125
0.41,-4.2166034421319365
0.42,-4.250697107817131
0.43,-4.5861591951276575
0.44,-4.136003295566668
0.45,-4.702440324240844
0.46,-4.488729619886752
0.47,-4.673337269065419
0.48,-4.880066423159068
0.49,-5.094218300986134
0.5,-5.105662162507252
0.51,-4.794941710230155
0.52,-5.445260216564925
0.53,-5.269910734646314
0.54,-4.721592335612194
0.55,-4.975899443729879
0.56,-5.237392907950701
0.57,-5.774423562054544
0.58,-5.464135034208308
0.59,-5.130509041656767
0.6,-4.962747542565468
0.61,-5.781125438832703
0.62,-5.460655010839978
0.63,-5.2791544078027774
0.64,-5.415541130872153
0.65,-6.80978624043385
0.66,-7.327697095041935
0.67,-9.126822340922482
0.68,-8.131612116869722
0.69,-7.420005481816369
0.7,-8.950479705563922
0.71,-10.335095532961244
0.72,-10.493344863131602
0.73,-10.442919940804867
0.74,-9.912554215838892
0.75,-11.471816168686889
0.76,-11.691036410992266
0.77,-14.57255110921061
0.78,-16.501532560873176
0.79,-18.984964322096097
0.8,-16.889246638993672
0.81,-12.431545123292729
0.82,-12.827483794733661
0.83,-13.152703139774227
0.84,-7.940397156752576
0.85,-7.828701121446206
0.86,-6.434822051287262
0.87,-5.7775160934086225
0.88,-6.172481178557364
0.89,-7.179227178194012
0.9,-8.667660013492096
0.91,-8.29056509277743
0.92,-9.002633943119616
0.93,-12.618755515386477
0.94,-12.681305563782901
0.95,-10.341196092833405
0.96,-11.854489539329157
0.97,-11.055930601330132
0.98,-7.462461036109097
0.99,-6.253784951330359
1.0,-9.108647848562349
1.01,-10.875133920197138
1.02,-7.8476538244630305
1.03,-15.492274558048129
1.04,-16.483831536532133
1.05,-16.010673739322655
1.06,-11.16835237225559
1.07,-13.198615585838356
1.08,-16.262111532078983
1.09,-10.890908736118682
1.1,-17.269877308532873
1.11,-16.517494383995594
1.12,-12.36635783155247
1.13,-12.36415664308705
1.14,-14.296031591914595
1.15,-17.897949804605652
1.16,-26.956745244643756
1.17,-27.983486947583472
1.18,-27.741013324838228
1.19,-23.872889022043573
1.2,-16.71862382527857
1.21,-21.233461505385517
1.22,-18.68821972375101
1.23,-18.300432184551735
1.24,-17.177452871272077
1.25,-14.359492948447672
1.26,-13.563544649148351
1.27,-11.570685080289278
1.28,-11.045524371689325
1.29,-14.589596196554167
1.3,-15.206753371292933
1.31,-15.371646142185769
1.32,-15.910777415227578
1.33,-9.52706449036535
1.34,-11.687981763646535
1.35,-11.72982188157776
1.36,-15.889283816119574
1.37,-17.008642190944904
1.38,-21.29478113625597
1.39,-19.427637812188845
1.4,-17.183200675367164
1.41,-20.14648797753037
1.42,-17.084106520007687
1.43,-9.578017609611312
1.44,-10.001803591010072
1.45,-6.98691180236203
1.46,-4.805997736719648
1.47,-6.976844637516152
1.48,-10.930938093117796
1.49,-11.910709086005726
1.5,-15.04193652423005
1.51,-15.691738858264479
1.52,-9.854659098173757
1.53,-16.798931004635225
1.54,-16.939416640542643
1.55,-16.798931004635225
1.56,-15.222031984973977
1.57,-14.437381351831242
1.58,-15.27110493831941
1.59,-15.701429327441499
1.6,-14.731509259139566
1.61,-12.922017084012495
1.62,-15.440371396260685
1.63,-16.350469803064257
1.64,-18.032162261672976
1.65,-15.427835381617648
1.66,-14.728619260896947
1.67,-15.861256815651883
1.68,-12.056056574828013
1.69,-10.49423212904361
1.7,-12.536424191489834
1.71,-12.051809195947259
1.72,-14.763362865774063
1.73,-19.405331334886235
1.74,-15.77282504869508
1.75,-9.102598125428655
1.76,-11.13389970181257
1.77,-11.706325782372005
1.78,-11.023806095257378
1.79,-12.483826361111577
1.8,-10.963656867998646
1.81,-12.940812632895158
1.82,-17.38288509349918
1.83,-19.547582958330917
1.84,-15.766310223984583
1.85,-19.5249667133118
1.86,-20.42034072466638
1.87,-19.522457428406852
1.88,-23.968636678232123
1.89,-24.16763968596839
1.9,-27.917283199958682
1.91,-29.293672474533512
1.92,-28.343047969300407
1.93,-29.255119860694997
1.94,-29.97668774805081
1.95,-32.04332066398599
1.96,-31.588782784890164
1.97,-32.085846524394825
1.98,-30.986164044413698
1.99,-32.31258865065243
2.0,-34.10434833929267
2.01,-33.407037898909216
2.02,-31.37013328523785
2.03,-29.201432071694352
2.04,-23.749566226734146
2.05,-17.048179201314873
2.06,-17.108774273407743
2.07,-20.537984369185473
2.08,-16.764161780261276
2.09,-15.446646194899525
2.1,-18.46102177688308
2.11,-20.271388824093183
2.12,-19.2264870689341
2.13,-20.1303281781937
2.14,-17.53921356010161
2.15,-16.256941872385816
2.16,-9.219035766460818
2.17,-10.36738998975974
2.18,-7.334478371231425
2.19,-5.92989034461991
2.2,-10.161725612948791
2.21,-9.132130405819133
2.22,-5.63486561346672
2.23,-4.794941710230155
2.24,-8.71669222865549
2.25,-9.25435055112999
2.26,-6.219544626215075
2.27,-11.070141036366614
2.28,-11.96309068028057
2.29,-14.602401998979015
2.3,-13.475553697721669
2.31,-12.685872277683083
2.32,-17.551202367578547
2.33,-14.809904917591584
2.34,-15.707895651684362
2.35,-15.787501294886956
2.36,-15.751669709844574
2.37,-17.971090171179156
2.38,-14.31667460956438
2.39,-17.086001554298626
2.4,-15.193025559717746
2.41,-18.559269390975075
2.42,-13.847342768538283
2.43,-15.171714217983379
2.44,-14.809904917591584
2.45,-13.449329296750008
2.46,-12.922017084012495
2.47,-11.911753628083597
2.48,-12.511764274030588
2.49,-10.016908030473337
2.5,-7.389540643150734
2.51,-6.7127942416184405
2.52,-6.6801307883564
2.53,-8.305724919873477
2.54,-6.765774704673412
2.55,-8.934152840534727
2.56,-9.314562256145658
2.57,-8.993670946739382
2.58,-9.798785242142745
2.59,-9.055103232346486
2.6,-12.044381276923147
2.61,-8.512308925021767
2.62,-11.713470043096319
2.63,-11.322174563784412
2.64,-9.802881393898952
2.65,-9.51992311995963
2.66,-11.38290159932486
2.67,-12.677882103328123
2.68,-12.82052208746432
2.69,-14.463967261129074
2.7,-13.998771951939073
2.71,-10.838129328544564
2.72,-12.049686285112282
2.73,-17.122085984270818
2.74,-18.68821972375101
2.75,-18.692779245975434
2.76,-19.187775519003704
2.77,-17.870939481369746
2.78,-20.523895331809147
2.79,-20.225020328405456
2.8,-19.390492112077503
2.81,-21.0880368657812
2.82,-23.41722384762008
2.83,-21.736585245755577
2.84,-22.8250335406127
2.85,-24.253724529734725
2.86,-22.130638282258758
2.87,-19.839272052329797
2.88,-20.074004472294703
2.89,-18.766059002643857
2.9,-20.688750280062898
2.91,-16.474994533391126
2.92,-25.9382885948638
2.93,-18.114976651606366
2.94,-18.57725260575926
2.95,-14.84351173244528
2.96,-14.431794672340965
2.97,-19.59046387128297
2.98,-18.372659980882545
2.99,-19.01331100911462
3.0,-15.380985809363137
3.01,-13.94712131626164
3.02,-13.586315709886861
3.03,-10.192523638613809
3.04,-9.557281842662015
3.05,-11.44999729765238
3.06,-11.712449074580531
3.07,-15.120174756520406
3.08,-13.277717053924587
3.09,-11.315344883290274
3.1,-11.142500066313296
3.11,-12.991528135038061
3.12,-13.788799143372348
3.13,-11.402581883348857
3.14,-11.596838328836972
3.15,-11.802756869201367
3.16,-11.66662925861191
3.17,-11.097680642830403
3.18,-13.316925537545414
3.19,-16.116816277741382
3.2,-10.177110975511617
3.21,-13.232601782059096
3.22,-19.05838332194913
3.23,-13.989478679754647
3.24,-15.585851193731717
3.25,-14.943638370163395
3.26,-16.453822336099872
3.27,-15.693353185866572
3.28,-14.080179825711195
3.29,-14.934757091641085
3.3,-17.745308537726107
3.31,-11.964141541045032
3.32,-14.6480872569005
3.33,-12.59386107780901
3.34,-10.888122862473784
3.35,-12.21468779362074
3.36,-9.756299383643478
3.37,-11.4460361120231
3.38,-7.781824157808964
3.39,-6.8446904048966415
3.4,-8.146496804422368
3.41,-7.746185036594511
3.42,-6.746157302439478
3.43,-7.881741887926537
3.44,-8.839764113597658
3.45,-7.33077883700723
3.46,-8.564021343281201
3.47,-12.097577729569187
3.48,-10.465884478342023
3.49,-12.865873244228501
3.5,-11.454951321421003
3.51,-11.354444159928043
3.52,-9.00936226524825
3.53,-7.334478371231425
3.54,-9.766085383707532
3.55,-9.39159085020715
3.56,-10.332482318388639
3.57,-10.555673400668866
3.58,-12.463766560883654
3.59,-14.711299435341473
3.6,-14.573970256283133
3.61,-18.80755218491811
3.62,-18.697341162907016
3.63,-20.755000132551743
3.64,-21.979517117189943
3.65,-21.824437285274758
3.66,-20.389790801560256
3.67,-22.09008152543887
3.68,-22.325912020030025
3.69,-20.20328521631171
3.7,-24.266711160070336
3.71,-24.733926680137778
3.72,-27.40507057691072
3.73,-27.87780181544434
3.74,-27.392644409357803
3.75,-29.664684633234724
3.76,-28.17158780962128
3.77,-31.79244720669951
3.78,-30.939339728115655
3.79,-34.23985638622608
3.8,-32.26894087217977
3.81,-32.590471903165735
3.82,-33.519437751710385
3.83,-33.67160321358432
3.84,-34.39139835231285
3.85,-36.0391878373155
3.86,-33.55722993448413
3.87,-33.77454829581452
3.88,-33.01877707802652
3.89,-34.06410476318697
3.9,-35.581068653661504
3.91,-33.64605646093865
3.92,-32.389504052013066
3.93,-29.31688644729489
3.94,-23.55183011837247
