seconds_elapsed,dBFS
0.0,-19.849686789354628
0.01,-21.478237925151138
0.02,-23.806899039766204
0.03,-22.03294836380733
0.04,-24.835086940592515
0.05,-24.099380869940852
0.06,-22.817697484739053
0.07,-21.876920161797734
0.08,-19.01331100911462
0.09,-16.338288847954335
0.1,-18.51670788656903
0.11,-20.70598419372875
0.12,-19.8288697880469
0.13,-23.761820011467748
0.14,-20.411998265592473
0.15,-21.221249356255253
0.16,-7.701036626138328
0.17,-7.38581758709799
0.18,-8.573262786661873
0.19,-8.975772653180819
0.2,-9.305271705687142
0.21,-9.899286983263329
0.22,-13.65882044506963
0.23,-16.35395321583926
0.24,-17.432052493200075
0.25,-18.59978410902434
0.26,-18.43884691255905
0.27,-15.619402910682812
0.28,-16.23801273442975
0.29,-15.698197969651975
0.3,-15.01203155532614
0.31,-12.473790670060929
0.32,-10.809558813232979
0.33,-11.563657254966104
0.34,-11.114818214265759
0.35,-12.746609005251006
0.36,-13.692094853022127
0.37,-19.722958743434745
0.38,-27.87780181544434
0.39,-28.75437510614651
0.4,-28.66047268197892
0.41,-34.226210052487346
0.42,-37.18703465893772
0.43,-28.287811601032043
0.44,-12.18014282285371
0.45,-12.374066387046245
0.46,-12.044381276923147
0.47,-9.554892436483618
0.48,-11.64229049764133
0.49,-12.302748759519826
0.5,-14.301531601367367
0.51,-14.547046031588412
0.52,-15.937304298645635
0.53,-15.617802267604832
0.54,-14.155592674584685
0.55,-15.968910558383415
0.56,-16.352211334827096
0.57,-18.3529018511085
0.58,-21.13926342323022
0.59,-22.766517852265235
0.6,-34.98074175694637
0.61,-34.717068874037864
0.62,-40.20599913279624
0.63,-43.15030175918528
0.64,-43.15030175918528
0.65,-40.59457016956276
0.66,-39.25563437695049
0.67,-35.629012968426615
0.68,-12.827483794733661
0.69,-10.72076304650565
0.7,-11.093876881158902
0.71,-9.400191902898875
0.72,-8.4911461849871
0.73,-9.12833859991875
0.74,-9.512787616227351
0.75,-9.305271705687142
0.76,-10.077589827248794
0.77,-11.27156755662707
0.78,-12.375168167936677
0.79,-11.383884555206409
0.8,-10.514664300232264
0.81,-12.28201219088151
0.82,-18.136338909393615
0.83,-21.1786415430891
0.84,-27.57458735606622
0.85,-28.689257760976613
0.86,-35.01053900619659
0.87,-35.66112350273499
0.88,-38.5100066726802
0.89,-40.79557493270576
0.9,-43.989591790056004
0.91,-18.114976651606366
0.92,-9.835720335238488
0.93,-9.945811228376154
0.94,-11.997836390963947
0.95,-14.683946814225228
0.96,-19.65136431104641
0.97,-23.429017318051134
0.98,-25.433360377318458
0.99,-26.38547499839489
1.0,-27.657401745999618
1.01,-27.19013833975762
1.02,-24.040091290666076
1.03,-16.68598370054593
1.04,-12.343273127411898
1.05,-11.92639042198207
1.06,-17.177452871272077
1.07,-27.825437589700854
1.08,-34.226210052487346
1.09,-38.224477637504954
1.1,-45.85466927624269
1.11,-51.82341297795672
1.12,-53.40703789890922
1.13,-52.69272685357852
1.14,-50.754526593417395
1.15,-53.918119988356985
1.16,-48.301587796843094
1.17,-25.14104261728418
1.18,-17.068961111396014
1.19,-15.803837371995135
1.2,-21.465676983499954
1.21,-26.717962875890603
1.22,-33.34521635936638
1.23,-41.61762061851039
1.24,-42.31552426957359
1.25,-41.12114894400974
1.26,-27.448702694112455
1.27,-22.25345730698741
1.28,-21.09404786231042
1.29,-19.996819714504753
1.3,-20.35106384092995
1.31,-18.959060877109906
1.32,-18.980248855292952
1.33,-18.84460215690592
1.34,-17.708581676926155
1.35,-18.474353920157643
1.36,-16.684173951682613
1.37,-15.651477871940225
1.38,-13.459310210962954
1.39,-14.3733504651682
1.4,-14.423421384766357
1.41,-14.949564271561982
1.42,-16.413385978953126
1.43,-17.767829419174564
1.44,-17.66998217401002
1.45,-20.039319565109217
1.46,-19.946619756331295
1.47,-18.819113333487806
1.48,-19.06076204019981
1.49,-18.84460215690592
1.5,-18.276489108115463
1.51,-10.568192959609021
1.52,-9.78160246771999
1.53,-10.7829163681543
1.54,-15.180841248215195
1.55,-17.873014219141005
1.56,-22.11371661386743
1.57,-22.0195597066083
1.58,-24.575379312095755
1.59,-20.57189159365549
1.6,-22.9246815509915
1.61,-23.18083215841473
1.62,-23.806899039766204
1.63,-23.41722384762008
1.64,-21.64961288170624
1.65,-19.45497931023214
1.66,-23.591820472798
1.67,-24.3625444150883
1.68,-22.839724266546977
1.69,-18.46102177688308
1.7,-13.090266285192483
1.71,-9.604407572190116
1.72,-10.598672942140048
1.73,-14.571132193968042
1.74,-15.294203674487342
1.75,-16.59774647602976
1.76,-17.93757813679176
1.77,-18.185672407041945
1.78,-19.08935758746965
1.79,-15.927347221164638
1.8,-19.187775519003704
1.81,-21.478237925151138
1.82,-16.976767330813757
1.83,-14.227573721481132
1.84,-11.242504771410651
1.85,-12.75696510460892
1.86,-13.07233874603546
1.87,-15.454496073100392
1.88,-18.104315192506583
1.89,-23.03675910135147
1.9,-33.984172699358695
1.91,-34.60240199897902
1.92,-31.639252942220246
1.93,-36.05600466665013
1.94,-33.80047634383789
1.95,-36.9973788788353
1.96,-32.85422214974098
1.97,-33.235034463670864
1.98,-29.69700425987533
1.99,-28.900852264391965
2.0,-30.396294807243358
2.01,-27.3184584241074
2.02,-28.732615037217386
2.03,-31.79244720669951
2.04,-33.58251638505932
2.05,-26.956745244643756
2.06,-31.478770046506295
2.07,-29.386902954273584
2.08,-30.95803917481711
2.09,-27.442456099353425
2.1,-24.31449561968162
2.11,-22.65425338396775
2.12,-20.801386836327133
2.13,-20.515452865920384
2.14,-19.034631899880804
2.15,-17.41825754362621
2.16,-18.756865151943643
2.17,-13.52824123142824
2.18,-13.42069788971787
2.19,-13.679281914221209
2.2,-11.088174360128118
2.21,-10.012709717453294
2.22,-9.948310645103792
2.23,-8.64683311529966
2.24,-11.03701944724953
2.25,-16.41864962297123
2.26,-10.454394620111504
2.27,-8.745664535831283
2.28,-8.551241709335692
2.29,-9.188443537467117
2.3,-10.422655645801623
2.31,-11.5726940752417
2.32,-11.994671940274484
2.33,-11.90340080653539
2.34,-11.54160675015823
2.35,-16.312244181849444
2.36,-21.66565331034259
2.37,-24.74765208142111
2.38,-29.489044850724543
2.39,-28.336124182853215
2.4,-32.7270811091929
2.41,-29.648569805536145
2.42,-31.05214507516951
2.43,-29.2167376080566
2.44,-27.202277949893123
2.45,-27.238798913177604
2.46,-21.218198999897982
2.47,-15.625808434305021
2.48,-12.169375634617275
2.49,-12.753511699366396
2.5,-12.320249613470807
2.51,-14.329084010316729
2.52,-13.755152925705445
2.53,-15.930664978897134
2.54,-19.79514820909414
2.55,-22.53631931215857
2.56,-24.99849199481288
2.57,-28.42656678238313
2.58,-33.054448132834864
2.59,-29.57642079195113
2.6,-30.4933448631316
2.61,-30.727140686427823
2.62,-31.56867654989807
2.63,-30.92068045211473
2.64,-24.881461261312868
2.65,-16.941280365394352
2.66,-12.374066387046245
2.67,-11.386834090456237
2.68,-12.465993141167075
2.69,-12.1061194779041
2.7,-13.069951200765324
2.71,-10.618452432318506
2.72,-10.971152781851629
2.73,-11.181787625727914
2.74,-12.557777880594177
2.75,-12.28092216268932
2.76,-19.575305246775756
2.77,-23.918549717885277
2.78,-23.03675910135147
2.79,-22.37106971634388
2.8,-22.222589354759744
2.81,-19.618323579092042
2.82,-17.619453295979724
2.83,-13.05683141989552
2.84,-10.24495976876051
2.85,-10.346428556629029
2.86,-10.229453862283616
2.87,-12.1296526908266
2.88,-12.074131142075723
2.89,-12.40165292372712
2.9,-12.05287084596851
2.91,-12.5758007419703
2.92,-13.244772009128019
2.93,-12.19847773049339
2.94,-11.381918754668867
2.95,-13.920752475007856
2.96,-12.930235132536133
2.97,-11.438119156125271
2.98,-11.320222678464273
2.99,-10.698023911998945
3.0,-11.102437688591493
3.01,-10.486249996788121
3.02,-9.560468740381886
3.03,-9.275145863233618
3.04,-9.468520154217012
3.05,-9.386121884209835
3.06,-9.695385419196331
3.07,-9.880250769852562
3.08,-12.738562789170228
3.09,-15.960581964746858
3.1,-16.61388625702188
3.11,-20.24953751788173
3.12,-18.593018518934336
3.13,-18.16848113049864
3.14,-11.361304665499539
3.15,-9.126064310670394
3.16,-8.081731812691746
3.17,-8.656881245236388
3.18,-8.859589053116498
3.19,-9.198374198176392
3.2,-9.088246897925993
3.21,-7.8123957109171736
3.22,-9.982541618918555
3.23,-9.305271705687142
3.24,-8.697911919418937
3.25,-9.975851802750316
3.26,-9.455126335621495
3.27,-10.682595234012211
3.28,-11.61600024118014
3.29,-13.38473142160661
3.3,-26.156311351415127
3.31,-29.17852421761235
3.32,-28.294696967732726
3.33,-30.484477185344456
3.34,-35.01053900619659
3.35,-36.191724453515974
3.36,-21.058044123141073
3.37,-9.372854428119552
3.38,-7.90278584646511
3.39,-7.099628076813608
3.4,-6.78312104841903
3.41,-7.905419929772051
3.42,-10.516443284291338
3.43,-10.557460804654609
3.44,-8.46230690877394
3.45,-10.666288803118968
3.46,-17.35547243437694
3.47,-13.679281914221209
3.48,-14.399740811386758
3.49,-25.174643779644615
3.5,-30.466768943455364
3.51,-34.70265245639133
3.52,-36.48736885673499
3.53,-39.80810255845745
3.54,-39.91243882367998
3.55,-40.01804364598864
3.56,-27.214434550391246
3.57,-14.192187722900902
3.58,-8.6993551178335
3.59,-8.17838162274673
3.6,-7.954957475008058
3.61,-8.083076169549107
3.62,-9.320761481772756
3.63,-10.38752560948885
3.64,-9.418203491346139
3.65,-8.718861802699006
3.66,-8.31262450688975
3.67,-10.288177539472487
3.68,-10.902991191150802
3.69,-14.156945300864464
3.7,-18.21799804776913
3.71,-18.302612104161135
3.72,-20.25772531704709
3.73,-24.87216656846438
3.74,-28.96014184366674
