seconds_elapsed,dBFS
0.0,-18.278663026194153
0.01,-20.26592084176714
0.02,-19.49240241697276
0.03,-20.4817648225089
0.04,-16.889246638993672
0.05,-17.63559057816548
0.06,-16.753210877817136
0.07,-16.416894720522983
0.08,-16.709544813645987
0.09,-14.715626155051398
0.1,-13.620584625563705
0.11,-13.52824123142824
0.12,-16.61388625702188
0.13,-13.911542260183436
0.14,-16.98425678127827
0.15,-15.314272387813135
0.16,-14.415056161354386
0.17,-17.14113817361188
0.18,-14.94660081549841
0.19,-13.980195340071583
0.2,-16.902225876645513
0.21,-16.142280645549086
0.22,-15.677223395459583
0.23,-16.39411319524789
0.24,-17.061398298869406
0.25,-15.674001028649089
0.26,-14.766264449110905
0.27,-20.271388824093183
0.28,-17.084106520007687
0.29,-16.193434442622404
0.3,-19.78479862236107
0.31,-18.75916270244985
0.32,-19.289763653230835
0.33,-19.086971026213234
0.34,-18.100054270351933
0.35,-18.956709844577468
0.36,-18.521178236455697
0.37,-18.15775383552259
0.38,-18.701905477062525
0.39,-15.909122171842277
0.4,-19.447513998523714
0.41,-21.720413411558603
0.42,-17.154499615092192
0.43,-18.92152050689344
0.44,-19.037004121563733
0.45,-18.966117795281214
0.46,-18.089411100734413
0.47,-21.055050537160014
0.48,-21.0400980637858
0.49,-22.906141758172318
0.5,-21.713953099146195
0.51,-15.711130619929602
0.52,-15.476513549118113
0.53,-17.60938269816979
0.54,-14.424816372264427
0.55,-14.200340936551559
0.56,-16.126993068171025
0.57,-15.3592088540209
0.58,-16.603123071458675
0.59,-17.53322535604639
0.6,-17.461687082294894
0.61,-17.01052083043272
0.62,-17.81304711997913
0.63,-16.015698841943617
0.64,-15.748419610783987
0.65,-17.493409152297215
0.66,-17.75553806386204
0.67,-18.26779887263511
0.68,-17.72080671713998
0.69,-18.483253398024374
0.7,-19.96772122954126
0.71,-19.410283381564305
0.72,-18.706472190962707
0.73,-19.182948683848615
0.74,-19.23376473139427
0.75,-19.592992882696404
0.76,-17.040634454140765
0.77,-16.59774647602976
0.78,-19.638641458855005
0.79,-18.259117323048738
0.8,-19.87577839695289
0.81,-19.12044270400456
0.82,-20.6286994458431
0.83,-19.59046387128297
0.84,-18.283012495307606
0.85,-19.14202852396196
0.86,-19.146832666583368
0.87,-18.570504536297953
0.88,-22.150987896341654
0.89,-21.42810278083283
0.9,-21.89009058075491
0.91,-22.693923283116355
0.92,-22.14419939295737
0.93,-23.331224237765596
0.94,-22.554085507017085
0.95,-23.623945852509742
0.96,-22.741040680231603
0.97,-24.232123201421267
0.98,-15.834960819369002
0.99,-15.377871470986975
1.0,-17.332044531736486
1.01,-18.328813902727486
1.02,-14.289161473990928
1.03,-16.736810368015835
1.04,-14.817199693898468
1.05,-16.904081637711876
1.06,-18.891137974826513
1.07,-19.740949940122007
1.08,-18.006838950330476
1.09,-19.67686606053991
1.1,-17.473569286115172
1.11,-19.76155704264212
1.12,-17.150679962595255
1.13,-18.724763094564373
1.14,-18.563761705343673
1.15,-19.72039161185464
1.16,-18.872493718377775
1.17,-19.633557531499996
1.18,-20.625850211886743
1.19,-21.662442853962276
1.2,-21.95292424639674
1.21,-19.88362118722665
1.22,-19.91243882367998
1.23,-20.60024907766833
1.24,-20.211429510990037
1.25,-18.392463157729892
1.26,-16.633653470688124
1.27,-20.162677897666086
1.28,-21.30093697608703
1.29,-19.625937215493106
1.3,-21.70427163096415
1.31,-24.16763968596839
1.32,-21.57938479900446
1.33,-21.788538385396837
1.34,-20.775263840281465
1.35,-22.88394611669557
1.36,-22.37106971634388
1.37,-21.982846957996706
1.38,-20.428691204051482
1.39,-18.16204316382609
1.4,-18.237451336165023
1.41,-18.645023219821905
1.42,-16.203701452846275
1.43,-16.270734474947478
1.44,-16.33481171034262
1.45,-15.214389318719286
1.46,-15.275719773974624
1.47,-14.865499482702074
1.48,-14.871372295392382
1.49,-14.445768114283341
1.5,-17.749398902594756
1.51,-14.86696731365412
1.52,-15.215917314085715
1.53,-17.08789700212678
1.54,-15.766310223984583
1.55,-16.804433627333076
1.56,-19.527476723338822
1.57,-18.62916271522803
1.58,-19.125234919098844
1.59,-17.587268397132902
1.6,-20.79557493270576
1.61,-20.877297615490562
1.62,-21.936344952113046
1.63,-19.412760464038833
1.64,-20.392563631476243
1.65,-20.40088743627049
1.66,-19.091744804645064
1.67,-18.000519641475478
1.68,-19.115653131433206
1.69,-19.067902106066782
1.7,-16.76781515135113
1.71,-16.44149567869065
1.72,-16.05937194315598
1.73,-16.007325285295813
1.74,-15.833319959887769
1.75,-14.804073504389628
1.76,-14.92736295682998
1.77,-15.50174490930948
1.78,-15.73380919583687
1.79,-15.31736400188317
1.8,-15.083977213021102
1.81,-16.55663610775896
1.82,-18.265627671614414
1.83,-17.93548792149156
1.84,-16.503304648941764
1.85,-15.905812631075218
1.86,-15.690124830639643
1.87,-17.298962801627017
1.88,-17.326197416309977
1.89,-15.183885724109686
1.9,-17.213920034135754
1.91,-17.11828055611003
1.92,-15.197599086618359
1.93,-15.043434478814785
1.94,-14.045388047474122
1.95,-16.560203208276473
1.96,-15.907467243831546
1.97,-16.705915864506895
1.98,-15.872786394943425
1.99,-16.795264525206335
2.0,-15.38565941164865
2.01,-16.48560001656228
2.02,-18.350709275143792
2.03,-17.573224918506863
2.04,-18.975535947072025
2.05,-21.7755209387669
2.06,-19.42267586424581
2.07,-18.947312072886476
2.08,-19.537524023057244
2.09,-22.416463413750172
2.1,-22.026251455504827
2.11,-22.458576900555713
2.12,-23.09334490172876
2.13,-22.188419799922055
2.14,-21.350341387350756
2.15,-21.640002823962433
2.16,-19.867942681817908
2.17,-19.707567322446792
2.18,-17.31256943470305
2.19,-16.118511581667534
2.2,-18.29825281190498
2.21,-17.133512282307223
2.22,-16.67151625662142
2.23,-16.448537340720474
2.24,-19.137227037030367
2.25,-18.28736414351389
2.26,-19.248338375145558
2.27,-17.95222374485429
2.28,-19.19985435510137
2.29,-20.241357429719706
2.3,-17.745308537726107
2.31,-17.443894198698924
2.32,-18.94496421785446
2.33,-18.731632125873784
2.34,-16.782444021567954
2.35,-15.712748555975644
2.36,-16.909651301024276
2.37,-16.181471582400555
2.38,-15.597020705230758
2.39,-13.505621714379238
2.4,-12.49052326941408
2.41,-14.475185718791996
2.42,-16.262111532078983
2.43,-16.756859644784495
2.44,-15.871138374895208
2.45,-16.689604329876417
2.46,-17.32424925220221
2.47,-15.745170727395424
2.48,-19.76155704264212
2.49,-20.14648797753037
2.5,-19.580355182754086
2.51,-21.052057982560882
2.52,-20.886099395981695
2.53,-19.844477859880335
2.54,-21.396914633722407
2.55,-22.4761846293466
2.56,-21.519186891400683
2.57,-18.814487027312893
2.58,-20.617308113537497
2.59,-21.267133718839727
2.6,-20.625850211886743
2.61,-21.415614080423868
2.62,-19.72039161185464
2.63,-18.536842604340627
2.64,-19.365816272646008
2.65,-16.894806794718416
2.66,-19.774461352901646
2.67,-18.660912738813796
2.68,-18.891137974826513
2.69,-18.590764492805675
2.7,-17.680123318930917
2.71,-20.07935292667433
2.72,-20.214145973760598
2.73,-22.10357941415067
2.74,-20.47336318751104
2.75,-19.79514820909414
2.76,-22.134026575509473
2.77,-21.557158054115128
2.78,-20.54644877424519
2.79,-21.03711065545435
2.8,-21.936344952113046
2.81,-20.111512999099972
2.82,-18.036390000689543
2.83,-16.09480738470761
2.84,-16.594163927149083
2.85,-13.899714887640675
2.86,-16.86149912427277
2.87,-15.188454439725534
2.88,-17.380924174732968
2.89,-18.860861348033243
2.9,-16.956204578066142
2.91,-18.959060877109906
2.92,-20.597409159500785
2.93,-15.848098866325454
2.94,-19.949254638692793
2.95,-19.146832666583368
2.96,-18.568256344325246
2.97,-18.049085578547405
2.98,-18.10857820591145
2.99,-17.091689139116973
3.0,-16.506849910067746
3.01,-17.443894198698924
3.02,-18.49884945902269
3.03,-18.061799739838868
3.04,-17.129701845905657
3.05,-18.087284030896903
3.06,-17.90419490227773
3.07,-17.527241277519607
3.08,-18.717899491174382
3.09,-16.77695530755399
3.1,-19.577829847763756
3.11,-20.334519284236265
3.12,-19.275120396649864
3.13,-19.810695748397016
3.14,-17.821293870789056
3.15,-17.3868082596174
3.16,-14.40113200056857
3.17,-16.06105607106006
3.18,-16.5192697319094
3.19,-16.371391265539113
3.2,-16.381870924527714
3.21,-15.88103118876425
3.22,-15.371646142185769
3.23,-15.825120308907765
3.24,-17.345703127714337
3.25,-17.571220559518373
3.26,-19.656458674616534
3.27,-15.28957901044798
3.28,-12.453754006878022
3.29,-16.948739266357716
3.3,-13.031839461514899
3.31,-15.64665907035307
3.32,-13.839514115788337
3.33,-13.725497220852604
3.34,-16.621069130813947
3.35,-15.460781087584506
3.36,-16.524597953917645
3.37,-18.615591009907384
3.38,-20.106144711142896
3.39,-17.293137906155742
3.4,-18.690499185681972
3.41,-20.411998265592473
3.42,-18.50331062483112
3.43,-22.336312208426516
3.44,-21.566676838232787
3.45,-23.28467179240752
3.46,-20.792670438567995
3.47,-21.157415759279104
3.48,-21.89009058075491
3.49,-21.9065817374803
3.5,-19.862722796061007
3.51,-21.424978921911165
3.52,-21.512874471327752
3.53,-20.65152702701928
3.54,-20.43704971918382
3.55,-18.344134866121905
3.56,-17.449821110998545
3.57,-19.445026986441423
3.58,-18.416728515992396
3.59,-18.80755218491811
3.6,-21.89009058075491
3.61,-20.891972208672005
3.62,-20.29603743175612
3.63,-19.699881827500832
3.64,-21.739823228882752
3.65,-19.405331334886235
3.66,-18.624636456846257
3.67,-19.802918500029577
3.68,-20.611618044786304
3.69,-22.625515923053683
3.7,-22.36410707898663
3.71,-23.440826823117206
3.72,-23.993788885879663
3.73,-22.976804491345764
3.74,-19.818479966666843
3.75,-18.08090594496249
3.76,-17.485467766932075
3.77,-15.64505339706297
3.78,-14.282296785703426
3.79,-13.181672226009397
3.8,-15.624206610485256
3.81,-14.789512076606977
3.82,-16.39586350047055
3.83,-12.197398134489507
3.84,-16.0914263454909
3.85,-15.754921025487276
3.86,-14.359492948447672
3.87,-15.199124130891974
3.88,-13.198615585838356
3.89,-17.78013819256846
3.9,-17.380924174732968
3.91,-18.166334611363023
3.92,-16.483831536532133
3.93,-18.96141254617478
3.94,-19.417716749273495
3.95,-18.670005531728002
3.96,-20.16537915398954
3.97,-19.214371165675026
3.98,-18.224477637504958
3.99,-16.85780614392884
4.0,-17.190870335590056
4.01,-15.108092139878144
4.02,-17.371126215839453
4.03,-18.935579138996424
4.04,-15.987261623697716
4.05,-14.789512076606977
4.06,-18.534603107193227
4.07,-19.12044270400456
4.08,-17.525247500479278
4.09,-17.88755127632184
4.1,-14.922929495412722
4.11,-17.837810899085618
4.12,-17.091689139116973
4.13,-19.336297502899324
4.14,-18.055440332864322
4.15,-18.51670788656903
4.16,-18.563761705343673
4.17,-16.973025025870875
4.18,-17.902112704104493
4.19,-18.802932030746376
4.2,-16.631854591187427
4.21,-15.465497834720814
4.22,-16.350469803064257
4.23,-15.649871307681863
4.24,-15.985591741997279
4.25,-13.840818401343466
4.26,-13.637132819225233
4.27,-15.606606017556917
4.28,-17.183200675367164
4.29,-14.980741756946367
4.3,-13.074726947765674
4.31,-12.967902689660324
4.32,-15.348340816591486
4.33,-15.255739836774914
4.34,-18.300432184551735
4.35,-16.720440766951977
4.36,-15.365425271991066
4.37,-15.983922181273623
4.38,-17.196627028369914
4.39,-17.027446895492865
4.4,-17.080317691315955
4.41,-17.016159188071846
4.42,-17.412352122681632
4.43,-15.77608429437612
4.44,-18.683662593720946
4.45,-17.053842065562876
4.46,-17.43402499000384
4.47,-16.80076482489709
4.48,-17.07463754530117
4.49,-17.96479680804568
4.5,-19.580355182754086
4.51,-17.792464433480134
4.52,-18.3968700018823
4.53,-17.1812843180206
4.54,-17.763730367829936
4.55,-18.36606894252045
4.56,-19.326480164032134
4.57,-19.962441053306886
4.58,-20.018043645988634
4.59,-20.40366381143815
4.6,-20.11957165714339
4.61,-21.942972872799448
4.62,-20.877297615490562
4.63,-21.694600941928712
4.64,-23.40544636834028
4.65,-21.82116761098881
4.66,-22.226013715000455
4.67,-20.642959652031013
4.68,-15.566736813075133
4.69,-16.78976770635097
4.7,-18.63595652835348
4.71,-17.040634454140765
4.72,-16.490907618095022
4.73,-19.24347777645237
4.74,-16.33481171034262
4.75,-18.606554973058046
4.76,-20.57189159365549
4.77,-18.06816380628897
4.78,-17.782191351693513
4.79,-17.686213694058136
4.8,-21.199919323621792
4.81,-17.27181331425538
4.82,-17.359383235720838
4.83,-21.209054353005158
4.84,-20.222300463145075
4.85,-20.662963354725502
4.86,-21.566676838232787
4.87,-21.528664131444103
4.88,-19.839272052329797
4.89,-18.724763094564373
4.9,-19.11325933518323
4.91,-22.661452629832084
4.92,-21.582564696399693
4.93,-22.683086239117838
4.94,-20.515452865920384
4.95,-18.94261699729212
4.96,-18.593018518934336
4.97,-21.33487230109276
4.98,-21.30709718176231
4.99,-21.691379770136532
5.0,-22.205487774834573
5.01,-20.43983767929059
5.02,-20.569060930557907
5.03,-22.26721168775242
5.04,-21.12416540163272
5.05,-23.636023568900335
5.06,-20.535164732855545
5.07,-20.6286994458431
5.08,-20.24953751788173
5.09,-20.540804921130395
5.1,-19.64372836362006
5.11,-24.21057546117652
5.12,-23.515995546920678
5.13,-20.552096296965647
5.14,-16.390613642566358
5.15,-18.16848113049864
5.16,-18.278663026194153
5.17,-17.304791605987177
5.18,-16.455584716066976
5.19,-15.490697169568705
5.2,-17.298962801627017
5.21,-18.416728515992396
5.22,-17.71265477882404
5.23,-17.784244996256348
5.24,-16.38536695582388
5.25,-16.503304648941764
5.26,-18.69962302017432
5.27,-20.35106384092995
5.28,-20.326258808446703
5.29,-19.9756475172135
5.3,-20.789766915345883
5.31,-21.10909357824653
5.32,-20.157277903934144
5.33,-20.850945663121077
5.34,-22.277541785665438
5.35,-21.437481104189207
5.36,-20.041982723075215
5.37,-21.218198999897982
5.38,-20.804294247111788
5.39,-19.951890320593783
5.4,-18.18352163579459
5.41,-20.21686328635528
5.42,-18.492162003562306
5.43,-19.618323579092042
5.44,-17.52325418098962
5.45,-18.196434259041983
5.46,-18.16848113049864
5.47,-18.11711051468996
5.48,-16.682364579811043
5.49,-19.0180444640754
5.5,-17.71265477882404
5.51,-17.027446895492865
5.52,-18.45658227275471
5.53,-18.465463551277022
5.54,-20.082028389390096
5.55,-19.380613362490525
5.56,-21.199919323621792
5.57,-19.50240920337688
5.58,-16.667903157718214
5.59,-17.739176599851902
5.6,-16.646256069534218
5.61,-16.48560001656228
5.62,-14.349805824450435
5.63,-16.54594358736303
5.64,-14.084203244128568
5.65,-15.10960154810821
5.66,-14.812822092980237
5.67,-14.958460711026717
5.68,-13.918119988356983
5.69,-14.850834799768922
5.7,-13.315697589619703
5.71,-13.868253737742652
5.72,-14.293282892639105
5.73,-14.834732193653926
5.74,-15.725702905338956
5.75,-15.100549030730114
5.76,-12.933759534953353
5.77,-12.997444550795777
5.78,-14.431794672340965
5.79,-13.786206340476062
5.8,-14.275437518476494
5.81,-14.918498295773347
5.82,-14.712741435782748
5.83,-13.948441862009233
5.84,-12.853057899402389
5.85,-13.41324432263743
5.86,-12.819362345205027
5.87,-13.377308641233434
5.88,-12.414925647009758
5.89,-11.836865838845174
