seconds_elapsed,dBFS
0.0,-14.858164046375489
0.01,-18.127787700592616
0.02,-19.613251526604525
0.03,-18.916839348257867
0.04,-14.592440299277046
0.05,-12.517362656201882
0.06,-16.787936206156925
0.07,-17.741220098188123
0.08,-17.879241407581752
0.09,-17.529235512320717
0.1,-17.326197416309977
0.11,-18.06604193266462
0.12,-17.60938269816979
0.13,-17.706545842008115
0.14,-17.694340842850426
0.15,-18.179221690341397
0.16,-18.34194450180868
0.17,-19.072665412815205
0.18,-18.631426729221836
0.19,-18.534603107193227
0.2,-18.46324238015174
0.21,-18.775262595174446
0.22,-19.437570219947048
0.23,-18.849244535230255
0.24,-19.37567819779067
0.25,-18.79369908845997
0.26,-18.153466624360494
0.27,-18.14918152825086
0.28,-17.85021931496456
0.29,-18.100054270351933
0.3,-17.53322535604639
0.31,-18.063920577265613
0.32,-17.573224918506863
0.33,-18.736214499832908
0.34,-18.660912738813796
0.35,-18.304792571007795
0.36,-18.123515251102603
0.37,-18.70418853388683
0.38,-19.68453120853382
0.39,-20.20057214752874
0.4,-20.208713897512215
0.41,-21.046075964667367
0.42,-19.383081996765508
0.43,-18.239615504517584
0.44,-17.398588401076875
0.45,-16.771470059731612
0.46,-17.36721012486326
0.47,-15.839885258490643
0.48,-14.94660081549841
0.49,-18.697341162907016
0.5,-19.13962744871846
0.51,-18.928546978603084
0.52,-19.108473720936512
0.53,-18.559269390975075
0.54,-18.842281897873004
0.55,-18.572753310326842
0.56,-19.373211666569198
0.57,-18.856212758338092
0.58,-20.154579165482083
0.59,-20.998367559723363
0.6,-17.110674697797354
0.61,-13.839514115788337
0.62,-14.694014077123311
0.63,-15.667559879197023
0.64,-17.281499820933494
0.65,-20.00477261263832
0.66,-20.73478358893917
0.67,-18.379256024463476
0.68,-20.775263840281465
0.69,-20.927292716731948
0.7,-21.437481104189207
0.71,-20.170784188163996
0.72,-20.434262653657562
0.73,-20.24953751788173
0.74,-21.10006302157995
0.75,-19.789971874234105
0.76,-19.096521208195757
0.77,-20.43704971918382
0.78,-18.912160711119125
0.79,-18.425569116896114
0.8,-19.351044347932415
0.81,-18.110710497474404
0.82,-18.10857820591145
0.83,-18.749976144599255
0.84,-18.104315192506583
0.85,-16.848580556616433
0.86,-16.51571939887895
0.87,-16.653465772905676
0.88,-16.793431865712655
0.89,-18.006838950330476
0.9,-18.770659579890218
0.91,-19.221638679392605
0.92,-17.759633250000167
0.93,-18.429992793914607
0.94,-18.390260573810885
0.95,-18.48993399543464
0.96,-19.245907735801847
0.97,-18.28518804688769
0.98,-14.872841119212243
0.99,-9.951644319924243
1.0,-13.345216359366383
1.01,-18.055440332864322
1.02,-21.19383463711162
1.03,-19.395435703353844
1.04,-17.759633250000167
1.05,-16.20198944148012
1.06,-17.985792442242698
1.07,-19.430119849536226
