seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-29.664684633234724
0.05,-25.102799783295957
0.06,-26.479978409896447
0.07,-23.04052004085083
0.08,-23.2306740807871
0.09,-19.358427169998716
0.1,-17.95222374485429
0.11,-17.54121054588764
0.12,-17.77808551865177
0.13,-15.919058366982723
0.14,-17.13160685515511
0.15,-16.010673739322655
0.16,-14.309788151074688
0.17,-14.173193267513023
0.18,-13.193771252395404
0.19,-12.733968295734314
0.2,-12.175834345762361
0.21,-11.02569248675965
0.22,-10.412101708126398
0.23,-10.867720379033912
0.24,-10.1063931548914
0.25,-11.462883641276475
0.26,-10.14551501906583
0.27,-10.698023911998945
0.28,-10.656338811297363
0.29,-11.228975345562954
0.3,-10.535144648198022
0.31,-11.295861049104143
0.32,-11.213538905400016
0.33,-12.182297863092547
0.34,-11.606918276165366
0.35,-12.807773431360356
0.36,-11.24153768466044
0.37,-12.194160151362327
0.38,-11.305597503030354
0.39,-11.402581883348857
0.4,-9.857957015494085
0.41,-10.72258475155387
0.42,-10.378765256110785
0.43,-9.979196066777794
0.44,-9.346380158615009
0.45,-10.58252315817905
0.46,-10.710750492500019
0.47,-11.735961766120466
0.48,-11.0322980851514
0.49,-10.1063931548914
0.5,-8.957167733164114
0.51,-8.954937818393047
0.52,-11.427245110885673
0.53,-13.562281338894062
0.54,-16.172936758447594
0.55,-17.091689139116973
0.56,-12.746609005251006
0.57,-14.455562916363009
0.58,-12.271118059717942
0.59,-9.934156783946719
0.6,-9.486674139804657
0.61,-8.799519407415431
0.62,-8.577531386782871
0.63,-9.424477156940705
0.64,-12.236348377509605
0.65,-17.549203083500654
0.66,-18.19858823044498
0.67,-19.241048496716754
0.68,-19.577829847763756
0.69,-21.031138919476213
0.7,-21.24875087676525
0.71,-19.52998745890713
0.72,-19.265371922407642
0.73,-18.32444144371843
0.74,-15.473364776331024
0.75,-13.935245430364082
0.76,-13.368656740487273
0.77,-13.568599728376189
0.78,-12.302748759519826
0.79,-11.900270568179184
0.8,-10.884409753669534
0.81,-13.525725040901355
0.82,-12.917324544925881
0.83,-13.784910229209304
0.84,-12.940812632895158
0.85,-16.529929446445998
0.86,-15.803837371995135
0.87,-16.57091330783081
0.88,-21.344150446505576
0.89,-21.694600941928712
0.9,-21.962887034303847
0.91,-21.80483767642123
0.92,-21.73011289848287
0.93,-22.30169323219558
0.94,-20.783962779053688
0.95,-22.12048132576549
0.96,-22.891338363642237
0.97,-23.25377486471774
0.98,-22.828703893356128
0.99,-22.391991178818735
1.0,-22.76287367783038
1.01,-24.349413816007107
1.02,-24.4284968172879
1.03,-23.276937250811777
1.04,-23.619923676175738
1.05,-23.464494111978546
1.06,-23.304038332511098
1.07,-23.085778795293837
1.08,-23.57980402222377
1.09,-23.725110397425336
1.1,-24.044312865299876
1.11,-23.843956695760617
1.12,-22.381524148464223
1.13,-23.547841190799232
1.14,-20.230462615324146
1.15,-18.283012495307606
1.16,-18.846923035914532
1.17,-20.01273279920865
1.18,-19.224062535872147
1.19,-19.988874091473402
1.2,-19.826271167342988
1.21,-20.798480398408742
1.22,-20.1303281781937
1.23,-19.54255203456556
1.24,-20.61446261322112
1.25,-19.336297502899324
1.26,-19.826271167342988
1.27,-18.042735470085162
1.28,-17.655804433316085
1.29,-17.682152969515702
1.3,-16.88369004025119
1.31,-17.485467766932075
1.32,-18.55477939881613
1.33,-19.19743724373526
1.34,-18.263457013190504
1.35,-17.65378092960558
1.36,-17.786299126486583
1.37,-16.833839968202824
1.38,-17.14495363145406
1.39,-16.381870924527714
1.4,-15.871138374895208
1.41,-16.457347453696176
1.42,-16.680555584774186
1.43,-17.35547243437694
1.44,-16.808103980076503
1.45,-17.587268397132902
1.46,-15.662732149769507
1.47,-15.965578162548155
1.48,-21.497113462397742
1.49,-25.354442040999892
1.5,-24.923410903756384
1.51,-24.688331354239807
1.52,-26.129428353669283
1.53,-25.13146611175173
1.54,-27.599984712284076
1.55,-24.798164931168166
1.56,-20.40644107433569
1.57,-18.586258194578495
1.58,-18.98968235026102
1.59,-20.6286994458431
1.6,-20.74055494439275
1.61,-22.806705005349855
1.62,-24.288398785914733
1.63,-22.222589354759744
1.64,-22.504431449811758
1.65,-20.915503248158394
1.66,-20.52671131161597
1.67,-19.402856369877878
1.68,-20.591732107247665
1.69,-25.017364114432805
1.7,-22.887641453759628
1.71,-24.33193717100022
1.72,-27.051738832755838
1.73,-27.417514547002032
1.74,-28.267188188957626
1.75,-28.886092890172698
1.76,-28.13093614584809
1.77,-27.392644409357803
1.78,-24.384472953971144
1.79,-20.708859840051343
1.8,-19.17330305305385
1.81,-20.52671131161597
1.82,-24.305787960167315
1.83,-25.823518413309202
1.84,-25.849469701326527
1.85,-27.129693491526155
1.86,-26.781384854328948
1.87,-25.985680653474496
1.88,-26.05459561083751
1.89,-26.232029424269662
1.9,-26.45207639541752
1.91,-25.45817013322667
1.92,-25.453202509620823
1.93,-24.41086048709051
1.94,-24.530606585959823
1.95,-22.462095591970275
1.96,-21.95292424639674
1.97,-21.270201311892297
1.98,-19.725526633959895
1.99,-19.151639467833913
2.0,-16.642653460756705
2.01,-18.097924592852465
2.02,-17.298962801627017
2.03,-20.039319565109217
2.04,-18.631426729221836
2.05,-20.007425197675907
2.06,-20.108828440389665
2.07,-21.350341387350756
2.08,-23.362398392855347
2.09,-25.86507777315996
2.1,-25.828702471737074
2.11,-24.867522949194157
2.12,-24.633931032543824
2.13,-24.266711160070336
2.14,-23.81923403304123
2.15,-22.93582445134982
2.16,-23.017978792114917
2.17,-23.311797055347732
2.18,-24.64297412512336
2.19,-23.135076707718145
2.2,-23.535885387620347
2.21,-20.648670296311714
2.22,-20.484567174408696
2.23,-20.00212083742674
2.24,-21.582564696399693
2.25,-19.787384863153758
2.26,-18.579503127766422
2.27,-18.56600873410748
2.28,-18.06604193266462
2.29,-17.31256943470305
2.3,-17.69027631791053
2.31,-18.306973585366542
