seconds_elapsed,dBFS
0.0,-32.03272165152002
0.01,-24.715659818225248
0.02,-22.741040680231603
0.03,-24.499402432580894
0.04,-22.40247083780734
0.05,-17.48745243268687
0.06,-12.489406759400579
0.07,-9.65662348217996
0.08,-8.363158217356437
0.09,-8.050199177512756
0.1,-7.474360803851537
0.11,-10.83443752543381
0.12,-10.852912252462804
0.13,-11.196205638729317
0.14,-9.610817231839393
0.15,-10.799443435876865
0.16,-11.239603834126331
0.17,-9.983378208337749
0.18,-9.612420386077622
0.19,-12.600643396975634
0.2,-9.884385529600307
0.21,-10.680781895876592
0.22,-10.091979551715902
0.23,-10.398927293894232
0.24,-12.9278863251562
0.25,-11.524605982097993
0.26,-12.121087779852246
0.27,-9.626862105041482
0.28,-10.274324443014347
0.29,-9.907576628517532
0.3,-10.276054872273594
0.31,-8.394456248074762
0.32,-9.395499363812258
0.33,-9.785690522409313
0.34,-10.085204946994528
0.35,-9.722134948812226
0.36,-13.337827256719091
0.37,-11.216431149048937
0.38,-10.420015958913638
0.39,-12.338882988507184
0.4,-11.236703865381548
0.41,-12.341077780594178
0.42,-12.88571604313537
0.43,-13.110628995180043
0.44,-14.955494218635156
0.45,-13.114227375251419
0.46,-14.298781161306998
0.47,-15.47021714461038
0.48,-13.961658373442473
0.49,-16.39236324266051
0.5,-11.940003851171202
0.51,-12.967902689660324
0.52,-12.352060067602924
0.53,-15.862902961707803
0.54,-13.440605395095993
0.55,-15.621003848783015
0.56,-14.237125403767468
0.57,-14.562623566703405
0.58,-15.016510742174729
0.59,-14.724286065677086
0.6,-17.20815187257032
0.61,-15.872786394943425
0.62,-18.837643238409985
0.63,-20.290553915388344
0.64,-18.77756501788854
0.65,-17.70247560311542
0.66,-15.560374688902707
0.67,-14.482204619891569
0.68,-15.849742520344565
0.69,-18.196434259041983
0.7,-17.285377450300597
0.71,-17.61340953627532
0.72,-17.404484468486036
0.73,-17.864718239868452
0.74,-21.876920161797734
0.75,-26.564226302564784
0.76,-31.730844894315304
0.77,-38.66773144096018
0.78,-39.78221315139747
0.79,-41.71395309914619
0.8,-46.61517008284237
0.81,-44.073921478079264
0.82,-31.64938226073039
0.83,-25.0742277521436
0.84,-20.874365669593335
0.85,-20.29603743175612
0.86,-18.209366107045724
0.87,-20.81302232318173
0.88,-20.66582479096883
0.89,-19.28243893911744
0.9,-19.545067132205272
0.91,-17.72896631345452
0.92,-15.275719773974624
0.93,-15.617802267604832
0.94,-14.591018131506686
0.95,-15.68528454651435
0.96,-14.068120740589825
0.97,-15.073447949030793
0.98,-13.829086876075003
0.99,-15.182363352773207
1.0,-14.116457861313362
1.01,-15.100549030730114
1.02,-15.6546918921945
1.03,-20.501400299130776
1.04,-23.8233495932405
1.05,-25.933038736959606
1.06,-27.04577119965399
1.07,-24.94212042017306
1.08,-21.652818598530992
1.09,-18.80986318390422
1.1,-19.063141410064862
1.11,-19.06076204019981
1.12,-18.959060877109906
1.13,-19.420195952840512
1.14,-18.613331119264203
1.15,-18.00894640870259
1.16,-18.638222314107317
1.17,-19.756400681767584
1.18,-20.848022597423604
1.19,-19.878391873620135
1.2,-18.337565429551535
1.21,-16.621069130813947
1.22,-16.149083770735775
1.23,-17.543207990909217
1.24,-20.01273279920865
1.25,-19.091744804645064
1.26,-19.823673323854784
1.27,-22.232866488245904
1.28,-21.273269988708556
1.29,-21.946288730689712
1.3,-22.872869529046042
1.31,-21.959564835128496
1.32,-22.17478952699856
1.33,-23.1274741780091
1.34,-22.308605997891185
1.35,-23.956087834771186
1.36,-26.297460164097394
1.37,-29.379095412500188
1.38,-30.308998699194355
1.39,-32.17152800475295
1.4,-37.42022690983759
1.41,-41.97618855242873
1.42,-43.539868827102254
1.43,-44.68833135423981
1.44,-44.24507755078458
1.45,-45.251938079596485
1.46,-46.5585842824651
1.47,-46.39100565100968
1.48,-44.68833135423981
1.49,-46.67212694029891
1.5,-45.15542720181067
1.51,-46.90376439129521
1.52,-45.05997690458577
1.53,-45.15542720181067
1.54,-44.33193717100022
1.55,-36.540602259140144
1.56,-40.4259068188255
1.57,-36.55841947490166
1.58,-38.18137139698226
1.59,-35.22203198497398
1.6,-23.492187702947724
1.61,-22.954427777454825
1.62,-22.40946430810307
1.63,-20.095418078550157
1.64,-20.084704676466597
1.65,-19.34858480108374
1.66,-18.606554973058046
1.67,-17.416288623831296
1.68,-16.684173951682613
1.69,-16.52815191863092
1.7,-16.26900920140162
1.71,-16.207126488236895
1.72,-14.939196595769458
1.73,-15.108092139878144
1.74,-14.878718899601026
1.75,-14.475185718791996
1.76,-13.915488299308503
1.77,-13.898401728723961
1.78,-15.070441930783776
1.79,-16.837522770733326
1.8,-19.0251494866704
1.81,-20.6286994458431
1.82,-20.594570169562758
1.83,-19.87316570641189
1.84,-19.23376473139427
1.85,-18.07878095666123
1.86,-18.030049163587364
1.87,-17.31062432448597
1.88,-18.79831433279707
1.89,-18.98968235026102
1.9,-19.991521824960774
1.91,-20.329011427591293
1.92,-20.225020328405456
1.93,-21.28862965608521
1.94,-21.756031275455705
1.95,-21.7755209387669
1.96,-22.19865655966683
1.97,-22.17478952699856
1.98,-22.50796877001461
1.99,-23.089561024675636
2.0,-24.375694893963733
2.01,-27.361656543318627
2.02,-26.706481195913277
2.03,-26.075910688130705
2.04,-25.807984776433383
2.05,-26.21574846422998
2.06,-26.2429003764247
2.07,-27.00411217668814
2.08,-25.948797839507087
2.09,-23.492187702947724
2.1,-22.291334388227103
2.11,-21.89338630822305
2.12,-21.534988041179627
2.13,-21.049066458633234
2.14,-20.992422392045626
2.15,-20.11419838778671
2.16,-20.370405737730056
2.17,-19.328933458678602
2.18,-20.448206932841334
2.19,-20.100779738990816
2.2,-18.935579138996424
2.21,-19.01094524861026
2.22,-19.705004735132714
2.23,-24.6565564416331
2.24,-28.603187134593053
2.25,-29.745710310704958
2.26,-31.508635599041092
2.27,-31.710407497502597
2.28,-32.107187787312995
2.29,-29.664684633234724
2.3,-26.022720750706362
2.31,-25.2373929079507
2.32,-24.219188143724605
2.33,-25.948797839507087
2.34,-26.070577013024167
2.35,-25.24223859267223
2.36,-23.307916827613752
