seconds_elapsed,dBFS
0.0,-29.959984108983633
0.01,-29.584407817468467
0.02,-28.28093168808774
0.03,-27.996788465708363
0.04,-29.379095412500188
0.05,-31.03324215228325
0.06,-29.43389615982077
0.07,-30.026992268801944
0.08,-30.736259731504866
0.09,-30.484477185344456
0.1,-27.695891718753742
0.11,-28.39863785273134
0.12,-33.970921911681145
0.13,-71.22414851040786
0.14,-76.32959861247397
0.15,-78.2677988726351
0.16,-80.76657360480111
0.17,-80.76657360480111
0.18,-84.28839878591472
0.19,-84.28839878591472
0.2,-84.28839878591472
0.21,-90.30899869919435
0.22,-90.30899869919435
0.23,-90.30899869919435
0.24,-90.30899869919435
0.25,-90.30899869919435
0.26,-90.30899869919435
0.27,-100
0.28,-100
0.29,-100
0.3,-100
0.31,-100
0.32,-100
0.33,-100
0.34,-100
0.35,-100
0.36,-100
0.37,-100
0.38,-100
0.39,-100
0.4,-100
0.41,-100
0.42,-100
0.43,-100
0.44,-100
0.45,-100
0.46,-100
0.47,-100
0.48,-100
0.49,-100
0.5,-100
0.51,-100
0.52,-100
0.53,-100
0.54,-100
0.55,-100
0.56,-100
0.57,-100
0.58,-100
0.59,-100
0.6,-100
0.61,-100
0.62,-100
0.63,-100
0.64,-100
0.65,-100
0.66,-100
0.67,-100
0.68,-100
0.69,-100
0.7,-100
0.71,-100
0.72,-100
0.73,-100
0.74,-100
0.75,-100
0.76,-100
0.77,-100
0.78,-100
0.79,-100
0.8,-100
0.81,-100
0.82,-100
0.83,-100
0.84,-100
0.85,-100
0.86,-100
0.87,-100
0.88,-100
0.89,-100
0.9,-100
0.91,-100
0.92,-100
0.93,-100
0.94,-100
0.95,-48.510896470406394
0.96,-42.3501985257536
0.97,-48.653291292865354
0.98,-50.754526593417395
0.99,-48.72537377824186
1.0,-48.03013165305762
1.01,-47.20227794989312
1.02,-46.5585842824651
1.03,-45.39874534291136
1.04,-46.33585696010591
1.05,-47.141748857289365
1.06,-46.17248117855736
1.07,-46.67212694029891
1.08,-46.5585842824651
1.09,-46.22659904607586
1.1,-46.787173518080735
1.11,-47.44870269411245
1.12,-48.23292428007521
1.13,-48.798059471343734
1.14,-49.247429829525956
1.15,-50.84644162720038
1.16,-51.82341297795672
1.17,-52.57918419574472
1.18,-53.16234877056899
1.19,-52.69272685357852
1.2,-50.754526593417395
1.21,-49.80288139389895
1.22,-49.96833191321875
1.23,-50.939339728115655
1.24,-50.939339728115655
1.25,-50.573564013869465
1.26,-50.573564013869465
1.27,-50.84644162720038
1.28,-52.57918419574472
1.29,-54.891958466351475
1.3,-48.653291292865354
1.31,-44.508306471944
1.32,-52.92436430457484
