seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-28.75437510614651
0.04,-26.69501467327366
0.05,-26.259232357992488
0.06,-26.297460164097394
0.07,-25.875498757778978
0.08,-26.485569584623185
0.09,-26.424263724717775
0.1,-27.03384821955524
0.11,-27.171960677794132
0.12,-27.448702694112455
0.13,-27.300010509976744
0.14,-27.392644409357803
0.15,-27.72164678473464
0.16,-27.89752007507736
0.17,-28.010110384942664
0.18,-27.530319894055882
0.19,-27.97020576817924
0.2,-28.043504849907347
0.21,-28.834631692271905
0.22,-28.343047969300407
0.23,-28.617473140507737
0.24,-29.095041892122122
0.25,-29.057359014631096
0.26,-29.209081468611522
0.27,-27.644609564544467
0.28,-29.23974660068525
0.29,-26.091931392896495
0.3,-22.12048132576549
0.31,-21.834253699547773
0.32,-22.444516371968408
0.33,-22.58972728718041
0.34,-23.50805234596649
0.35,-22.02959926423313
0.36,-23.24606777491477
0.37,-23.16937067933173
0.38,-20.821759178541743
0.39,-22.465615709399636
0.4,-21.691379770136532
0.41,-22.154384138667645
0.42,-22.850758639792225
0.43,-22.85443988148245
0.44,-23.757733495448797
0.45,-22.63269137958573
0.46,-24.086641845944246
0.47,-23.25377486471774
0.48,-24.588856257604867
0.49,-24.844342018333446
0.5,-24.27537971332283
0.51,-23.914388812589866
0.52,-24.35378847721168
0.53,-25.954057233938485
0.54,-26.10262830266972
0.55,-26.36890413873344
0.56,-27.027892861325324
0.57,-26.485569584623185
0.58,-26.851104744150835
0.59,-26.08658787403337
0.6,-25.588335756841637
0.61,-27.330778837007227
0.62,-25.782156955921742
0.63,-27.32461644608676
0.64,-26.46322644783195
0.65,-26.833622236461355
0.66,-27.141748857289365
0.67,-29.536595460200303
0.68,-30.069136406009214
0.69,-30.466768943455364
0.7,-32.06455756854605
0.71,-32.09651060141033
0.72,-33.27160668459903
0.73,-33.944480826915246
0.74,-33.39463833986118
0.75,-33.15029340480577
0.76,-33.735800768487955
0.77,-35.04043882793561
0.78,-35.50174490930948
0.79,-34.53149638368602
0.8,-33.59518726934584
0.81,-33.431890246731136
0.82,-34.545631276371005
0.83,-34.09091308582035
0.84,-24.729356361885493
0.85,-23.951908912564974
0.86,-24.201971310261882
0.87,-18.98968235026102
0.88,-25.14583483237847
0.89,-18.602040477302538
0.9,-18.68821972375101
0.91,-20.04464669783558
0.92,-21.046075964667367
0.93,-20.75210917241919
0.94,-21.456268183549724
0.95,-20.708859840051343
0.96,-19.99946987154684
0.97,-17.52325418098962
0.98,-15.135301701545538
0.99,-18.21583925823694
1.0,-19.378145429631736
1.01,-20.18431150695184
1.02,-17.661877774412893
1.03,-17.227393993062947
1.04,-18.192127918032572
1.05,-17.72896631345452
1.06,-16.673323369836734
1.07,-20.886099395981695
1.08,-22.686697084997345
1.09,-19.39790855451306
1.1,-20.821759178541743
1.11,-19.0180444640754
1.12,-16.149083770735775
1.13,-17.85021931496456
1.14,-17.933398209070063
1.15,-21.75278724567455
1.16,-21.65602549893222
1.17,-19.6360991232191
1.18,-21.58574575837924
1.19,-21.7820272234442
1.2,-19.996819714504753
1.21,-20.214145973760598
1.22,-22.44100479333232
1.23,-19.098910395293224
1.24,-20.135711438135502
1.25,-24.503853311303992
1.26,-19.920314800920302
1.27,-19.99946987154684
1.28,-24.129178119191074
1.29,-23.30016156849313
1.3,-20.108828440389665
1.31,-23.910229899588185
1.32,-26.55858428246509
1.33,-20.98054425051852
1.34,-20.894910104738592
1.35,-25.980402081669336
1.36,-22.81403177899228
1.37,-22.543421430001573
1.38,-23.611884906848527
1.39,-23.311797055347732
1.4,-24.124915105786204
1.41,-25.383952453207918
1.42,-22.71201512393776
1.43,-24.15480023109822
1.44,-21.765770640675047
1.45,-23.15411219558684
1.46,-19.87316570641189
1.47,-20.00477261263832
1.48,-19.592992882696404
1.49,-18.14275784524781
1.5,-19.722958743434745
1.51,-20.462173634094867
1.52,-19.689645067756054
1.53,-21.03711065545435
1.54,-20.331764919336678
1.55,-20.70598419372875
1.56,-21.78528219430413
1.57,-22.40946430810307
1.58,-22.3606278521674
1.59,-21.055050537160014
1.6,-21.814631952563012
1.61,-22.869180469896055
1.62,-21.566676838232787
1.63,-23.802791264973134
1.64,-22.40247083780734
1.65,-24.98436476539649
1.66,-24.74307453736888
1.67,-24.301437401780305
1.68,-24.159077940930096
1.69,-26.752499261900724
1.7,-26.25378495133036
1.71,-26.221172060808364
1.72,-25.088502019346407
1.73,-26.09727820109122
1.74,-25.725604648412336
1.75,-27.398855271001104
1.76,-27.58092973651456
1.77,-27.996788465708363
1.78,-27.454953784442043
1.79,-28.75437510614651
1.8,-28.510896470406397
1.81,-32.18229786309254
1.82,-27.937091394719115
1.83,-30.154043139179556
1.84,-30.600469217534325
1.85,-33.55722993448413
1.86,-31.399626996557963
1.87,-30.50222160344233
1.88,-31.927436851672873
1.89,-26.956745244643756
1.9,-25.74099152513426
1.91,-29.209081468611522
1.92,-27.257117140644958
1.93,-28.301587796843094
1.94,-25.198724442803687
1.95,-24.266711160070336
1.96,-21.25181198327731
1.97,-21.36894072987111
1.98,-22.09008152543887
1.99,-21.221249356255253
2.0,-22.74831225004773
2.01,-24.720222933453947
2.02,-21.02815459041814
2.03,-20.906671636174273
2.04,-20.312508782402766
2.05,-19.808102558457453
2.06,-21.80483767642123
2.07,-20.178898051096912
2.08,-22.636281331956766
2.09,-20.603089924672577
2.1,-21.254874168973778
2.11,-22.898736907222506
2.12,-23.656190491445102
2.13,-21.163474977967844
2.14,-20.75210917241919
2.15,-19.85229242598376
2.16,-22.178195090515253
2.17,-21.40314331067492
2.18,-23.623945852509742
2.19,-25.169835647975717
2.2,-22.312064444935906
2.21,-24.881461261312868
2.22,-24.724788447166453
2.23,-23.811008758148088
2.24,-22.657852261018636
2.25,-23.074441978842497
2.26,-23.69260936927762
2.27,-26.63221795806593
2.28,-26.424263724717775
2.29,-24.14197972745984
2.3,-26.944943762341737
2.31,-28.103940352126294
