seconds_elapsed,dBFS
0.0,-20.992422392045626
0.01,-20.945006977742104
0.02,-21.85063908384111
0.03,-21.282482529403964
0.04,-20.373172385193513
0.05,-21.89338630822305
0.06,-22.887641453759628
0.07,-22.079971856435606
0.08,-21.966210504647844
0.09,-24.715659818225248
0.1,-25.012642239003625
0.11,-26.264683183171726
0.12,-23.16937067933173
0.13,-26.45207639541752
0.14,-27.950321998401524
0.15,-24.895421976300227
0.16,-22.455059634001042
0.17,-22.71926242484888
0.18,-25.098031246454767
0.19,-27.708759705756272
0.2,-23.276937250811777
0.21,-26.74673365290172
0.22,-24.91873981483603
0.23,-28.274057220267032
0.24,-21.824437285274758
0.25,-31.979919728195853
0.26,-29.270520378272224
0.27,-29.95164431992424
0.28,-23.30016156849313
0.29,-26.897897528770187
0.3,-26.51357957225688
0.31,-31.379953398932898
0.32,-23.769998815874377
0.33,-27.32461644608676
0.34,-26.30841336811895
0.35,-28.26032458556763
0.36,-32.075195524117134
0.37,-25.896378310232514
0.38,-33.44434313723417
0.39,-27.448702694112455
0.4,-26.05991947838884
0.41,-27.683042767241894
0.42,-26.775600045831368
0.43,-25.433360377318458
0.44,-23.269209590481715
0.45,-22.67226269922749
0.46,-25.766697047411853
0.47,-24.44616903017574
0.48,-31.090074784517725
0.49,-28.24661362828008
0.5,-27.851580241905648
0.51,-26.581174385284495
0.52,-27.46746947772866
0.53,-27.760423142162377
0.54,-31.42922119771892
0.55,-27.3184584241074
0.56,-27.937091394719115
0.57,-31.528603170221025
0.58,-23.37020944521454
0.59,-28.703686152397463
0.6,-29.15567662099777
0.61,-25.97512671579927
0.62,-28.886092890172698
0.63,-28.198795003794878
0.64,-27.454953784442043
0.65,-27.741013324838228
0.66,-26.962652004230833
0.67,-32.21468779362074
0.68,-27.171960677794132
0.69,-26.55858428246509
0.7,-30.939339728115655
0.71,-30.001803591010074
0.72,-27.244900697508672
0.73,-26.672126940298906
0.74,-30.663574038402984
0.75,-29.064882522800104
0.76,-35.100549030730114
0.77,-25.83388962604953
0.78,-27.87123899712073
0.79,-33.48180929009726
0.8,-29.17852421761235
0.81,-28.191985211491485
0.82,-30.718031205112453
0.83,-36.77512650669703
0.84,-31.83375948262035
0.85,-37.619453295979724
0.86,-37.302848236555626
0.87,-36.43445972072142
0.88,-34.23985638622608
0.89,-35.85632024851811
0.9,-35.23733752133622
0.91,-34.906692803452316
0.92,-36.243171136821125
0.93,-28.768912163327354
0.94,-27.29386990198818
0.95,-28.87135855307185
0.96,-33.18650981434835
0.97,-33.852565793132264
0.98,-37.72080671713998
0.99,-34.29465713354666
1.0,-28.66047268197892
1.01,-21.347245365347533
1.02,-35.629012968426615
1.03,-29.568441104078858
1.04,-30.56461410103426
1.05,-31.95888850814342
1.06,-34.489229197418034
1.07,-31.82341297795672
1.08,-24.615873043424045
1.09,-36.95993964139527
1.1,-34.58817449434327
1.11,-34.419237766010966
1.12,-36.15759517723562
1.13,-33.48180929009726
1.14,-36.05600466665013
1.15,-34.308411514311665
1.16,-34.83326979957049
1.17,-36.225988362398375
1.18,-35.28341661952751
1.19,-31.771864520200506
1.2,-33.39463833986118
1.21,-36.277638998075815
1.22,-35.88928381611958
1.23,-35.055427424645636
1.24,-34.98074175694637
1.25,-34.17183810881801
1.26,-36.64805793441736
1.27,-35.597020705230754
1.28,-34.117804406489
1.29,-34.67389120614498
1.3,-34.53149638368602
1.31,-30.827980643336808
1.32,-34.789512076606975
1.33,-32.21468779362074
1.34,-34.995627604014075
1.35,-34.92145217767158
1.36,-34.13128135199811
1.37,-33.01877707802652
1.38,-32.37847434940325
1.39,-32.433763458035486
1.4,-33.6205846255637
1.41,-31.53860419566452
1.42,-30.8003625290091
1.43,-33.25939882645723
1.44,-33.22287786317275
1.45,-34.559789208826054
1.46,-32.601774298564116
1.47,-28.93044646555292
1.48,-31.48871382508296
1.49,-30.13699526395601
1.5,-29.473252319759318
1.51,-32.912634539607794
1.52,-33.697225325491466
1.53,-32.88922242398285
1.54,-31.090074784517725
1.55,-31.478770046506295
1.56,-31.588782784890164
1.57,-30.484477185344456
1.58,-34.02404678455595
1.59,-31.979919728195853
1.6,-31.588782784890164
1.61,-30.34381193072038
1.62,-32.635769996122
1.63,-31.79244720669951
1.64,-30.069136406009214
1.65,-31.730844894315304
1.66,-30.56461410103426
1.67,-30.609456170884485
1.68,-32.26894087217977
1.69,-32.75005966661059
1.7,-32.15002826694891
1.71,-27.06966637191286
1.72,-30.308998699194355
1.73,-30.40507286725077
1.74,-28.08374842601305
1.75,-30.12848385745615
1.76,-28.274057220267032
1.77,-27.917283199958682
1.78,-27.417514547002032
1.79,-29.201432071694352
1.8,-26.76981908745619
1.81,-27.773387158954176
1.82,-27.057710568733974
1.83,-26.502364735788525
1.84,-28.103940352126294
1.85,-28.219256472946455
1.86,-29.65662348217996
1.87,-26.291988737372805
1.88,-27.851580241905648
1.89,-29.632484820128152
1.9,-28.631782681862894
1.91,-27.46746947772866
1.92,-28.52503136309138
1.93,-27.010051246757524
1.94,-28.51796104146527
1.95,-23.484266234420513
1.96,-30.44027408924212
1.97,-27.28773363211935
1.98,-27.087630989770865
1.99,-28.00344687127633
2.0,-30.205388449118754
2.01,-29.049842017504155
2.02,-26.950842499164757
2.03,-29.186153458013308
2.04,-26.199497964376537
2.05,-27.644609564544467
2.06,-32.77309917518034
2.07,-27.89752007507736
2.08,-26.37994786512657
2.09,-31.62913542256951
2.1,-28.23976625730026
2.11,-28.09047385386595
2.12,-27.619081582500886
2.13,-28.28093168808774
2.14,-30.282980038785997
2.15,-28.110681438718494
2.16,-31.17602711509029
2.17,-26.435378108368724
2.18,-33.34521635936638
2.19,-26.2429003764247
2.2,-25.0742277521436
2.21,-32.25806311291453
2.22,-36.15759517723562
2.23,-28.191985211491485
2.24,-26.56987198988611
2.25,-26.396539827455623
2.26,-27.3864379856296
2.27,-32.92436430457484
2.28,-26.723709412413854
2.29,-29.262816706247886
2.3,-26.980396422328702
2.31,-30.818764844447788
2.32,-27.890942346903813
2.33,-28.761640593511224
2.34,-29.43389615982077
2.35,-29.209081468611522
2.36,-34.65954621586863
2.37,-26.37994786512657
2.38,-28.09720449320938
2.39,-27.22660818887742
2.4,-27.753948382534894
2.41,-30.11148602495115
2.42,-26.264683183171726
2.43,-28.15801610430063
2.44,-31.042688471472133
2.45,-25.75640570777418
2.46,-31.70020680386035
2.47,-30.911365824264358
2.48,-32.55665269247964
2.49,-28.137698224537665
2.5,-24.575379312095755
2.51,-33.76161323811785
2.52,-29.410367776211153
2.53,-28.718138551136235
2.54,-30.8003625290091
2.55,-28.151238195538383
2.56,-29.504866147700135
2.57,-29.985051628945577
2.58,-30.986164044413698
2.59,-24.956179052276042
