seconds_elapsed,dBFS
0.0,-19.420195952840512
0.01,-20.65724330865901
0.02,-21.031138919476213
0.03,-20.65152702701928
0.04,-18.879480625555484
0.05,-20.532346011546345
0.06,-21.497113462397742
0.07,-19.746097134132228
0.08,-20.411998265592473
0.09,-19.351044347932415
0.1,-19.25320169533872
0.11,-21.23651722736534
0.12,-20.804294247111788
0.13,-21.487670566409093
0.14,-20.86264777285752
0.15,-22.25345730698741
0.16,-21.337963915162796
0.17,-20.70598419372875
0.18,-21.0400980637858
0.19,-21.384470663631095
0.2,-20.168081250647845
0.21,-21.743062419536766
0.22,-22.12048132576549
0.23,-21.503414434482593
0.24,-20.095418078550157
0.25,-20.428691204051482
0.26,-20.83342200625986
0.27,-20.874365669593335
0.28,-20.467766608942377
0.29,-20.977577251467274
0.3,-21.453134180398973
0.31,-23.64005320925935
0.32,-24.788958899953354
0.33,-26.30841336811895
0.34,-25.19390296633347
0.35,-25.578253469420478
0.36,-25.433360377318458
0.37,-25.896378310232514
0.38,-26.440940637946007
0.39,-27.081638654494856
0.4,-26.944943762341737
0.41,-26.36890413873344
0.42,-25.553098833715904
0.43,-26.134798301066336
0.44,-24.848973257919603
0.45,-20.65152702701928
0.46,-20.537984369185473
0.47,-18.62916271522803
0.48,-20.591732107247665
0.49,-21.903281000356
0.5,-21.830980328626023
0.51,-19.277559225709282
0.52,-20.662963354725502
0.53,-20.786864362390528
0.54,-22.05642828830685
0.55,-21.962887034303847
0.56,-21.44060946353801
0.57,-22.4761846293466
0.58,-21.468815516375315
0.59,-24.36692569620923
0.6,-22.898736907222506
0.61,-20.532346011546345
0.62,-21.32869237223863
0.63,-20.903729759892787
0.64,-23.249920464992606
0.65,-20.637252759816477
0.66,-19.13962744871846
0.67,-18.63369133349436
0.68,-18.856212758338092
0.69,-19.930827225366073
0.7,-20.786864362390528
0.71,-21.936344952113046
0.72,-22.106957166337146
0.73,-24.9749593615126
0.74,-27.214434550391246
0.75,-27.657401745999618
0.76,-26.603823393262655
0.77,-24.784359540757684
0.78,-23.135076707718145
0.79,-24.28405692647013
0.8,-25.37902708327834
0.81,-23.31567901726176
0.82,-23.18465601479965
0.83,-24.21057546117652
0.84,-23.2306740807871
0.85,-22.518589382266807
0.86,-24.970260476010896
0.87,-22.909846552273294
0.88,-24.5798693042547
0.89,-24.86288181115263
0.9,-20.70598419372875
0.91,-24.297089021395088
0.92,-25.117121121475382
0.93,-19.600584338070888
0.94,-22.839724266546977
0.95,-23.951908912564974
0.96,-20.370405737730056
0.97,-22.416463413750172
0.98,-18.487706558664375
0.99,-22.741040680231603
1.0,-22.150987896341654
1.01,-25.2373929079507
1.02,-26.90376439129521
1.03,-25.0742277521436
1.04,-24.477182186034334
1.05,-26.93315829291072
1.06,-23.02924210422453
1.07,-24.472744949851975
1.08,-24.720222933453947
1.09,-22.504431449811758
1.1,-25.354442040999892
1.11,-25.09326532609483
1.12,-26.446506732105128
1.13,-24.93276062439875
1.14,-23.119878296774626
1.15,-24.951490312816404
1.16,-21.999515337009644
1.17,-26.598155602106853
1.18,-25.334823987176
1.19,-25.031545161889884
1.2,-26.006827078132492
1.21,-25.069474871238103
1.22,-24.724788447166453
1.23,-25.649076491351277
