seconds_elapsed,dBFS
0.0,-20.662963354725502
0.01,-20.40366381143815
0.02,-20.836340161717537
0.03,-21.759276517278646
0.04,-21.801575370415534
0.05,-22.690309432580314
0.06,-22.0195597066083
0.07,-21.840804144532488
0.08,-22.472660226929378
0.09,-22.668657847696988
0.1,-24.624897345158473
0.11,-23.280803660685578
0.12,-25.65415744477962
0.13,-24.946804103024792
0.14,-23.409370420649193
0.15,-16.95993964139528
0.16,-15.909122171842277
0.17,-14.986693034766077
0.18,-13.765491733220504
0.19,-17.198546774126005
0.2,-15.249601398612674
0.21,-18.46102177688308
0.22,-18.846923035914532
0.23,-17.595303448249908
0.24,-20.95979650904908
0.25,-17.529235512320717
0.26,-21.001341670225994
0.27,-21.847359533249737
0.28,-21.772269623124195
0.29,-20.694491119424605
0.3,-18.525650888273407
0.31,-17.67809414250817
0.32,-19.628476578071655
0.33,-21.12416540163272
0.34,-20.631549614740884
0.35,-21.046075964667367
0.36,-22.7847616935409
0.37,-22.37106971634388
0.38,-24.258051249444645
0.39,-23.57980402222377
0.4,-23.346797329589602
0.41,-21.285555548943563
0.42,-17.547204259504245
0.43,-20.68014612914826
0.44,-23.631995797143453
0.45,-20.387018856542927
0.46,-22.28788418375748
0.47,-24.371309188423417
0.48,-24.784359540757684
0.49,-23.059349204170868
0.5,-24.09088611167153
0.51,-22.339781707029893
0.52,-20.915503248158394
0.53,-25.700020271628876
0.54,-26.232029424269662
0.55,-23.389767862931528
0.56,-24.43732842927202
0.57,-25.04101207251431
0.58,-24.49495383343727
0.59,-26.524808907548234
0.6,-25.21803715701488
0.61,-24.561923244899425
0.62,-24.463877272064835
0.63,-26.36890413873344
0.64,-22.65425338396775
0.65,-22.657852261018636
0.66,-21.847359533249737
0.67,-24.539542687198708
0.68,-24.33193717100022
0.69,-20.70310949913423
0.7,-22.88025235111234
0.71,-14.706974869836124
0.72,-14.472379745697632
0.73,-17.13160685515511
0.74,-17.264071879127894
0.75,-16.0224035042897
0.76,-13.725497220852604
0.77,-13.62440064216081
0.78,-13.574922717399732
0.79,-13.699791698575014
0.8,-13.404556570614082
0.81,-13.449329296750008
0.82,-14.212585124771111
0.83,-14.282296785703426
0.84,-15.393454341399178
0.85,-16.0023050233481
0.86,-14.943638370163395
0.87,-14.666715749612937
0.88,-14.492040619885723
0.89,-14.360877705666717
0.9,-14.730064139822021
0.91,-14.200340936551559
0.92,-15.194549801125195
0.93,-16.474994533391126
0.94,-16.3836187642837
0.95,-15.900850683132186
0.96,-16.648057934417363
0.97,-16.622865777761724
0.98,-17.086001554298626
0.99,-15.83660198888509
1.0,-17.3868082596174
1.01,-18.10857820591145
1.02,-18.91449971467118
1.03,-17.958508001468513
1.04,-19.555134811846543
1.05,-18.465463551277022
1.06,-18.96141254617478
1.07,-18.670005531728002
1.08,-18.959060877109906
1.09,-18.846923035914532
1.1,-18.8353248373184
1.11,-18.905147477279836
1.12,-19.05125107331677
1.13,-17.31062432448597
1.14,-17.183200675367164
1.15,-16.865193675429307
1.16,-17.437971327935454
1.17,-16.064425306803653
1.18,-17.52126131884068
1.19,-17.708581676926155
1.2,-18.036390000689543
1.21,-18.22880005094975
1.22,-19.358427169998716
1.23,-20.387018856542927
1.24,-19.55009951336462
1.25,-19.805510142488927
1.26,-21.052057982560882
1.27,-20.766573604801106
1.28,-19.082199870016332
1.29,-18.458801741180753
1.3,-16.34524730187191
1.31,-18.590764492805675
1.32,-17.977388097476638
1.33,-18.304792571007795
1.34,-20.43704971918382
1.35,-18.427780673785993
1.36,-19.437570219947048
1.37,-18.51670788656903
1.38,-20.67441475999404
1.39,-17.858501451122994
1.4,-20.428691204051482
1.41,-18.713326766858152
1.42,-19.96772122954126
1.43,-19.920314800920302
1.44,-17.99420492681126
1.45,-19.88100613688684
1.46,-19.151639467833913
1.47,-22.02959926423313
1.48,-19.888853651022277
1.49,-20.41755901459039
1.5,-19.600584338070888
1.51,-19.67686606053991
1.52,-20.47336318751104
1.53,-18.874822063020602
1.54,-19.88100613688684
1.55,-15.632218685251368
1.56,-15.71922331560313
1.57,-18.89347132329939
1.58,-20.304269202681574
1.59,-17.70451048414571
1.6,-16.980511248819166
1.61,-18.604297431878848
1.62,-18.239615504517584
1.63,-20.219581449305977
1.64,-19.238619896214963
1.65,-20.611618044786304
1.66,-20.83050483087121
1.67,-21.273269988708556
1.68,-20.708859840051343
1.69,-19.808102558457453
1.7,-18.43220547756893
1.71,-19.535011108346218
1.72,-19.211950011753267
1.73,-20.671550492981087
1.74,-20.29329524084524
1.75,-20.52108026465177
1.76,-20.792670438567995
1.77,-21.617620618510387
1.78,-20.883164478015583
1.79,-18.727052168141483
1.8,-20.772366128949145
1.81,-21.046075964667367
1.82,-23.7414066304196
1.83,-21.759276517278646
1.84,-22.12048132576549
1.85,-19.178124529524066
1.86,-15.434101127345132
1.87,-19.49490303297911
1.88,-19.435086053009464
1.89,-19.383081996765508
1.9,-18.030049163587364
1.91,-20.512640533165346
1.92,-19.027519119651423
1.93,-20.108828440389665
1.94,-22.437494633802608
1.95,-17.53522096539189
1.96,-20.75210917241919
1.97,-17.023682696240854
1.98,-17.956412744037518
1.99,-19.694761939561218
2.0,-16.39411319524789
2.01,-17.835744552070267
2.02,-16.333073663385733
2.03,-17.503346105260743
2.04,-17.254404777809405
2.05,-19.275120396649864
2.06,-19.81328971276991
2.07,-21.415614080423868
2.08,-20.70310949913423
2.09,-22.550529359725623
2.1,-22.976804491345764
2.11,-21.415614080423868
2.12,-20.90961450919517
2.13,-19.792559656061105
2.14,-18.849244535230255
2.15,-19.95980216838971
2.16,-20.398111948265388
2.17,-19.99946987154684
2.18,-18.858536742201604
2.19,-20.434262653657562
2.2,-21.30709718176231
2.21,-23.98120367773045
2.22,-22.01621576445418
2.23,-20.766573604801106
2.24,-23.21147024886968
2.25,-20.92434384906211
2.26,-22.504431449811758
2.27,-23.161738086891503
2.28,-20.749219174176567
2.29,-22.614763840428708
2.3,-20.68014612914826
2.31,-23.413296246541144
2.32,-22.308605997891185
2.33,-24.508306471943996
2.34,-25.669418162564273
2.35,-23.28467179240752
2.36,-23.603853570503723
2.37,-22.16798240310935
2.38,-24.665623133101526
2.39,-18.984964322096097
2.4,-13.96827417819378
2.41,-14.818659384623366
2.42,-17.432052493200075
2.43,-18.975535947072025
2.44,-15.4356682702701
2.45,-18.392463157729892
2.46,-18.089411100734413
2.47,-17.977388097476638
2.48,-19.68453120853382
2.49,-19.557653556140856
2.5,-19.412760464038833
2.51,-19.03226032590346
2.52,-19.039376991306145
2.53,-19.928197926227465
2.54,-18.647291372240606
2.55,-18.518942773919083
2.56,-16.142280645549086
2.57,-16.60670931826357
2.58,-17.351563393069707
2.59,-18.50554206726807
2.6,-18.851566655184754
2.61,-18.891137974826513
2.62,-20.877297615490562
2.63,-21.903281000356
2.64,-22.036298755223243
2.65,-20.998367559723363
2.66,-20.850945663121077
2.67,-18.867838900668264
2.68,-18.006838950330476
2.69,-19.452490160010758
2.7,-16.55663610775896
2.71,-18.706472190962707
2.72,-19.570258245100888
2.73,-20.189728338831834
2.74,-19.9703625218341
2.75,-20.362111078842755
2.76,-19.572781379363526
2.77,-20.057978841110142
2.78,-19.67686606053991
2.79,-20.930242585885132
2.8,-19.49240241697276
2.81,-15.859610981513741
2.82,-15.78097545713591
2.83,-17.90003100496018
2.84,-17.776033329714153
2.85,-17.792464433480134
2.86,-18.772960782616106
2.87,-21.001341670225994
2.88,-19.91243882367998
2.89,-18.814487027312893
2.9,-19.326480164032134
2.91,-20.677279971841912
2.92,-20.065987960753745
2.93,-19.9756475172135
2.94,-20.375939914176
2.95,-20.515452865920384
2.96,-16.612091466306108
2.97,-15.71760417315496
2.98,-14.492040619885723
2.99,-17.357427614945255
3.0,-16.437976987276087
3.01,-16.813612418885832
3.02,-16.409878654197993
3.03,-16.651662785947867
3.04,-16.61927285541967
3.05,-16.913366395023626
3.06,-15.478088363670167
3.07,-15.421574152557145
3.08,-16.255219336011688
3.09,-14.809904917591584
3.1,-14.801159265262118
3.11,-14.510337080559347
3.12,-13.94976260855448
3.13,-13.227738461865934
3.14,-15.001589093361387
3.15,-14.688259926771721
3.16,-13.761613238117851
3.17,-14.264473945372957
3.18,-14.578229089238308
3.19,-13.868253737742652
3.2,-13.748697414714819
3.21,-13.840818401343466
3.22,-14.165065484975411
3.23,-13.37978219660771
3.24,-12.229844528730949
3.25,-11.303649338922588
3.26,-11.085324502945644
3.27,-13.243554218780693
3.28,-12.596121262479079
3.29,-12.849566084425488
3.3,-13.241119150181042
3.31,-11.637228495261295
3.32,-13.065178078162415
3.33,-13.911542260183436
3.34,-11.677807357378251
3.35,-15.463925301062481
3.36,-13.749988133141752
3.37,-13.158730403660561
3.38,-13.744826409835449
3.39,-12.442642466872119
3.4,-14.919975111153605
3.41,-12.101847553736807
3.42,-13.23138569670351
3.43,-13.187719632532362
3.44,-12.957292168253634
3.45,-15.61620191944037
3.46,-14.887543034770461
3.47,-12.452642213002832
3.48,-15.046431163211619
3.49,-14.359492948447672
3.5,-15.126222373571029
3.51,-13.996115716555051
3.52,-15.10960154810821
3.53,-15.58266254111218
3.54,-14.971822478766004
3.55,-13.80956947672049
3.56,-13.514411195066598
3.57,-10.593286343742253
3.58,-11.843081886084278
3.59,-13.003364999282148
3.6,-14.271324556689564
3.61,-14.786602718134603
3.62,-12.6119590442744
3.63,-12.86937162232697
3.64,-13.233818037698983
3.65,-10.762759231255837
3.66,-12.429327354957419
3.67,-13.623128450340438
3.68,-11.854489539329157
3.69,-13.291175016475878
3.7,-13.209525224666018
3.71,-11.33682770166563
3.72,-12.301656126064952
3.73,-12.619888777784595
3.74,-13.312014787089199
3.75,-13.726784496088465
3.76,-13.562281338894062
3.77,-13.237467826801526
3.78,-11.700206803860354
3.79,-12.727081109192904
3.8,-12.641448904227579
3.81,-14.241222199522088
3.82,-13.731935505661557
3.83,-12.489406759400579
3.84,-11.811013418908686
3.85,-14.515974523326165
3.86,-12.49052326941408
3.87,-11.953638650239231
3.88,-12.822842036633578
3.89,-14.786602718134603
3.9,-11.892971062681273
3.91,-13.080700326474425
3.92,-12.388400451269817
3.93,-11.817210985805993
3.94,-14.3733504651682
3.95,-12.32791733923094
3.96,-12.245027758334789
3.97,-13.20225060980355
3.98,-12.356456873385529
3.99,-13.793987072233802
4.0,-11.861756763498557
4.01,-13.577453202381378
4.02,-14.344275171835644
4.03,-14.828884094030169
4.04,-12.169375634617275
4.05,-13.46930260739208
4.06,-13.966950614055895
4.07,-13.439359838395204
4.08,-14.08554479786327
4.09,-13.20709967602192
4.1,-12.951403030026764
4.11,-14.351189038027378
4.12,-14.49344667244048
4.13,-12.782332117466751
4.14,-12.44597443659704
4.15,-12.844912513653544
4.16,-12.440421863603458
4.17,-12.642585131534855
4.18,-14.852300154413992
4.19,-15.699813498278981
4.2,-12.112531306176118
4.21,-15.476513549118113
4.22,-17.089792863672685
4.23,-14.610949701461262
4.24,-11.574703534970283
4.25,-13.463056012633052
4.26,-13.843427560160944
4.27,-11.822379005020789
4.28,-15.303460396114502
4.29,-11.409480530953399
4.3,-15.975579187991647
4.31,-12.437092022796694
4.32,-15.202175022963404
4.33,-12.172604389863448
4.34,-15.231212069997685
4.35,-13.50436680003218
4.36,-15.3903355300055
4.37,-13.453070795682756
4.38,-15.362316506876256
4.39,-12.624423306542278
4.4,-13.269163739951214
4.41,-15.089999670976411
4.42,-14.352572471913884
4.43,-13.852565793132266
4.44,-13.872180155185273
4.45,-16.691415210658135
4.46,-15.214389318719286
4.47,-13.911542260183436
4.48,-14.595285333576332
4.49,-13.247208102157046
4.5,-14.274066314805154
4.51,-14.539974558725246
4.52,-14.548461017278282
4.53,-15.83660198888509
4.54,-15.223561325525171
4.55,-14.695453210526995
4.56,-14.76916700206626
4.57,-15.254204820487798
4.58,-15.667559879197023
4.59,-16.678746966415115
4.6,-15.404379008631544
4.61,-15.830039170561488
4.62,-17.246678835883017
4.63,-16.594163927149083
4.64,-16.089736319288843
4.65,-16.012348450527703
4.66,-14.32080910689182
4.67,-14.469574678778997
4.68,-14.801159265262118
4.69,-16.695038105241657
4.7,-14.470977099002933
4.71,-15.737053831525724
4.72,-15.308092458959006
4.73,-16.00899935095351
4.74,-14.911117982950977
4.75,-15.384101264790393
4.76,-17.112575538080257
4.77,-15.565145845099613
4.78,-17.14877076605211
4.79,-15.144390530039367
4.8,-16.10326574513654
4.81,-18.10857820591145
4.82,-14.994137870773468
4.83,-14.855231605551529
4.84,-15.68528454651435
4.85,-16.489138057196968
4.86,-15.694967813557453
4.87,-16.54594358736303
4.88,-16.099881412485864
4.89,-14.136677990654519
4.9,-18.136338909393615
4.91,-17.531230205092847
4.92,-18.129924713677102
4.93,-17.053842065562876
4.94,-18.791392385581435
4.95,-16.171230799562
4.96,-19.067902106066782
4.97,-18.002625566964777
4.98,-18.01949137738645
4.99,-16.05600466665013
5.0,-18.16204316382609
5.01,-20.154579165482083
5.02,-17.065178882014212
5.03,-19.14202852396196
5.04,-19.06076204019981
5.05,-17.481499795351844
5.06,-17.71061798912352
5.07,-18.416728515992396
5.08,-17.71265477882404
5.09,-15.78913352069991
5.1,-19.51994886820514
5.11,-18.74079929256964
5.12,-17.92087048145881
5.13,-17.19470770682016
5.14,-17.798634119761605
5.15,-17.929220291895685
5.16,-19.326480164032134
5.17,-17.922957181682193
5.18,-16.780614064827155
5.19,-16.450298648571604
5.2,-17.050066412541863
5.21,-16.106651396958032
5.22,-17.680123318930917
5.23,-15.92568881741009
5.24,-15.39657427305559
5.25,-13.992132885929028
5.26,-15.32045671675938
5.27,-15.876083373399432
5.28,-15.132274204255191
5.29,-13.39835634932285
5.3,-15.569919623531437
5.31,-12.395024160008246
5.32,-18.15775383552259
5.33,-13.282608446219452
5.34,-15.145906259846559
5.35,-11.47380242290045
5.36,-17.555202316826332
5.37,-12.06136872081835
5.38,-12.640312825534172
5.39,-11.513623190127358
5.4,-16.0914263454909
5.41,-15.492274558048129
5.42,-17.749398902594756
5.43,-14.839120853774945
5.44,-17.52126131884068
5.45,-15.476513549118113
5.46,-16.071167701582777
5.47,-15.978915423730019
5.48,-16.915224538070195
5.49,-16.324388641526177
5.5,-18.269970616523924
5.51,-17.784244996256348
5.52,-17.422196722667906
5.53,-17.076530514609757
5.54,-16.501532560873176
5.55,-18.361677693873805
5.56,-17.33789558594094
5.57,-17.53921356010161
5.58,-16.924521220578242
5.59,-17.46564601109545
5.6,-16.802599032408516
5.61,-18.429992793914607
5.62,-17.569216662949774
5.63,-17.086001554298626
5.64,-17.41038454092261
5.65,-16.86149912427277
5.66,-16.263835435952473
5.67,-16.802599032408516
5.68,-16.83568117428032
5.69,-15.93398400440105
5.7,-16.648057934417363
5.71,-16.506849910067746
5.72,-17.04252002663011
5.73,-17.75553806386204
5.74,-18.588511051454844
5.75,-17.36721012486326
5.76,-15.58266254111218
5.77,-17.1812843180206
5.78,-17.004886130502346
5.79,-17.086001554298626
5.8,-19.37567819779067
5.81,-17.914613386959815
5.82,-17.200466944275984
5.83,-17.747353479380767
5.84,-20.804294247111788
5.85,-19.66920767094335
5.86,-20.608774407622896
5.87,-18.207209461562748
5.88,-17.769879670485413
5.89,-20.219581449305977
5.9,-21.870342433624188
5.91,-21.166506173126184
5.92,-22.100202974987425
5.93,-19.185361766136133
5.94,-20.0900597257349
5.95,-22.14419939295737
5.96,-23.00298372643461
5.97,-20.891972208672005
5.98,-20.51826610955245
5.99,-21.304016532807136
6.0,-22.185010225928103
6.01,-23.539868827102257
6.02,-23.059349204170868
6.03,-22.906141758172318
6.04,-20.61446261322112
6.05,-19.442540686256113
6.06,-19.896708261629637
6.07,-21.78528219430413
6.08,-22.490296557126776
6.09,-23.280803660685578
6.1,-25.518004282384897
6.11,-22.86180704870788
6.12,-22.74831225004773
6.13,-23.03299978961217
6.14,-21.976188552428738
6.15,-24.35378847721168
6.16,-24.432911500807624
6.17,-24.201971310261882
6.18,-24.825841713920763
6.19,-23.64005320925935
6.2,-24.886112340212794
6.21,-24.019014139731325
6.22,-25.588335756841637
6.23,-25.443275777525432
6.24,-25.315250143088328
6.25,-23.79047958376503
6.26,-25.65924137213463
6.27,-22.872869529046042
6.28,-23.881173132960573
6.29,-26.16708789080999
6.3,-23.737329704910316
6.31,-21.32869237223863
6.32,-22.388500767022492
6.33,-21.563502750991887
6.34,-22.636281331956766
6.35,-20.912558379631093
6.36,-23.074441978842497
6.37,-20.942052090951208
6.38,-19.66155602783681
6.39,-24.099380869940852
6.4,-22.90243854360415
6.41,-20.97164629211217
6.42,-18.749976144599255
6.43,-17.987894799662637
6.44,-16.865193675429307
6.45,-14.556955775547607
6.46,-14.689698107028018
6.47,-13.834298931219733
6.48,-13.849953888244723
6.49,-13.782318586749955
6.5,-13.460558632041362
6.51,-13.721636539417952
6.52,-14.179972234249114
6.53,-14.175904219357145
6.54,-15.382543397395295
6.55,-16.416894720522983
6.56,-17.619453295979724
6.57,-17.211996887966475
6.58,-18.333188563932055
6.59,-18.416728515992396
6.6,-18.940270410856648
6.61,-18.31788687947475
6.62,-17.101176731145017
6.63,-18.909822337262476
6.64,-18.147039772688764
6.65,-18.16848113049864
6.66,-18.975535947072025
6.67,-18.59978410902434
6.68,-17.275686620735648
6.69,-17.551202367578547
6.7,-18.40789690400828
6.71,-18.159898234900986
6.72,-17.918784282424383
6.73,-17.30673541032293
6.74,-16.978639088096738
6.75,-16.59774647602976
6.76,-16.466166511858685
6.77,-17.211996887966475
6.78,-18.22880005094975
6.79,-17.657828408540922
6.8,-15.292661846199266
6.81,-17.422196722667906
6.82,-16.599538304739173
6.83,-16.889246638993672
6.84,-16.3609242351846
6.85,-15.947272803532524
6.86,-15.329741474071128
6.87,-15.379428500593736
6.88,-14.619505823944028
6.89,-14.635213972248028
6.9,-14.082861897567634
6.91,-15.050928129213215
6.92,-14.98222919416861
6.93,-15.20980694476016
6.94,-14.645224877689206
6.95,-13.086677815966452
6.96,-13.951083555958448
6.97,-13.692094853022127
6.98,-13.605337302213483
6.99,-12.956114021132388
7.0,-13.79917810160574
7.01,-13.720350026842386
7.02,-14.080179825711195
7.03,-15.677223395459583
7.04,-14.132630197351872
7.05,-14.178616017580254
7.06,-14.487823827357849
7.07,-14.897849202174456
7.08,-13.302201607524776
7.09,-13.941841140027263
7.1,-13.761613238117851
7.11,-13.470552465605339
7.12,-14.197622348223241
7.13,-13.694659710456405
7.14,-15.33593683070901
7.15,-13.832995624196798
7.16,-15.872786394943425
7.17,-16.00899935095351
7.18,-14.282296785703426
7.19,-14.544216751550996
7.2,-16.06779584997286
7.21,-14.705533826342474
7.22,-14.890486406414373
7.23,-13.590116697317395
7.24,-15.579475058640423
7.25,-15.105074110091678
7.26,-18.207209461562748
7.27,-18.796006404089972
7.28,-19.037004121563733
7.29,-15.176276534277395
7.3,-19.756400681767584
7.31,-20.662963354725502
7.32,-21.694600941928712
7.33,-20.962757439583317
7.34,-21.509719980776257
7.35,-22.839724266546977
7.36,-21.688159792476647
7.37,-22.525677011903706
7.38,-20.326258808446703
7.39,-19.782213151397475
7.4,-21.157415759279104
7.41,-18.379256024463476
7.42,-17.82954845885443
7.43,-18.357288664150264
7.44,-15.887632663251175
7.45,-16.439736154803736
7.46,-17.4834835545561
