seconds_elapsed,dBFS
0.0,-35.77445451866291
0.01,-35.48596672215866
0.02,-38.053321564799646
0.03,-37.24474842368748
0.04,-39.182948683848615
0.05,-38.13847802765047
0.06,-40.04464669783558
0.07,-39.27999873973685
0.08,-36.612091466306104
0.09,-41.03113891947621
0.1,-42.31552426957359
0.11,-39.1108661984721
0.12,-39.628476578071655
0.13,-40.73766878731749
0.14,-39.1108661984721
0.15,-40.17889805109691
0.16,-40.97164629211217
0.17,-40.4537909186576
0.18,-39.47741382026274
0.19,-40.56623118965063
0.2,-38.532364187310215
0.21,-38.267798872635105
0.22,-43.0744419788425
0.23,-38.57725260575926
0.24,-41.00134167022599
0.25,-41.522344822589105
0.26,-37.823356782480985
0.27,-40.76657360480111
0.28,-41.3969146337224
0.29,-43.26534833696711
0.3,-39.730664693641266
0.31,-36.48736885673499
0.32,-40.12494825257229
0.33,-39.47741382026274
0.34,-39.1108661984721
0.35,-40.4259068188255
0.36,-37.38092417473297
0.37,-35.42313903674083
0.38,-42.31552426957359
0.39,-42.63269137958573
0.4,-42.178195090515246
0.41,-42.110336232568464
0.42,-42.52567701190371
0.43,-42.52567701190371
0.44,-41.81136596657302
0.45,-44.779762615729474
0.46,-42.56120217241977
0.47,-40.07133147961686
0.48,-41.84408122045819
0.49,-42.2123243667956
0.5,-41.58574575837924
0.51,-41.68172341601461
0.52,-40.48176482250891
0.53,-37.053842065562876
0.54,-43.0744419788425
0.55,-39.603116298338946
0.56,-40.97164629211217
0.57,-35.19150158574453
0.58,-27.281601694245147
0.59,-24.13344322589993
0.6,-23.074441978842497
0.61,-22.81403177899228
0.62,-26.091931392896495
0.63,-24.10788394417653
0.64,-24.647499204484923
0.65,-24.189081043778266
0.66,-25.715361852840843
0.67,-23.708844681739173
0.68,-23.868749927546347
0.69,-23.40544636834028
0.7,-23.276937250811777
0.71,-22.6291029103597
0.72,-27.07565045043964
0.73,-27.300010509976744
0.74,-25.553098833715904
0.75,-22.426972658393463
0.76,-24.59785251903888
0.77,-22.4761846293466
0.78,-21.736585245755577
0.79,-20.85386971285011
0.8,-20.95683658752169
0.81,-20.90961450919517
0.82,-21.347245365347533
0.83,-20.178898051096912
0.84,-20.018043645988634
0.85,-18.481027673569383
0.86,-18.76835898667373
0.87,-17.794520508679238
0.88,-18.796006404089972
0.89,-16.529929446445998
0.9,-17.37700366478689
0.91,-16.506849910067746
0.92,-18.593018518934336
0.93,-20.00477261263832
0.94,-21.37825535772148
0.95,-21.35343851330193
0.96,-22.4761846293466
0.97,-21.840804144532488
0.98,-20.815933631953104
0.99,-19.618323579092042
1.0,-19.17571345674299
1.01,-19.091744804645064
1.02,-20.02601600968561
1.03,-20.580389122105682
1.04,-20.98054425051852
1.05,-20.19785992591792
