seconds_elapsed,dBFS
0.0,-12.012619090244893
0.01,-12.250456778849099
0.02,-12.497225345084612
0.03,-11.540605783330495
0.04,-11.119584657692217
0.05,-11.943148444087246
0.06,-11.389784627642987
0.07,-12.363056258004425
0.08,-11.408494674345103
0.09,-11.153980481648775
0.1,-12.094376738326744
0.11,-11.459908172344818
0.12,-13.028275044678857
0.13,-12.03695970461121
0.14,-12.113600404538973
0.15,-11.814111649595386
0.16,-10.630161519516594
0.17,-13.052065499535583
0.18,-7.161072312729775
0.19,-7.149593827100096
0.2,-7.984151539927655
0.21,-9.820927445535045
0.22,-11.622060164429246
0.23,-9.502491115199879
0.24,-8.705852479790675
0.25,-5.542555571683277
0.26,-6.9043512955582855
0.27,-8.846367400374497
0.28,-5.03249138877007
0.29,-7.011239548235276
0.3,-7.430599931477628
0.31,-7.008863107826999
0.32,-8.528568683294237
0.33,-9.326189436015058
0.34,-12.582568968004765
0.35,-13.853872040166543
0.36,-13.261839025837816
0.37,-13.844732433541008
0.38,-11.602884893395853
0.39,-11.561650348848564
0.4,-12.829805604327294
0.41,-14.948082417146022
0.42,-13.635858761336912
0.43,-13.701075169524978
0.44,-14.56829505866989
0.45,-12.560028694195285
0.46,-12.012619090244893
0.47,-11.970449376934504
0.48,-11.79244720669951
0.49,-12.26676423023427
0.5,-11.322174563784412
0.51,-12.592731205984578
0.52,-12.413818811756517
0.53,-11.337805457015124
0.54,-12.36855957798709
0.55,-11.474795720361431
0.56,-13.490574695218921
0.57,-12.986797902306828
0.58,-12.44153209427386
0.59,-12.341077780594178
0.6,-11.565664624893703
0.61,-15.263418989991983
0.62,-12.687014331414012
0.63,-13.221663138376966
0.64,-15.382543397395295
0.65,-14.547046031588412
0.66,-12.241771974087987
0.67,-14.955494218635156
0.68,-14.724286065677086
0.69,-15.558784885724835
0.7,-17.858501451122994
0.71,-17.619453295979724
0.72,-17.776033329714153
0.73,-19.08458512051548
0.74,-18.849244535230255
0.75,-19.373211666569198
0.76,-18.68138492499462
0.77,-18.581754233037042
0.78,-15.651477871940225
0.79,-19.385551332855506
0.8,-19.275120396649864
0.81,-17.00113169360012
0.82,-18.44106185319022
0.83,-20.26592084176714
0.84,-19.580355182754086
0.85,-20.30152441212688
0.86,-18.94496421785446
0.87,-18.860861348033243
0.88,-15.72732355832212
0.89,-13.835602433831632
0.9,-13.199827091473637
0.91,-15.295745776513241
0.92,-14.349805824450435
0.93,-16.376629514549858
0.94,-16.74956364297956
0.95,-18.930890399536782
0.96,-17.983690593560194
0.97,-21.085032926744493
0.98,-18.350709275143792
0.99,-21.620814547444354
1.0,-21.582564696399693
1.01,-19.265371922407642
1.02,-21.12718290718263
1.03,-20.052643527896894
1.04,-19.79514820909414
1.05,-21.500263377078884
1.06,-19.618323579092042
1.07,-18.570504536297953
1.08,-21.431227763646916
1.09,-19.625937215493106
1.1,-19.572781379363526
1.11,-20.874365669593335
1.12,-13.730647466860638
1.13,-12.52632757985988
