seconds_elapsed,dBFS
0.0,-47.63822053179
0.01,-49.481144996029855
0.02,-53.40703789890922
0.03,-52.69272685357852
0.04,-51.619029674323
0.05,-53.65882044506962
0.06,-52.69272685357852
0.07,-52.13929832162136
0.08,-52.807773431360346
0.09,-51.82341297795672
0.1,-50.663574038402984
0.11,-48.301587796843094
0.12,-48.72537377824186
0.13,-48.653291292865354
0.14,-46.729459753330964
0.15,-46.61517008284237
0.16,-47.263231811533224
0.17,-47.141748857289365
0.18,-47.70232332929424
0.19,-47.3864379856296
0.2,-50.30899869919435
0.21,-49.32463824579072
0.22,-47.89752007507736
0.23,-47.3864379856296
0.24,-50.573564013869465
0.25,-48.87135855307185
0.26,-48.097204493209375
0.27,-48.03013165305762
0.28,-44.55296410058984
0.29,-41.876920161797734
0.3,-41.5539874427866
0.31,-41.1816780366135
0.32,-42.178195090515246
0.33,-40.73766878731749
0.34,-42.043003417569324
0.35,-39.99152182496077
0.36,-43.22682991624633
0.37,-41.64961288170624
0.38,-42.56120217241977
0.39,-44.87216656846438
0.4,-45.90683693839325
0.41,-46.17248117855736
0.42,-48.23292428007521
0.43,-47.70232332929424
0.44,-45.75126460692089
0.45,-43.989591790056004
0.46,-43.0744419788425
0.47,-46.729459753330964
0.48,-46.50236473578853
0.49,-45.20354859712824
0.5,-43.22682991624633
0.51,-40.39811194826538
0.52,-41.942972872799444
0.53,-41.42810278083282
0.54,-39.628476578071655
0.55,-39.78221315139747
0.56,-40.623001912258644
0.57,-41.03113891947621
0.58,-42.009531739778
0.59,-39.9387199016366
0.6,-41.490817057890006
0.61,-42.9246815509915
0.62,-44.733926680137785
0.63,-43.342901438231145
0.64,-41.81136596657302
0.65,-41.522344822589105
0.66,-42.043003417569324
0.67,-40.94205209095121
0.68,-39.25563437695049
0.69,-39.353504591437904
0.7,-37.559204108944144
0.71,-37.864718239868445
0.72,-41.00134167022599
0.73,-43.0744419788425
0.74,-44.463877272064835
0.75,-46.67212694029891
0.76,-47.89752007507736
0.77,-49.885212717795596
0.78,-50.663574038402984
0.79,-52.03272165152002
0.8,-52.24719895935549
0.81,-49.80288139389895
0.82,-50.136995263955995
0.83,-50.30899869919435
0.84,-50.754526593417395
0.85,-52.467106645384746
0.86,-51.92743685167287
0.87,-51.7206201849085
0.88,-51.03324215228325
0.89,-51.128170852772485
0.9,-46.28105621278533
0.91,-43.86461280451597
0.92,-44.82584171392076
0.93,-41.091041844063405
0.94,-40.31525704682628
0.95,-42.07660457992975
0.96,-45.39874534291136
0.97,-46.06524661111521
0.98,-45.05997690458577
0.99,-52.03272165152002
1.0,-48.44056499594966
1.01,-48.72537377824186
1.02,-49.885212717795596
1.03,-50.05225420509091
1.04,-50.573564013869465
1.05,-49.80288139389895
1.06,-50.573564013869465
1.07,-54.32218771012272
1.08,-53.787502645177824
1.09,-53.40703789890922
1.1,-51.32119856629609
1.11,-56.86704154048
1.12,-55.50174490930948
1.13,-56.32959861247397
1.14,-57.053842065562876
1.15,-58.26779887263511
1.16,-56.32959861247397
1.17,-58.26779887263511
1.18,-57.43994516947061
1.19,-58.26779887263511
1.2,-60.48176482250891
1.21,-59.9387199016366
1.22,-60.76657360480111
1.23,-57.43994516947061
1.24,-58.94496421785445
1.25,-58.48770655866437
1.26,-58.48770655866437
1.27,-59.9387199016366
1.28,-59.67942035834925
1.29,-60.20599913279624
1.3,-58.713326766858145
1.31,-58.26779887263511
1.32,-58.053321564799646
1.33,-58.26779887263511
1.34,-60.48176482250891
1.35,-60.76657360480111
1.36,-59.18294868384861
1.37,-60.76657360480111
1.38,-58.94496421785445
1.39,-59.18294868384861
1.4,-57.844012891236346
1.41,-52.57918419574472
1.42,-46.33585696010591
1.43,-43.989591790056004
1.44,-43.700723232210535
1.45,-43.61992367617574
1.46,-41.876920161797734
1.47,-42.99923900137636
1.48,-42.99923900137636
1.49,-43.90607297697328
1.5,-45.85466927624269
1.51,-49.72132314549016
1.52,-50.39629480724336
1.53,-48.653291292865354
1.54,-42.77745955806411
1.55,-39.06314141006486
1.56,-34.77497501942614
1.57,-32.225511333511086
1.58,-32.635769996122
1.59,-32.76157178179887
1.6,-35.47021714461037
1.61,-38.92152050689344
1.62,-40.04464669783558
1.63,-40.53798436918547
1.64,-39.25563437695049
1.65,-30.967404016304414
1.66,-29.75385460538329
1.67,-35.04043882793561
1.68,-35.17627653427739
1.69,-33.722923242573856
1.7,-33.11422737525142
1.71,-37.499369959785916
1.72,-38.224477637504954
1.73,-35.26802974280558
1.74,-37.72080671713998
1.75,-41.06103874121523
1.76,-39.99152182496077
1.77,-41.81136596657302
1.78,-42.280987883563476
1.79,-43.57980402222377
1.8,-44.96556413113407
1.81,-43.03675910135147
1.82,-42.88764145375963
1.83,-45.20354859712824
1.84,-42.7410406802316
1.85,-41.71395309914619
1.86,-41.9098837293992
1.87,-41.21210149902416
1.88,-40.31525704682628
1.89,-40.708859840051346
1.9,-41.00134167022599
1.91,-41.522344822589105
1.92,-42.88764145375963
1.93,-42.49029655712677
1.94,-44.073921478079264
1.95,-45.39874534291136
1.96,-45.49801373354236
1.97,-45.20354859712824
1.98,-47.08163865449485
1.99,-47.08163865449485
2.0,-46.5585842824651
2.01,-46.118698408341736
2.02,-48.37079843903322
2.03,-47.32461644608676
2.04,-47.141748857289365
2.05,-47.63822053179
2.06,-48.37079843903322
2.07,-49.01983891465598
2.08,-47.89752007507736
2.09,-50.22257122354151
2.1,-52.807773431360346
2.11,-51.41934525619099
2.12,-51.22414851040786
2.13,-49.96833191321875
2.14,-47.89752007507736
2.15,-47.7669027318982
2.16,-50.84644162720038
2.17,-49.885212717795596
2.18,-46.729459753330964
2.19,-45.10757093949286
2.2,-42.280987883563476
2.21,-39.88623702511363
2.22,-39.80810255845745
2.23,-40.151881265277744
2.24,-38.20289777637217
2.25,-35.741923058769785
2.26,-37.341798479575715
2.27,-38.69049918568197
2.28,-40.28781345483932
2.29,-43.15030175918528
2.3,-46.5585842824651
2.31,-46.5585842824651
2.32,-48.164799306236986
2.33,-47.141748857289365
2.34,-47.44870269411245
2.35,-50.22257122354151
2.36,-50.136995263955995
2.37,-48.164799306236986
2.38,-49.247429829525956
2.39,-50.39629480724336
2.4,-49.72132314549016
2.41,-51.22414851040786
2.42,-51.619029674323
2.43,-51.41934525619099
2.44,-52.35645687338553
2.45,-51.22414851040786
2.46,-45.10757093949286
2.47,-43.46054508275023
2.48,-41.71395309914619
2.49,-43.50011640239199
2.5,-43.989591790056004
2.51,-44.28839878591474
2.52,-42.043003417569324
2.53,-39.182948683848615
2.54,-39.730664693641266
2.55,-43.700723232210535
2.56,-45.251938079596485
2.57,-47.83196587985263
2.58,-48.945281464271126
2.59,-46.39100565100968
2.6,-43.61992367617574
2.61,-42.280987883563476
2.62,-41.03113891947621
2.63,-37.302848236555626
2.64,-35.17627653427739
2.65,-41.091041844063405
2.66,-42.49029655712677
2.67,-43.7414066304196
2.68,-45.44823772546847
2.69,-47.3864379856296
2.7,-46.06524661111521
2.71,-43.82334959324051
2.72,-43.539868827102254
2.73,-39.57782984776375
2.74,-36.08973631928884
2.75,-36.59416392714908
2.76,-37.96899187677637
2.77,-33.28383172481285
2.78,-33.28383172481285
2.79,-36.191724453515974
2.8,-38.39907426268287
2.81,-37.20623000296671
2.82,-36.885541844892686
2.83,-37.9062775997192
2.84,-36.8301587265126
2.85,-35.54925217252573
2.86,-29.640523589455363
2.87,-29.901773046240198
2.88,-34.65954621586863
2.89,-38.01105437853166
2.9,-37.034980191401395
2.91,-32.83096674190513
2.92,-30.672626555781086
2.93,-31.771864520200506
2.94,-26.63221795806593
2.95,-29.41820349134614
2.96,-25.017364114432805
2.97,-29.46536680887903
2.98,-29.737573645343605
2.99,-30.162579640739466
3.0,-32.842586662886376
3.01,-35.13076085123488
3.02,-33.34521635936638
3.03,-32.467106645384746
3.04,-31.70020680386035
3.05,-30.47561855159539
3.06,-30.12848385745615
3.07,-29.441753138771766
3.08,-29.496951896912897
3.09,-32.26894087217977
3.1,-31.137721034755007
3.11,-29.201432071694352
3.12,-27.943704177404772
3.13,-30.88348172443225
3.14,-31.214502879613097
3.15,-30.995559274792225
3.16,-29.43389615982077
