seconds_elapsed,dBFS
0.0,-19.66410582666271
0.01,-17.503346105260743
0.02,-20.786864362390528
0.03,-17.773981625526496
0.04,-19.489902520671702
0.05,-18.94966056273127
0.06,-18.916839348257867
0.07,-22.069873940586326
0.08,-21.9131869770671
0.09,-22.260331774808115
0.1,-21.65923358378423
0.11,-22.51504773506664
0.12,-20.08738178841199
0.13,-20.22774104562052
0.14,-20.772366128949145
0.15,-22.561202172419765
0.16,-22.391991178818735
0.17,-20.804294247111788
0.18,-22.76287367783038
0.19,-19.86011402906796
0.2,-20.6286994458431
0.21,-13.706210950687503
0.22,-13.30097573925119
0.23,-12.87287141001977
0.24,-13.162348770568988
0.25,-12.781177462810607
0.26,-14.737292141935113
0.27,-14.117804406489004
0.28,-13.4455894087964
0.29,-14.234395279703477
0.3,-12.755813816962185
0.31,-14.909642672605507
0.32,-14.753214950497007
0.33,-14.612375136704973
0.34,-16.859652437832715
0.35,-15.93564399287014
0.36,-17.40055331221252
0.37,-17.14113817361188
0.38,-14.668150366783275
0.39,-15.421574152557145
0.4,-16.642653460756705
0.41,-15.449785294911308
0.42,-15.318910221671512
0.43,-17.198546774126005
0.44,-14.226210052487346
0.45,-15.11715252627486
0.46,-15.3592088540209
0.47,-14.86256456473596
0.48,-14.909642672605507
0.49,-16.017374522403735
0.5,-15.451355270448898
0.51,-15.871138374895208
0.52,-16.729531180799054
0.53,-15.370090506892264
0.54,-15.621003848783015
0.55,-16.343507165707006
0.56,-16.46793139851274
0.57,-16.39586350047055
0.58,-19.328933458678602
0.59,-17.808926678897087
0.6,-17.987894799662637
0.61,-15.531802657750351
0.62,-12.82632312263491
0.63,-14.327704312174195
0.64,-17.059508624188165
0.65,-16.135482844663617
0.66,-17.72080671713998
0.67,-17.954317991914
0.68,-18.761460860854065
0.69,-17.846081206435564
0.7,-16.868889798735317
0.71,-12.870538061546888
0.72,-11.225113662877108
0.73,-14.02671157661185
0.74,-15.484390478684942
0.75,-15.481238849608976
0.76,-14.334604995494232
0.77,-15.4294013943575
0.78,-13.568599728376189
0.79,-13.010474868414247
0.8,-15.272642944456774
0.81,-13.951083555958448
0.82,-14.334604995494232
0.83,-13.555967542266508
0.84,-15.393454341399178
0.85,-14.770618642353428
0.86,-15.028466545353611
0.87,-13.219234198305749
0.88,-13.94712131626164
0.89,-16.20883951252764
0.9,-12.730524019843015
0.91,-18.45658227275471
0.92,-12.396128602712775
0.93,-16.126993068171025
0.94,-12.404969203616494
0.95,-14.76916700206626
0.96,-13.891838910400358
0.97,-13.505621714379238
0.98,-13.238684764055783
0.99,-10.985225080071615
1.0,-12.133938315503682
1.01,-11.744155036048177
1.02,-14.672455640545799
1.03,-14.67963584235839
1.04,-16.698662511569257
1.05,-15.800567697709184
1.06,-14.756113145264658
1.07,-14.069459812455278
1.08,-12.007336666170348
1.09,-13.277717053924587
1.1,-12.53081351392373
1.11,-16.854114733062374
1.12,-13.870871152147897
1.13,-16.052638695037356
1.14,-13.524467218925649
1.15,-13.331674469298772
1.16,-14.171838108818008
1.17,-12.100779900900594
1.18,-14.656680058562287
1.19,-12.92671215960685
1.2,-15.106582993903006
1.21,-12.527448846193078
1.22,-12.258063112914531
1.23,-14.237125403767468
1.24,-13.860406223607221
1.25,-13.523209579071418
1.26,-14.005416096405984
1.27,-14.31667460956438
1.28,-13.935245430364082
1.29,-14.256260337538144
1.3,-14.388619312251372
1.31,-14.58817449434327
1.32,-13.42069788971787
1.33,-16.755035069704146
1.34,-14.750317722438771
1.35,-13.898401728723961
1.36,-15.215917314085715
1.37,-14.40113200056857
1.38,-16.46969664384715
1.39,-15.808744192371218
1.4,-14.656680058562287
1.41,-13.926019843051673
1.42,-16.348728620410725
1.43,-13.866945326255948
1.44,-14.029377186464922
1.45,-12.773099175180347
1.46,-11.174107793540538
1.47,-12.836774759265012
1.48,-12.064557568546048
1.49,-12.799670381866646
1.5,-11.246374195525457
1.51,-11.801725352112326
1.52,-14.846440218527663
1.53,-15.823481307178577
1.54,-11.037964027712432
1.55,-15.31581805729636
1.56,-9.878597416913705
1.57,-13.086677815966452
1.58,-12.273295793122372
1.59,-17.647713245364372
1.6,-18.749976144599255
1.61,-15.409065218423157
1.62,-17.394659911802282
1.63,-17.688244768459548
1.64,-19.23133816631687
1.65,-21.10608234935935
1.66,-18.27431573399226
1.67,-16.02911334598148
1.68,-17.99420492681126
1.69,-19.8288697880469
1.7,-22.21574468171991
1.71,-18.877151031968214
1.72,-17.686213694058136
1.73,-18.129924713677102
1.74,-15.186931267492245
1.75,-18.27431573399226
1.76,-17.21007416750747
1.77,-15.019498150506179
1.78,-15.337486360574516
1.79,-15.937304298645635
1.8,-14.228937604602104
1.81,-15.894239158825851
1.82,-17.86679149196997
1.83,-16.553070471568464
1.84,-15.85138648545557
1.85,-15.558784885724835
1.86,-17.09358582864041
1.87,-16.3365501051524
1.88,-15.86454941979975
1.89,-17.1812843180206
1.9,-17.089792863672685
1.91,-16.20541380172083
1.92,-16.104958406086663
1.93,-15.573103600707142
1.94,-16.161002076529382
1.95,-17.02556459195574
1.96,-19.532498920436282
1.97,-19.272682252174043
1.98,-18.68594085986858
1.99,-20.039319565109217
2.0,-18.76375962747806
2.01,-19.037004121563733
2.02,-21.478237925151138
2.03,-21.459403317905384
2.04,-20.942052090951208
2.05,-21.154387734274387
2.06,-22.483237727288405
2.07,-23.17700998469494
2.08,-23.660229500882252
2.09,-22.792069973011237
2.1,-23.048046808772487
2.11,-22.260331774808115
2.12,-24.965564131134084
2.13,-24.517219648342422
2.14,-24.441747604965446
2.15,-23.607868310412528
2.16,-24.24507755078458
2.17,-24.858243151689607
2.18,-24.288398785914733
2.19,-22.336312208426516
2.2,-23.304038332511098
2.21,-12.40275820967861
2.22,-13.843427560160944
2.23,-14.463967261129074
2.24,-13.568599728376189
2.25,-14.675327009047344
2.26,-13.701075169524978
2.27,-16.352211334827096
2.28,-16.113426662229852
2.29,-14.880188966396119
2.3,-13.602798681813104
2.31,-14.878718899601026
2.32,-14.954011352282759
2.33,-15.771195884357924
2.34,-15.498586978121063
2.35,-16.81728665313608
2.36,-14.312542079327962
2.37,-16.453822336099872
2.38,-15.680446958175395
2.39,-15.970577235859135
2.4,-15.088493664966904
2.41,-14.344275171835644
2.42,-14.616652846536851
2.43,-16.443255559081248
2.44,-15.887632663251175
2.45,-15.182363352773207
2.46,-15.539729909955309
2.47,-14.785148404252919
2.48,-18.189975547896896
2.49,-19.965080740194875
2.5,-20.492979658977255
2.51,-20.370405737730056
2.52,-20.82758863489348
2.53,-22.009531739777994
2.54,-23.425084381765657
2.55,-20.906671636174273
2.56,-21.07302754869217
2.57,-20.962757439583317
2.58,-19.241048496716754
2.59,-17.537217033340017
2.6,-15.763054643122608
