seconds_elapsed,dBFS
0.0,-13.455566023978589
0.01,-13.71649163203337
0.02,-13.853872040166543
0.03,-10.679875368751826
0.04,-11.337805457015124
0.05,-11.209684078025944
0.06,-11.31144461845686
0.07,-13.20225060980355
0.08,-18.046968359856102
0.09,-14.086886558835749
0.1,-13.027087230709409
0.11,-11.995726629078893
0.12,-12.989162696668853
0.13,-11.031354120618811
0.14,-14.342893058754827
0.15,-14.298781161306998
0.16,-13.853872040166543
0.17,-11.540605783330495
0.18,-12.461540551225632
0.19,-13.753861439622021
0.2,-12.00311303874063
0.21,-11.308520568727827
0.22,-10.644594406232299
0.23,-12.306027484807478
0.24,-13.285055175711145
0.25,-11.948391963496757
0.26,-14.074818165270532
0.27,-15.686897674875947
0.28,-13.518180839814981
0.29,-14.050731566337246
0.3,-14.759012307387058
0.31,-13.288726562720958
0.32,-14.554123266265025
0.33,-13.23625106002247
0.34,-13.851259742511344
0.35,-14.74163183207688
0.36,-14.971822478766004
0.37,-14.919975111153605
0.38,-17.246678835883017
0.39,-16.36266786454669
0.4,-15.031458069281259
0.41,-14.501887770906627
0.42,-15.080967549221736
0.43,-15.136815845999482
0.44,-13.726784496088465
0.45,-15.965578162548155
0.46,-12.563406008593896
0.47,-11.560647069651601
0.48,-10.893695503579004
0.49,-11.593816624288122
0.5,-12.216851422885398
0.51,-10.709840832381047
0.52,-10.266541774691124
0.53,-11.763645082976726
0.54,-12.867039213709823
0.55,-11.908620378616062
0.56,-11.601876840282895
0.57,-11.432186171169135
0.58,-12.029544468174935
0.59,-12.799670381866646
0.6,-11.199092115511817
0.61,-13.377308641233434
0.62,-12.013675960677308
0.63,-13.194982082485613
0.64,-12.245027758334789
0.65,-15.189977879111717
0.66,-14.105693008331366
0.67,-14.715626155051398
0.68,-12.98798021900886
0.69,-15.876083373399432
0.7,-12.85072986678645
0.71,-11.298780839474425
0.72,-12.209281077207091
0.73,-13.683123811654166
0.74,-14.029377186464922
0.75,-15.703045457251363
0.76,-13.119027535438835
0.77,-13.65882044506963
0.78,-13.903655555975067
0.79,-14.161004444004652
0.8,-12.374066387046245
0.81,-13.190139774548037
0.82,-13.155113543463363
0.83,-12.990345335330638
0.84,-13.764198709081448
0.85,-16.59774647602976
0.86,-15.291120291551849
0.87,-15.138330254448626
0.88,-16.096498397978422
0.89,-16.667903157718214
0.9,-16.024080478836474
0.91,-15.715985332475952
0.92,-15.371646142185769
0.93,-14.470977099002933
0.94,-14.940676934867724
0.95,-15.240401867685902
0.96,-15.52229949527277
0.97,-14.878718899601026
0.98,-14.480800385851154
0.99,-15.303460396114502
1.0,-12.956114021132388
1.01,-12.017904728841684
1.02,-10.414738990562952
1.03,-11.389784627642987
1.04,-10.90857338262704
1.05,-10.986164044413707
1.06,-10.105544633458784
1.07,-10.295112381867268
1.08,-12.133938315503682
1.09,-13.730647466860638
1.1,-10.958975204737529
1.11,-12.284192657728175
1.12,-12.910290486257159
1.13,-13.693377187067133
1.14,-13.418212656614198
1.15,-12.765028393758564
1.16,-11.315344883290274
1.17,-11.618019745871418
1.18,-12.798513420208184
1.19,-12.206038662074036
1.2,-10.7417357575167
1.21,-11.053091302049694
1.22,-11.138676630733537
1.23,-11.47578913142651
1.24,-10.006835486277614
1.25,-12.583697518599227
1.26,-11.089124520347637
1.27,-12.365257167591286
1.28,-10.739910031889785
1.29,-11.846191578690345
1.3,-11.33389509582896
1.31,-11.297807466958357
1.32,-13.71649163203337
1.33,-13.097447674306046
1.34,-12.989162696668853
1.35,-11.561650348848564
1.36,-11.938955906470882
1.37,-11.970449376934504
1.38,-11.487718934796316
1.39,-12.656231465273585
1.4,-13.615499209939479
1.41,-13.30710681146034
1.42,-11.979919728195856
1.43,-12.0709387783137
1.44,-12.684730374093974
1.45,-11.794508160473105
1.46,-13.341521022302324
1.47,-12.803142191774198
1.48,-14.717068874037867
1.49,-13.564808143170225
1.5,-12.363056258004425
1.51,-12.043320663985988
1.52,-12.091176926303792
1.53,-10.825214876831016
1.54,-11.618019745871418
1.55,-10.688037520930902
1.56,-11.45296937283555
1.57,-11.341717579426971
1.58,-12.271118059717942
1.59,-11.880471878889047
1.6,-10.930005079567504
1.61,-10.92161246452381
1.62,-11.852414305861378
1.63,-13.747406888059439
1.64,-11.42922119771892
1.65,-13.697225325491472
1.66,-17.21969202879144
1.67,-15.561964783120068
1.68,-14.113765397051859
1.69,-14.72139846936124
