seconds_elapsed,dBFS
0.0,-26.346858721726324
0.01,-32.20387772422533
0.02,-32.715614586553286
0.03,-34.731509259139564
0.04,-32.279832271272106
0.05,-36.05600466665013
0.06,-31.166434745658094
0.07,-38.18137139698226
0.08,-32.579184195744716
0.09,-35.613002107417415
0.1,-37.11067469779735
0.11,-35.54925217252573
0.12,-36.45206031364975
0.13,-36.072854118370536
0.14,-36.9973788788353
0.15,-37.18703465893772
0.16,-37.36133929690196
0.17,-34.46116490922928
0.18,-38.71332676685816
0.19,-38.7821716950785
0.2,-36.95993964139527
0.21,-40.151881265277744
0.22,-39.86011402906796
0.23,-35.98893182649837
0.24,-37.2640718791279
0.25,-32.64713152768056
0.26,-35.905812631075214
0.27,-38.532364187310215
0.28,-38.736214499832904
0.29,-36.576273313948484
0.3,-36.885541844892686
0.31,-33.04254149678523
0.32,-35.741923058769785
0.33,-35.407502867553205
0.34,-35.055427424645636
0.35,-29.332396968627354
0.36,-33.519437751710385
0.37,-22.50796877001461
0.38,-15.136815845999482
0.39,-14.124540265405921
0.4,-14.340129492190608
0.41,-13.693377187067133
0.42,-8.271308955843516
0.43,-7.829353974965102
0.44,-9.630877958660601
0.45,-10.729875394842527
0.46,-11.812046039683615
0.47,-13.227738461865934
0.48,-13.579984424791267
0.49,-12.284192657728175
0.5,-11.942100119948858
0.51,-11.71653366888955
0.52,-11.984132089887563
0.53,-11.571689519681904
0.54,-11.562653743944473
0.55,-11.960989340089345
0.56,-11.905488258993902
0.57,-11.257992821230324
0.58,-13.281385339882426
0.59,-13.893151077430282
0.6,-15.391894795719779
0.61,-14.39834984499127
0.62,-13.53705364286123
0.63,-18.36387304069152
0.64,-22.82136473817671
0.65,-27.306155462223188
0.66,-29.14807409128872
0.67,-32.03272165152002
0.68,-32.085846524394825
0.69,-31.449006831873547
0.7,-30.026992268801944
0.71,-35.37631472044278
0.72,-32.36745863500595
0.73,-31.31144461845686
0.74,-34.70265245639133
0.75,-34.489229197418034
0.76,-32.70416318128475
0.77,-32.16077148370263
0.78,-34.433191005377985
0.79,-31.896098671058603
0.8,-30.63647295670367
0.81,-29.36350135151077
0.82,-31.979919728195853
0.83,-27.644609564544467
0.84,-28.103940352126294
0.85,-28.67485329724737
0.86,-28.461604706611944
0.87,-25.65924137213463
0.88,-27.17801567255873
0.89,-27.251006771319407
0.9,-26.156311351415127
0.91,-26.51919242520701
0.92,-26.86277932875527
0.93,-25.349533371958227
0.94,-25.305479737515853
0.95,-22.448029370858794
0.96,-24.450592707194232
0.97,-24.890765910984733
0.98,-25.664328276899685
0.99,-24.788958899953354
1.0,-27.29386990198818
1.01,-27.910690494034537
1.02,-27.196206023998826
1.03,-27.380235993478866
1.04,-29.536595460200303
1.05,-27.300010509976744
1.06,-28.178381622746727
1.07,-28.356912121706138
1.08,-30.352537084279845
1.09,-28.682052543111705
1.1,-31.071089225837348
1.11,-31.01438027812177
1.12,-32.279832271272106
1.13,-29.885212717795593
1.14,-30.809558813232975
1.15,-32.24719895935549
1.16,-33.569863958003346
1.17,-30.052254205090914
1.18,-29.97668774805081
1.19,-32.44486363799739
1.2,-30.65453094582345
1.21,-30.08605148367841
1.22,-26.374424246728623
1.23,-24.28405692647013
1.24,-25.608535509289887
1.25,-26.939049028733702
1.26,-28.343047969300407
1.27,-27.910690494034537
1.28,-27.996788465708363
1.29,-27.599984712284076
1.3,-29.69700425987533
1.31,-31.478770046506295
1.32,-29.61642956668795
1.33,-30.727140686427823
1.34,-31.619029674323002
1.35,-33.76161323811785
1.36,-31.57872384961649
1.37,-29.441753138771766
1.38,-31.321198566296097
1.39,-29.473252319759318
1.4,-28.849303806635746
1.41,-29.959984108983633
1.42,-30.7636744506485
1.43,-31.19524369292424
1.44,-33.35754551635211
1.45,-31.844118326588827
1.46,-27.838499080339716
1.47,-28.144465571695786
1.48,-29.004876138108116
1.49,-27.15382097825708
1.5,-30.95803917481711
1.51,-30.431460400370135
1.52,-18.3266273980871
1.53,-28.58180208569939
1.54,-30.939339728115655
1.55,-31.41934525619098
1.56,-29.28594825024673
1.57,-29.640523589455363
1.58,-28.989939092916963
1.59,-33.34521635936638
1.6,-32.41160556428931
1.61,-27.57458735606622
1.62,-30.718031205112453
1.63,-26.468806846120955
1.64,-27.657401745999618
1.65,-27.990135160413253
1.66,-29.457488450390542
1.67,-31.166434745658094
1.68,-26.874469626129734
