seconds_elapsed,dBFS
0.0,-36.0391878373155
0.01,-36.94128036539435
0.02,-33.25939882645723
0.03,-22.93954193038712
0.04,-18.676831378553203
0.05,-19.380613362490525
0.06,-19.878391873620135
0.07,-18.28083748850068
0.08,-16.79709757145943
0.09,-15.362316506876256
0.1,-14.329084010316729
0.11,-14.625214591575142
0.12,-14.250788910813561
0.13,-12.540915344453422
0.14,-11.997836390963947
0.15,-13.024712089967764
0.16,-13.630764397766788
0.17,-14.501887770906627
0.18,-14.84351173244528
0.19,-14.38167559964393
0.2,-14.184042155278549
0.21,-13.988151880754424
0.22,-14.511746098266723
0.23,-16.305312106750403
0.24,-15.47021714461038
0.25,-15.322003487244825
0.26,-14.650950579701465
0.27,-17.51528547434073
0.28,-18.09153869159332
0.29,-19.66920767094335
0.3,-19.041750509462208
0.31,-18.41010396529269
0.32,-20.786864362390528
0.33,-20.915503248158394
0.34,-21.181678036613498
0.35,-22.472660226929378
0.36,-21.070028795119118
0.37,-21.09404786231042
0.38,-19.623398595092727
0.39,-21.390690420171886
0.4,-21.853919873167392
0.41,-21.29478113625597
0.42,-20.947962870109606
0.43,-20.60024907766833
0.44,-23.811008758148088
0.45,-27.04577119965399
0.46,-32.17152800475295
0.47,-27.773387158954176
0.48,-22.357150018432023
0.49,-20.50701859792826
0.5,-18.21583925823694
0.51,-18.613331119264203
0.52,-18.92152050689344
0.53,-20.60024907766833
0.54,-21.525503902324985
0.55,-19.746097134132228
0.56,-21.49396468961065
0.57,-19.951890320593783
0.58,-20.708859840051343
0.59,-20.977577251467274
0.6,-18.45214503657235
0.61,-17.517276965725827
0.62,-14.56545884978328
0.63,-13.439359838395204
0.64,-12.95847047519949
0.65,-12.88922242398285
0.66,-12.773099175180347
0.67,-12.004168753070468
0.68,-11.908620378616062
0.69,-11.676790571935118
0.7,-12.267852483025026
0.71,-11.13198966560079
0.72,-10.888122862473784
0.73,-10.799443435876865
0.74,-10.835360329114682
0.75,-10.305525038025058
0.76,-10.490683609072669
0.77,-12.189844717345817
0.78,-10.390155439343346
0.79,-9.204491022117967
0.8,-11.258961741933886
0.81,-10.036246450123727
0.82,-12.153249836982035
0.83,-11.383884555206409
0.84,-11.462883641276475
0.85,-11.630146644369137
0.86,-12.458202606021649
0.87,-12.933759534953353
0.88,-11.940003851171202
0.89,-13.0354053416764
0.9,-13.134646401988523
0.91,-15.026971169669782
0.92,-14.050731566337246
0.93,-12.359755938933096
0.94,-14.635213972248028
0.95,-12.222262855144457
0.96,-14.954011352282759
0.97,-12.182297863092547
0.98,-14.14207798438646
0.99,-11.757485605372146
1.0,-13.242336599147652
1.01,-11.430209409750027
1.02,-13.774548295814515
1.03,-11.31144461845686
1.04,-11.731868027556143
1.05,-11.781120693800712
1.06,-11.055930601330132
1.07,-12.983251917510458
1.08,-11.340739383622335
1.09,-11.944196894766057
1.1,-12.422677445505588
1.11,-11.852414305861378
1.12,-14.30565889516708
1.13,-13.252082338894422
1.14,-14.395568580273924
1.15,-13.894463442717672
1.16,-14.820119320695056
1.17,-13.81476982989967
1.18,-14.140727671186994
1.19,-14.004086860863097
1.2,-13.908912563028
1.21,-12.424893516352682
1.22,-12.913806803546152
1.23,-15.228150963485628
1.24,-14.56829505866989
1.25,-16.380123436414372
1.26,-13.266721482199127
1.27,-13.779727717338332
1.28,-12.36745863500595
1.29,-12.529691813187613
1.3,-13.791392720470768
1.31,-12.742010254838847
1.32,-15.43723569599628
1.33,-12.375168167936677
1.34,-13.066371112933615
1.35,-12.487174169839882
1.36,-13.010474868414247
1.37,-12.671039227734134
1.38,-13.43064593906651
1.39,-13.620584625563705
1.4,-14.088228527110038
1.41,-13.817371174524704
1.42,-14.911117982950977
1.43,-14.066781875132364
1.44,-14.10300387839098
1.45,-14.73440021927212
1.46,-13.042541496785239
1.47,-15.423139036740833
1.48,-15.485966722158658
1.49,-15.421574152557145
1.5,-14.31667460956438
1.51,-16.22255588274965
1.52,-15.3685351501618
1.53,-14.86696731365412
1.54,-16.40637274511384
1.55,-15.04193652423005
1.56,-14.515974523326165
1.57,-16.565556607298365
1.58,-16.755035069704146
1.59,-17.200466944275984
1.6,-17.27762392187852
1.61,-16.727712336768104
1.62,-17.273749751592142
1.63,-17.353517693817754
1.64,-18.429992793914607
1.65,-17.14495363145406
1.66,-18.43884691255905
1.67,-20.331764919336678
1.68,-18.35509498068411
1.69,-18.040619798502895
1.7,-18.6268992912053
1.71,-18.545806371532517
1.72,-16.53348559373746
1.73,-18.15775383552259
1.74,-17.979488421423046
1.75,-17.537217033340017
1.76,-19.410283381564305
1.77,-20.364875085115266
1.78,-22.17478952699856
1.79,-24.16763968596839
1.8,-21.500263377078884
1.81,-20.9953944672288
1.82,-18.40789690400828
1.83,-16.599538304739173
1.84,-17.77193040585984
1.85,-18.606554973058046
1.86,-17.73509104491389
1.87,-18.75916270244985
1.88,-17.929220291895685
1.89,-18.695059904945623
1.9,-19.067902106066782
1.91,-19.99946987154684
1.92,-21.133221064977455
1.93,-20.238632444712863
1.94,-20.42034072466638
1.95,-20.93614533136413
1.96,-22.229439425807264
1.97,-22.686697084997345
1.98,-22.195242965738807
1.99,-22.472660226929378
2.0,-23.269209590481715
2.01,-23.4526524064797
2.02,-23.733254692103664
2.03,-24.638451401960488
2.04,-25.943541627765406
2.05,-28.783473591110003
2.06,-28.937860797747096
2.07,-29.57642079195113
2.08,-28.124179327430294
2.09,-27.990135160413253
2.1,-30.308998699194355
2.11,-35.70951298520325
2.12,-40.97164629211217
2.13,-39.01567741415257
2.14,-38.289540785459394
2.15,-38.992042325724
2.16,-40.28781345483932
2.17,-43.3040383325111
2.18,-43.03675910135147
2.19,-44.733926680137785
2.2,-42.52567701190371
2.21,-40.680146129148255
2.22,-40.97164629211217
2.23,-36.20883951252764
2.24,-30.326387873446933
2.25,-24.775168122293564
2.26,-24.18049814818061
2.27,-25.990962435113723
2.28,-22.09345403165016
2.29,-20.648670296311714
2.3,-20.20328521631171
2.31,-20.047311489891474
2.32,-20.274124106634464
2.33,-20.43983767929059
2.34,-19.469929210029633
2.35,-19.0180444640754
2.36,-18.660912738813796
2.37,-19.284879824236235
2.38,-19.625937215493106
2.39,-19.178124529524066
2.4,-17.769879670485413
2.41,-16.94500901522112
2.42,-17.129701845905657
2.43,-17.891709193891934
2.44,-18.2331246164551
2.45,-18.038504642121307
2.46,-17.825420184233913
2.47,-18.8353248373184
2.48,-20.082028389390096
2.49,-20.162677897666086
2.5,-23.257630975608183
2.51,-23.074441978842497
2.52,-24.44616903017574
2.53,-25.290844705177236
2.54,-25.498013733542365
2.55,-22.93954193038712
2.56,-22.19865655966683
2.57,-20.789766915345883
2.58,-19.32402756211324
2.59,-18.602040477302538
2.6,-18.523414274475012
2.61,-20.149184202800527
2.62,-17.989997666066337
2.63,-17.091689139116973
2.64,-18.021601908228583
2.65,-18.021601908228583
2.66,-16.3836187642837
2.67,-17.213920034135754
2.68,-16.423916458688787
2.69,-18.283012495307606
2.7,-20.095418078550157
2.71,-19.949254638692793
2.72,-17.881318129561294
2.73,-20.40644107433569
2.74,-21.082030026234698
2.75,-22.178195090515253
2.76,-22.4761846293466
2.77,-20.775263840281465
2.78,-20.983512263408514
2.79,-20.75210917241919
2.8,-22.543421430001573
2.81,-22.909846552273294
2.82,-24.544014187754634
2.83,-27.063686413233924
2.84,-29.449617231330755
2.85,-33.6205846255637
2.86,-27.670212794985865
2.87,-25.823518413309202
2.88,-30.52000234586052
2.89,-27.773387158954176
2.9,-27.057710568733974
2.91,-30.205388449118754
2.92,-30.818764844447788
2.93,-27.027892861325324
2.94,-24.24075728725952
2.95,-21.923104264125147
2.96,-20.54927207660649
2.97,-21.33487230109276
2.98,-20.789766915345883
2.99,-21.59529594036176
3.0,-19.459959751674827
3.01,-20.189728338831834
3.02,-18.237451336165023
3.03,-19.178124529524066
3.04,-17.792464433480134
3.05,-18.10857820591145
3.06,-19.272682252174043
3.07,-21.73334846925527
3.08,-19.988874091473402
3.09,-20.804294247111788
3.1,-22.219166344020636
3.11,-20.580389122105682
3.12,-21.175606110719208
3.13,-21.406259324928275
3.14,-20.660102860829053
3.15,-21.031138919476213
3.16,-19.49240241697276
3.17,-19.687087761793798
3.18,-20.11957165714339
3.19,-17.238959759935703
3.2,-16.87628676715176
3.21,-18.10644643767445
3.22,-17.96899187677638
3.23,-18.359482901786805
3.24,-19.12044270400456
3.25,-19.216792994671078
3.26,-23.484266234420513
3.27,-22.205487774834573
3.28,-26.939049028733702
3.29,-29.745710310704958
3.3,-31.004964678676114
3.31,-32.912634539607794
3.32,-34.789512076606975
3.33,-35.04043882793561
3.34,-35.34523815907035
3.35,-38.5100066726802
3.36,-40.9125583796311
3.37,-40.12494825257229
3.38,-41.30401653280713
3.39,-43.7414066304196
3.4,-44.463877272064835
3.41,-45.54807663661845
3.42,-46.84527333094888
3.43,-46.50236473578853
3.44,-48.03013165305762
3.45,-49.481144996029855
3.46,-50.22257122354151
3.47,-49.72132314549016
3.48,-50.30899869919435
3.49,-36.10665139695803
3.5,-38.69049918568197
3.51,-37.72080671713998
3.52,-38.44327735878521
3.53,-24.023225480244403
3.54,-14.622359738751392
3.55,-17.420226909837588
3.56,-18.256948290789225
3.57,-19.847081934143002
3.58,-22.458576900555713
3.59,-20.68014612914826
3.6,-20.230462615324146
3.61,-18.350709275143792
3.62,-17.63760984811252
3.63,-17.979488421423046
3.64,-18.320071184688842
3.65,-19.08935758746965
3.66,-18.879480625555484
3.67,-19.978291221278365
3.68,-18.359482901786805
3.69,-17.682152969515702
3.7,-18.604297431878848
3.71,-16.015698841943617
3.72,-17.13160685515511
3.73,-17.099278383495
3.74,-14.612375136704973
3.75,-13.878728131098894
3.76,-13.793987072233802
3.77,-12.924364304574834
3.78,-12.85189380509815
3.79,-13.67800165927924
3.8,-16.256941872385816
3.81,-15.50174490930948
3.82,-16.000632247293233
3.83,-16.050956198249903
3.84,-18.22663857535366
3.85,-18.370462412334945
3.86,-18.64956011709824
3.87,-14.837657720673183
3.88,-17.363295798687023
3.89,-19.336297502899324
3.9,-17.106874264729473
3.91,-17.581246982931223
3.92,-16.933827864175203
3.93,-18.97082559465829
3.94,-16.813612418885832
3.95,-17.563207745630866
3.96,-18.241780212226747
3.97,-16.841207135428256
3.98,-17.977388097476638
3.99,-18.241780212226747
4.0,-18.909822337262476
4.01,-17.833678696515737
4.02,-18.91449971467118
4.03,-18.521178236455697
4.04,-16.474994533391126
4.05,-17.747353479380767
4.06,-16.21055287472632
4.07,-16.90037051198225
4.08,-17.217767604359494
4.09,-18.34194450180868
4.1,-20.060647727177553
4.11,-20.238632444712863
4.12,-20.85386971285011
4.13,-22.130638282258758
4.14,-25.45817013322667
4.15,-24.129178119191074
4.16,-23.69666535330559
4.17,-22.305148927342838
4.18,-24.688331354239807
4.19,-26.752499261900724
4.2,-25.839079879946464
4.21,-24.665623133101526
4.22,-25.315250143088328
4.23,-24.159077940930096
4.24,-24.419674175962495
4.25,-22.357150018432023
4.26,-22.006191655276904
4.27,-22.661452629832084
4.28,-21.47509598638002
4.29,-23.085778795293837
4.3,-22.511507531374647
4.31,-21.573028494558283
4.32,-22.843400833644438
4.33,-21.582564696399693
4.34,-23.835707987032354
4.35,-23.504083467835724
4.36,-23.15030175918528
4.37,-21.446869564449035
4.38,-22.611182768583276
4.39,-23.8233495932405
4.4,-22.518589382266807
4.41,-21.14228617935541
4.42,-22.391991178818735
4.43,-21.512874471327752
4.44,-21.025171286374366
4.45,-23.567804172783866
4.46,-23.05181264002075
4.47,-24.271044355290194
4.48,-23.304038332511098
4.49,-21.157415759279104
4.5,-24.75223203915341
4.51,-24.895421976300227
4.52,-24.647499204484923
4.53,-23.464494111978546
4.54,-21.778773471902856
4.55,-23.947731999939123
4.56,-25.0742277521436
4.57,-22.958153228782827
4.58,-23.52792398501157
4.59,-22.806705005349855
4.6,-23.37020944521454
4.61,-24.258051249444645
4.62,-25.334823987176
4.63,-23.28467179240752
4.64,-24.124915105786204
4.65,-23.77409110788792
4.66,-23.782281480619325
4.67,-23.968636678232123
4.68,-21.30709718176231
4.69,-18.22663857535366
4.7,-17.061398298869406
4.71,-14.821579502196025
4.72,-14.26173521300341
4.73,-13.393399356956571
4.74,-13.120227990093232
4.75,-13.653712600383729
4.76,-14.057415591013422
4.77,-16.171230799562
4.78,-13.4455894087964
4.79,-13.889215170873365
4.8,-13.245989970237504
4.81,-13.765491733220504
4.82,-15.015017423227
4.83,-13.159936358489029
4.84,-13.402075950966188
4.85,-12.777714419517448
4.86,-15.413753957882797
4.87,-15.498586978121063
4.88,-13.225307822522225
4.89,-11.909664669526617
4.9,-14.24532092848752
4.91,-17.547204259504245
4.92,-24.340671097968464
4.93,-19.522457428406852
4.94,-19.410283381564305
4.95,-20.38147761894634
4.96,-20.29329524084524
4.97,-22.708393739837746
4.98,-20.877297615490562
4.99,-23.066892313318895
5.0,-19.878391873620135
5.01,-19.59046387128297
5.02,-22.222589354759744
5.03,-20.348304225453816
5.04,-23.910229899588185
5.05,-23.802791264973134
5.06,-22.12386565841616
5.07,-23.79458153880612
5.08,-29.340162628186267
5.09,-31.099583148508376
5.1,-31.214502879613097
5.11,-29.262816706247886
5.12,-30.672626555781086
5.13,-31.802756869201367
5.14,-31.478770046506295
5.15,-32.117878114370846
5.16,-26.09727820109122
5.17,-22.832375797717752
5.18,-18.912160711119125
5.19,-18.701905477062525
5.2,-19.378145429631736
5.21,-22.12048132576549
5.22,-20.492979658977255
5.23,-16.74591793898561
5.24,-16.839364757727413
5.25,-14.494852952640763
5.26,-15.410627850367295
5.27,-15.54290283771226
5.28,-15.208280023838928
5.29,-14.994137870773468
5.3,-15.937304298645635
5.31,-16.529929446445998
5.32,-18.485479692958528
5.33,-20.83342200625986
5.34,-17.525247500479278
5.35,-18.559269390975075
5.36,-16.95433764852901
5.37,-15.525466060979758
5.38,-16.399365169390407
5.39,-17.12398932374114
5.4,-16.854114733062374
5.41,-17.42613768899598
5.42,-16.771470059731612
5.43,-17.5912849935689
5.44,-15.380985809363137
5.45,-15.121686266075784
5.46,-14.74307887741768
5.47,-15.326645452067911
5.48,-15.50174490930948
5.49,-15.820204231252863
5.5,-17.61340953627532
5.51,-17.806867191125004
5.52,-16.54416277964012
5.53,-15.78260645697885
5.54,-15.87938160379337
5.55,-15.848098866325454
5.56,-16.281093318915953
5.57,-17.31646096238377
5.58,-18.049085578547405
5.59,-16.40462032109134
5.6,-17.264071879127894
5.61,-17.080317691315955
5.62,-16.281093318915953
5.63,-16.646256069534218
5.64,-16.44501579612001
5.65,-16.45911054913267
5.66,-15.661123502734988
5.67,-15.043434478814785
5.68,-16.374883080516014
5.69,-16.050956198249903
5.7,-15.061430112955076
5.71,-13.966950614055895
5.72,-13.702358830155122
5.73,-13.313242214440649
5.74,-13.441851130435245
5.75,-14.463967261129074
5.76,-11.927436851672882
5.77,-15.805472670811614
5.78,-12.153249836982035
5.79,-12.653955586932756
5.8,-15.900850683132186
5.81,-14.289161473990928
5.82,-15.33593683070901
5.83,-16.042548599453802
5.84,-16.678746966415115
5.85,-18.536842604340627
5.86,-16.83568117428032
5.87,-17.607369978976894
5.88,-17.708581676926155
5.89,-16.212266574966282
5.9,-14.73440021927212
5.91,-15.427835381617648
5.92,-15.61620191944037
5.93,-16.229422199026637
5.94,-14.101659625561853
5.95,-13.304653863226568
5.96,-12.902091277575163
5.97,-12.907947065323459
5.98,-12.385090490110143
5.99,-10.200240238177914
6.0,-16.73317001186948
6.01,-14.896376143638225
6.02,-18.56600873410748
6.03,-18.013162860066007
6.04,-17.19470770682016
6.05,-21.962887034303847
6.06,-21.224300784229047
6.07,-23.535885387620347
6.08,-22.305148927342838
6.09,-21.500263377078884
6.1,-20.176192587864307
6.11,-20.30976138727055
6.12,-19.896708261629637
6.13,-19.962441053306886
6.14,-20.757892055214736
6.15,-20.074004472294703
6.16,-19.202272139289022
6.17,-20.13301939111626
6.18,-20.052643527896894
6.19,-20.89784899484887
6.2,-20.52108026465177
6.21,-20.671550492981087
6.22,-19.792559656061105
6.23,-20.055310774851087
6.24,-21.646408347584646
6.25,-21.531825510783122
6.26,-24.951490312816404
6.27,-26.46322644783195
6.28,-23.519969873065545
6.29,-24.472744949851975
6.3,-26.172481178557362
6.31,-24.6113644060853
6.32,-23.484266234420513
6.33,-25.720481740780453
6.34,-26.156311351415127
6.35,-30.17967785420972
6.36,-28.841964651456337
6.37,-32.51176427403059
6.38,-32.97144241244438
6.39,-34.77497501942614
6.4,-31.62913542256951
6.41,-34.57397025628313
6.42,-34.25352419335484
6.43,-33.80047634383789
6.44,-39.378145429631736
6.45,-40.76657360480111
6.46,-41.15136076451451
6.47,-40.53798436918547
6.48,-43.700723232210535
6.49,-45.300598653016465
6.5,-45.34953337195822
6.51,-37.74122009818812
6.52,-27.766902731898206
6.53,-20.654384697595496
6.54,-22.93210856267793
6.55,-21.772269623124195
6.56,-20.34554548646348
6.57,-20.271388824093183
6.58,-19.694761939561218
6.59,-20.766573604801106
6.6,-20.645814504854766
6.61,-18.68821972375101
6.62,-20.720371955239628
6.63,-21.28862965608521
6.64,-20.09273848894443
6.65,-20.821759178541743
6.66,-21.175606110719208
6.67,-20.580389122105682
6.68,-21.12416540163272
6.69,-18.192127918032572
6.7,-23.64811810272461
6.71,-18.11284331262031
6.72,-16.85780614392884
6.73,-16.422160491910734
6.74,-20.428691204051482
6.75,-21.503414434482593
6.76,-19.901948617527996
6.77,-18.179221690341397
6.78,-20.445416285544052
6.79,-18.361677693873805
6.8,-15.988931826498373
6.81,-13.94712131626164
6.82,-11.219324356083316
6.83,-10.26913522272375
6.84,-11.629135422569512
6.85,-12.615356615073857
6.86,-11.510630291813225
6.87,-10.317688934674711
6.88,-14.441573720815244
6.89,-19.71269476630175
6.9,-19.417716749273495
6.91,-18.752271873339478
6.92,-20.326258808446703
6.93,-19.854898844499356
6.94,-17.152589578880413
6.95,-18.570504536297953
6.96,-20.93319345720214
6.97,-24.97966079038953
6.98,-30.50222160344233
6.99,-29.449617231330755
7.0,-25.26164840999638
7.01,-24.159077940930096
7.02,-27.950321998401524
7.03,-22.726515777786524
7.04,-32.97144241244438
7.05,-33.55722993448413
7.06,-29.91006506561751
7.07,-31.979919728195853
7.08,-31.558640858847422
7.09,-27.542944735868726
7.1,-28.468629284138416
7.11,-29.386902954273584
7.12,-33.684404821853086
7.13,-35.23733752133622
7.14,-33.41945518428073
7.15,-36.576273313948484
7.16,-34.433191005377985
7.17,-32.76157178179887
7.18,-32.001001994948965
7.19,-31.17602711509029
7.2,-34.37751203498576
7.21,-28.349977279311354
7.22,-22.53986964518902
7.23,-20.2631881408989
7.24,-20.230462615324146
7.25,-21.999515337009644
7.26,-21.903281000356
7.27,-22.850758639792225
7.28,-21.1786415430891
7.29,-19.904569981555156
7.3,-19.95980216838971
7.31,-18.59978410902434
7.32,-18.34194450180868
7.33,-16.42918648997882
7.34,-16.371391265539113
7.35,-13.4244270731618
7.36,-14.856697702210939
7.37,-15.938964921848871
7.38,-15.598617522890933
7.39,-13.911542260183436
7.4,-14.025379078390618
7.41,-17.048179201314873
7.42,-16.348728620410725
7.43,-15.094519256355323
7.44,-15.052427635412549
7.45,-16.378376299802216
7.46,-16.34524730187191
7.47,-15.997287661330432
7.48,-17.14304569303056
7.49,-16.155892228570618
7.5,-13.79788005338722
7.51,-14.445768114283341
7.52,-14.127236072267431
7.53,-15.126222373571029
7.54,-12.814724924038776
7.55,-14.951046378832544
7.56,-16.854114733062374
7.57,-18.425569116896114
7.58,-20.157277903934144
7.59,-22.726515777786524
7.6,-24.606858107858116
7.61,-27.281601694245147
7.62,-25.618653028940624
7.63,-27.864681133737825
7.64,-28.02345276796263
7.65,-28.945281464271126
7.66,-31.782149766681258
