seconds_elapsed,dBFS
0.0,-44.508306471944
0.01,-44.733926680137785
0.02,-44.733926680137785
0.03,-44.68833135423981
0.04,-37.74122009818812
0.05,-35.36076254146589
0.06,-35.02547605138774
0.07,-38.851566655184754
0.08,-40.12494825257229
0.09,-34.68825992677172
0.1,-27.367845278627158
0.11,-25.003206181977756
0.12,-28.81998432010253
0.13,-27.644609564544467
0.14,-33.456813906983115
0.15,-22.579019388181294
0.16,-21.503414434482593
0.17,-22.51504773506664
0.18,-19.514933920237844
0.19,-18.96141254617478
0.2,-17.983690593560194
0.21,-17.941760076996793
0.22,-17.86679149196997
0.23,-16.736810368015835
0.24,-19.383081996765508
0.25,-18.030049163587364
0.26,-15.294203674487342
0.27,-15.142875064688221
0.28,-13.214378354915512
0.29,-13.607876664792034
0.3,-12.195239344957313
0.31,-16.71680726359924
0.32,-22.455059634001042
0.33,-23.03299978961217
0.34,-27.511416971169623
0.35,-28.67485329724737
0.36,-31.62913542256951
0.37,-28.539189295546432
0.38,-29.68891307192362
0.39,-32.0539326257679
0.4,-36.072854118370536
0.41,-39.88623702511363
0.42,-42.59687322722811
0.43,-43.421153225492134
0.44,-42.56120217241977
0.45,-35.161078123333866
0.46,-29.14047821005425
0.47,-26.9981771647469
0.48,-24.539542687198708
0.49,-31.061611985793935
0.5,-32.98325191751046
0.51,-36.612091466306104
0.52,-22.836049255010003
0.53,-23.672357810469382
0.54,-28.26032458556763
0.55,-31.272537992876117
0.56,-33.21073825303724
0.57,-32.78464188736151
0.58,-31.57872384961649
0.59,-28.9824801919536
0.6,-27.715200855208337
0.61,-25.007922929114063
0.62,-25.247086982213727
0.63,-32.54540882082786
0.64,-40.34278762340235
0.65,-38.311337257720595
0.66,-37.459708294351934
0.67,-37.559204108944144
0.68,-34.15829813781729
0.69,-28.75437510614651
0.7,-27.97684381942939
0.71,-30.265677464064204
0.72,-31.128170852772485
0.73,-31.46883763874809
0.74,-32.54540882082786
0.75,-34.15829813781729
0.76,-35.31427238781313
0.77,-37.9062775997192
0.78,-28.384706992266256
0.79,-29.608413055146997
0.8,-32.03272165152002
0.81,-33.865637111834005
0.82,-34.21258512477111
0.83,-37.16788164205228
0.84,-33.0783104820136
0.85,-28.036815677733795
0.86,-29.608413055146997
0.87,-30.431460400370135
0.88,-34.37751203498576
0.89,-35.145906259846555
0.9,-38.8748220630206
0.91,-38.851566655184754
0.92,-40.04464669783558
0.93,-46.28105621278533
0.94,-44.073921478079264
0.95,-44.28839878591474
0.96,-42.38501175727962
0.97,-37.9480367649525
0.98,-29.82749895304583
0.99,-24.35816534283116
1.0,-26.810366828625504
1.01,-27.081638654494856
1.02,-34.489229197418034
1.03,-34.06410476318697
1.04,-30.555673400668866
1.05,-28.62462496440958
1.06,-31.253149838312517
1.07,-34.67389120614498
1.08,-35.677223395459585
1.09,-36.46969664384714
1.1,-35.69335318586658
1.11,-36.75685964478449
1.12,-39.603116298338946
1.13,-38.736214499832904
1.14,-33.46930260739208
1.15,-29.632484820128152
1.16,-26.530429023977288
1.17,-30.582523158179047
1.18,-36.38187092452772
1.19,-33.60787666479203
1.2,-34.25352419335484
1.21,-34.906692803452316
1.22,-37.42022690983759
1.23,-37.24474842368748
1.24,-40.85386971285011
1.25,-39.502409203376885
1.26,-41.61762061851039
1.27,-43.1884815553319
1.28,-40.88316447801559
1.29,-42.99923900137636
1.3,-42.850758639792225
1.31,-44.733926680137785
1.32,-48.945281464271126
1.33,-27.50512512762173
1.34,-24.18478853583913
1.35,-25.508003256941404
1.36,-25.588335756841637
1.37,-31.03324215228325
1.38,-35.161078123333866
1.39,-32.75005966661059
1.4,-31.03324215228325
1.41,-38.224477637504954
1.42,-43.26534833696711
1.43,-41.71395309914619
1.44,-42.704773864962235
1.45,-38.736214499832904
1.46,-35.01053900619659
1.47,-37.68012331893091
1.48,-36.522821516721955
1.49,-42.455059634001046
1.5,-41.091041844063405
1.51,-43.421153225492134
1.52,-41.5539874427866
1.53,-40.88316447801559
1.54,-41.36583807234997
1.55,-40.97164629211217
1.56,-41.2426318982536
1.57,-42.81403177899228
1.58,-39.57782984776375
1.59,-15.81365378626815
1.6,-14.834732193653926
1.61,-20.14648797753037
1.62,-26.620848990947955
1.63,-27.63183619512766
1.64,-25.45817013322667
1.65,-24.07392147807927
1.66,-29.255119860694997
1.67,-20.91844911545408
1.68,-13.9947879034151
1.69,-20.312508782402766
1.7,-18.928546978603084
1.71,-25.92254853080762
1.72,-23.440826823117206
1.73,-26.043957655266425
1.74,-26.67784322193863
1.75,-27.03384821955524
1.76,-24.163357758527436
1.77,-24.844342018333446
1.78,-19.928197926227465
1.79,-19.818479966666843
1.8,-24.193375674094714
1.81,-20.501400299130776
1.82,-19.71013066602097
1.83,-20.691620225451
1.84,-23.335114893883535
1.85,-22.343252592046333
1.86,-20.2631881408989
1.87,-20.865575765347092
1.88,-20.543626389285162
1.89,-20.845100515095602
1.9,-17.469606745153172
1.91,-14.469574678778997
1.92,-17.351563393069707
1.93,-18.24394545956142
1.94,-19.355965531994975
1.95,-19.79514820909414
1.96,-18.761460860854065
1.97,-19.459959751674827
1.98,-22.50796877001461
1.99,-20.906671636174273
2.0,-18.05755961789083
2.01,-18.928546978603084
2.02,-20.992422392045626
2.03,-21.67529180547412
2.04,-18.496619735062797
2.05,-17.92087048145881
2.06,-19.681975407533162
2.07,-18.916839348257867
2.08,-20.18431150695184
2.09,-22.079971856435606
2.1,-20.95979650904908
2.11,-16.448537340720474
2.12,-18.25477980004321
2.13,-18.205053351426802
2.14,-19.430119849536226
2.15,-21.713953099146195
2.16,-22.134026575509473
2.17,-24.38008281506643
2.18,-15.371646142185769
2.19,-11.068244967894106
2.2,-10.750870146451991
2.21,-15.354549458484188
2.22,-13.9220690175853
2.23,-18.011054378531664
2.24,-24.775168122293564
2.25,-26.603823393262655
2.26,-27.943704177404772
2.27,-26.740971868519253
2.28,-30.708931267519425
2.29,-28.989939092916963
2.3,-31.528603170221025
2.31,-35.22203198497398
2.32,-32.15002826694891
2.33,-31.83375948262035
2.34,-24.19767242888828
2.35,-23.09334490172876
2.36,-24.262380125506372
2.37,-29.721323145490164
2.38,-29.379095412500188
2.39,-28.603187134593053
2.4,-33.22287786317275
2.41,-25.28110169839227
2.42,-19.034631899880804
2.43,-19.392963556008837
2.44,-24.59335322360646
2.45,-26.248340958900144
2.46,-30.378765256110782
2.47,-34.10434833929267
2.48,-34.847904831909105
2.49,-35.83988525849064
2.5,-38.42114769168582
2.51,-37.034980191401395
2.52,-36.9973788788353
2.53,-33.735800768487955
2.54,-35.93896492184887
2.55,-24.14197972745984
2.56,-25.684705739942334
2.57,-31.099583148508376
2.58,-33.80047634383789
2.59,-31.53860419566452
2.6,-31.558640858847422
2.61,-29.860431275484626
2.62,-32.12858161497124
2.63,-32.17152800475295
2.64,-33.49433400695822
2.65,-36.793431865712655
2.66,-38.24611124679071
2.67,-38.053321564799646
2.68,-39.88623702511363
2.69,-36.48736885673499
2.7,-38.805241800641134
2.71,-41.00134167022599
2.72,-39.3289334586786
2.73,-38.66773144096018
2.74,-37.12970184590566
2.75,-36.41689472052298
2.76,-39.182948683848615
2.77,-38.92152050689344
2.78,-41.091041844063405
2.79,-38.44327735878521
2.8,-40.708859840051346
2.81,-43.46054508275023
2.82,-40.76657360480111
2.83,-43.1122890523966
2.84,-45.20354859712824
2.85,-45.90683693839325
2.86,-35.13076085123488
2.87,-18.476577934927974
2.88,-21.450001307637123
2.89,-21.534988041179627
2.9,-26.82780254469385
2.91,-26.626531614400935
2.92,-28.81998432010253
2.93,-31.109101932626032
2.94,-35.581068653661504
2.95,-34.559789208826054
2.96,-36.885541844892686
2.97,-39.03937699130614
2.98,-39.402856369877874
2.99,-40.59457016956276
3.0,-39.03937699130614
3.01,-40.94205209095121
3.02,-41.12114894400974
3.03,-39.6539111193444
3.04,-43.539868827102254
3.05,-41.58574575837924
3.06,-39.1108661984721
3.07,-39.086971026213234
3.08,-43.3040383325111
3.09,-42.850758639792225
3.1,-39.91243882367998
3.11,-32.97144241244438
3.12,-36.9973788788353
3.13,-42.704773864962235
3.14,-45.85466927624269
3.15,-42.81403177899228
3.16,-46.67212694029891
3.17,-49.40253912346121
3.18,-48.23292428007521
3.19,-45.95931981491623
3.2,-42.668657847696984
3.21,-43.50011640239199
3.22,-43.421153225492134
3.23,-43.342901438231145
3.24,-44.508306471944
3.25,-44.33193717100022
3.26,-43.539868827102254
3.27,-45.75126460692089
3.28,-47.141748857289365
3.29,-46.729459753330964
3.3,-46.787173518080735
3.31,-45.20354859712824
3.32,-40.76657360480111
3.33,-40.79557493270576
3.34,-42.246588275678
3.35,-46.787173518080735
3.36,-43.381939210181585
3.37,-43.421153225492134
3.38,-43.90607297697328
3.39,-46.33585696010591
3.4,-45.251938079596485
3.41,-47.20227794989312
3.42,-42.56120217241977
3.43,-39.086971026213234
3.44,-34.906692803452316
3.45,-32.02213555680554
3.46,-30.56461410103426
3.47,-31.37013328523785
3.48,-34.01073507369288
3.49,-35.790766053293396
3.5,-35.23733752133622
3.51,-36.225988362398375
3.52,-35.69335318586658
3.53,-37.28343841923147
3.54,-38.465463551277026
3.55,-37.96899187677637
3.56,-34.906692803452316
3.57,-38.267798872635105
3.58,-38.053321564799646
3.59,-38.992042325724
3.6,-40.34278762340235
3.61,-40.04464669783558
3.62,-44.15907794093009
3.63,-40.53798436918547
3.64,-38.851566655184754
3.65,-45.34953337195822
3.66,-42.77745955806411
3.67,-46.5585842824651
3.68,-44.28839878591474
3.69,-41.68172341601461
3.7,-40.20599913279624
3.71,-39.01567741415257
3.72,-30.08605148367841
3.73,-23.03675910135147
3.74,-18.816799872390614
3.75,-16.05768814172819
3.76,-16.682364579811043
3.77,-20.60593170112131
3.78,-21.47195518372852
3.79,-20.71749249569459
3.8,-19.962441053306886
3.81,-18.185672407041945
3.82,-17.873014219141005
3.83,-19.353504591437904
3.84,-27.43621399370349
3.85,-31.7206201849085
3.86,-34.05073156633725
3.87,-39.182948683848615
3.88,-38.69049918568197
3.89,-35.04043882793561
3.9,-31.854489539329155
3.91,-32.37847434940325
3.92,-36.848580556616426
3.93,-29.049842017504155
3.94,-30.573564013869458
3.95,-30.618452432318502
3.96,-31.33096347979008
3.97,-32.7270811091929
3.98,-34.6452248776892
3.99,-33.722923242573856
4.0,-31.95888850814342
4.01,-32.001001994948965
4.02,-29.340162628186267
4.03,-30.422655645801623
4.04,-26.35787443612363
4.05,-25.771847293419885
4.06,-24.266711160070336
4.07,-25.10757093949286
4.08,-28.631782681862894
4.09,-33.544614261041836
4.1,-33.22287786317275
4.11,-34.98074175694637
4.12,-32.85422214974098
4.13,-33.95769130799874
4.14,-35.92237295951982
4.15,-34.349805824450435
4.16,-38.7821716950785
4.17,-34.475185718792
4.18,-34.363647882580025
4.19,-33.865637111834005
4.2,-32.13929832162136
4.21,-33.76161323811785
4.22,-32.075195524117134
4.23,-33.34521635936638
