seconds_elapsed,dBFS
0.0,-5.555611021625846
0.01,-7.262620150701451
0.02,-8.28849989214046
0.03,-7.493183166688312
0.04,-7.07146116262863
0.05,-9.212908694775262
0.06,-7.119459569709674
0.07,-11.355423900455627
0.08,-10.689852374601953
0.09,-7.343116750499443
0.1,-5.410597820945281
0.11,-5.456679547809053
0.12,-6.325967275092581
0.13,-5.245632181165512
0.14,-5.1228562749607836
0.15,-4.869844448509881
0.16,-5.499511429836801
0.17,-5.740478189852174
0.18,-5.173201060658149
0.19,-5.449726862764695
0.2,-5.309875060020746
0.21,-5.553098833715907
0.22,-8.706574709004752
0.23,-12.481595205271393
0.24,-11.397657630346586
0.25,-8.026123705756762
0.26,-8.539189295546434
0.27,-8.27337007263501
0.28,-8.643964354762291
0.29,-7.864681133737825
0.3,-6.275049184409806
0.31,-5.217553815447296
0.32,-8.267188188957622
0.33,-10.64188641255859
0.34,-11.8275501009871
0.35,-8.797329595318098
0.36,-7.4480778324426025
0.37,-7.5562205987392295
0.38,-7.456204542546024
0.39,-7.534736501674123
0.4,-7.852889442245463
0.41,-8.117427761106624
0.42,-7.042192586829326
0.43,-6.370559802805183
0.44,-6.238550362742661
0.45,-6.030678506313896
0.46,-6.343006519840621
0.47,-5.454692498412211
0.48,-5.3456084330581515
0.49,-5.251452847919149
0.5,-5.088502019346411
0.51,-5.071850986596397
0.52,-5.532526253972856
0.53,-4.334556427080203
0.54,-4.972609601011846
0.55,-4.934163950944829
0.56,-4.9243454230577415
0.57,-5.142000848807918
0.58,-5.567176453714965
0.59,-4.877277418648945
0.6,-5.128116827689714
0.61,-5.507503507817936
0.62,-5.539545560227232
0.63,-5.904744205064722
0.64,-5.992019176965272
0.65,-6.583436630287011
0.66,-6.6492993591227245
0.67,-6.513579572256882
0.68,-6.449848101501233
0.69,-5.855709564840627
0.7,-5.997304815562062
0.71,-6.503485568055142
0.72,-6.0535312287961
0.73,-6.039174822587675
0.74,-6.414272924620464
0.75,-5.873413560400569
0.76,-6.770974971367417
0.77,-7.089429496794181
0.78,-7.376516922714248
0.79,-7.258339730503842
0.8,-8.107310241455886
0.81,-7.789619437343238
0.82,-7.761070883662217
0.83,-8.080387663874756
0.84,-8.121478071106838
0.85,-9.735134131316038
0.86,-9.577219164086268
0.87,-9.361943484115674
0.88,-9.643741181504776
0.89,-7.0852335595491684
0.9,-8.914157178361462
0.91,-7.544840045831095
0.92,-9.11394481500838
0.93,-8.33750849868021
0.94,-7.42810595697537
0.95,-7.605073107062333
0.96,-6.376633272589476
0.97,-8.434963003083386
0.98,-7.8104411169836965
0.99,-5.603986467506337
1.0,-6.268500797113601
1.01,-5.456679547809053
1.02,-6.879735397517486
1.03,-6.863947650720592
1.04,-6.783699856911435
1.05,-7.052932851540872
1.06,-6.269591852213399
1.07,-9.095797219714065
1.08,-6.371663754209576
1.09,-6.692150406260712
1.1,-7.9238809136356245
1.11,-9.124548448600565
1.12,-10.396294807243358
1.13,-6.278325230326716
1.14,-5.4224664945816405
1.15,-6.323222137546244
1.16,-8.19538944027818
1.17,-9.501699581993147
1.18,-7.4181372137386
1.19,-6.511896423402073
1.2,-10.757269939117336
1.21,-6.270683044380419
1.22,-6.393218898476892
1.23,-5.756405707774185
1.24,-7.89488838602888
1.25,-10.746301751228566
1.26,-8.143111680392591
1.27,-9.209846778946227
1.28,-8.81047675671525
1.29,-5.861433380295248
1.3,-5.201618613865532
1.31,-3.358495499220568
1.32,-3.4933765465709166
1.33,-3.2641902955497453
1.34,-3.2850587003404126
1.35,-3.304813892995395
1.36,-3.2057173688902663
1.37,-3.584208124095933
1.38,-4.273211763819987
1.39,-3.3952521212174114
1.4,-5.987264850756098
1.41,-5.979874400879522
1.42,-6.182737660475209
1.43,-6.106375335511639
1.44,-9.321536696163745
1.45,-9.384559954761631
1.46,-7.888312649748376
1.47,-11.038908710908542
1.48,-8.618903034269806
1.49,-8.841231076890802
1.5,-9.709155191637407
1.51,-8.234292244427692
1.52,-9.027329979922438
1.53,-11.188513053580815
1.54,-10.809558813232979
1.55,-9.58121212588052
1.56,-8.68277279599475
1.57,-10.19595239209288
1.58,-11.222218527145156
1.59,-8.873567110859247
1.6,-9.554892436483618
1.61,-8.516547667507545
1.62,-9.186916750745297
1.63,-8.744939049120644
1.64,-9.341716593596631
1.65,-8.010110384942664
1.66,-9.803700856104198
1.67,-7.859438405564129
1.68,-8.143111680392591
1.69,-9.301403573965203
1.7,-9.392372412239267
1.71,-7.337562520551215
1.72,-7.94833612262302
1.73,-8.211066100215048
1.74,-7.490671160412957
1.75,-7.22173668586803
1.76,-6.927271549453903
1.77,-7.5372612861227015
1.78,-7.194992148008026
1.79,-6.802822207478662
1.8,-7.110439641274665
1.81,-6.740971868519253
1.82,-7.830659829231722
1.83,-8.159372320969492
1.84,-8.236344594999537
1.85,-8.110681438718492
1.86,-7.174987647554014
1.87,-6.0673783793522045
1.88,-6.4738322717854
1.89,-6.617441200553861
1.9,-6.533802840154127
1.91,-6.555200828690678
1.92,-6.77791350692856
1.93,-6.052466977169692
1.94,-7.525275090871778
1.95,-6.866869143344436
1.96,-7.77144132248902
1.97,-7.2607854266028005
1.98,-7.962909766374306
1.99,-7.7403670773294255
2.0,-9.263586766059381
2.01,-9.056607022107524
2.02,-9.566048626543262
2.03,-8.746390083143073
2.04,-10.086898102874757
2.05,-8.016779014550895
2.06,-7.6018925110188595
2.07,-6.848771709047346
2.08,-7.295097676340079
2.09,-6.57156641190366
2.1,-6.960879554548517
2.11,-7.502609665791795
2.12,-8.016779014550895
2.13,-8.439164158975721
2.14,-7.902127450433864
2.15,-8.283682999367658
2.16,-9.287492545679383
2.17,-7.967551967474802
2.18,-8.372188292566568
2.19,-7.667008260864271
2.2,-7.44245609935343
2.21,-7.407557945094404
2.22,-7.65356211300197
2.23,-8.230188997533936
2.24,-8.708019347617324
2.25,-8.437763547888581
2.26,-8.158694186165066
2.27,-7.647166494100195
2.28,-8.736962692086534
2.29,-8.076356465022354
2.3,-8.623909516969775
2.31,-9.358050037621657
2.32,-8.358993654560628
2.33,-9.60040393550339
2.34,-9.642132236489884
2.35,-8.334740087616751
2.36,-8.128908548366667
2.37,-8.313314767122804
2.38,-8.692141522503125
2.39,-9.425261683847085
2.4,-8.850038063336644
2.41,-9.058111072265064
2.42,-8.928964358282357
2.43,-10.498669818629775
