seconds_elapsed,dBFS
0.0,-9.255119860695002
0.01,-8.023452767962633
0.02,-6.567048687524814
0.03,-6.487807062646396
0.04,-6.092465925629243
0.05,-6.187600224390504
0.06,-7.3252324884741995
0.07,-9.909235507368653
0.08,-9.44253922770285
0.09,-8.429364620912095
0.1,-7.39947660149517
0.11,-7.258339730503842
0.12,-8.289188237795063
0.13,-8.211748336372809
0.14,-7.663804908573467
0.15,-7.898836218672281
0.16,-6.90963521925651
0.17,-6.882662206062907
0.18,-7.807835675752893
0.19,-6.839445830134467
0.2,-6.743276123643012
0.21,-6.827220789920646
0.22,-6.135335478446021
0.23,-6.495082849359713
0.24,-6.768085549951576
0.25,-6.8126895695507175
0.26,-6.999957242555784
0.27,-7.658682000941585
0.28,-8.170229684430792
0.29,-9.275145863233618
0.3,-8.517961041465275
0.31,-7.748125222665211
0.32,-5.684705739942338
0.33,-6.237463199634906
0.34,-6.0535312287961
0.35,-5.706664963469973
0.36,-6.259232357992487
0.37,-7.929823143865679
0.38,-8.355524710212404
0.39,-7.084634305374032
0.4,-6.717962875890603
0.41,-5.95353115116445
0.42,-6.222799800383617
0.43,-6.519192425207008
0.44,-6.766930050463632
0.45,-7.787020233422274
0.46,-9.346380158615009
0.47,-9.16024133493557
0.48,-9.939982051467236
0.49,-9.323087332539918
0.5,-9.515958227555881
0.51,-10.314211797062995
0.52,-10.883481724432254
0.53,-11.585763880971205
0.54,-12.102915337822981
0.55,-9.944145350036166
0.56,-8.042166603292259
0.57,-8.114053944929786
0.58,-8.221305273436688
0.59,-7.86927111817759
0.6,-7.257117140644963
0.61,-6.0673783793522045
0.62,-6.708776318040007
0.63,-7.27302424733713
0.64,-9.019838914655988
0.65,-8.95122256548638
0.66,-8.157338075367923
0.67,-7.284053949946946
0.68,-7.7106915491059125
0.69,-7.725516639839009
0.7,-7.149593827100096
0.71,-6.747310041610123
0.72,-6.742700002551163
0.73,-7.279150130684403
0.74,-6.404293603073058
0.75,-5.7492090183092195
0.76,-7.505125127621732
0.77,-7.883055642695442
0.78,-8.065615739161164
0.79,-7.964898977338701
0.8,-7.912008634964005
0.81,-7.840459999105934
0.82,-6.8943793124371755
0.83,-7.5063831317716705
0.84,-8.561179799250603
0.85,-8.691420492358017
0.86,-7.64141446072398
0.87,-5.866640124029909
0.88,-5.625235742130316
0.89,-7.385197232875818
0.9,-8.373578368529856
0.91,-6.6492993591227245
0.92,-6.6430322776781185
0.93,-7.831965879852643
0.94,-6.981580673423055
0.95,-7.52968913339782
0.96,-7.719712503546814
0.97,-8.616043482099759
0.98,-7.603164609679316
0.99,-7.971532972649403
1.0,-7.700393346031531
1.01,-6.254329538285494
1.02,-6.405401850556292
1.03,-6.299649700191184
1.04,-7.74101332483823
1.05,-9.347935236882176
1.06,-9.354158335581525
1.07,-8.517254325738262
1.08,-7.195599064798133
1.09,-6.706481195913279
1.1,-6.43649032933677
1.11,-6.228770789964678
1.12,-6.680702774108678
1.13,-7.0822377020235
1.14,-6.847022343869792
1.15,-6.34630830256084
1.16,-6.163314580950399
1.17,-5.726117105395765
1.18,-6.536615355037383
1.19,-7.5568532891017535
1.2,-6.823149597140199
1.21,-8.618903034269806
1.22,-7.312919934653913
1.23,-6.672698399204871
1.24,-7.244900697508672
1.25,-7.046964398314849
1.26,-5.884366435566123
1.27,-6.828966171145863
1.28,-7.5196031874057585
1.29,-9.061872337485601
1.3,-9.30759341184559
1.31,-9.496951896912897
1.32,-9.422908315676066
1.33,-8.276118989388095
1.34,-8.505954687246604
1.35,-9.622045530257394
1.36,-11.209684078025944
1.37,-11.374059998522657
1.38,-10.581626827788897
1.39,-9.143515765475334
1.4,-9.064882522800106
1.41,-8.769639655235986
1.42,-6.996397451670684
1.43,-6.188140677343922
1.44,-6.754806577530724
1.45,-6.786594478072648
1.46,-8.935635833476363
1.47,-8.957911165324287
1.48,-8.993670946739382
1.49,-7.205923143891393
1.5,-6.581739891299739
1.51,-6.951432593233266
1.52,-8.608184564350482
1.53,-8.264442096731758
1.54,-8.089801076696794
1.55,-8.524324071886392
1.56,-8.7827449396572
1.57,-8.402821471486735
1.58,-9.713209282557244
1.59,-8.963116972874824
1.6,-8.856649168289627
1.61,-12.54540882082786
1.62,-11.318271231671506
1.63,-11.179867030996363
1.64,-11.956788184197013
1.65,-13.51943775171039
1.66,-11.947343006350613
1.67,-11.956788184197013
1.68,-14.094941480252022
1.69,-14.442971626932055
1.7,-13.14186459323889
1.71,-12.350961213829802
1.72,-13.832995624196798
1.73,-13.981520924147118
1.74,-13.990805681458864
1.75,-14.968851420198275
1.76,-16.80626860983448
1.77,-17.571220559518373
1.78,-14.858164046375489
1.79,-10.485363545836893
1.8,-8.794410704376386
1.81,-9.56365680782016
1.82,-8.30710439889457
1.83,-8.017446159191037
1.84,-8.575396824501869
1.85,-9.464578651386722
1.86,-10.125932061040189
1.87,-10.063223902502225
1.88,-9.914214045700252
1.89,-9.070152858632628
1.9,-8.576819807735403
1.91,-8.8265725810684
1.92,-10.011870298304242
1.93,-11.338783322441214
1.94,-10.084358492807038
1.95,-7.249174498421977
1.96,-7.2932560798870725
1.97,-9.064882522800106
1.98,-10.571773293393463
1.99,-9.425261683847085
2.0,-7.142955314633906
2.01,-7.705540921343649
2.02,-8.809745836561829
2.03,-9.638915240290864
2.04,-9.365059498369027
2.05,-8.3888839048921
2.06,-9.135165042809758
2.07,-8.571129273005248
2.08,-8.996657584656909
2.09,-8.4356630546363
2.1,-8.529984014833634
2.11,-8.680612216495678
2.12,-9.233604907208173
2.13,-9.195317400806092
2.14,-8.86988649313475
2.15,-8.928223399472945
2.16,-9.242050855809008
2.17,-9.376754517825447
2.18,-8.880933028564987
2.19,-7.860748790968751
2.2,-7.6222684802207565
2.21,-7.339413535931277
2.22,-7.3055407713317315
2.23,-7.730033651007742
2.24,-8.384011035402128
2.25,-8.844165746954387
2.26,-8.87430342159915
2.27,-8.357605910566932
2.28,-7.991465413825468
2.29,-8.62104831637137
2.3,-7.6356662339806665
2.31,-8.070313172540725
2.32,-8.93044646555292
2.33,-9.11697310393928
2.34,-8.819252599480553
2.35,-8.890518069671353
2.36,-9.110160937955262
2.37,-8.726821547165635
2.38,-8.450377185723308
2.39,-8.684213480960413
2.4,-8.451078480757241
2.41,-8.975772653180819
2.42,-9.801242701386204
2.43,-10.038772029876359
2.44,-9.108647848562349
2.45,-8.134316527147059
2.46,-7.183468779134032
2.47,-7.011239548235276
2.48,-7.0612955820495324
2.49,-7.187106086405805
2.5,-7.6490846853490515
2.51,-8.667660013492096
2.52,-8.81852094049532
2.53,-8.966837318003043
2.54,-8.175663459796034
2.55,-8.474956264851388
2.56,-7.498209359747516
2.57,-8.165477917873577
2.58,-8.525738711895718
2.59,-9.567643538343201
2.6,-9.481934658254872
2.61,-9.318436253639993
2.62,-9.416635782716657
2.63,-10.517332912974256
2.64,-10.711660247896301
2.65,-10.014388799159288
2.66,-10.388402130972825
2.67,-10.416497623822265
2.68,-9.538979837660872
2.69,-9.705102992059334
2.7,-9.236675211106549
2.71,-8.547695145390264
2.72,-7.882398740472549
2.73,-7.6222684802207565
2.74,-8.746390083143073
2.75,-9.747338558837589
2.76,-9.176236751601309
2.77,-8.65257348040777
2.78,-8.734064013722215
2.79,-8.464413855937227
