seconds_elapsed,dBFS
0.0,-55.19150158574453
0.01,-50.48447718534446
0.02,-46.787173518080735
0.03,-44.33193717100022
0.04,-42.77745955806411
0.05,-39.01567741415257
0.06,-18.235287706900362
0.07,-15.064433013464868
0.08,-15.552428581278663
0.09,-15.803837371995135
0.1,-15.26649255323639
0.11,-12.57805623137224
0.12,-12.115738996113993
0.13,-11.192358494545921
0.14,-11.685945928728492
0.15,-12.230928165391086
0.16,-12.220097877656164
0.17,-10.052254205090914
0.18,-11.05877082904242
0.19,-12.482710711551494
0.2,-13.75644460384569
0.21,-13.315697589619703
0.22,-11.208720638433356
0.23,-11.368170594089953
0.24,-10.333353302559642
0.25,-8.455287440444543
0.26,-11.66662925861191
0.27,-12.440421863603458
0.28,-12.903262119342532
0.29,-14.63950294754943
0.3,-17.665929028981704
0.31,-16.630056084164114
0.32,-17.127797254375594
0.33,-16.234575500653957
0.34,-17.227393993062947
0.35,-21.643204995293843
0.36,-21.270201311892297
0.37,-23.680452768779496
0.38,-21.972861262735467
0.39,-23.335114893883535
0.4,-23.24606777491477
0.41,-25.802813064677096
0.42,-24.09088611167153
0.43,-27.593628407837908
0.44,-26.97447758759332
0.45,-27.983486947583472
0.46,-25.684705739942334
0.47,-19.407807005314297
0.48,-20.063317433557284
0.49,-21.54764969012448
0.5,-23.57180228085817
0.51,-22.946981665007332
0.52,-22.85443988148245
0.53,-22.24315579602927
0.54,-24.249399964229372
0.55,-23.765908451005725
0.56,-25.433360377318458
0.57,-24.432911500807624
0.58,-22.60402505112996
0.59,-27.214434550391246
0.6,-27.015994380508417
0.61,-26.88032068033419
0.62,-27.87123899712073
0.63,-23.868749927546347
0.64,-22.315524269573594
0.65,-21.979517117189943
0.66,-20.942052090951208
0.67,-18.80755218491811
0.68,-19.93345732065886
0.69,-17.49142312516199
0.7,-18.315703123426022
0.71,-17.897949804605652
0.72,-17.211996887966475
0.73,-16.51571939887895
0.74,-13.46180723258086
0.75,-16.3609242351846
0.76,-17.211996887966475
0.77,-17.519268913822636
0.78,-15.10960154810821
0.79,-18.42114769168582
0.8,-19.343667795779453
0.81,-20.97164629211217
0.82,-21.443738950020457
0.83,-20.688750280062898
0.84,-19.920314800920302
0.85,-20.074004472294703
0.86,-19.457469173983764
0.87,-19.265371922407642
0.88,-17.080317691315955
0.89,-14.748869470724191
0.9,-12.182297863092547
0.91,-11.606918276165366
0.92,-10.352537084279849
0.93,-11.255086707456023
0.94,-11.728798989315134
0.95,-10.698932335326454
0.96,-12.555527650105407
0.97,-13.977544778672295
0.98,-15.704661887820478
0.99,-15.943948697239346
1.0,-16.19172445351597
1.01,-16.24833260452064
1.02,-18.706472190962707
1.03,-15.269567204467814
1.04,-17.551202367578547
1.05,-18.496619735062797
1.06,-19.267808015436668
1.07,-18.579503127766422
1.08,-19.522457428406852
1.09,-19.50491270235316
1.1,-19.1492357346961
1.11,-18.851566655184754
1.12,-18.48993399543464
1.13,-16.804433627333076
1.14,-16.911508649398307
1.15,-15.434101127345132
1.16,-17.188952285535212
1.17,-15.018004317905014
1.18,-16.578060717934232
1.19,-15.211334134151004
1.2,-12.076260036605515
1.21,-13.002180586702679
1.22,-10.944945336337364
1.23,-10.675344151768652
1.24,-10.542279582073348
1.25,-11.838937360352267
1.26,-10.92534151454913
1.27,-11.0322980851514
1.28,-11.579729219099422
1.29,-10.945879956194949
1.3,-11.408494674345103
1.31,-11.464867853652452
1.32,-14.345657504875573
1.33,-11.350526302559828
1.34,-10.317688934674711
1.35,-14.75176621566952
1.36,-13.468052929001598
1.37,-12.121087779852246
1.38,-11.5496186401653
1.39,-8.944539112265367
1.4,-9.93249313911534
1.41,-8.35691212170614
1.42,-9.709965858457545
1.43,-10.972090226096029
1.44,-8.799519407415431
1.45,-9.344825358711445
1.46,-10.752698177530624
1.47,-11.518613646821986
1.48,-13.770665755495948
1.49,-11.62711333208475
1.5,-13.460558632041362
1.51,-12.778868613876739
1.52,-11.36915188422691
1.53,-13.57239296941678
1.54,-11.781120693800712
1.55,-10.326387873446937
1.56,-8.860324179826602
1.57,-8.579666473762709
1.58,-6.787752596692772
1.59,-8.73768751285201
1.6,-12.413818811756517
1.61,-8.878722597292574
1.62,-11.256055304015495
1.63,-11.17506740130134
1.64,-11.379953398932896
1.65,-9.853834814458969
1.66,-7.784421807065877
1.67,-8.42097380753562
1.68,-8.734064013722215
1.69,-9.995098928663994
1.7,-10.15148382384265
1.71,-9.514372777220538
1.72,-7.631198019480776
1.73,-7.097227333393663
1.74,-7.490043272341113
1.75,-7.751359829501857
1.76,-9.470885914721373
1.77,-9.622045530257394
1.78,-11.71653366888955
1.79,-11.247341820952634
1.8,-9.421339757723619
1.81,-10.5458492480593
1.82,-11.392736167447588
1.83,-10.301184914196156
1.84,-10.257039084796187
1.85,-11.998891464106826
1.86,-9.671138944984856
1.87,-9.481934658254872
1.88,-8.631782681862898
1.89,-9.697004259875335
1.9,-8.895683630119802
1.91,-9.558078457477821
1.92,-10.161725612948791
1.93,-10.97771701724815
1.94,-12.087978292631828
1.95,-10.366515586010268
1.96,-12.71332309738604
1.97,-14.909642672605507
1.98,-13.880038318843752
1.99,-14.770618642353428
2.0,-13.842122882781387
2.01,-15.91740154491989
2.02,-18.03427587395693
2.03,-16.855960242394307
2.04,-18.01949137738645
2.05,-19.096521208195757
2.06,-18.597528326739734
2.07,-17.173623113874022
2.08,-17.029329607029023
2.09,-16.655269134198992
2.1,-17.414320150250507
2.11,-19.44005509756035
2.12,-19.18053627176865
2.13,-20.348304225453816
2.14,-22.73014472692561
2.15,-20.883164478015583
2.16,-23.660229500882252
2.17,-24.318852725184605
2.18,-25.083741323344487
2.19,-25.65415744477962
2.2,-27.950321998401524
2.21,-27.676625412211845
2.22,-26.335856960105907
2.23,-28.87135855307185
2.24,-26.950842499164757
2.25,-27.695891718753742
2.26,-29.885212717795593
2.27,-29.186153458013308
2.28,-29.117730341169
2.29,-28.3222931454752
2.3,-30.754526593417395
2.31,-30.87420688143879
2.32,-31.669676404630902
2.33,-35.36076254146589
2.34,-34.77497501942614
2.35,-32.467106645384746
2.36,-32.345469029240824
2.37,-30.88348172443225
2.38,-29.347935236882176
2.39,-25.906836938393255
2.4,-28.09047385386595
2.41,-31.109101932626032
2.42,-30.846441627200385
2.43,-30.47561855159539
2.44,-31.43910838107231
2.45,-33.09026628519248
2.46,-34.545631276371005
2.47,-33.944480826915246
2.48,-31.659523405651292
2.49,-30.672626555781086
2.5,-31.813078783236115
2.51,-31.57872384961649
2.52,-29.860431275484626
2.53,-27.638220531790004
2.54,-27.42997637071509
2.55,-28.967581578286953
2.56,-26.729459753330964
2.57,-27.135719082914566
2.58,-26.14017157042301
2.59,-23.62796989225652
2.6,-21.91649148143949
2.61,-21.939658280262346
2.62,-20.106144711142896
2.63,-17.837810899085618
2.64,-17.86679149196997
2.65,-19.224062535872147
2.66,-15.948935333854006
2.67,-19.03226032590346
2.68,-21.00431679943407
2.69,-21.66565331034259
2.7,-18.980248855292952
2.71,-17.273749751592142
2.72,-15.050928129213215
2.73,-12.50505097499378
2.74,-9.750595971078301
2.75,-9.375194271793216
2.76,-8.316076356729745
2.77,-8.176342920792045
2.78,-8.287811601032049
2.79,-9.11394481500838
2.8,-9.418203491346139
2.81,-6.5236853205033905
2.82,-7.437462056014436
2.83,-7.569516784037772
2.84,-8.565442463971227
2.85,-10.263085048095679
