seconds_elapsed,dBFS
0.0,-9.024332778499302
0.01,-9.100330565139554
0.02,-8.613899435607266
0.03,-8.006777989107404
0.04,-7.9304836426788246
0.05,-8.404914036757983
0.06,-8.014110948291837
0.07,-8.096531194527746
0.08,-8.267188188957622
0.09,-8.20629194694292
0.1,-8.430064221382695
0.11,-8.141081239045114
0.12,-8.025455894305384
0.13,-8.191304525809695
0.14,-8.405611670559255
0.15,-8.144465571695786
0.16,-8.993670946739382
0.17,-9.263586766059381
0.18,-9.99677460912411
0.19,-9.950810781260577
0.2,-13.911542260183436
0.21,-17.45970829435193
0.22,-18.328813902727486
0.23,-18.654099385368816
0.24,-18.44992726823704
0.25,-17.897949804605652
0.26,-16.088046621853678
0.27,-14.018719651829594
0.28,-14.62378704787268
0.29,-13.816070404827318
0.3,-10.862164372679395
0.31,-11.204867948355524
0.32,-11.228975345562954
0.33,-13.984172699358696
0.34,-13.725497220852604
0.35,-12.789263270624598
0.36,-13.029463021106622
0.37,-15.92568881741009
0.38,-15.193025559717746
0.39,-15.882681087076376
0.4,-14.671020312171375
0.41,-14.556955775547607
0.42,-16.88739404441737
0.43,-17.555202316826332
0.44,-18.510006672680205
0.45,-20.580389122105682
0.46,-18.912160711119125
0.47,-19.346125950497445
0.48,-19.547582958330917
0.49,-12.589342472094895
0.5,-7.643970449747961
0.51,-11.144412415426714
0.52,-10.887194436452049
0.53,-12.691584048545888
0.54,-14.033377135712708
0.55,-17.23510279289272
0.56,-18.89347132329939
0.57,-25.198724442803687
0.58,-22.639872768699295
0.59,-24.297089021395088
0.6,-25.155427201810664
0.61,-23.32344814983525
0.62,-20.51826610955245
0.63,-20.238632444712863
0.64,-22.57188811549987
0.65,-22.954427777454825
0.66,-23.014227598086382
0.67,-14.75466392700184
0.68,-9.302177062512673
0.69,-8.935635833476363
0.7,-9.082211362453009
0.71,-9.418987451781533
0.72,-8.822911819165657
0.73,-8.95122256548638
0.74,-9.697813793371244
0.75,-9.944145350036166
0.76,-11.160684404740977
0.77,-11.530602454298924
0.78,-11.423294285419301
0.79,-11.345631464651724
0.8,-11.335850056367951
0.81,-11.24347196584827
0.82,-11.158768470104762
0.83,-11.103389410461517
0.84,-9.949977322579514
0.85,-8.970559257314424
0.86,-10.636472956703667
0.87,-10.460579578153874
0.88,-9.369735616725878
0.89,-9.200667502384583
0.9,-8.959398220564704
0.91,-8.495374610046543
0.92,-9.60040393550339
0.93,-9.464578651386722
0.94,-8.945281464271126
0.95,-8.68565440492491
0.96,-8.647550453503651
0.97,-8.436363162615406
0.98,-8.851506762974584
0.99,-9.642936671742884
1.0,-10.177966517461389
1.01,-9.716453918246101
1.02,-10.364767042544258
1.03,-9.890177501947953
1.04,-9.867032749971553
1.05,-9.734321112207653
1.06,-8.763094420552545
1.07,-8.554789721981757
1.08,-9.36661792479073
1.09,-11.415398021568151
1.1,-12.431545123292729
1.11,-13.861713650363367
1.12,-11.077729451952969
1.13,-9.900944279516796
1.14,-9.7034826414086
1.15,-9.660653122538974
1.16,-11.17602711509029
1.17,-14.660979649263762
1.18,-16.198566430741014
1.19,-13.80956947672049
1.2,-11.677807357378251
1.21,-11.407508929619759
1.22,-11.181787625727914
1.23,-9.400191902898875
1.24,-8.527153582339972
1.25,-7.80197628889931
1.26,-8.418178670057578
1.27,-12.775406490810347
1.28,-13.332904678158283
1.29,-11.72982188157776
1.3,-11.045524371689325
1.31,-9.163285810830065
1.32,-8.667660013492096
1.33,-9.253581309696724
1.34,-10.457044777153593
1.35,-10.792094189843016
1.36,-11.253149838312515
1.37,-11.057823983275082
1.38,-11.00684698221324
1.39,-9.527858338525482
1.4,-9.625256283325305
1.41,-8.641096541401343
1.42,-9.117730341169004
1.43,-8.852241205932621
1.44,-9.386902954273584
1.45,-9.196081499301245
1.46,-9.644545765789367
1.47,-10.942142080015449
1.48,-13.131039554554288
1.49,-13.791392720470768
1.5,-13.901028245114723
1.51,-12.893899801391555
1.52,-12.728228594449618
1.53,-12.038019541063997
1.54,-10.820607222148633
1.55,-10.674438191962032
1.56,-12.25697608586373
1.57,-12.815884047232336
1.58,-11.034186322036675
1.59,-13.27282841462961
1.6,-15.288038002790596
1.61,-12.743159714198438
1.62,-13.20225060980355
1.63,-13.601529649794182
1.64,-12.683588620607207
1.65,-12.418246999279429
1.66,-15.900850683132186
1.67,-18.11711051468996
1.68,-16.13718179618748
1.69,-18.853889396109963
1.7,-19.789971874234105
1.71,-17.89378889931024
1.72,-18.79831433279707
1.73,-16.64085271655246
1.74,-10.1497780324707
1.75,-9.305271705687142
1.76,-7.93312614030738
1.77,-8.692141522503125
1.78,-10.102999566398118
1.79,-10.184813888441209
1.8,-11.972553007276117
1.81,-10.15916403328764
1.82,-10.644594406232299
1.83,-11.293915067324287
1.84,-11.67272462001157
1.85,-10.899271722241352
1.86,-9.984214878341579
1.87,-8.83170024113437
1.88,-8.275431678634973
1.89,-7.586006977423741
1.9,-8.368019398971748
1.91,-7.716489658480688
1.92,-7.133308344725889
1.93,-6.314443523053236
1.94,-7.013616639010392
1.95,-7.224781055054875
1.96,-6.732336352012027
1.97,-8.655445086232113
1.98,-9.755484381096498
1.99,-9.56923874305624
2.0,-8.586787223167967
2.01,-8.194708487775927
2.02,-7.755242948397347
2.03,-7.297553745814401
2.04,-7.153820978257082
2.05,-7.796120852046525
2.06,-7.716489658480688
2.07,-7.6978207019140745
2.08,-8.116078077374894
2.09,-7.867959446529361
2.1,-6.530429023977289
2.11,-6.789490064204097
2.12,-7.24551111176368
2.13,-8.023452767962633
2.14,-6.956154789551039
2.15,-6.94494376234174
2.16,-7.508270479688718
2.17,-9.387684094580605
2.18,-8.329897490424974
2.19,-7.070264594278747
2.2,-8.080387663874756
2.21,-7.789619437343238
2.22,-7.201670566260269
2.23,-6.197874585316013
2.24,-6.585699464646055
2.25,-7.182256681778164
