seconds_elapsed,dBFS
0.0,-48.87135855307185
0.01,-46.44650673210513
0.02,-49.17090167246491
0.03,-44.03165429181129
0.04,-46.5585842824651
0.05,-52.24719895935549
0.06,-47.263231811533224
0.07,-44.64297412512336
0.08,-46.28105621278533
0.09,-46.96265200423083
0.1,-45.10757093949286
0.11,-50.30899869919435
0.12,-49.72132314549016
0.13,-43.1122890523966
0.14,-46.22659904607586
0.15,-43.50011640239199
0.16,-45.75126460692089
0.17,-52.24719895935549
0.18,-47.7669027318982
0.19,-43.22682991624633
0.2,-41.61762061851039
0.21,-42.850758639792225
0.22,-39.86011402906796
0.23,-44.073921478079264
0.24,-46.33585696010591
0.25,-41.77877347190285
0.26,-44.779762615729474
0.27,-43.66022950088225
0.28,-42.88764145375963
0.29,-41.61762061851039
0.3,-39.552616797728874
0.31,-39.78221315139747
0.32,-38.805241800641134
0.33,-40.88316447801559
0.34,-38.532364187310215
0.35,-37.98999766606634
0.36,-35.66112350273499
0.37,-35.93896492184887
0.38,-26.42981913881062
0.39,-25.222872052568643
0.4,-23.93521330023944
0.41,-24.18478853583913
0.42,-23.04428260952048
0.43,-21.8637696829223
0.44,-20.763678790697305
0.45,-21.936344952113046
0.46,-20.2604562995057
0.47,-20.945006977742104
0.48,-20.95979650904908
0.49,-19.07028343291873
0.5,-20.737668787317492
0.51,-20.233185038050735
0.52,-20.274124106634464
0.53,-19.930827225366073
0.54,-18.692779245975434
0.55,-19.106081902213404
0.56,-18.80755218491811
0.57,-18.738506593694495
0.58,-18.747681022472527
0.59,-18.344134866121905
0.6,-19.3068787122425
0.61,-18.56151525773305
0.62,-18.315703123426022
0.63,-17.84815001426672
0.64,-17.72284589771938
0.65,-18.2331246164551
0.66,-17.800691656106192
0.67,-17.545205895377617
0.68,-17.870939481369746
0.69,-16.19172445351597
0.7,-16.583425137850334
0.71,-17.127797254375594
0.72,-17.215843606203865
0.73,-16.33481171034262
0.74,-15.479663463799259
0.75,-15.790766053293394
0.76,-16.40637274511384
0.77,-15.354549458484188
0.78,-13.920752475007856
0.79,-14.508928291384569
0.8,-14.817199693898468
0.81,-15.023981190418894
0.82,-14.468172484952714
0.83,-14.983716886154445
0.84,-15.648265040522766
0.85,-15.887632663251175
0.86,-15.329741474071128
0.87,-16.071167701582777
0.88,-16.104958406086663
0.89,-16.40637274511384
0.9,-15.75004450829842
0.91,-16.077915334190966
0.92,-16.569127373900784
0.93,-16.039187837315506
0.94,-17.012399876332548
0.95,-16.791599592815224
0.96,-16.907794349731674
0.97,-16.184887861554948
0.98,-16.831999152335374
0.99,-16.99925508353814
1.0,-16.64445457836566
1.01,-17.422196722667906
1.02,-16.80626860983448
1.03,-16.012348450527703
1.04,-17.129701845905657
1.05,-17.67809414250817
1.06,-16.294924356293972
1.07,-16.42567278053039
1.08,-17.21969202879144
1.09,-17.00113169360012
1.1,-16.253497141173476
1.11,-17.12398932374114
1.12,-17.016159188071846
1.13,-16.31571229514689
1.14,-16.71862382527857
1.15,-17.164056101520032
1.16,-16.164410312648478
1.17,-15.58266254111218
1.18,-16.551288202220245
1.19,-16.159298459844884
1.2,-15.471790817889087
1.21,-15.927347221164638
1.22,-16.19172445351597
1.23,-16.243171136821132
1.24,-15.398134659233875
1.25,-16.196855431102257
1.26,-16.34176737809216
1.27,-15.277258597548153
1.28,-15.079463108300324
1.29,-15.73543136217608
1.3,-15.818566156823104
1.31,-15.094519256355323
1.32,-16.05432151779532
1.33,-15.88103118876425
1.34,-15.698197969651975
1.35,-15.745170727395424
1.36,-15.902504350845524
1.37,-16.388864394823447
1.38,-16.212266574966282
1.39,-16.052638695037356
1.4,-15.659515153570487
1.41,-15.929005941619991
1.42,-16.133784225388023
