seconds_elapsed,dBFS
0.0,-42.178195090515246
0.01,-42.14419939295736
0.02,-42.77745955806411
0.03,-41.71395309914619
0.04,-41.1816780366135
0.05,-41.71395309914619
0.06,-39.13482728853104
0.07,-39.603116298338946
0.08,-39.01567741415257
0.09,-34.37751203498576
0.1,-35.37631472044278
0.11,-36.140580696500095
0.12,-34.92145217767158
0.13,-38.01105437853166
0.14,-42.110336232568464
0.15,-41.77877347190285
0.16,-43.61992367617574
0.17,-44.64297412512336
0.18,-44.20197131026188
0.19,-45.90683693839325
0.2,-44.463877272064835
0.21,-46.22659904607586
0.22,-45.90683693839325
0.23,-44.508306471944
0.24,-44.87216656846438
0.25,-44.82584171392076
0.26,-43.342901438231145
0.27,-44.37569489396373
0.28,-43.86461280451597
0.29,-44.03165429181129
0.3,-42.63269137958573
0.31,-42.07660457992975
0.32,-41.61762061851039
0.33,-42.38501175727962
0.34,-44.33193717100022
0.35,-44.82584171392076
0.36,-42.2123243667956
0.37,-41.36583807234997
0.38,-39.3289334586786
0.39,-41.33487230109275
0.4,-40.4537909186576
0.41,-41.490817057890006
0.42,-41.74630281861858
0.43,-41.36583807234997
0.44,-42.3501985257536
0.45,-43.7414066304196
0.46,-43.989591790056004
0.47,-42.63269137958573
0.48,-43.82334959324051
0.49,-43.50011640239199
0.5,-42.7410406802316
0.51,-44.15907794093009
0.52,-43.539868827102254
0.53,-43.66022950088225
0.54,-42.81403177899228
0.55,-42.178195090515246
0.56,-43.0744419788425
0.57,-44.073921478079264
0.58,-43.57980402222377
0.59,-44.28839878591474
0.6,-44.91873981483603
0.61,-43.26534833696711
0.62,-44.11639535067637
0.63,-43.50011640239199
0.64,-44.24507755078458
0.65,-37.439945169470604
0.66,-33.456813906983115
0.67,-31.802756869201367
0.68,-32.107187787312995
0.69,-34.65954621586863
0.7,-36.45206031364975
0.71,-37.38092417473297
0.72,-39.603116298338946
0.73,-39.75640068176758
0.74,-41.42810278083282
0.75,-41.77877347190285
0.76,-40.76657360480111
0.77,-41.97618855242873
0.78,-43.03675910135147
0.79,-41.74630281861858
0.8,-43.381939210181585
0.81,-42.59687322722811
0.82,-41.36583807234997
0.83,-42.41996508267003
0.84,-43.421153225492134
0.85,-42.52567701190371
0.86,-44.15907794093009
0.87,-45.251938079596485
0.88,-43.989591790056004
0.89,-45.85466927624269
0.9,-46.22659904607586
0.91,-45.251938079596485
0.92,-46.729459753330964
0.93,-46.44650673210513
0.94,-45.20354859712824
0.95,-46.729459753330964
0.96,-46.17248117855736
0.97,-47.08163865449485
0.98,-48.581802085699394
0.99,-46.50236473578853
1.0,-45.34953337195822
1.01,-47.574587356066225
1.02,-46.012121738240396
1.03,-46.28105621278533
1.04,-46.90376439129521
1.05,-45.34953337195822
1.06,-46.67212694029891
1.07,-46.787173518080735
1.08,-45.95931981491623
1.09,-46.17248117855736
1.1,-46.61517008284237
1.11,-45.802813064677096
1.12,-46.118698408341736
1.13,-46.84527333094888
1.14,-46.44650673210513
1.15,-45.95931981491623
1.16,-46.17248117855736
1.17,-45.75126460692089
1.18,-45.15542720181067
1.19,-45.64907649135128
1.2,-46.44650673210513
1.21,-44.91873981483603
1.22,-42.704773864962235
1.23,-44.64297412512336
1.24,-39.834069362963064
1.25,-41.273269988708556
1.26,-43.342901438231145
1.27,-41.522344822589105
1.28,-44.28839878591474
1.29,-42.56120217241977
1.3,-42.77745955806411
1.31,-43.82334959324051
1.32,-42.455059634001046
1.33,-43.381939210181585
1.34,-43.90607297697328
1.35,-42.63269137958573
1.36,-42.668657847696984
1.37,-43.57980402222377
1.38,-43.86461280451597
1.39,-44.24507755078458
1.4,-43.7414066304196
1.41,-42.52567701190371
1.42,-42.88764145375963
1.43,-43.26534833696711
1.44,-42.96188027867397
1.45,-42.009531739778
1.46,-43.61992367617574
1.47,-41.15136076451451
1.48,-41.490817057890006
1.49,-42.96188027867397
1.5,-40.76657360480111
1.51,-42.59687322722811
1.52,-41.522344822589105
1.53,-40.12494825257229
1.54,-41.273269988708556
1.55,-43.03675910135147
1.56,-40.20599913279624
1.57,-41.36583807234997
1.58,-41.942972872799444
1.59,-40.509829110697666
1.6,-41.21210149902416
1.61,-42.2123243667956
1.62,-40.82467341766925
1.63,-41.33487230109275
1.64,-42.850758639792225
1.65,-41.2426318982536
1.66,-41.5539874427866
1.67,-43.989591790056004
1.68,-42.49029655712677
1.69,-42.009531739778
1.7,-44.28839878591474
1.71,-41.00134167022599
1.72,-41.81136596657302
1.73,-43.03675910135147
1.74,-40.94205209095121
1.75,-40.680146129148255
1.76,-41.21210149902416
1.77,-41.12114894400974
1.78,-41.64961288170624
1.79,-41.64961288170624
1.8,-42.9246815509915
1.81,-43.26534833696711
1.82,-41.3969146337224
1.83,-42.246588275678
1.84,-41.5539874427866
1.85,-41.2426318982536
1.86,-41.942972872799444
1.87,-41.61762061851039
1.88,-41.30401653280713
1.89,-41.58574575837924
1.9,-42.49029655712677
1.91,-41.942972872799444
1.92,-42.9246815509915
1.93,-43.26534833696711
1.94,-42.043003417569324
1.95,-41.84408122045819
1.96,-43.342901438231145
1.97,-42.38501175727962
1.98,-43.46054508275023
1.99,-43.3040383325111
2.0,-44.03165429181129
2.01,-44.15907794093009
2.02,-43.57980402222377
2.03,-41.942972872799444
2.04,-42.52567701190371
2.05,-43.61992367617574
2.06,-42.31552426957359
2.07,-41.74630281861858
2.08,-41.64961288170624
2.09,-42.7410406802316
2.1,-44.24507755078458
2.11,-42.38501175727962
2.12,-41.876920161797734
2.13,-42.043003417569324
2.14,-41.273269988708556
2.15,-42.3501985257536
2.16,-42.9246815509915
2.17,-41.58574575837924
2.18,-42.7410406802316
2.19,-39.628476578071655
2.2,-39.99152182496077
2.21,-41.522344822589105
2.22,-39.730664693641266
2.23,-39.6539111193444
2.24,-41.091041844063405
2.25,-39.13482728853104
2.26,-40.04464669783558
2.27,-40.79557493270576
2.28,-40.12494825257229
2.29,-39.42763781218884
2.3,-40.85386971285011
2.31,-41.42810278083282
2.32,-38.8748220630206
2.33,-40.9125583796311
2.34,-40.79557493270576
2.35,-42.455059634001046
2.36,-43.50011640239199
