seconds_elapsed,dBFS
0.0,-28.336124182853215
0.01,-31.01438027812177
0.02,-32.85422214974098
0.03,-33.431890246731136
0.04,-32.422677445505585
0.05,-32.13929832162136
0.06,-34.077498581782486
0.07,-34.02404678455595
0.08,-35.07044193078378
0.09,-34.53149638368602
0.1,-36.848580556616426
0.11,-38.03216226167297
0.12,-37.20623000296671
0.13,-35.629012968426615
0.14,-33.852565793132264
0.15,-34.53149638368602
0.16,-36.86704154048001
0.17,-35.72570290533895
0.18,-35.613002107417415
0.19,-34.32218771012272
0.2,-35.32974147407113
0.21,-36.64805793441736
0.22,-36.45206031364975
0.23,-35.92237295951982
0.24,-37.9480367649525
0.25,-36.86704154048001
0.26,-38.48770655866437
0.27,-37.59932376289611
0.28,-33.58251638505932
0.29,-31.91697822351214
0.3,-31.90653217337988
0.31,-31.854489539329155
0.32,-33.09026628519248
0.33,-34.80407350438963
0.34,-34.226210052487346
0.35,-35.629012968426615
0.36,-38.03216226167297
0.37,-39.13482728853104
0.38,-38.074532539047524
0.39,-36.29492435629397
0.4,-36.08973631928884
0.41,-33.65882044506963
0.42,-34.67389120614498
0.43,-35.75817355862323
0.44,-36.75685964478449
0.45,-34.951046378832544
0.46,-37.36133929690196
0.47,-38.333188563932055
0.48,-37.98999766606634
0.49,-41.36583807234997
0.5,-42.246588275678
0.51,-26.19408788034111
0.52,-30.7911759711585
0.53,-38.01105437853166
0.54,-41.9098837293992
0.55,-43.7414066304196
0.56,-44.96556413113407
0.57,-38.224477637504954
0.58,-38.48770655866437
0.59,-39.834069362963064
0.6,-45.64907649135128
0.61,-46.39100565100968
0.62,-52.24719895935549
0.63,-52.57918419574472
0.64,-35.82348130717857
0.65,-35.581068653661504
0.66,-48.37079843903322
0.67,-50.48447718534446
0.68,-45.75126460692089
0.69,-50.22257122354151
0.7,-49.72132314549016
0.71,-51.92743685167287
0.72,-51.619029674323
0.73,-52.35645687338553
0.74,-52.24719895935549
0.75,-52.807773431360346
0.76,-50.663574038402984
0.77,-49.17090167246491
0.78,-49.96833191321875
0.79,-51.03324215228325
0.8,-51.32119856629609
0.81,-51.22414851040786
0.82,-51.92743685167287
0.83,-49.247429829525956
0.84,-46.84527333094888
0.85,-46.33585696010591
0.86,-46.61517008284237
0.87,-46.84527333094888
0.88,-46.22659904607586
0.89,-45.300598653016465
0.9,-46.787173518080735
0.91,-48.03013165305762
0.92,-47.20227794989312
0.93,-48.44056499594966
0.94,-51.82341297795672
0.95,-50.573564013869465
0.96,-50.136995263955995
0.97,-52.03272165152002
0.98,-51.619029674323
0.99,-50.754526593417395
1.0,-51.32119856629609
1.01,-49.96833191321875
1.02,-50.573564013869465
1.03,-50.136995263955995
1.04,-51.7206201849085
1.05,-50.05225420509091
1.06,-51.22414851040786
1.07,-50.136995263955995
1.08,-51.518613646821976
1.09,-46.5585842824651
1.1,-49.095041892122126
1.11,-52.92436430457484
1.12,-53.40703789890922
1.13,-52.92436430457484
1.14,-52.807773431360346
1.15,-51.82341297795672
1.16,-52.03272165152002
1.17,-53.16234877056899
1.18,-52.35645687338553
1.19,-32.55665269247964
1.2,-48.37079843903322
1.21,-50.663574038402984
1.22,-51.619029674323
1.23,-50.39629480724336
1.24,-51.518613646821976
1.25,-49.64052358945536
1.26,-49.96833191321875
1.27,-51.32119856629609
1.28,-51.7206201849085
1.29,-51.82341297795672
1.3,-52.57918419574472
1.31,-51.7206201849085
1.32,-52.03272165152002
1.33,-51.92743685167287
1.34,-51.518613646821976
1.35,-52.24719895935549
1.36,-52.24719895935549
1.37,-49.80288139389895
1.38,-52.467106645384746
1.39,-52.92436430457484
1.4,-51.7206201849085
1.41,-50.05225420509091
1.42,-50.136995263955995
1.43,-51.22414851040786
1.44,-49.96833191321875
1.45,-50.573564013869465
1.46,-44.508306471944
1.47,-48.510896470406394
1.48,-50.573564013869465
1.49,-51.128170852772485
1.5,-49.80288139389895
1.51,-51.32119856629609
1.52,-53.65882044506962
1.53,-52.57918419574472
1.54,-53.16234877056899
1.55,-51.22414851040786
1.56,-50.84644162720038
1.57,-55.0404388279356
1.58,-52.35645687338553
1.59,-50.663574038402984
1.6,-50.30899869919435
1.61,-50.573564013869465
1.62,-51.82341297795672
1.63,-50.939339728115655
1.64,-49.32463824579072
1.65,-49.64052358945536
1.66,-51.7206201849085
1.67,-51.82341297795672
1.68,-52.92436430457484
1.69,-52.807773431360346
1.7,-54.32218771012272
1.71,-51.128170852772485
1.72,-51.82341297795672
1.73,-51.03324215228325
1.74,-51.03324215228325
1.75,-47.83196587985263
1.76,-34.68825992677172
1.77,-36.0391878373155
1.78,-36.64805793441736
1.79,-35.66112350273499
1.8,-31.291969521423425
1.81,-24.629413014424756
1.82,-22.611182768583276
1.83,-27.07565045043964
1.84,-28.39863785273134
1.85,-26.700746042427884
1.86,-28.42656678238313
1.87,-32.590471903165735
1.88,-35.533387529506975
1.89,-34.308411514311665
1.9,-35.17627653427739
1.91,-33.59518726934584
1.92,-29.80288139389895
1.93,-33.59518726934584
1.94,-36.48736885673499
1.95,-38.01105437853166
1.96,-39.3289334586786
1.97,-40.23318503805073
1.98,-25.478069087263385
1.99,-19.565214174321465
2.0,-16.653465772905676
2.01,-15.638633670504605
2.02,-13.981520924147118
2.03,-15.076455007962704
2.04,-14.85376575631371
2.05,-14.983716886154445
2.06,-11.481751984959134
2.07,-14.309788151074688
2.08,-9.707534084944001
2.09,-13.296073995533026
2.1,-16.96367631154887
2.11,-17.62348480667548
2.12,-16.673323369836734
2.13,-20.10346181084726
2.14,-23.20763457221734
2.15,-22.07323860831698
2.16,-26.3248691159612
2.17,-29.394717520377004
2.18,-28.682052543111705
2.19,-29.552503687427517
2.2,-32.25806311291453
2.21,-31.321198566296097
2.22,-26.530429023977288
2.23,-27.263231811533227
2.24,-26.177877817213762
2.25,-28.553370343003508
2.26,-29.608413055146997
2.27,-19.582881252173685
2.28,-15.912432974107663
2.29,-17.275686620735648
2.3,-21.172571738762382
2.31,-21.270201311892297
2.32,-24.19767242888828
2.33,-22.639872768699295
2.34,-20.953877674313695
2.35,-19.844477859880335
2.36,-18.75916270244985
2.37,-19.878391873620135
2.38,-20.677279971841912
2.39,-22.40946430810307
2.4,-22.479710462412292
2.41,-21.03412427425317
2.42,-18.16204316382609
2.43,-17.595303448249908
2.44,-17.475551234700625
2.45,-16.590582855303648
2.46,-16.986130153363188
2.47,-17.739176599851902
2.48,-18.87016599770511
2.49,-19.620860716436816
2.5,-22.25002211230626
2.51,-24.010597579345962
2.52,-26.204911420231465
2.53,-26.05991947838884
2.54,-25.0742277521436
2.55,-21.500263377078884
2.56,-22.412963155940137
2.57,-23.769998815874377
2.58,-23.989591790056004
2.59,-27.845037198554383
2.6,-28.603187134593053
2.61,-30.68168851762347
2.62,-30.449096730567526
2.63,-23.712908255912968
2.64,-30.63647295670367
2.65,-17.353517693817754
2.66,-30.967404016304414
2.67,-28.31538587700935
2.68,-22.792069973011237
2.69,-23.6440847199551
2.7,-22.636281331956766
2.71,-14.458363461168204
2.72,-17.52325418098962
2.73,-18.31788687947475
2.74,-19.053627838863974
2.75,-21.512874471327752
2.76,-20.792670438567995
2.77,-21.484525214342106
2.78,-24.176209878709123
2.79,-27.117654834521954
2.8,-27.251006771319407
2.81,-25.339724348173718
2.82,-25.256791887846894
2.83,-27.17801567255873
2.84,-26.86277932875527
2.85,-30.47561855159539
2.86,-28.768912163327354
2.87,-33.519437751710385
2.88,-33.519437751710385
2.89,-31.37013328523785
2.9,-27.330778837007227
2.91,-22.412963155940137
2.92,-24.193375674094714
2.93,-26.145548165851924
2.94,-29.77016614001377
2.95,-29.232070162149306
2.96,-31.46883763874809
2.97,-31.31144461845686
2.98,-32.97144241244438
2.99,-32.715614586553286
3.0,-34.545631276371005
3.01,-28.117427761106622
3.02,-28.878722597292573
3.03,-29.968331913218748
3.04,-32.37847434940325
3.05,-34.02404678455595
3.06,-33.735800768487955
3.07,-25.23254992503289
3.08,-33.34521635936638
3.09,-38.01105437853166
3.1,-36.885541844892686
3.11,-34.51738445590585
3.12,-34.717068874037864
3.13,-34.10434833929267
3.14,-27.105632840024114
3.15,-29.885212717795593
3.16,-33.95769130799874
3.17,-37.51926891382263
3.18,-35.48596672215866
3.19,-33.93129040731416
3.2,-33.46930260739208
3.21,-32.601774298564116
3.22,-34.475185718792
3.23,-35.29883080216743
3.24,-34.86256456473596
3.25,-34.29465713354666
3.26,-33.544614261041836
3.27,-32.83096674190513
3.28,-34.995627604014075
3.29,-34.63092711373966
3.3,-36.005651542225195
3.31,-33.33290467815828
3.32,-26.507970344010236
3.33,-29.426046281619897
3.34,-34.60240199897902
3.35,-32.02213555680554
3.36,-33.11422737525142
3.37,-36.0224035042897
3.38,-35.581068653661504
3.39,-35.85632024851811
3.4,-34.13128135199811
3.41,-36.41689472052298
3.42,-34.39139835231285
3.43,-34.10434833929267
3.44,-33.93129040731416
3.45,-13.249644878617989
3.46,-21.814631952563012
3.47,-31.42922119771892
3.48,-35.85632024851811
3.49,-38.55477939881613
3.5,-38.48770655866437
3.51,-38.8748220630206
3.52,-26.45207639541752
3.53,-30.01019170333563
3.54,-30.892766481744005
3.55,-36.140580696500095
3.56,-35.97224423320387
3.57,-34.32218771012272
3.58,-35.77445451866291
3.59,-33.984172699358695
3.6,-30.911365824264358
3.61,-32.92436430457484
3.62,-34.10434833929267
3.63,-32.7270811091929
3.64,-35.32974147407113
3.65,-37.225467861635146
3.66,-32.117878114370846
3.67,-29.57642079195113
3.68,-32.31258865065243
3.69,-34.280924498847256
3.7,-33.55722993448413
3.71,-35.31427238781313
3.72,-25.588335756841637
3.73,-34.39139835231285
3.74,-31.004964678676114
3.75,-33.918119988356985
3.76,-30.052254205090914
3.77,-33.6205846255637
3.78,-33.27160668459903
3.79,-30.511107424818892
3.8,-31.802756869201367
3.81,-27.380235993478866
3.82,-34.57397025628313
3.83,-19.053627838863974
3.84,-32.51176427403059
3.85,-31.458916575832742
3.86,-31.854489539329155
3.87,-31.379953398932898
3.88,-34.23985638622608
3.89,-35.93896492184887
3.9,-35.85632024851811
3.91,-37.09168913911697
3.92,-35.95558863914911
3.93,-34.39139835231285
3.94,-33.46930260739208
3.95,-34.308411514311665
3.96,-34.40530690554588
3.97,-35.677223395459585
3.98,-34.83326979957049
3.99,-37.016159188071846
4.0,-37.2640718791279
4.01,-34.01073507369288
4.02,-29.901773046240198
4.03,-30.846441627200385
4.04,-33.174420891536705
4.05,-34.05073156633725
4.06,-32.61309142021474
4.07,-36.38187092452772
4.08,-36.576273313948484
4.09,-34.877249081569246
4.1,-34.03737892783052
4.11,-33.34521635936638
4.12,-34.46116490922928
4.13,-34.63092711373966
4.14,-34.789512076606975
4.15,-35.741923058769785
4.16,-37.80274967996088
4.17,-34.01073507369288
4.18,-32.75005966661059
4.19,-32.12858161497124
4.2,-35.905812631075214
4.21,-35.39189479571978
4.22,-34.65954621586863
4.23,-37.2640718791279
4.24,-38.09579543739675
4.25,-36.8301587265126
4.26,-35.32974147407113
4.27,-32.35645687338553
4.28,-32.433763458035486
4.29,-36.17464305245918
4.3,-35.88928381611958
4.31,-35.206753371292926
4.32,-31.321198566296097
4.33,-36.34698778672656
4.34,-39.01567741415257
4.35,-40.28781345483932
4.36,-40.56623118965063
4.37,-40.623001912258644
4.38,-41.71395309914619
4.39,-41.5539874427866
4.4,-32.54540882082786
4.41,-22.781109858449035
4.42,-22.150987896341654
4.43,-21.942972872799448
4.44,-22.6291029103597
4.45,-15.212861592105892
4.46,-13.898401728723961
4.47,-14.616652846536851
4.48,-12.867039213709823
4.49,-14.974794553949176
4.5,-16.46793139851274
4.51,-21.26406720878561
4.52,-20.70598419372875
4.53,-22.950703923319303
4.54,-27.480003231185005
4.55,-27.90410278826705
4.56,-33.102238567774485
4.57,-32.02213555680554
4.58,-32.66989927240235
4.59,-32.44486363799739
4.6,-35.19150158574453
4.61,-38.5100066726802
4.62,-40.37040573773005
4.63,-39.47741382026274
4.64,-42.850758639792225
4.65,-45.70002027162887
4.66,-48.581802085699394
4.67,-29.079949117450493
4.68,-22.277541785665438
4.69,-19.284879824236235
4.7,-19.577829847763756
4.71,-19.214371165675026
4.72,-19.365816272646008
4.73,-18.357288664150264
4.74,-19.20952953252956
4.75,-20.617308113537497
4.76,-18.891137974826513
4.77,-19.40038210988733
4.78,-19.78479862236107
4.79,-17.916698584338228
4.8,-18.205053351426802
4.81,-20.85386971285011
4.82,-26.183277810945707
4.83,-25.912070978707142
4.84,-30.78199911912889
4.85,-29.959984108983633
4.86,-31.802756869201367
4.87,-34.02404678455595
