seconds_elapsed,dBFS
0.0,-18.853889396109963
0.01,-17.561205696610116
0.02,-17.621468817427
0.03,-19.943985673024358
0.04,-20.28507385865258
0.05,-20.792670438567995
0.06,-22.178195090515253
0.07,-22.465615709399636
0.08,-24.01480484009088
0.09,-24.80277160835812
0.1,-26.31938040194724
0.11,-30.47561855159539
0.12,-32.04332066398599
0.13,-32.601774298564116
0.14,-37.53921356010161
0.15,-41.459403317905384
0.16,-41.97618855242873
0.17,-44.96556413113407
0.18,-48.44056499594966
0.19,-49.01983891465598
0.2,-52.69272685357852
0.21,-52.92436430457484
0.22,-53.40703789890922
0.23,-61.06103874121523
0.24,-58.053321564799646
0.25,-61.06103874121523
0.26,-63.074441978842486
0.27,-100
0.28,-100
0.29,-100
0.3,-100
0.31,-100
0.32,-100
0.33,-100
0.34,-100
0.35,-100
0.36,-100
0.37,-100
0.38,-63.074441978842486
0.39,-47.02194158350561
0.4,-46.118698408341736
0.41,-52.03272165152002
0.42,-47.02194158350561
0.43,-45.05997690458577
0.44,-42.246588275678
0.45,-39.42763781218884
0.46,-42.110336232568464
0.47,-42.704773864962235
0.48,-47.02194158350561
0.49,-52.807773431360346
0.5,-52.13929832162136
0.51,-50.30899869919435
0.52,-49.96833191321875
0.53,-54.891958466351475
0.54,-48.301587796843094
0.55,-47.574587356066225
0.56,-50.48447718534446
0.57,-55.19150158574453
0.58,-49.40253912346121
0.59,-47.3864379856296
0.6,-49.01983891465598
0.61,-49.72132314549016
0.62,-50.22257122354151
0.63,-46.39100565100968
0.64,-48.37079843903322
0.65,-50.754526593417395
0.66,-52.13929832162136
0.67,-56.505077098624085
0.68,-55.34523815907035
0.69,-52.467106645384746
0.7,-54.18539921951661
0.71,-61.68172341601461
0.72,-100
0.73,-56.68417395168261
0.74,-53.40703789890922
0.75,-51.82341297795672
0.76,-42.31552426957359
0.77,-50.939339728115655
0.78,-50.573564013869465
0.79,-47.3864379856296
0.8,-46.84527333094888
0.81,-47.20227794989312
0.82,-43.381939210181585
0.83,-46.5585842824651
0.84,-44.82584171392076
0.85,-45.05997690458577
0.86,-44.91873981483603
0.87,-42.850758639792225
0.88,-45.802813064677096
0.89,-43.421153225492134
0.9,-43.782281480619325
0.91,-45.75126460692089
0.92,-44.91873981483603
0.93,-46.118698408341736
0.94,-46.84527333094888
0.95,-47.3864379856296
0.96,-45.20354859712824
0.97,-47.20227794989312
0.98,-48.72537377824186
0.99,-47.02194158350561
1.0,-47.02194158350561
1.01,-48.23292428007521
1.02,-48.164799306236986
1.03,-49.56046874038188
1.04,-49.17090167246491
1.05,-50.136995263955995
1.06,-50.84644162720038
1.07,-48.510896470406394
1.08,-48.581802085699394
1.09,-46.17248117855736
1.1,-47.63822053179
1.11,-38.053321564799646
1.12,-37.14877076605211
1.13,-37.302848236555626
1.14,-34.33598579028897
1.15,-35.42313903674083
1.16,-35.905812631075214
1.17,-40.79557493270576
1.18,-47.263231811533224
1.19,-48.72537377824186
1.2,-49.64052358945536
1.21,-47.96357278607907
1.22,-51.619029674323
1.23,-43.539868827102254
1.24,-44.24507755078458
1.25,-43.15030175918528
1.26,-40.12494825257229
1.27,-38.62237421184374
1.28,-38.96847137601314
1.29,-48.87135855307185
1.3,-51.22414851040786
1.31,-46.84527333094888
1.32,-51.22414851040786
1.33,-45.39874534291136
1.34,-38.59978410902434
1.35,-39.91243882367998
1.36,-38.311337257720595
1.37,-35.48596672215866
1.38,-36.540602259140144
1.39,-37.16788164205228
1.4,-41.15136076451451
1.41,-48.164799306236986
1.42,-47.89752007507736
1.43,-47.7669027318982
1.44,-48.87135855307185
1.45,-49.885212717795596
1.46,-50.48447718534446
1.47,-46.90376439129521
1.48,-40.94205209095121
1.49,-42.3501985257536
1.5,-42.668657847696984
1.51,-40.39811194826538
1.52,-40.680146129148255
1.53,-43.342901438231145
1.54,-39.99152182496077
1.55,-38.311337257720595
1.56,-37.11067469779735
1.57,-35.517551810192515
1.58,-35.28341661952751
1.59,-37.28343841923147
1.6,-38.5100066726802
1.61,-40.623001912258644
1.62,-46.17248117855736
1.63,-44.24507755078458
1.64,-43.66022950088225
1.65,-44.87216656846438
1.66,-44.779762615729474
1.67,-44.20197131026188
1.68,-38.55477939881613
1.69,-36.885541844892686
1.7,-34.951046378832544
1.71,-34.09091308582035
1.72,-34.37751203498576
1.73,-34.267213541559705
1.74,-34.6452248776892
1.75,-36.0391878373155
1.76,-36.43445972072142
1.77,-36.0391878373155
1.78,-30.12848385745615
1.79,-27.28773363211935
1.8,-27.184074891247466
1.81,-28.09047385386595
1.82,-31.19524369292424
1.83,-32.45597802164835
1.84,-33.15029340480577
1.85,-33.90496950948155
1.86,-32.37847434940325
1.87,-34.32218771012272
1.88,-29.860431275484626
1.89,-27.683042767241894
1.9,-28.596052933257226
1.91,-29.68891307192362
1.92,-25.295720309929486
1.93,-24.044312865299876
1.94,-24.886112340212794
1.95,-25.985680653474496
1.96,-23.868749927546347
1.97,-21.30093697608703
1.98,-21.22735328457256
1.99,-21.22735328457256
2.0,-20.677279971841912
2.01,-20.409219225530997
2.02,-21.245690848677214
2.03,-19.764136371432585
2.04,-20.492979658977255
2.05,-21.199919323621792
2.06,-20.2631881408989
2.07,-18.839962258484654
2.08,-18.620112555890834
2.09,-18.472130474698666
2.1,-18.222317237136135
2.11,-17.46564601109545
2.12,-17.37308492362497
2.13,-18.483253398024374
2.14,-17.749398902594756
2.15,-17.076530514609757
