seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-34.117804406489
0.13,-27.812395710917173
0.14,-31.109101932626032
0.15,-31.518613646821983
0.16,-25.518004282384897
0.17,-28.124179327430294
0.18,-25.21803715701488
0.19,-30.52000234586052
0.2,-31.458916575832742
0.21,-28.475659547280667
0.22,-25.388880617673774
0.23,-23.964451715665952
0.24,-25.875498757778978
0.25,-26.530429023977288
0.26,-22.130638282258758
0.27,-15.099041194663824
0.28,-12.738562789170228
0.29,-12.001001994948961
0.3,-12.183375583751296
0.31,-13.228954036654576
0.32,-13.222877863172744
0.33,-12.348763923244324
0.34,-13.201038766112983
0.35,-12.72937623131963
0.36,-12.51064503047024
0.37,-13.030651160037149
0.38,-13.214378354915512
0.39,-13.08309082866044
0.4,-14.96439673697999
0.41,-18.46102177688308
0.42,-16.913366395023626
0.43,-20.100779738990816
0.44,-20.3070148608799
0.45,-22.72288834418272
0.46,-26.03333271248827
0.47,-24.318852725184605
0.48,-29.394717520377004
0.49,-24.402055732521998
0.5,-25.117121121475382
0.51,-31.071089225837348
0.52,-28.923038456883774
0.53,-25.088502019346407
0.54,-26.706481195913277
0.55,-24.477182186034334
0.56,-26.09727820109122
0.57,-24.94212042017306
0.58,-25.669418162564273
0.59,-24.219188143724605
0.6,-22.607603172555663
0.61,-26.0121217382404
0.62,-21.903281000356
0.63,-22.715638018521283
0.64,-27.549264044723728
0.65,-25.251938079596492
0.66,-24.65202664250146
0.67,-29.02732997992244
0.68,-24.989071289292774
0.69,-24.557442517620245
0.7,-24.793560695895728
0.71,-25.608535509289887
0.72,-23.146492993661383
0.73,-24.419674175962495
0.74,-23.523946018540368
0.75,-30.300317149607984
0.76,-29.11016093795526
0.77,-27.983486947583472
0.78,-24.835086940592515
0.79,-27.184074891247466
0.8,-29.13288896567622
0.81,-24.499402432580894
0.82,-24.48606346455664
0.83,-29.079949117450493
0.84,-25.964585586303983
0.85,-31.937908088188884
0.86,-29.640523589455363
0.87,-25.30059865301648
0.88,-27.021941583505612
0.89,-28.36385250532596
0.9,-26.001535643525916
0.91,-28.67485329724737
0.92,-27.930483642678823
0.93,-30.699840853672352
0.94,-26.172481178557362
0.95,-23.58380765891049
0.96,-29.332396968627354
0.97,-31.38978462764298
0.98,-26.40761876982255
0.99,-24.24507755078458
1.0,-26.402077532225967
1.01,-25.102799783295957
1.02,-23.631995797143453
1.03,-21.942972872799448
1.04,-22.79938440682291
1.05,-23.68450307877971
1.06,-26.96856278338923
1.07,-26.374424246728623
1.08,-26.915510018018217
1.09,-34.14477924070991
1.1,-26.586831102930255
1.11,-25.098031246454767
1.12,-21.926412544354843
1.13,-24.844342018333446
1.14,-26.330361300550177
1.15,-23.440826823117206
1.16,-25.901606050166464
1.17,-27.039807663794555
1.18,-31.42922119771892
1.19,-30.690759943657483
1.2,-28.124179327430294
1.21,-22.05978775059513
1.22,-28.28093168808774
1.23,-25.725604648412336
1.24,-23.397603578066516
1.25,-25.508003256941404
1.26,-27.015994380508417
1.27,-25.165030176407463
1.28,-27.97684381942939
1.29,-26.21574846422998
1.3,-27.996788465708363
1.31,-30.10299956639812
1.32,-24.75223203915341
1.33,-26.758268700597117
1.34,-25.969854551972418
1.35,-27.473734093678598
1.36,-27.734553012425817
1.37,-25.508003256941404
1.38,-21.1453099877891
1.39,-23.607868310412528
1.4,-24.6837849580941
1.41,-20.906671636174273
1.42,-23.261488799183955
1.43,-25.022088558192507
1.44,-27.442456099353425
1.45,-28.63894630258901
1.46,-22.82136473817671
1.47,-27.159863336509844
1.48,-27.454953784442043
1.49,-25.705131121813444
1.5,-30.08605148367841
1.51,-26.113338402224056
1.52,-28.79805947134374
1.53,-28.301587796843094
1.54,-24.665623133101526
1.55,-26.541680177931394
1.56,-26.655000632473506
1.57,-23.680452768779496
1.58,-26.689287083459746
1.59,-22.81036761963059
1.6,-26.592491506935115
1.61,-25.19390296633347
1.62,-21.936344952113046
1.63,-23.089561024675636
1.64,-29.255119860694997
1.65,-22.554085507017085
1.66,-25.87028670263425
1.67,-24.98436476539649
1.68,-27.105632840024114
1.69,-27.838499080339716
1.7,-28.232924280075217
1.71,-28.32920591117081
1.72,-23.964451715665952
1.73,-26.043957655266425
1.74,-27.22660818887742
1.75,-28.908241367039253
1.76,-25.623716211618568
1.77,-25.37410450471753
1.78,-27.40507057691072
1.79,-27.448702694112455
1.8,-22.88025235111234
1.81,-27.117654834521954
1.82,-19.3117749297555
1.83,-11.422306859778715
1.84,-10.440274089242124
1.85,-10.846441627200385
1.86,-11.406523296751969
1.87,-12.357556422679746
1.88,-12.614223943801722
1.89,-13.000996335608326
1.9,-13.885281047017449
1.91,-13.859098993619341
1.92,-14.469574678778997
1.93,-15.1777978390607
1.94,-15.352996881906979
1.95,-18.276489108115463
1.96,-19.23133816631687
1.97,-20.804294247111788
1.98,-18.038504642121307
1.99,-13.376072127652009
2.0,-11.690018075843899
2.01,-10.659955671494563
2.02,-11.629135422569512
2.03,-13.374835790074222
2.04,-13.390921921218709
2.05,-13.91417275373415
2.06,-16.868889798735317
2.07,-20.392563631476243
2.08,-14.578229089238308
2.09,-11.328032852881083
2.1,-11.069192950393061
2.11,-13.129837604834243
2.12,-16.93010401003968
2.13,-18.87016599770511
2.14,-18.532364187310215
2.15,-18.96847137601315
2.16,-15.887632663251175
2.17,-15.132274204255191
2.18,-14.014726445274823
2.19,-13.14788433818707
2.2,-12.813565955508393
2.21,-13.274050316529078
2.22,-14.345657504875573
2.23,-15.38877654415584
2.24,-18.2331246164551
2.25,-21.710724743919265
2.26,-25.493023276847737
2.27,-22.497361128185652
2.28,-23.512023038441615
2.29,-24.615873043424045
2.3,-24.044312865299876
2.31,-23.725110397425336
2.32,-25.849469701326527
2.33,-25.433360377318458
2.34,-25.285971835687263
2.35,-24.095132452327142
