seconds_elapsed,dBFS
0.0,-10.750870146451991
0.01,-10.592388902026515
0.02,-12.23309584437365
0.03,-13.606606890703365
0.04,-18.469907598259645
0.05,-23.108496915406405
0.06,-24.97966079038953
0.07,-25.290844705177236
0.08,-24.176209878709123
0.09,-21.8637696829223
0.1,-22.661452629832084
0.11,-21.32869237223863
0.12,-19.338753572373648
0.13,-18.891137974826513
0.14,-19.0251494866704
0.15,-17.773981625526496
0.16,-15.300373725990312
0.17,-10.43762904339981
0.18,-10.797605541321115
0.19,-13.702358830155122
0.2,-12.411605564289307
0.21,-9.52944625254052
0.22,-8.011443701337647
0.23,-10.446448997080156
0.24,-10.945879956194949
0.25,-11.637228495261295
0.26,-10.980531780320495
0.27,-10.72714068642783
0.28,-12.858880712275857
0.29,-13.514411195066598
0.3,-18.328813902727486
0.31,-21.736585245755577
0.32,-20.298780488667614
0.33,-18.812174797926662
0.34,-20.0900597257349
0.35,-19.896708261629637
0.36,-21.233461505385517
0.37,-19.532498920436282
0.38,-21.270201311892297
0.39,-23.00298372643461
0.4,-23.389767862931528
0.41,-22.398976213081838
0.42,-20.82758863489348
0.43,-20.233185038050735
0.44,-19.15404386636499
0.45,-20.241357429719706
0.46,-21.95292424639674
0.47,-21.01920775051493
0.48,-24.253724529734725
0.49,-26.10262830266972
0.5,-25.418508467792684
0.51,-26.944943762341737
0.52,-24.94212042017306
0.53,-25.184268035075895
0.54,-24.129178119191074
0.55,-23.852213245467937
0.56,-19.168484251466694
0.57,-15.728944513750555
0.58,-15.032954217702505
0.59,-18.443277358785213
0.6,-18.617851488680863
0.61,-18.14061767284865
0.62,-16.76781515135113
0.63,-15.118663509950597
0.64,-16.44501579612001
0.65,-16.704101958342203
0.66,-15.32045671675938
0.67,-16.262111532078983
0.68,-15.828399240482403
0.69,-17.332044531736486
0.7,-16.684173951682613
0.71,-17.24860967720209
0.72,-18.015271853554108
0.73,-16.132085938230777
0.74,-17.973188972600042
0.75,-18.615591009907384
0.76,-19.9756475172135
0.77,-19.75897847957195
0.78,-22.650655997443735
0.79,-23.30016156849313
0.8,-23.989591790056004
0.81,-23.906072976973274
0.82,-23.38193921018158
0.83,-24.052762174952594
0.84,-23.619923676175738
0.85,-23.615903361529533
0.86,-25.684705739942334
0.87,-24.14197972745984
0.88,-23.607868310412528
0.89,-23.342901438231145
0.9,-23.358495499220567
0.91,-24.989071289292774
0.92,-25.007922929114063
0.93,-23.28467179240752
0.94,-26.0121217382404
0.95,-24.570891639746858
0.96,-19.6360991232191
0.97,-18.92152050689344
0.98,-16.474994533391126
0.99,-15.900850683132186
1.0,-15.034450623880392
1.01,-15.24346729550599
1.02,-13.964304090684394
1.03,-16.52104544276871
1.04,-15.165634854908907
1.05,-16.891099628790155
