seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-46.729459753330964
0.18,-23.081998212149028
0.19,-20.29329524084524
0.2,-14.307035095698845
0.21,-11.371114797147822
0.22,-5.46512958274527
0.23,-4.230397413686986
0.24,-4.367802217693201
0.25,-5.724067458843144
0.26,-6.805142931462292
0.27,-7.269350790044879
0.28,-15.904158333453218
0.29,-30.708931267519425
0.3,-30.976778965555667
0.31,-24.76598641991842
0.32,-14.252156444412869
0.33,-7.518973204476157
0.34,-7.396991546149396
0.35,-9.031827722132924
0.36,-10.742648764259336
0.37,-11.412438772330031
0.38,-10.261357200539143
0.39,-10.315080950977574
0.4,-10.948684419321523
0.41,-10.804039874380734
0.42,-10.949619441620511
0.43,-11.727776217499049
0.44,-12.274384864609981
0.45,-12.29947127140922
0.46,-11.92429794072934
0.47,-12.263500289704323
0.48,-11.110054385024386
0.49,-11.05877082904242
0.5,-11.559643906326809
0.51,-11.625091712236667
0.52,-11.59784579733408
0.53,-10.896483165428467
0.54,-10.616652434459395
0.55,-10.792094189843016
0.56,-11.351505601240394
0.57,-11.63925294222025
0.58,-11.721642114392365
0.59,-12.970262344561569
0.6,-11.13198966560079
0.61,-11.525605106690808
0.62,-10.759099317733632
0.63,-11.046469877556264
0.64,-11.110054385024386
0.65,-11.613981205922776
0.66,-11.010612813461506
0.67,-11.728798989315134
0.68,-12.168299649526018
0.69,-11.691036410992266
0.7,-12.112531306176118
0.71,-12.301656126064952
0.72,-13.94976260855448
0.73,-13.01403198660118
0.74,-13.237467826801526
0.75,-13.826482020863377
0.76,-13.903655555975067
0.77,-13.81086927315211
0.78,-14.227573721481132
0.79,-15.115641805401747
0.8,-15.874434727738592
0.81,-15.587445959115442
0.82,-15.854675349424461
0.83,-16.736810368015835
0.84,-17.416288623831296
0.85,-17.365252741274567
0.86,-17.70044119869388
0.87,-17.53522096539189
0.88,-17.43994516947061
0.89,-17.43994516947061
0.9,-17.044406008537003
0.91,-18.96847137601315
0.92,-20.16537915398954
0.93,-20.67441475999404
0.94,-21.66886495380239
0.95,-22.154384138667645
0.96,-23.304038332511098
0.97,-22.661452629832084
0.98,-23.304038332511098
0.99,-22.94326100115174
1.0,-22.91726088446747
1.01,-22.984276224828495
1.02,-22.887641453759628
1.03,-21.10909357824653
1.04,-21.86705543656015
1.05,-23.62796989225652
1.06,-26.11869840834174
1.07,-27.448702694112455
1.08,-27.135719082914566
1.09,-28.267188188957626
1.1,-26.221172060808364
1.11,-36.70228843090309
1.12,-31.282248323276
1.13,-29.608413055146997
1.14,-42.38501175727962
1.15,-41.2426318982536
1.16,-32.97144241244438
1.17,-32.16077148370263
1.18,-31.340739383622335
1.19,-31.937908088188884
1.2,-43.0744419788425
1.21,-35.97224423320387
1.22,-38.053321564799646
1.23,-43.539868827102254
1.24,-43.50011640239199
1.25,-41.091041844063405
1.26,-41.64961288170624
1.27,-46.17248117855736
1.28,-50.754526593417395
1.29,-53.16234877056899
1.3,-55.98893182649837
1.31,-58.713326766858145
1.32,-62.3501985257536
1.33,-66.78717351808073
1.34,-72.24719895935547
1.35,-90.30899869919435
1.36,-78.2677988726351
1.37,-72.24719895935547
1.38,-69.48114499602985
1.39,-68.03013165305762
1.4,-66.78717351808073
1.41,-66.22659904607586
1.42,-66.22659904607586
1.43,-66.22659904607586
1.44,-65.70002027162887
1.45,-65.70002027162887
1.46,-65.70002027162887
1.47,-66.22659904607586
1.48,-66.78717351808073
1.49,-67.3864379856296
1.5,-67.3864379856296
1.51,-68.03013165305762
1.52,-68.72537377824186
1.53,-69.48114499602985
1.54,-69.48114499602985
1.55,-70.30899869919435
1.56,-70.30899869919435
1.57,-71.22414851040786
1.58,-72.24719895935547
1.59,-72.24719895935547
1.6,-73.40703789890921
1.61,-74.74597369152148
1.62,-74.74597369152148
1.63,-76.32959861247397
1.64,-76.32959861247397
1.65,-78.2677988726351
1.66,-78.2677988726351
1.67,-78.2677988726351
1.68,-80.76657360480111
1.69,-80.76657360480111
1.7,-80.76657360480111
1.71,-80.76657360480111
1.72,-84.28839878591472
1.73,-84.28839878591472
1.74,-84.28839878591472
1.75,-84.28839878591472
1.76,-84.28839878591472
1.77,-90.30899869919435
1.78,-90.30899869919435
1.79,-90.30899869919435
1.8,-90.30899869919435
1.81,-90.30899869919435
1.82,-90.30899869919435
1.83,-90.30899869919435
1.84,-90.30899869919435
1.85,-90.30899869919435
1.86,-90.30899869919435
1.87,-90.30899869919435
1.88,-100
1.89,-100
1.9,-100
1.91,-100
1.92,-100
1.93,-100
1.94,-100
1.95,-100
1.96,-100
1.97,-100
1.98,-100
1.99,-100
2.0,-100
2.01,-100
2.02,-100
2.03,-100
2.04,-100
2.05,-100
2.06,-100
2.07,-100
2.08,-100
2.09,-100
2.1,-100
2.11,-100
2.12,-100
2.13,-100
2.14,-100
2.15,-100
2.16,-100
2.17,-100
2.18,-100
2.19,-100
2.2,-100
2.21,-100
2.22,-100
2.23,-100
2.24,-100
2.25,-100
2.26,-100
2.27,-100
2.28,-100
2.29,-100
2.3,-100
2.31,-100
2.32,-100
2.33,-100
2.34,-100
2.35,-100
2.36,-100
2.37,-100
2.38,-100
2.39,-100
2.4,-100
2.41,-100
2.42,-100
2.43,-100
2.44,-100
2.45,-100
2.46,-100
2.47,-100
2.48,-100
2.49,-100
2.5,-100
2.51,-100
2.52,-100
2.53,-90.30899869919435
2.54,-30.449096730567526
2.55,-28.151238195538383
2.56,-29.70510299205933
2.57,-21.976188552428738
2.58,-16.32959861247398
2.59,-13.71649163203337
2.6,-13.036594293788044
2.61,-11.75133049258022
2.62,-10.026992268801946
2.63,-12.03695970461121
2.64,-10.112335127023101
2.65,-9.697813793371244
2.66,-10.446448997080156
2.67,-9.60761181077227
