seconds_elapsed,dBFS
0.0,-78.2677988726351
0.01,-78.2677988726351
0.02,-78.2677988726351
0.03,-74.74597369152148
0.04,-80.76657360480111
0.05,-73.40703789890921
0.06,-41.33487230109275
0.07,-36.885541844892686
0.08,-34.731509259139564
0.09,-32.534179485536505
0.1,-28.989939092916963
0.11,-23.13888046938965
0.12,-20.95683658752169
0.13,-20.769469384003813
0.14,-19.774461352901646
0.15,-20.757892055214736
0.16,-21.772269623124195
0.17,-19.13482728853104
0.18,-18.40789690400828
0.19,-18.624636456846257
0.2,-19.202272139289022
0.21,-19.39790855451306
0.22,-18.77756501788854
0.23,-19.499906425766117
0.24,-21.459403317905384
0.25,-23.157924304332727
0.26,-24.825841713920763
0.27,-26.418711861545013
0.28,-26.683563268005127
0.29,-28.87135855307185
0.3,-30.422655645801623
0.31,-38.20289777637217
0.32,-38.992042325724
0.33,-38.24611124679071
0.34,-35.790766053293396
0.35,-37.400553312212516
0.36,-37.07274498844913
0.37,-37.2640718791279
0.38,-37.88547306369365
0.39,-38.42114769168582
0.4,-36.15759517723562
0.41,-35.77445451866291
0.42,-36.81177588443812
0.43,-36.55841947490166
0.44,-37.782191351693506
0.45,-38.42114769168582
0.46,-40.56623118965063
0.47,-43.57980402222377
0.48,-47.70232332929424
0.49,-53.04254149678523
0.5,-63.46054508275023
0.51,-69.48114499602985
0.52,-71.22414851040786
0.53,-74.74597369152148
0.54,-76.32959861247397
0.55,-78.2677988726351
0.56,-74.74597369152148
0.57,-76.32959861247397
0.58,-78.2677988726351
0.59,-72.24719895935547
0.6,-70.30899869919435
0.61,-61.36583807234997
0.62,-57.24474842368748
0.63,-49.247429829525956
0.64,-32.075195524117134
0.65,-24.890765910984733
0.66,-22.455059634001042
0.67,-20.512640533165346
0.68,-18.919179612218695
0.69,-19.25320169533872
0.7,-19.48490488552919
0.71,-20.057978841110142
0.72,-28.24661362828008
0.73,-28.66047268197892
0.74,-27.74747844582005
0.75,-26.615170082842383
0.76,-25.31036356651046
0.77,-24.6113644060853
0.78,-25.628782347450773
0.79,-25.751264606920884
0.8,-23.20380058864679
0.81,-23.131274611076975
0.82,-23.815120421958863
0.83,-27.417514547002032
0.84,-27.257117140644958
0.85,-28.349977279311354
0.86,-26.08658787403337
0.87,-27.232701412303776
0.88,-26.792966042228766
0.89,-25.315250143088328
0.9,-28.08374842601305
0.91,-32.90092059361382
0.92,-31.528603170221025
0.93,-29.9266728902529
0.94,-29.293672474533512
0.95,-29.371294882440154
0.96,-29.78650836428535
0.97,-29.072412553300374
0.98,-29.072412553300374
0.99,-28.864000746924063
1.0,-29.309141560791502
1.01,-29.520716315671613
1.02,-30.10299956639812
1.03,-31.844118326588827
1.04,-31.875269189522314
1.05,-32.97144241244438
1.06,-32.24719895935549
1.07,-31.224148510407858
1.08,-33.01877707802652
1.09,-31.128170852772485
1.1,-32.35645687338553
1.11,-31.458916575832742
1.12,-30.911365824264358
1.13,-31.74108165406008
1.14,-32.35645687338553
1.15,-31.7206201849085
1.16,-29.811079497044656
1.17,-29.721323145490164
1.18,-29.293672474533512
1.19,-29.23974660068525
1.2,-28.219256472946455
1.21,-28.287811601032043
1.22,-28.93044646555292
1.23,-28.32920591117081
1.24,-25.906836938393255
1.25,-24.176209878709123
1.26,-25.859871965609422
1.27,-23.631995797143453
1.28,-21.076027337925254
1.29,-18.656369909401626
1.3,-17.92087048145881
1.31,-17.137324391053102
1.32,-17.479516489112367
1.33,-17.987894799662637
1.34,-17.676065440025965
1.35,-18.68594085986858
1.36,-18.802932030746376
1.37,-19.292206597878657
1.38,-20.233185038050735
1.39,-20.425906818825503
1.4,-19.88100613688684
1.41,-19.331387446444058
1.42,-19.527476723338822
1.43,-19.321575652530814
1.44,-17.868865239058263
1.45,-21.09404786231042
1.46,-26.330361300550177
1.47,-35.613002107417415
1.48,-36.46969664384714
1.49,-37.28343841923147
1.5,-39.378145429631736
1.51,-41.84408122045819
1.52,-41.1816780366135
1.53,-42.850758639792225
1.54,-43.1122890523966
1.55,-43.90607297697328
1.56,-44.11639535067637
1.57,-42.3501985257536
1.58,-42.59687322722811
1.59,-41.06103874121523
1.6,-40.07133147961686
1.61,-38.62237421184374
1.62,-36.73863111839208
1.63,-35.26802974280558
1.64,-34.32218771012272
1.65,-34.559789208826054
1.66,-34.906692803452316
1.67,-35.23733752133622
1.68,-35.47021714461037
1.69,-35.454496073100394
1.7,-34.86256456473596
1.71,-35.28341661952751
1.72,-36.505077098624085
1.73,-30.162579640739466
1.74,-26.729459753330964
1.75,-27.165909901068726
1.76,-27.15382097825708
1.77,-25.964585586303983
1.78,-26.547311224895594
1.79,-26.04927500446099
1.8,-26.038643559268255
1.81,-26.08124764045718
1.82,-25.964585586303983
1.83,-26.781384854328948
1.84,-26.0652466111152
1.85,-26.547311224895594
1.86,-27.039807663794555
1.87,-27.454953784442043
1.88,-27.28773363211935
1.89,-27.281601694245147
1.9,-30.13699526395601
1.91,-32.01156234839335
1.92,-33.64605646093865
1.93,-34.57397025628313
1.94,-35.645053397062966
1.95,-35.69335318586658
1.96,-35.533387529506975
1.97,-35.22203198497398
1.98,-36.140580696500095
1.99,-34.40530690554588
2.0,-31.38978462764298
2.01,-31.710407497502597
2.02,-35.80710827756498
2.03,-41.3969146337224
2.04,-47.96357278607907
2.05,-50.05225420509091
2.06,-52.13929832162136
2.07,-56.32959861247397
2.08,-56.505077098624085
2.09,-60.20599913279624
2.1,-63.46054508275023
2.11,-71.22414851040786
2.12,-65.70002027162887
2.13,-68.03013165305762
2.14,-68.72537377824186
2.15,-68.72537377824186
2.16,-67.3864379856296
2.17,-64.28839878591474
2.18,-70.30899869919435
2.19,-69.48114499602985
2.2,-72.24719895935547
2.21,-80.76657360480111
2.22,-78.2677988726351
2.23,-78.2677988726351
2.24,-73.40703789890921
2.25,-78.2677988726351
2.26,-84.28839878591472
2.27,-84.28839878591472
2.28,-80.76657360480111
2.29,-80.76657360480111
2.3,-90.30899869919435
2.31,-84.28839878591472
2.32,-90.30899869919435
2.33,-90.30899869919435
2.34,-90.30899869919435
2.35,-90.30899869919435
2.36,-90.30899869919435
2.37,-90.30899869919435
2.38,-90.30899869919435
2.39,-90.30899869919435
2.4,-100
2.41,-90.30899869919435
2.42,-90.30899869919435
2.43,-100
2.44,-100
2.45,-100
2.46,-100
2.47,-100
2.48,-100
2.49,-100
2.5,-100
2.51,-100
2.52,-100
2.53,-100
2.54,-100
2.55,-100
2.56,-100
2.57,-100
2.58,-100
2.59,-100
2.6,-100
2.61,-90.30899869919435
2.62,-100
2.63,-100
2.64,-100
2.65,-100
2.66,-100
2.67,-100
2.68,-100
2.69,-100
2.7,-100
2.71,-100
2.72,-100
2.73,-100
2.74,-100
2.75,-100
2.76,-100
2.77,-100
2.78,-100
2.79,-100
2.8,-100
2.81,-100
2.82,-100
2.83,-100
2.84,-100
2.85,-100
2.86,-100
2.87,-100
2.88,-100
2.89,-100
2.9,-100
2.91,-100
2.92,-100
2.93,-100
2.94,-100
2.95,-100
2.96,-100
2.97,-100
2.98,-100
2.99,-100
3.0,-100
3.01,-100
3.02,-100
3.03,-100
3.04,-100
3.05,-90.30899869919435
3.06,-90.30899869919435
3.07,-90.30899869919435
3.08,-90.30899869919435
3.09,-90.30899869919435
3.1,-100
3.11,-100
3.12,-100
3.13,-84.28839878591472
3.14,-84.28839878591472
3.15,-90.30899869919435
3.16,-90.30899869919435
3.17,-90.30899869919435
