seconds_elapsed,dBFS
0.0,-20.326258808446703
0.01,-21.453134180398973
0.02,-23.70072323221054
0.03,-21.26100178096553
0.04,-20.29603743175612
0.05,-21.42810278083283
0.06,-20.98648129083037
0.07,-22.81403177899228
0.08,-22.353673576665358
0.09,-20.304269202681574
0.1,-19.05125107331677
0.11,-18.959060877109906
0.12,-20.654384697595496
0.13,-19.949254638692793
0.14,-20.38424779585965
0.15,-19.467435772481846
0.16,-20.031334986972503
0.17,-22.891338363642237
0.18,-19.351044347932415
0.19,-16.943144490229937
0.2,-22.03965043947786
0.21,-22.10357941415067
0.22,-19.52998745890713
0.23,-22.57188811549987
0.24,-18.083031453265782
0.25,-18.302612104161135
0.26,-19.048874957958482
0.27,-17.072744988449134
0.28,-18.469907598259645
0.29,-18.159898234900986
0.3,-19.091744804645064
0.31,-17.441919459657097
0.32,-16.986130153363188
0.33,-17.097380450648366
0.34,-17.90419490227773
0.35,-17.72080671713998
0.36,-17.891709193891934
0.37,-18.674555500212385
0.38,-17.505334860767555
0.39,-17.23510279289272
0.4,-18.006838950330476
0.41,-17.31256943470305
0.42,-18.63369133349436
0.43,-16.826479044340193
0.44,-18.954359448232974
0.45,-17.537217033340017
0.46,-20.02070028758698
0.47,-21.672077785219845
0.48,-25.012642239003625
0.49,-25.17945457436082
0.5,-25.069474871238103
0.51,-25.393811579848816
0.52,-24.402055732521998
0.53,-26.038643559268255
0.54,-25.715361852840843
0.55,-26.524808907548234
0.56,-23.64005320925935
0.57,-24.441747604965446
0.58,-28.41259109209836
0.59,-27.779876430558268
0.6,-27.057710568733974
0.61,-24.124915105786204
0.62,-27.5682496034041
0.63,-26.833622236461355
0.64,-28.232924280075217
0.65,-22.86180704870788
0.66,-17.694340842850426
0.67,-19.925569422761175
0.68,-18.14061767284865
0.69,-20.965719379812548
0.7,-21.573028494558283
0.71,-18.046968359856102
0.72,-17.561205696610116
0.73,-17.747353479380767
0.74,-20.398111948265388
0.75,-19.238619896214963
0.76,-17.971090171179156
0.77,-18.828373344639978
0.78,-19.46245104371487
0.79,-17.27181331425538
0.8,-17.489437552027717
0.81,-20.789766915345883
0.82,-21.175606110719208
0.83,-21.795054431942535
0.84,-23.603853570503723
0.85,-22.8250335406127
0.86,-21.19383463711162
0.87,-24.044312865299876
0.88,-23.765908451005725
0.89,-20.757892055214736
0.9,-19.07504804611449
0.91,-19.774461352901646
0.92,-17.63559057816548
0.93,-18.928546978603084
0.94,-18.15132381205456
0.95,-16.225988362398375
0.96,-17.50732407173195
0.97,-18.072409109226882
0.98,-17.31646096238377
0.99,-17.61340953627532
1.0,-18.189975547896896
1.01,-16.826479044340193
1.02,-17.200466944275984
1.03,-17.097380450648366
1.04,-20.789766915345883
1.05,-21.22735328457256
1.06,-23.078219273808777
1.07,-21.481381000864133
1.08,-21.78528219430413
1.09,-23.24221679296826
1.1,-22.969339179637338
1.11,-23.31567901726176
1.12,-17.36133929690196
1.13,-15.053927400526879
1.14,-19.535011108346218
1.15,-17.430080444233024
1.16,-19.08935758746965
1.17,-19.31667390881265
1.18,-16.181471582400555
1.19,-16.366156173685166
1.2,-18.09579543739676
1.21,-18.58400592187352
1.22,-18.359482901786805
1.23,-17.116378467054346
1.24,-17.641649796854217
1.25,-18.283012495307606
1.26,-16.635452722820517
1.27,-16.702288430903096
1.28,-20.640105737223653
1.29,-21.976188552428738
1.3,-22.93582445134982
1.31,-22.991754391143253
1.32,-21.390690420171886
1.33,-19.810695748397016
1.34,-19.99417036580705
1.35,-23.385852654554192
1.36,-20.116884606963236
1.37,-19.98622716485287
1.38,-21.29478113625597
1.39,-17.792464433480134
1.4,-18.708756448605868
1.41,-22.7847616935409
1.42,-24.14197972745984
1.43,-22.93582445134982
1.44,-24.455018638315764
1.45,-23.436888537110917
1.46,-22.381524148464223
1.47,-23.668313158643993
1.48,-25.802813064677096
1.49,-25.305479737515853
1.5,-22.4691372540001
1.51,-19.373211666569198
1.52,-18.192127918032572
1.53,-19.06076204019981
1.54,-16.53348559373746
1.55,-16.28282099463285
1.56,-15.410627850367295
1.57,-15.882681087076376
1.58,-15.248067466663775
1.59,-14.645224877689206
1.6,-18.093666803728937
1.61,-20.41755901459039
1.62,-20.2440832698921
1.63,-20.04997709974454
1.64,-19.592992882696404
1.65,-23.070666325821488
1.66,-20.176192587864307
1.67,-19.405331334886235
1.68,-23.599840685406672
1.69,-23.761820011467748
1.7,-22.792069973011237
1.71,-25.67451103262403
1.72,-21.421856186073803
1.73,-20.894910104738592
1.74,-22.593299522327644
1.75,-21.421856186073803
1.76,-23.87703008988748
1.77,-21.62400965126485
1.78,-22.07323860831698
1.79,-21.74954442703018
1.8,-20.057978841110142
1.81,-20.79557493270576
1.82,-21.47509598638002
1.83,-18.521178236455697
1.84,-18.772960782616106
1.85,-20.859720767054565
1.86,-21.550817988404386
1.87,-19.103690741940063
1.88,-21.01920775051493
1.89,-22.134026575509473
1.9,-19.122838481054107
1.91,-17.733048987860155
1.92,-23.097130427889383
1.93,-24.292742816832018
1.94,-23.872889022043573
1.95,-23.269209590481715
1.96,-23.389767862931528
1.97,-24.20627232032157
1.98,-22.493828124420013
1.99,-25.32013947034271
2.0,-24.914071236579012
2.01,-23.761820011467748
2.02,-21.992844146483492
2.03,-25.251938079596492
2.04,-22.93954193038712
2.05,-26.16708789080999
2.06,-17.495395633641053
2.07,-20.23590831433517
2.08,-20.700235755638015
2.09,-23.456597848127394
2.1,-23.311797055347732
2.11,-17.537217033340017
2.12,-19.224062535872147
2.13,-21.91979724347295
2.14,-20.312508782402766
2.15,-16.28800608461156
2.16,-18.38365617128405
2.17,-18.8353248373184
2.18,-21.23651722736534
2.19,-21.713953099146195
2.2,-17.684183094484172
2.21,-17.432052493200075
2.22,-18.674555500212385
2.23,-18.08090594496249
2.24,-16.062740525567047
2.25,-18.84460215690592
2.26,-18.49439058334055
2.27,-18.772960782616106
2.28,-20.428691204051482
2.29,-19.991521824960774
2.3,-15.38877654415584
2.31,-16.784274363928127
2.32,-18.017381359244638
2.33,-18.469907598259645
2.34,-20.414778195089106
2.35,-25.74612654723952
2.36,-24.14197972745984
2.37,-23.64811810272461
2.38,-24.697431291832828
2.39,-22.85443988148245
2.4,-26.63221795806593
2.41,-22.03294836380733
2.42,-23.77409110788792
2.43,-25.573216711008495
2.44,-25.05523181316043
2.45,-23.389767862931528
2.46,-24.42408437643199
2.47,-24.816606317369594
2.48,-27.093627461971792
2.49,-27.683042767241894
2.5,-25.964585586303983
2.51,-23.619923676175738
2.52,-22.554085507017085
2.53,-17.868865239058263
2.54,-19.60564899689547
2.55,-18.241780212226747
2.56,-19.47491823350859
2.57,-18.372659980882545
2.58,-20.594570169562758
2.59,-19.24347777645237
2.6,-17.41825754362621
2.61,-19.577829847763756
2.62,-18.570504536297953
2.63,-19.901948617527996
2.64,-17.82954845885443
2.65,-15.992273195894482
2.66,-17.753491194608298
2.67,-19.608182434171148
2.68,-20.3070148608799
2.69,-23.1274741780091
2.7,-20.43704971918382
2.71,-18.036390000689543
2.72,-21.157415759279104
2.73,-23.085778795293837
2.74,-19.659006977301107
2.75,-20.448206932841334
2.76,-20.763678790697305
2.77,-20.241357429719706
2.78,-20.323507061350007
2.79,-18.539082679050154
2.8,-16.646256069534218
2.81,-19.190189942824134
2.82,-17.676065440025965
2.83,-18.11711051468996
2.84,-17.825420184233913
2.85,-18.25477980004321
2.86,-16.569127373900784
2.87,-17.394659911802282
2.88,-16.41864962297123
2.89,-17.420226909837588
2.9,-16.155892228570618
2.91,-16.26038797028385
2.92,-18.570504536297953
2.93,-20.515452865920384
2.94,-26.199497964376537
2.95,-28.28093168808774
2.96,-22.88394611669557
2.97,-22.8250335406127
2.98,-24.441747604965446
2.99,-24.923410903756384
3.0,-16.44677638995153
3.01,-21.459403317905384
3.02,-20.906671636174273
3.03,-22.969339179637338
3.04,-22.05978775059513
3.05,-20.38424779585965
3.06,-21.8440812204582
3.07,-22.984276224828495
3.08,-22.984276224828495
3.09,-21.02815459041814
3.1,-19.65136431104641
3.11,-20.3070148608799
3.12,-18.736214499832908
