seconds_elapsed,dBFS
0.0,-11.403567069040161
0.01,-11.883594988998105
0.02,-14.227573721481132
0.03,-11.508635599041096
0.04,-12.308213989447863
0.05,-11.165476091097432
0.06,-11.380936021213266
0.07,-11.693073439528355
0.08,-10.556567056684683
0.09,-13.214378354915512
0.1,-11.255086707456023
0.11,-12.53530176600038
0.12,-11.05214507516951
0.13,-11.772892496962235
0.14,-14.358108411959831
0.15,-12.192002166347983
0.16,-12.023193585875378
0.17,-11.788326765617466
0.18,-13.054448132834864
0.19,-10.906712253492417
0.2,-11.931623831574667
0.21,-10.085204946994528
0.22,-12.11680848939098
0.23,-11.529602754736555
0.24,-12.020019885223272
0.25,-12.040139602006443
0.26,-11.305597503030354
0.27,-11.281276801588502
0.28,-11.478770046506297
0.29,-12.536424191489834
0.3,-13.586315709886861
0.31,-10.501333521069686
0.32,-10.866794131137747
0.33,-10.012709717453294
0.34,-12.085846524394825
0.35,-11.1530232005944
0.36,-12.210362151281304
0.37,-13.951083555958448
0.38,-14.538560954744899
0.39,-13.455566023978589
0.4,-13.62440064216081
0.41,-11.547614974726644
0.42,-11.606918276165366
0.43,-12.086912343113639
0.44,-11.36228518021956
0.45,-10.649109606021073
0.46,-12.35865611118385
0.47,-12.288555234232774
0.48,-11.394704417997154
0.49,-12.531935359535634
0.5,-11.141544049622212
0.51,-12.821681984593381
0.52,-12.746609005251006
0.53,-13.087873807656887
0.54,-10.711660247896301
0.55,-11.144412415426714
0.56,-12.954936033792404
0.57,-11.275449952328344
0.58,-12.184453438147179
0.59,-14.017388378987988
0.6,-14.989670203480081
0.61,-12.724786593359173
0.62,-11.067297088847159
0.63,-10.7417357575167
0.64,-10.742648764259336
0.65,-13.358779395129394
0.66,-11.769808931588841
0.67,-11.704285643868658
0.68,-12.452642213002832
0.69,-12.010505735091389
0.7,-12.960827568738534
0.71,-12.07945435707231
0.72,-12.83793682892198
0.73,-11.962039946638924
0.74,-12.235264064464308
0.75,-11.483740512815363
0.76,-12.752360869336481
0.77,-10.357776386522591
0.78,-10.877915630273133
0.79,-10.069136406009218
0.8,-12.392815695811738
0.81,-13.908912563028
0.82,-11.460899882072225
0.83,-10.361271011248089
0.84,-10.913227950895582
0.85,-11.229941034555894
0.86,-12.053932625767896
0.87,-11.850339568090124
0.88,-12.423785410254595
0.89,-12.690441393852659
0.9,-12.078389453051106
0.91,-13.363716663779066
0.92,-12.986797902306828
0.93,-11.735961766120466
0.94,-12.050747675672419
0.95,-13.12142861068234
0.96,-12.02636844657648
0.97,-13.08309082866044
0.98,-11.889844580085374
0.99,-10.954296063516756
1.0,-11.561650348848564
1.01,-10.607658036184338
1.02,-11.957838282685636
1.03,-10.085204946994528
1.04,-11.984132089887563
1.05,-10.552099695768396
1.06,-11.001201294891912
1.07,-11.275449952328344
1.08,-14.757562605366157
1.09,-11.844118326588827
1.1,-11.592809622995702
1.11,-12.582568968004765
1.12,-11.468837638748091
1.13,-14.880188966396119
1.14,-12.185531426313386
1.15,-12.82052208746432
1.16,-11.825481293155939
1.17,-11.115771293724448
1.18,-11.276420822461592
1.19,-11.87110928061231
1.2,-11.391752209402009
1.21,-11.44999729765238
1.22,-11.410466499470047
1.23,-11.554629826849078
1.24,-11.719598375644566
1.25,-11.274479190702518
1.26,-11.906532173379878
1.27,-12.982070244202323
1.28,-11.150151990286265
1.29,-12.496107973289405
1.3,-10.966467077666103
1.31,-10.669909809794886
1.32,-13.116627123750746
1.33,-13.463056012633052
1.34,-12.174757560335077
1.35,-13.096250363719264
1.36,-11.92011448988962
1.37,-11.403567069040161
1.38,-12.52857025728986
1.39,-11.38290159932486
1.4,-11.332917780538134
1.41,-12.640312825534172
1.42,-12.19847773049339
1.43,-14.366418943263305
1.44,-12.657369628105332
1.45,-11.923251889106705
1.46,-12.1296526908266
1.47,-12.540915344453422
1.48,-13.2533013255834
1.49,-11.797600508326834
1.5,-12.040139602006443
1.51,-12.515122870310652
1.52,-11.16739350603636
1.53,-11.119584657692217
1.54,-11.544610342939496
1.55,-14.077498581782491
1.56,-11.748254571056698
1.57,-10.869573171199228
1.58,-12.589342472094895
1.59,-12.71790668041487
1.6,-13.09505321815358
1.61,-11.756459450295276
1.62,-11.469830368578084
1.63,-12.029544468174935
1.64,-11.721642114392365
1.65,-10.227732691241016
1.66,-12.722492683498208
1.67,-10.838129328544564
1.68,-11.267686895493352
1.69,-13.56733568273064
1.7,-12.008392894011141
1.71,-13.191350098473645
1.72,-12.589342472094895
1.73,-12.564532071943898
1.74,-12.742010254838847
1.75,-12.5589032144868
1.76,-11.65445135316377
1.77,-10.935604664786517
1.78,-11.153980481648775
1.79,-11.69409213297209
1.8,-11.915933052987073
1.81,-12.624423306542278
1.82,-12.937285368019044
1.83,-12.86004574341409
1.84,-12.778868613876739
1.85,-13.101040596648101
1.86,-12.834451086260767
1.87,-13.796582199124355
1.88,-14.712741435782748
1.89,-13.158730403660561
1.9,-13.932608548243628
1.91,-13.786206340476062
1.92,-13.426914085244091
1.93,-10.950554564584007
1.94,-10.290777456569892
1.95,-13.630764397766788
1.96,-12.954936033792404
1.97,-10.850138537082994
1.98,-10.450862334728106
1.99,-12.457090242616394
2.0,-12.12751067117627
2.01,-11.79347762245943
2.02,-13.788799143372348
2.03,-13.675441715365025
2.04,-11.908620378616062
2.05,-11.096729546236181
2.06,-11.107197341095967
2.07,-11.45296937283555
2.08,-12.26676423023427
2.09,-10.973027771527137
2.1,-11.596838328836972
2.11,-11.646342224659671
2.12,-11.229941034555894
2.13,-12.700730701636026
2.14,-12.290737344440977
2.15,-12.979707379759551
2.16,-12.086912343113639
2.17,-12.177988317165356
2.18,-10.909504096760056
2.19,-12.236348377509605
2.2,-13.061599956736709
2.21,-12.192002166347983
2.22,-13.747406888059439
2.23,-12.552153397047213
2.24,-11.349547114278757
2.25,-12.353159060409862
2.26,-12.099712379282083
2.27,-11.312419520488085
2.28,-11.394704417997154
2.29,-11.471816168686889
2.3,-12.210362151281304
2.31,-11.248309554187221
2.32,-12.133938315503682
2.33,-11.15110895493639
2.34,-12.050747675672419
2.35,-11.851376875028487
2.36,-11.118631159734393
2.37,-10.958975204737529
2.38,-12.32791733923094
2.39,-12.824002243626296
2.4,-12.219015591237959
2.41,-10.444684289711617
2.42,-11.927436851672882
2.43,-12.785797002681797
2.44,-12.172604389863448
2.45,-10.966467077666103
2.46,-12.416032623324016
2.47,-13.441851130435245
2.48,-13.222877863172744
2.49,-11.740057435010716
2.5,-10.735347396055467
2.51,-11.7155123402226
2.52,-13.004549573390777
2.53,-12.365257167591286
2.54,-11.14632518566965
2.55,-11.501657779481054
2.56,-11.511627810004164
2.57,-12.884547564000215
2.58,-12.388400451269817
2.59,-11.409480530953399
2.6,-11.650395842578567
2.61,-11.510630291813225
2.62,-12.693869808990147
2.63,-11.209684078025944
2.64,-10.306393323089818
2.65,-13.037783408669505
2.66,-11.144412415426714
2.67,-12.865873244228501
2.68,-12.976164287873559
2.69,-11.88463627529535
2.7,-13.008104265332374
2.71,-12.363056258004425
2.72,-12.016847343772746
2.73,-13.55722993448413
2.74,-13.581250312666139
2.75,-12.066684117617282
2.76,-11.257024008598897
2.77,-11.90235726840257
2.78,-11.139632331855484
2.79,-11.497672969392553
2.8,-13.267942525237347
2.81,-11.049307012854417
2.82,-13.721636539417952
2.83,-11.79141691316434
2.84,-11.104341236624112
2.85,-10.515553746716893
2.86,-13.0354053416764
2.87,-11.358363785282496
