seconds_elapsed,dBFS
0.0,-21.50656663543828
0.01,-20.23590831433517
0.02,-21.07302754869217
0.03,-21.058044123141073
0.04,-21.811365966573018
0.05,-23.16937067933173
0.06,-23.35459435851359
0.07,-24.459446825838675
0.08,-24.146251126433587
0.09,-24.371309188423417
0.1,-23.72918159020578
0.11,-21.563502750991887
0.12,-21.694600941928712
0.13,-24.82122278818678
0.14,-28.878722597292573
0.15,-29.592402194137794
0.16,-28.468629284138416
0.17,-27.930483642678823
0.18,-30.19680979198875
0.19,-29.332396968627354
0.2,-27.58092973651456
0.21,-28.510896470406397
0.22,-28.81998432010253
0.23,-28.110681438718494
0.24,-27.46746947772866
0.25,-24.13344322589993
0.26,-23.64811810272461
0.27,-24.692880131321022
0.28,-24.881461261312868
0.29,-25.247086982213727
0.3,-26.204911420231465
0.31,-29.51278761622735
0.32,-28.989939092916963
0.33,-29.70510299205933
0.34,-28.915636760962443
0.35,-28.06360333084894
0.36,-29.309141560791502
0.37,-28.790763469538803
0.38,-31.669676404630902
0.39,-27.599984712284076
0.4,-29.536595460200303
0.41,-33.030651160037145
0.42,-28.886092890172698
0.43,-28.343047969300407
0.44,-30.864941931613068
0.45,-34.21258512477111
0.46,-36.32959861247398
0.47,-36.39936516939041
0.48,-34.847904831909105
0.49,-35.19150158574453
0.5,-36.10665139695803
0.51,-35.98893182649837
0.52,-35.055427424645636
0.53,-32.225511333511086
0.54,-32.24719895935549
0.55,-33.89183891040035
0.56,-31.927436851672873
0.57,-31.458916575832742
0.58,-29.332396968627354
0.59,-29.36350135151077
0.6,-27.910690494034537
0.61,-27.015994380508417
0.62,-25.638923492371667
0.63,-23.839831362205004
0.64,-25.2713696081438
0.65,-24.946804103024792
0.66,-25.359353485653273
0.67,-25.81315956934073
0.68,-25.098031246454767
0.69,-27.40507057691072
0.7,-27.638220531790004
0.71,-25.088502019346407
0.72,-23.79868543193139
0.73,-25.478069087263385
0.74,-24.738499404454007
0.75,-25.344627475392866
0.76,-25.71024498103568
0.77,-26.700746042427884
0.78,-28.01677901455089
0.79,-26.706481195913277
0.8,-22.928394263011292
0.81,-23.69666535330559
0.82,-26.502364735788525
0.83,-26.82780254469385
0.84,-25.81315956934073
0.85,-25.85466927624269
0.86,-29.648569805536145
0.87,-29.340162628186267
0.88,-28.349977279311354
0.89,-28.31538587700935
0.9,-28.41259109209836
0.91,-27.63183619512766
0.92,-27.00411217668814
0.93,-25.578253469420478
0.94,-29.301403573965196
0.95,-25.964585586303983
0.96,-24.692880131321022
0.97,-25.493023276847737
0.98,-25.943541627765406
0.99,-27.442456099353425
1.0,-23.615903361529533
1.01,-20.127637798851126
1.02,-19.517441032288176
1.03,-18.772960782616106
1.04,-18.947312072886476
1.05,-19.464943050513792
1.06,-20.329011427591293
1.07,-21.847359533249737
1.08,-24.517219648342422
1.09,-26.14017157042301
1.1,-26.9272715494539
1.11,-25.59842976104338
1.12,-22.9805395546749
1.13,-22.554085507017085
1.14,-22.65425338396775
1.15,-21.959564835128496
1.16,-22.08334043884667
1.17,-21.07302754869217
1.18,-21.07302754869217
1.19,-20.431476482137896
1.2,-19.692203126863948
1.21,-26.457649632463443
1.22,-27.275474082253403
1.23,-30.422655645801623
1.24,-30.63647295670367
1.25,-31.099583148508376
1.26,-29.27823088888781
1.27,-25.155427201810664
1.28,-27.42997637071509
1.29,-28.96014184366674
1.3,-31.478770046506295
1.31,-31.639252942220246
1.32,-29.28594825024673
1.33,-27.159863336509844
1.34,-27.612711292785153
1.35,-28.15801610430063
1.36,-25.28110169839227
1.37,-28.137698224537665
1.38,-30.65453094582345
1.39,-32.225511333511086
1.4,-34.17183810881801
1.41,-37.823356782480985
1.42,-38.66773144096018
1.43,-39.52747672333882
1.44,-41.522344822589105
1.45,-41.2426318982536
1.46,-38.20289777637217
1.47,-35.29883080216743
1.48,-34.68825992677172
1.49,-35.01053900619659
1.5,-36.45206031364975
1.51,-33.431890246731136
1.52,-34.32218771012272
1.53,-29.232070162149306
1.54,-28.768912163327354
1.55,-28.937860797747096
1.56,-29.819285345211014
1.57,-33.0783104820136
1.58,-31.979919728195853
1.59,-32.534179485536505
1.6,-34.60240199897902
1.61,-35.206753371292926
1.62,-35.32974147407113
1.63,-35.82348130717857
1.64,-33.684404821853086
1.65,-34.21258512477111
1.66,-31.36032426145334
1.67,-33.83951411578833
1.68,-30.466768943455364
1.69,-34.308411514311665
1.7,-37.63962958760262
1.71,-36.243171136821125
1.72,-34.559789208826054
1.73,-34.226210052487346
1.74,-41.84408122045819
1.75,-41.64961288170624
1.76,-44.733926680137785
1.77,-44.87216656846438
1.78,-38.37705678666515
1.79,-36.97863908809674
1.8,-29.262816706247886
1.81,-27.734553012425817
1.82,-25.802813064677096
1.83,-27.057710568733974
1.84,-26.956745244643756
1.85,-26.237463199634906
1.86,-26.73521390368256
1.87,-25.9382885948638
1.88,-25.818337447072643
1.89,-24.97966079038953
1.9,-24.867522949194157
1.91,-25.290844705177236
1.92,-25.87028670263425
1.93,-26.775600045831368
1.94,-27.015994380508417
1.95,-26.424263724717775
1.96,-27.051738832755838
1.97,-27.147782820462254
1.98,-28.489737167279724
1.99,-28.79805947134374
2.0,-29.270520378272224
2.01,-30.47561855159539
2.02,-31.588782784890164
2.03,-32.422677445505585
2.04,-33.984172699358695
2.05,-34.80407350438963
2.06,-32.12858161497124
2.07,-33.06637111293361
2.08,-31.83375948262035
2.09,-31.36032426145334
2.1,-31.4094805309534
2.11,-30.205388449118754
2.12,-28.97502769073445
2.13,-29.22440050192641
2.14,-28.274057220267032
2.15,-28.36385250532596
2.16,-29.23974660068525
2.17,-28.22608768811419
2.18,-27.708759705756272
2.19,-28.82730491862948
2.2,-27.996788465708363
2.21,-25.927792050217132
2.22,-23.2306740807871
2.23,-22.12386565841616
2.24,-20.252265926774292
