seconds_elapsed,dBFS
0.0,-23.910229899588185
0.01,-26.740971868519253
0.02,-21.347245365347533
0.03,-20.312508782402766
0.04,-23.066892313318895
0.05,-20.992422392045626
0.06,-18.465463551277022
0.07,-20.238632444712863
0.08,-20.67441475999404
0.09,-19.522457428406852
0.1,-17.52126131884068
0.11,-16.120207216546138
0.12,-15.754921025487276
0.13,-18.56600873410748
0.14,-17.051954033898433
0.15,-16.41864962297123
0.16,-19.93608821258813
0.17,-22.185010225928103
0.18,-23.30016156849313
0.19,-24.775168122293564
0.2,-23.04052004085083
0.21,-23.346797329589602
0.22,-22.493828124420013
0.23,-23.782281480619325
0.24,-23.276937250811777
0.25,-23.15411219558684
0.26,-23.173189492160038
0.27,-20.290553915388344
0.28,-23.956087834771186
0.29,-21.215149714404816
0.3,-20.783962779053688
0.31,-21.926412544354843
0.32,-20.569060930557907
0.33,-20.877297615490562
0.34,-21.31326175947889
0.35,-21.992844146483492
0.36,-19.996819714504753
0.37,-21.697823308739203
0.38,-22.079971856435606
0.39,-19.527476723338822
0.4,-20.691620225451
0.41,-19.207109727627973
0.42,-20.052643527896894
0.43,-22.9805395546749
0.44,-19.81328971276991
0.45,-22.329377366031732
0.46,-21.06103874121523
0.47,-20.74055494439275
0.48,-23.385852654554192
0.49,-25.359353485653273
0.5,-21.58574575837924
0.51,-20.6286994458431
0.52,-20.552096296965647
0.53,-21.588927985796428
0.54,-23.03299978961217
0.55,-20.10346181084726
0.56,-23.939384195704008
0.57,-21.834253699547773
0.58,-21.795054431942535
0.59,-18.361677693873805
0.6,-21.726878532540425
0.61,-22.02290493662772
0.62,-21.64961288170624
0.63,-20.769469384003813
0.64,-22.40247083780734
0.65,-23.014227598086382
0.66,-24.770576057878877
0.67,-25.0742277521436
0.68,-22.88394611669557
0.69,-21.860485171770264
0.7,-22.81403177899228
0.71,-18.977892081533255
0.72,-20.063317433557284
0.73,-22.185010225928103
0.74,-21.557158054115128
0.75,-18.656369909401626
0.76,-17.63760984811252
0.77,-17.215843606203865
0.78,-14.435984345050896
0.79,-13.278939643783465
0.8,-16.111732350386372
0.81,-20.889035305976883
0.82,-21.0072929480457
0.83,-23.226829916246338
0.84,-21.33487230109276
0.85,-19.447513998523714
0.86,-19.19743724373526
0.87,-20.723252369670956
0.88,-21.115119169634944
0.89,-19.899328044378517
0.9,-19.277559225709282
0.91,-19.58793559601026
0.92,-20.66582479096883
0.93,-20.445416285544052
0.94,-16.870738450362616
0.95,-15.904158333453218
0.96,-19.705004735132714
0.97,-18.278663026194153
0.98,-17.55720298242036
0.99,-19.47991012424258
1.0,-19.459959751674827
1.01,-19.74352315585348
1.02,-19.14202852396196
1.03,-16.5192697319094
1.04,-15.769567025536823
1.05,-18.038504642121307
1.06,-17.918784282424383
1.07,-17.509313738362586
1.08,-18.514473574109616
1.09,-18.14918152825086
1.1,-18.975535947072025
1.11,-18.474353920157643
1.12,-18.608813101145138
1.13,-19.098910395293224
1.14,-22.850758639792225
1.15,-25.20354859712824
1.16,-23.15411219558684
1.17,-23.16937067933173
1.18,-24.078159531170456
1.19,-25.47309007329038
1.2,-26.962652004230833
1.21,-28.287811601032043
1.22,-25.917308174909262
1.23,-23.547841190799232
1.24,-26.40761876982255
1.25,-25.14583483237847
1.26,-23.611884906848527
1.27,-21.28862965608521
1.28,-22.4761846293466
1.29,-20.660102860829053
1.3,-19.841874566098504
1.31,-20.48737043073061
1.32,-21.166506173126184
1.33,-20.91844911545408
1.34,-18.99912610181711
1.35,-18.602040477302538
1.36,-18.912160711119125
1.37,-19.600584338070888
1.38,-17.981589253368966
1.39,-21.840804144532488
1.4,-20.512640533165346
1.41,-21.896683286679057
1.42,-22.518589382266807
1.43,-25.227709640907598
1.44,-24.292742816832018
1.45,-23.480308207631552
1.46,-23.87703008988748
1.47,-23.16937067933173
1.48,-24.288398785914733
1.49,-22.046357690496915
1.5,-22.73740717687886
1.51,-21.9065817374803
1.52,-22.984276224828495
1.53,-23.35459435851359
1.54,-23.074441978842497
1.55,-22.305148927342838
1.56,-25.443275777525432
1.57,-22.686697084997345
1.58,-22.106957166337146
1.59,-22.85443988148245
1.6,-22.795726419976646
1.61,-23.660229500882252
1.62,-23.951908912564974
1.63,-22.06651057572801
1.64,-24.5798693042547
1.65,-21.61123628184804
1.66,-22.222589354759744
1.67,-20.65724330865901
1.68,-21.079028163533984
1.69,-20.977577251467274
1.7,-22.891338363642237
1.71,-22.29478596372973
1.72,-18.874822063020602
1.73,-20.18701950062555
1.74,-22.08334043884667
1.75,-18.756865151943643
1.76,-19.13482728853104
1.77,-21.09705492124233
1.78,-21.640002823962433
1.79,-21.681723416014613
1.8,-20.40366381143815
1.81,-21.160444840264667
1.82,-22.995495890076004
1.83,-21.840804144532488
1.84,-25.24223859267223
1.85,-25.513002330252384
1.86,-27.28773363211935
1.87,-25.12668181549303
1.88,-24.956179052276042
1.89,-25.12190015303367
1.9,-22.726515777786524
1.91,-24.305787960167315
1.92,-22.44100479333232
1.93,-24.665623133101526
1.94,-23.77409110788792
1.95,-25.083741323344487
1.96,-21.956243906149766
1.97,-21.24875087676525
1.98,-23.782281480619325
1.99,-22.42346816383793
2.0,-24.557442517620245
2.01,-23.881173132960573
2.02,-22.02959926423313
2.03,-22.09008152543887
2.04,-23.456597848127394
2.05,-21.3101789237276
2.06,-20.07133147961687
2.07,-21.933032887387284
2.08,-21.0430864999543
2.09,-23.42115322549214
2.1,-22.388500767022492
2.11,-25.943541627765406
2.12,-22.236294903383396
2.13,-20.149184202800527
2.14,-21.870342433624188
2.15,-20.82758863489348
2.16,-21.10909357824653
2.17,-21.365838072349973
2.18,-19.66155602783681
2.19,-18.038504642121307
2.2,-21.636801832719993
2.21,-18.359482901786805
2.22,-18.620112555890834
2.23,-21.617620618510387
2.24,-19.001488644912882
2.25,-19.192605037970534
2.26,-19.608182434171148
2.27,-17.81304711997913
2.28,-19.87055380152435
2.29,-21.933032887387284
2.3,-22.479710462412292
2.31,-24.193375674094714
2.32,-25.198724442803687
2.33,-22.755589912507897
2.34,-23.36630304099396
2.35,-22.486766425138306
2.36,-24.150524626956727
2.37,-23.048046808772487
2.38,-24.384472953971144
2.39,-22.53631931215857
2.4,-23.512023038441615
2.41,-23.112289052396594
2.42,-23.92687751299883
2.43,-22.958153228782827
2.44,-23.848083989560326
2.45,-18.912160711119125
2.46,-22.51504773506664
2.47,-20.323507061350007
2.48,-21.70104687145502
2.49,-21.75278724567455
2.5,-23.504083467835724
2.51,-22.284435349232098
2.52,-21.337963915162796
2.53,-19.47491823350859
2.54,-22.12386565841616
2.55,-22.75195031905927
2.56,-22.607603172555663
2.57,-24.19767242888828
2.58,-26.496762742922257
2.59,-23.977012657317136
2.6,-24.323212017440756
2.61,-24.301437401780305
2.62,-23.906072976973274
2.63,-25.354442040999892
2.64,-25.543057341686477
2.65,-25.478069087263385
2.66,-23.476351983633272
2.67,-24.91873981483603
2.68,-27.214434550391246
2.69,-23.591820472798
2.7,-23.257630975608183
2.71,-26.507970344010236
2.72,-24.279717236328363
2.73,-23.75364890113978
2.74,-25.85466927624269
2.75,-27.3864379856296
2.76,-28.02345276796263
2.77,-26.804562692333306
2.78,-25.045749399950022
2.79,-23.58781314186737
2.8,-24.35816534283116
2.81,-25.165030176407463
2.82,-25.583293150233786
2.83,-24.42408437643199
2.84,-24.163357758527436
2.85,-23.448708756179006
2.86,-21.870342433624188
2.87,-20.772366128949145
2.88,-18.16848113049864
2.89,-21.743062419536766
2.9,-20.781062164687754
2.91,-17.559204108944144
2.92,-17.365252741274567
2.93,-20.50420899426861
2.94,-20.63440071919388
2.95,-20.977577251467274
2.96,-22.318985472902146
2.97,-17.127797254375594
2.98,-8.085765507642598
2.99,-16.15078538493224
3.0,-22.976804491345764
3.01,-23.843956695760617
3.02,-21.0880368657812
3.03,-24.20627232032157
3.04,-21.847359533249737
3.05,-20.93614533136413
3.06,-20.540804921130395
3.07,-22.40596686910351
3.08,-21.12718290718263
3.09,-23.806899039766204
3.1,-23.761820011467748
3.11,-23.87703008988748
3.12,-24.544014187754634
3.13,-24.15480023109822
3.14,-24.345041356998056
3.15,-24.14197972745984
3.16,-24.044312865299876
3.17,-16.77695530755399
3.18,-22.336312208426516
3.19,-21.431227763646916
3.2,-22.308605997891185
3.21,-25.628782347450773
3.22,-23.425084381765657
3.23,-25.880713942347583
3.24,-24.526141980547695
3.25,-25.031545161889884
3.26,-26.468806846120955
3.27,-24.900080538835105
3.28,-26.42981913881062
3.29,-25.21803715701488
3.3,-25.12190015303367
3.31,-25.31036356651046
3.32,-22.472660226929378
3.33,-26.729459753330964
3.34,-25.169835647975717
3.35,-25.664328276899685
3.36,-26.598155602106853
3.37,-28.178381622746727
3.38,-26.649299359122725
3.39,-26.740971868519253
3.4,-28.25346640152553
3.41,-27.760423142162377
3.42,-27.644609564544467
3.43,-24.692880131321022
3.44,-27.50512512762173
3.45,-25.553098833715904
3.46,-28.15801610430063
3.47,-27.760423142162377
3.48,-25.349533371958227
3.49,-26.3248691159612
3.5,-28.667660013492096
3.51,-25.643998508372352
3.52,-26.689287083459746
3.53,-25.083741323344487
3.54,-23.456597848127394
3.55,-24.292742816832018
3.56,-22.522132474152798
3.57,-22.51504773506664
3.58,-23.843956695760617
3.59,-27.184074891247466
3.6,-27.244900697508672
3.61,-27.238798913177604
3.62,-26.620848990947955
3.63,-24.881461261312868
3.64,-27.33694560307249
3.65,-28.09720449320938
3.66,-29.340162628186267
3.67,-27.473734093678598
3.68,-25.513002330252384
3.69,-28.482695505249897
3.7,-28.010110384942664
3.71,-27.492555097008147
3.72,-29.2167376080566
3.73,-28.117427761106622
3.74,-27.306155462223188
3.75,-27.930483642678823
3.76,-26.649299359122725
3.77,-27.448702694112455
3.78,-27.220519236901417
3.79,-26.758268700597117
3.8,-27.492555097008147
3.81,-28.93044646555292
3.82,-31.36032426145334
3.83,-29.332396968627354
3.84,-29.23974660068525
3.85,-28.703686152397463
3.86,-28.937860797747096
3.87,-29.80288139389895
3.88,-29.170901672464904
3.89,-31.291969521423425
3.9,-30.257039084796183
3.91,-30.537819561622044
3.92,-28.32920591117081
3.93,-26.468806846120955
3.94,-26.199497964376537
3.95,-28.56757458106365
3.96,-27.549264044723728
3.97,-26.683563268005127
3.98,-24.575379312095755
3.99,-25.393811579848816
4.0,-26.502364735788525
4.01,-25.766697047411853
4.02,-26.232029424269662
4.03,-25.623716211618568
4.04,-29.201432071694352
4.05,-26.598155602106853
4.06,-28.3222931454752
4.07,-26.655000632473506
4.08,-25.83388962604953
4.09,-27.606345671658858
4.1,-28.151238195538383
4.11,-26.346858721726324
4.12,-28.144465571695786
4.13,-24.6113644060853
4.14,-26.30841336811895
4.15,-24.633931032543824
4.16,-24.606858107858116
4.17,-25.81315956934073
4.18,-25.583293150233786
4.19,-25.453202509620823
4.2,-26.956745244643756
4.21,-25.14104261728418
4.22,-25.256791887846894
4.23,-26.700746042427884
4.24,-27.010051246757524
4.25,-24.271044355290194
4.26,-25.948797839507087
4.27,-28.09720449320938
4.28,-27.58092973651456
4.29,-26.396539827455623
4.3,-25.329926389280203
4.31,-25.771847293419885
4.32,-26.55858428246509
4.33,-24.720222933453947
4.34,-23.492187702947724
4.35,-24.570891639746858
4.36,-24.679240940392727
4.37,-25.13146611175173
4.38,-23.843956695760617
4.39,-25.339724348173718
4.4,-22.64706010021247
4.41,-23.708844681739173
4.42,-24.288398785914733
4.43,-23.52792398501157
4.44,-23.157924304332727
4.45,-24.900080538835105
4.46,-24.42408437643199
4.47,-23.37020944521454
4.48,-24.733926680137778
4.49,-22.486766425138306
4.5,-24.384472953971144
4.51,-22.81403177899228
4.52,-22.497361128185652
4.53,-20.983512263408514
4.54,-20.205999132796236
4.55,-22.490296557126776
4.56,-22.01621576445418
4.57,-20.4231233258877
4.58,-20.28507385865258
4.59,-20.173487967061487
4.6,-18.877151031968214
4.61,-18.053321564799646
4.62,-18.104315192506583
4.63,-16.980511248819166
4.64,-18.485479692958528
4.65,-19.284879824236235
4.66,-18.557024104769457
4.67,-19.81328971276991
4.68,-19.983581044607554
4.69,-21.778773471902856
4.7,-19.707567322446792
4.71,-18.550291726467236
4.72,-20.98054425051852
4.73,-23.108496915406405
4.74,-24.64297412512336
4.75,-21.519186891400683
4.76,-23.188481555331904
4.77,-22.185010225928103
4.78,-23.64811810272461
4.79,-23.28467179240752
4.8,-23.429017318051134
4.81,-22.4761846293466
4.82,-23.492187702947724
4.83,-21.62720593083654
4.84,-22.26377105010075
4.85,-23.188481555331904
4.86,-21.7755209387669
4.87,-22.836049255010003
4.88,-26.502364735788525
4.89,-25.533027444916016
4.9,-25.797644430404937
4.91,-25.513002330252384
4.92,-27.593628407837908
4.93,-23.519969873065545
4.94,-24.31449561968162
4.95,-24.340671097968464
4.96,-24.661088604343846
4.97,-26.666414418134387
4.98,-27.587276751512412
4.99,-27.442456099353425
5.0,-27.83196587985264
5.01,-27.306155462223188
5.02,-27.498837838430763
5.03,-26.11869840834174
5.04,-30.026992268801944
5.05,-26.626531614400935
5.06,-26.03333271248827
5.07,-27.884369596201925
5.08,-29.072412553300374
5.09,-26.0121217382404
5.1,-26.006827078132492
5.11,-23.922712617384114
5.12,-25.18908416474632
5.13,-20.52671131161597
5.14,-20.411998265592473
5.15,-21.88679610332567
5.16,-23.089561024675636
5.17,-23.20763457221734
5.18,-22.046357690496915
5.19,-26.21032825211146
5.2,-25.74099152513426
5.21,-23.119878296774626
5.22,-23.119878296774626
5.23,-22.256893860796062
5.24,-19.392963556008837
5.25,-21.743062419536766
5.26,-22.277541785665438
5.27,-22.395482993795635
5.28,-22.946981665007332
5.29,-22.09008152543887
5.3,-25.5380409455678
5.31,-22.665054491645282
5.32,-22.388500767022492
5.33,-22.98801450318965
5.34,-24.301437401780305
5.35,-25.448237725468466
5.36,-23.273072561253887
5.37,-21.992844146483492
