seconds_elapsed,dBFS
0.0,-11.756459450295276
0.01,-11.92011448988962
0.02,-14.053404559015076
0.03,-18.738506593694495
0.04,-18.55477939881613
0.05,-15.932324333117114
0.06,-13.602798681813104
0.07,-12.652817871345558
0.08,-13.751279043397242
0.09,-13.997443732709012
0.1,-14.750317722438771
0.11,-15.555606152061518
0.12,-15.633821987450302
0.13,-16.820962442288725
0.14,-17.273749751592142
0.15,-15.869490667475288
0.16,-14.571132193968042
0.17,-13.835602433831632
0.18,-14.399740811386758
0.19,-13.29239950222374
0.2,-14.330463927650328
0.21,-14.777880485129117
0.22,-12.186609548283124
0.23,-10.894624624790572
0.24,-12.793887114033266
0.25,-10.361271011248089
0.26,-10.5458492480593
0.27,-11.288079736477961
0.28,-10.644594406232299
0.29,-13.119027535438835
0.3,-15.179319410342169
0.31,-14.541388392803093
0.32,-14.24532092848752
0.33,-14.220757516440079
0.34,-14.004086860863097
0.35,-13.403316172234527
0.36,-14.531496383686022
0.37,-12.4005477784062
0.38,-12.793887114033266
0.39,-13.561018212353906
0.4,-13.672882525706537
0.41,-13.26427991095661
0.42,-15.248067466663775
0.43,-12.62669145896098
0.44,-17.135418127545382
0.45,-16.200277767489347
0.46,-15.808744192371218
0.47,-21.199919323621792
0.48,-16.811775884438124
0.49,-17.563207745630866
0.5,-16.93010401003968
0.51,-16.05768814172819
0.52,-18.597528326739734
0.53,-15.821842614665826
0.54,-14.883129846613164
0.55,-17.782191351693513
0.56,-14.548461017278282
0.57,-14.196263373075658
0.58,-17.114476794438524
0.59,-16.59774647602976
0.6,-13.144271990604096
0.61,-15.32509785480091
0.62,-15.280337062807408
0.63,-10.679875368751826
0.64,-10.1899529614467
0.65,-12.141443250546466
0.66,-10.269999877509
0.67,-11.635204520036464
0.68,-11.606918276165366
0.69,-11.249277395253248
0.7,-11.940003851171202
0.71,-15.073447949030793
0.72,-16.87813699394288
0.73,-18.000519641475478
0.74,-17.31062432448597
0.75,-16.380123436414372
0.76,-17.164056101520032
0.77,-17.479516489112367
0.78,-16.837522770733326
0.79,-17.345703127714337
0.8,-18.237451336165023
0.81,-17.62348480667548
0.82,-16.305312106750403
0.83,-13.778432572381327
0.84,-14.0976281148661
0.85,-13.51315501028777
0.86,-14.222120329597042
0.87,-14.759012307387058
0.88,-17.619453295979724
0.89,-18.16848113049864
0.9,-19.694761939561218
0.91,-20.962757439583317
0.92,-21.36894072987111
0.93,-20.8101119898866
0.94,-19.826271167342988
0.95,-12.529691813187613
0.96,-11.423294285419301
0.97,-11.510630291813225
0.98,-12.357556422679746
0.99,-11.842045569237847
1.0,-11.958888508143424
1.01,-11.342695885407402
1.02,-11.649382260730395
1.03,-11.021920113350486
1.04,-9.582010938557595
1.05,-11.886719222460744
1.06,-9.504866147700135
1.07,-13.20225060980355
1.08,-10.682595234012211
1.09,-13.840818401343466
1.1,-13.535794179415529
1.11,-12.636905480748508
1.12,-14.535734436777208
1.13,-16.032470211583863
1.14,-17.718768015185294
1.15,-19.562693236954164
1.16,-21.903281000356
1.17,-23.25377486471774
1.18,-25.050489312557723
1.19,-21.481381000864133
1.2,-17.32424925220221
1.21,-14.811363382818431
1.22,-15.929005941619991
1.23,-19.489902520671702
1.24,-19.671759717278167
1.25,-18.58400592187352
1.26,-17.659852855499874
1.27,-15.95891720391032
1.28,-13.674162026281593
1.29,-12.924364304574834
1.3,-13.52824123142824
1.31,-13.23503446367087
1.32,-16.010673739322655
1.33,-15.653084733407773
1.34,-19.91243882367998
1.35,-21.218198999897982
1.36,-22.991754391143253
1.37,-25.04101207251431
1.38,-27.825437589700854
1.39,-23.947731999939123
1.4,-24.35378847721168
1.41,-23.280803660685578
1.42,-14.352572471913884
1.43,-13.414486139729838
1.44,-15.797299253780468
1.45,-13.361247678646448
1.46,-13.009289485998476
1.47,-14.842047859577898
1.48,-13.480557811147172
1.49,-15.909122171842277
1.5,-15.176276534277395
1.51,-17.183200675367164
1.52,-14.965881377550748
1.53,-16.164410312648478
1.54,-13.23625106002247
1.55,-13.742246698014268
1.56,-14.250788910813561
1.57,-16.012348450527703
1.58,-19.331387446444058
1.59,-24.253724529734725
1.6,-23.378027528224877
1.61,-26.022720750706362
1.62,-23.215307620099786
1.63,-24.55296410058984
1.64,-23.280803660685578
1.65,-24.97966079038953
1.66,-22.593299522327644
1.67,-19.103690741940063
1.68,-16.612091466306108
1.69,-15.503324305556774
1.7,-16.229422199026637
1.71,-15.029962178527875
1.72,-17.188952285535212
1.73,-19.787384863153758
1.74,-20.068659309271823
1.75,-19.746097134132228
1.76,-18.454363371315115
1.77,-12.645994705528807
1.78,-7.952970539247806
1.79,-10.266541774691124
1.8,-12.83096674190513
1.81,-10.281248229461532
1.82,-12.822842036633578
1.83,-11.571689519681904
1.84,-11.965192528963073
1.85,-13.601529649794182
1.86,-12.015790087409922
1.87,-13.310787533164437
1.88,-13.640956114557186
1.89,-13.783614311319832
1.9,-15.298830802167434
1.91,-15.379428500593736
1.92,-14.688259926771721
1.93,-14.006745535398107
1.94,-14.842047859577898
1.95,-15.162596768260912
1.96,-16.450298648571604
1.97,-15.985591741997279
1.98,-17.31256943470305
1.99,-17.034980191401395
2.0,-19.0251494866704
2.01,-18.57500266671337
2.02,-19.328933458678602
2.03,-17.77808551865177
2.04,-17.631553446027702
2.05,-18.412311587528
2.06,-19.779628449804807
2.07,-18.819113333487806
2.08,-19.512427531636394
2.09,-19.920314800920302
2.1,-20.974611265562384
2.11,-20.375939914176
2.12,-20.891972208672005
2.13,-10.203672039738983
2.14,-13.989478679754647
2.15,-11.534602403546707
2.16,-12.110393504137743
2.17,-12.343273127411898
2.18,-14.024046784555955
2.19,-14.322187710122725
2.2,-12.66648030379372
2.21,-11.986239037050852
2.22,-17.497382569401303
2.23,-18.608813101145138
2.24,-19.666656374218277
2.25,-19.547582958330917
2.26,-21.765770640675047
2.27,-18.79831433279707
2.28,-21.347245365347533
2.29,-24.638451401960488
2.3,-21.870342433624188
2.31,-26.740971868519253
2.32,-23.607868310412528
2.33,-27.417514547002032
2.34,-29.46536680887903
2.35,-26.63221795806593
2.36,-28.66047268197892
2.37,-19.358427169998716
2.38,-16.915224538070195
2.39,-16.57269960904802
2.4,-16.338288847954335
2.41,-15.94561059136822
2.42,-16.464401983739243
2.43,-12.045442019384998
2.44,-12.186609548283124
2.45,-13.053256734487471
2.46,-13.503112066965633
2.47,-12.01156234839335
2.48,-13.783614311319832
2.49,-16.483831536532133
2.5,-12.491639922965538
2.51,-9.313787663944844
2.52,-11.610953532748079
2.53,-14.839120853774945
2.54,-14.196263373075658
2.55,-15.828399240482403
2.56,-14.833269799570486
2.57,-17.067069790835887
2.58,-18.26779887263511
2.59,-17.910444493364995
2.6,-17.698407270657878
2.61,-16.693226469060708
2.62,-16.958071908964026
2.63,-16.915224538070195
