seconds_elapsed,dBFS
0.0,-14.052067959852932
0.01,-14.077498581782491
0.02,-15.02248658667468
0.03,-14.088228527110038
0.04,-12.896239434978245
0.05,-6.973294304485701
0.06,-11.960989340089345
0.07,-15.561964783120068
0.08,-14.991159170594049
0.09,-15.399695325779813
0.1,-15.960581964746858
0.11,-13.870871152147897
0.12,-12.983251917510458
0.13,-16.072854118370536
0.14,-15.056927707858287
0.15,-14.521615627364724
0.16,-14.896376143638225
0.17,-15.003080105233224
0.18,-6.02802511095553
0.19,-10.723495747373894
0.2,-12.093310003337614
0.21,-9.879424054043813
0.22,-11.012496341526584
0.23,-10.505774841224778
0.24,-12.220097877656164
0.25,-12.911462433859027
0.26,-14.250788910813561
0.27,-15.78097545713591
0.28,-15.180841248215195
0.29,-15.004571373094741
0.3,-14.396959101310763
0.31,-13.847342768538283
0.32,-13.766784949874133
0.33,-14.808446697217462
0.34,-14.14748133736822
0.35,-13.94712131626164
0.36,-14.811363382818431
0.37,-14.56545884978328
0.38,-14.685384280449124
0.39,-14.630927113739657
0.4,-15.049428881839496
0.41,-15.792398892782751
0.42,-14.962912350128892
0.43,-14.554123266265025
0.44,-16.12529610818945
0.45,-14.983716886154445
0.46,-10.604062883137125
0.47,-8.125530270684912
0.48,-10.575355103604245
0.49,-12.911462433859027
0.5,-14.161004444004652
0.51,-13.573657751310249
0.52,-13.590116697317395
0.53,-13.539573117755781
0.54,-14.470977099002933
0.55,-13.211951450837677
0.56,-13.71134977032449
0.57,-13.376072127652009
0.58,-11.841009376020029
0.59,-7.861404057812113
0.6,-11.709386888884062
0.61,-13.529499600084996
0.62,-15.070441930783776
0.63,-15.970577235859135
0.64,-14.727174622284377
0.65,-14.238490787663709
0.66,-16.81728665313608
0.67,-14.046723619036385
0.68,-15.73543136217608
0.69,-14.459764072255343
0.7,-15.68205918827526
0.71,-15.519134083562058
0.72,-16.025757777217294
0.73,-15.771195884357924
0.74,-5.985680653474495
0.75,-9.609214373440665
0.76,-10.003480565556853
0.77,-8.847835479417638
0.78,-10.318558436616282
0.79,-11.169311344339155
0.8,-11.727776217499049
0.81,-11.188513053580815
0.82,-14.967366271927913
0.83,-11.879431091680557
0.84,-7.409423938793742
0.85,-11.897141457498188
0.86,-14.318052556682057
0.87,-15.690124830639643
0.88,-14.05607837453198
0.89,-13.263059382655848
0.9,-13.392160550759211
0.91,-13.57239296941678
0.92,-14.685384280449124
0.93,-13.58504908361585
0.94,-13.53453489856692
0.95,-13.576187867738877
0.96,-14.053404559015076
0.97,-13.94712131626164
0.98,-14.116457861313362
0.99,-14.362262683687362
1.0,-15.000098337391357
1.01,-14.897849202174456
1.02,-13.733223735495294
1.03,-15.064433013464868
1.04,-15.082472250765226
1.05,-14.287788102237247
1.06,-14.4387785833372
1.07,-15.120174756520406
1.08,-14.685384280449124
1.09,-13.92865472541317
1.1,-14.908167612800984
1.11,-14.523026476005537
1.12,-14.770618642353428
1.13,-14.652382595142521
1.14,-14.992648392995992
1.15,-13.287502594616619
1.16,-14.785148404252919
1.17,-13.96827417819378
1.18,-13.32675537550281
1.19,-14.463967261129074
1.2,-15.194549801125195
1.21,-14.494852952640763
1.22,-14.139377567875338
1.23,-15.091505938150577
1.24,-14.53290883830139
1.25,-14.1070378855715
1.26,-14.701212129775303
1.27,-14.575389635261383
1.28,-12.133938315503682
1.29,-6.341906204455558
1.3,-11.746204561691961
1.31,-11.343674301588448
