seconds_elapsed,dBFS
0.0,-13.356311812829256
0.01,-12.745459089364232
0.02,-11.891928776769172
0.03,-8.41049667671111
0.04,-9.010858156001634
0.05,-7.9576074299178075
0.06,-7.33632872940737
0.07,-8.620333163463464
0.08,-8.456690880363265
0.09,-8.595339835302058
0.1,-9.736760397869759
0.11,-13.366186350926233
0.12,-13.614228321117537
0.13,-16.052638695037356
0.14,-19.216792994671078
0.15,-17.603345939230117
0.16,-14.578229089238308
0.17,-15.132274204255191
0.18,-16.662486325838216
0.19,-11.719598375644566
0.2,-10.097063975063854
0.21,-9.212908694775262
0.22,-8.864736247126716
0.23,-8.416082907075262
0.24,-8.561890098113333
0.25,-7.742952355907352
0.26,-9.680829414161874
0.27,-6.115482007772467
0.28,-7.8123957109171736
0.29,-5.505504798808813
0.3,-8.614614058968407
0.31,-8.250724643409942
0.32,-8.86988649313475
0.33,-8.763821425335397
0.34,-9.065635232158698
0.35,-8.89420744221039
0.36,-7.1774099831028835
0.37,-8.604614678295517
0.38,-9.11621593271986
0.39,-8.700798556081619
0.4,-7.069068190745441
0.41,-9.378315044174968
0.42,-7.658682000941585
0.43,-6.050870844188312
0.44,-7.488787632347881
0.45,-8.070313172540725
0.46,-6.736940892382567
0.47,-8.950479705563922
0.48,-6.970336801771281
0.49,-6.451519268343919
0.5,-7.756537707233772
0.51,-9.506449863565232
0.52,-8.465116285248037
0.53,-6.68299109385795
0.54,-9.036327794578664
0.55,-10.290777456569892
0.56,-10.218272342167902
0.57,-9.769349835362252
0.58,-11.075831726440054
0.59,-11.419345256190985
0.6,-11.525605106690808
0.61,-11.897141457498188
0.62,-11.3848676223387
0.63,-11.090074784517729
0.64,-10.430579523168621
0.65,-10.930938093117796
0.66,-10.889980012285875
0.67,-10.707112423488478
0.68,-10.60945617088449
0.69,-10.594183878192867
0.7,-10.630161519516594
0.71,-10.592388902026515
0.72,-10.138698546565262
0.73,-10.305525038025058
0.74,-10.522672599395328
0.75,-9.978359880049055
0.76,-8.37079843903323
0.77,-8.17838162274673
0.78,-9.542955255203866
0.79,-8.095184753719272
0.8,-7.580929736514558
0.81,-7.020156995004033
0.82,-8.865471809615032
0.83,-9.907576628517532
0.84,-9.626059157073446
0.85,-9.846419778984444
0.86,-9.63248482012815
0.87,-9.624453483783347
0.88,-10.201098061460234
0.89,-9.799604317973241
0.9,-9.701862592977518
0.91,-10.262221081353228
0.92,-10.07420747142799
0.93,-10.850138537082994
0.94,-11.108149584657527
0.95,-10.996499357009505
0.96,-10.953360537678371
0.97,-11.46387569080506
0.98,-9.950810781260577
0.99,-10.96459350353501
1.0,-9.834075436144836
1.01,-9.556485300899975
1.02,-9.602805896058332
1.03,-9.096552612995236
1.04,-9.481934658254872
1.05,-9.82339117825276
1.06,-9.96165302812376
1.07,-9.528652259246117
1.08,-10.162579640739466
1.09,-9.876117977445496
1.1,-9.904259820978204
1.11,-9.451977848178569
1.12,-9.351824151045221
1.13,-9.75711446266984
1.14,-9.033327487247256
1.15,-8.147851223517279
1.16,-7.798072225770552
1.17,-9.170901672464906
1.18,-8.66550318950103
1.19,-8.929705380305421
1.2,-8.036147043759561
1.21,-8.921557613024067
1.22,-6.9225650255576205
1.23,-7.624181180262559
1.24,-9.799604317973241
1.25,-10.496006932817268
1.26,-8.568996283274544
1.27,-8.508072250047242
1.28,-6.150389948934939
1.29,-8.723202577221166
1.3,-9.622045530257394
1.31,-7.889627398806826
1.32,-9.422124001292215
1.33,-9.126822340922482
1.34,-9.314562256145658
1.35,-7.287733632119354
1.36,-7.5315815528042815
1.37,-8.510896470406399
1.38,-5.111389752321167
1.39,-8.047520827310201
1.4,-8.17158780962128
1.41,-7.276086648961796
1.42,-7.083435921040168
1.43,-7.096027210471123
1.44,-9.798785242142745
1.45,-10.564614101034259
1.46,-9.810259338445487
1.47,-11.339761297968687
1.48,-10.262221081353228
1.49,-9.972508825844598
1.5,-11.064454072192657
1.51,-10.349045971034272
1.52,-11.338783322441214
1.53,-10.008513432701854
1.54,-12.258063112914531
1.55,-10.510218433503645
1.56,-11.137721034755009
1.57,-11.398642257637565
1.58,-10.612154071088838
1.59,-11.379953398932896
1.6,-10.264813239434062
1.61,-11.723686334133046
1.62,-9.593202036639216
1.63,-11.201016966409016
1.64,-10.139550313139916
1.65,-10.532470558288843
1.66,-8.728269557444568
1.67,-8.941570338541494
1.68,-8.898636758796975
1.69,-8.886092890172701
1.7,-7.470601220916748
1.71,-7.97817203865945
1.72,-6.952022727393771
1.73,-8.98620884178037
1.74,-9.394717520377005
1.75,-11.181787625727914
1.76,-9.394717520377005
1.77,-9.288264796370095
1.78,-10.583419581074534
1.79,-10.131036403775566
1.8,-9.709965858457545
1.81,-8.710186756147113
1.82,-9.664684633234726
1.83,-7.6114377952917724
1.84,-8.043504849907348
1.85,-7.772738498363304
1.86,-8.736962692086534
1.87,-5.868202755974047
1.88,-11.359343968055985
1.89,-7.831312829994204
1.9,-8.667660013492096
1.91,-7.644609564544471
1.92,-7.164095489690463
1.93,-8.147173987569952
1.94,-7.330162401136131
1.95,-8.581090156709358
1.96,-8.359687609711244
1.97,-6.751922528748353
1.98,-5.986208687131491
1.99,-8.636080145282666
2.0,-8.614614058968407
2.01,-7.546735769451017
2.02,-7.525275090871778
2.03,-8.545567901907312
2.04,-7.409423938793742
2.05,-8.130936145848091
2.06,-7.0493512874857
2.07,-8.068299675725761
2.08,-5.709733459605771
2.09,-9.048339398412427
2.1,-7.714556525276803
2.11,-7.500723547372875
2.12,-5.2558209091819705
2.13,-8.899375197873983
2.14,-9.141237499327698
2.15,-8.354137520296804
2.16,-10.409465226200536
2.17,-8.126205821114034
2.18,-9.86538191092105
2.19,-9.200667502384583
2.2,-8.755827717511732
2.21,-10.14892526239117
2.22,-10.701658175498853
2.23,-10.505774841224778
2.24,-10.735347396055467
2.25,-13.377308641233434
2.26,-11.265747214905106
2.27,-11.730844894315304
2.28,-12.877539988276784
2.29,-13.781023055442002
2.3,-12.644858032146558
2.31,-12.61762240082769
2.32,-12.89273022088241
2.33,-11.904444470055786
2.34,-10.7829163681543
2.35,-10.962720333452687
2.36,-13.418212656614198
2.37,-14.949564271561982
2.38,-12.950225681378667
2.39,-13.992132885929028
2.4,-12.94434133074506
2.41,-13.43064593906651
2.42,-17.046292400039274
2.43,-16.786105092070233
2.44,-14.638073053787362
2.45,-14.156945300864464
2.46,-14.706974869836124
2.47,-13.14186459323889
2.48,-12.799670381866646
2.49,-10.441155950214307
2.5,-9.21520584019476
2.51,-8.726097632539382
2.52,-8.776917927522142
2.53,-8.381227765447028
2.54,-7.835885210431918
2.55,-10.171124540236349
2.56,-7.067273894377264
2.57,-7.109237691554617
2.58,-7.337562520551215
2.59,-7.8280483169937485
2.6,-8.354831087561761
2.61,-9.191497916272416
2.62,-9.348712880433263
2.63,-8.27680635453213
2.64,-9.836542901614221
2.65,-8.589637158272877
2.66,-13.485564809203714
2.67,-11.186590971333967
2.68,-8.453182705656635
2.69,-8.079043723033754
2.7,-7.511416971169628
2.71,-9.293672474533512
2.72,-9.083719853189358
2.73,-9.191497916272416
2.74,-10.271729445343878
2.75,-11.507638424407308
2.76,-14.282296785703426
2.77,-14.458363461168204
2.78,-17.941760076996793
2.79,-15.670779856856909
2.8,-16.826479044340193
2.81,-14.542802457053357
2.82,-19.272682252174043
2.83,-19.103690741940063
2.84,-20.09273848894443
2.85,-18.11284331262031
2.86,-14.431794672340965
2.87,-14.420632081711538
2.88,-12.769639350542658
2.89,-11.045524371689325
2.9,-9.978359880049055
2.91,-11.389784627642987
2.92,-12.619888777784595
2.93,-12.483826361111577
2.94,-14.56404109255528
2.95,-14.014726445274823
2.96,-15.4356682702701
2.97,-13.969597944048367
2.98,-17.114476794438524
2.99,-17.152589578880413
3.0,-15.079463108300324
3.01,-15.52863378152474
3.02,-15.54607692495316
3.03,-16.3365501051524
3.04,-13.443097044464213
3.05,-14.184042155278549
3.06,-14.539974558725246
3.07,-10.536036194479335
3.08,-10.682595234012211
3.09,-11.626102463344816
3.1,-11.606918276165366
3.11,-12.360855905962751
3.12,-12.375168167936677
3.13,-14.409483818171724
3.14,-13.724210136366576
3.15,-13.416970306667427
3.16,-13.903655555975067
3.17,-11.330963479790084
3.18,-12.849566084425488
3.19,-14.57255110921061
3.2,-13.052065499535583
3.21,-15.136815845999482
3.22,-13.211951450837677
3.23,-11.359343968055985
3.24,-11.098631843580197
3.25,-12.572418605654716
3.26,-14.676763049331354
3.27,-13.79528453875919
3.28,-12.264588133608063
3.29,-11.067297088847159
3.3,-10.521782423669407
3.31,-10.465000103282655
3.32,-10.021108373723656
3.33,-10.055628021267752
3.34,-10.607658036184338
3.35,-10.616652434459395
3.36,-10.388402130972825
3.37,-9.275145863233618
3.38,-11.825481293155939
3.39,-10.392786065673503
3.4,-8.978753142062448
3.41,-10.391032226265613
3.42,-10.125081628803933
3.43,-9.032577572320125
3.44,-8.526446118308787
3.45,-8.875776230358603
3.46,-6.266864471389637
3.47,-7.225999101563399
3.48,-7.657401745999616
3.49,-7.856818227674557
3.5,-8.114053944929786
3.51,-7.803278033321089
3.52,-8.123503934588456
3.53,-6.861027140408264
3.54,-9.272061932919641
3.55,-9.9266728902529
3.56,-9.123032851032933
3.57,-9.696194801821719
3.58,-9.670331893682249
3.59,-10.631964319364924
3.6,-11.720620184908503
3.61,-11.37602402106083
3.62,-11.435152157074025
3.63,-10.180533649041497
3.64,-9.289037115726677
3.65,-8.909719942179105
3.66,-7.739720877899149
3.67,-9.202196708310728
3.68,-6.674413001540703
3.69,-8.226771105214988
3.7,-8.494669729572381
3.71,-7.349910080577945
3.72,-8.18178052305935
3.73,-10.988981546618676
3.74,-7.6420533874695
3.75,-8.670536612173155
3.76,-6.674984610875124
3.77,-6.493403280633981
3.78,-10.225151574000073
3.79,-9.251273994066722
3.8,-13.876108348350014
3.81,-15.812016946606644
3.82,-14.301531601367367
3.83,-19.522457428406852
3.84,-13.851259742511344
3.85,-13.068757674190026
3.86,-15.029962178527875
3.87,-17.139231073014017
3.88,-12.534179485536505
3.89,-16.565556607298365
3.9,-12.71332309738604
3.91,-12.952580538282898
3.92,-14.967366271927913
3.93,-15.77608429437612
3.94,-15.909122171842277
3.95,-16.072854118370536
3.96,-11.675773905504734
3.97,-14.801159265262118
3.98,-13.428157858374028
3.99,-14.939196595769458
4.0,-12.196318672655263
4.01,-12.315871093081645
4.02,-11.713470043096319
4.03,-9.624453483783347
4.04,-8.465818771369012
4.05,-7.765606427196438
4.06,-9.525477011673537
4.07,-8.82876977901546
4.08,-8.140404530725029
4.09,-8.68493391306285
4.1,-9.809439257281863
4.11,-9.265897355203064
4.12,-8.467223914078225
4.13,-8.01944790061831
4.14,-7.414401882701362
4.15,-7.717778653012706
4.16,-9.215971690359527
4.17,-8.562600455066342
4.18,-9.68567870598118
4.19,-8.196070446169632
4.2,-5.338253949563193
4.21,-8.503132072992155
4.22,-5.645521591575495
4.23,-10.636472956703667
4.24,-9.24281907671236
4.25,-9.086737620834782
4.26,-9.88769475514298
4.27,-11.5726940752417
4.28,-12.714468766402813
4.29,-13.329214574171012
4.3,-12.64713152768056
4.31,-14.331844064244645
4.32,-12.57918419574472
4.33,-14.991159170594049
4.34,-12.213606181062456
4.35,-12.397233185869098
4.36,-11.276420822461592
4.37,-14.783694333832166
4.38,-12.696156171108658
4.39,-11.035130594433982
4.4,-10.131036403775566
4.41,-9.949143943865698
4.42,-10.169414887708822
4.43,-10.103847839228333
4.44,-11.713470043096319
4.45,-14.722842147522641
4.46,-15.478088363670167
4.47,-13.023524763106773
4.48,-12.884547564000215
4.49,-10.214834768307632
4.5,-8.348590975001006
4.51,-9.362722382886592
4.52,-11.670692357569434
4.53,-11.72470862444648
4.54,-14.642363441445879
4.55,-11.069192950393061
4.56,-11.476782656121681
4.57,-13.602798681813104
4.58,-15.566736813075133
4.59,-15.854675349424461
4.6,-13.71649163203337
4.61,-15.544489736344255
4.62,-15.393454341399178
4.63,-14.744526163872427
4.64,-16.09480738470761
4.65,-16.012348450527703
4.66,-16.44677638995153
4.67,-11.257992821230324
4.68,-9.822569856363058
4.69,-8.3015877968431
4.7,-13.965627251573245
4.71,-13.692094853022127
4.72,-15.460781087584506
4.73,-15.099041194663824
4.74,-15.029962178527875
4.75,-13.103436704149658
4.76,-15.771195884357924
4.77,-17.398588401076875
4.78,-12.698443135218254
4.79,-14.468172484952714
4.8,-17.00113169360012
4.81,-16.599538304739173
4.82,-13.784910229209304
4.83,-18.405690403389766
4.84,-14.074818165270532
4.85,-15.451355270448898
4.86,-12.777714419517448
4.87,-17.154499615092192
4.88,-19.49740436910527
4.89,-18.07878095666123
4.9,-23.234519947415375
4.91,-21.996179101271274
4.92,-20.54927207660649
4.93,-17.792464433480134
4.94,-17.019920127571208
4.95,-15.39657427305559
4.96,-17.388770507369575
4.97,-18.816799872390614
4.98,-17.889629986308563
4.99,-17.22932055171298
5.0,-19.692203126863948
5.01,-20.353824333448998
5.02,-23.03675910135147
5.03,-13.801774780141692
5.04,-10.357776386522591
5.05,-11.201016966409016
5.06,-15.114131347239857
5.07,-16.554853106697976
5.08,-17.164056101520032
5.09,-14.653814846714415
5.1,-13.438114460281653
5.11,-14.956977338187649
5.12,-15.86454941979975
5.13,-19.365816272646008
5.14,-20.66868717018012
5.15,-18.830689890763345
5.16,-19.01331100911462
5.17,-17.794520508679238
5.18,-18.357288664150264
5.19,-16.798931004635225
5.2,-14.672455640545799
5.21,-15.220502913649185
5.22,-12.693869808990147
5.23,-13.456813906983115
5.24,-12.94434133074506
5.25,-10.525343674083407
5.26,-9.691339637001024
5.27,-8.855914352533674
5.28,-5.98304096658651
5.29,-9.077687461497586
5.3,-11.110054385024386
5.31,-9.431540451365866
5.32,-10.98428621722272
5.33,-11.940003851171202
5.34,-9.393154044603175
5.35,-14.37057719259098
5.36,-11.201016966409016
5.37,-14.434587562923891
5.38,-15.235805753474382
5.39,-11.62711333208475
5.4,-8.158694186165066
5.41,-8.502426562725912
5.42,-9.734321112207653
5.43,-9.396281277629958
5.44,-9.52944625254052
5.45,-9.340162628186267
5.46,-9.47877644000789
5.47,-13.50436680003218
5.48,-8.522909662236945
5.49,-10.864941931613071
5.5,-9.415852034497036
5.51,-7.805231015822416
5.52,-12.817043325130363
5.53,-10.522672599395328
5.54,-10.02194868617418
5.55,-14.115111524855878
5.56,-14.878718899601026
5.57,-10.028674114027078
5.58,-11.938955906470882
5.59,-10.622053547477082
