seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-48.945281464271126
0.12,-43.7414066304196
0.13,-45.05997690458577
0.14,-43.26534833696711
0.15,-40.651527027019284
0.16,-40.79557493270576
0.17,-45.05997690458577
0.18,-46.17248117855736
0.19,-46.96265200423083
0.2,-41.97618855242873
0.21,-41.459403317905384
0.22,-41.68172341601461
0.23,-44.96556413113407
0.24,-45.20354859712824
0.25,-45.54807663661845
0.26,-46.06524661111521
0.27,-45.300598653016465
0.28,-40.48176482250891
0.29,-39.6539111193444
0.3,-41.876920161797734
0.31,-41.42810278083282
0.32,-42.043003417569324
0.33,-43.7414066304196
0.34,-46.90376439129521
0.35,-41.490817057890006
0.36,-40.48176482250891
0.37,-46.5585842824651
0.38,-43.700723232210535
0.39,-45.70002027162887
0.4,-42.81403177899228
0.41,-46.17248117855736
0.42,-43.22682991624633
0.43,-45.01264223900363
0.44,-44.64297412512336
0.45,-44.37569489396373
0.46,-44.33193717100022
0.47,-43.03675910135147
0.48,-44.91873981483603
0.49,-23.46844493744492
0.5,-27.644609564544467
0.51,-36.922661087872115
0.52,-27.00411217668814
0.53,-19.072665412815205
0.54,-20.268654402651407
0.55,-19.527476723338822
0.56,-23.017978792114917
0.57,-25.285971835687263
0.58,-24.923410903756384
0.59,-17.927132086659505
0.6,-15.399695325779813
0.61,-16.154189613718934
0.62,-16.17464305245918
0.63,-15.84152735881467
0.64,-15.64665907035307
0.65,-15.995615851174552
0.66,-16.164410312648478
0.67,-16.67151625662142
0.68,-14.809904917591584
0.69,-16.494447821787016
0.7,-14.994137870773468
0.71,-16.77695530755399
0.72,-16.034149131012704
0.73,-16.132085938230777
0.74,-16.007325285295813
0.75,-18.738506593694495
0.76,-16.599538304739173
0.77,-14.698332192866271
0.78,-15.519134083562058
0.79,-16.34176737809216
0.8,-16.480295656313114
0.81,-15.653084733407773
0.82,-15.88103118876425
0.83,-15.94561059136822
0.84,-16.147382489829727
0.85,-16.02743539955724
0.86,-16.23801273442975
0.87,-17.160232245135106
0.88,-17.308679649757586
0.89,-16.617476951425253
0.9,-16.234575500653957
0.91,-17.347656110215663
0.92,-18.572753310326842
0.93,-18.032162261672976
0.94,-17.786299126486583
0.95,-19.122838481054107
0.96,-18.713326766858152
0.97,-18.36606894252045
0.98,-18.761460860854065
0.99,-18.222317237136135
1.0,-18.617851488680863
1.01,-18.617851488680863
1.02,-16.610297046376562
1.03,-17.684183094484172
1.04,-18.697341162907016
1.05,-17.67809414250817
1.06,-19.928197926227465
1.07,-20.88023055140837
1.08,-22.950703923319303
1.09,-22.305148927342838
1.1,-23.464494111978546
1.11,-25.408621284439295
1.12,-27.087630989770865
1.13,-28.151238195538383
1.14,-27.417514547002032
1.15,-28.274057220267032
1.16,-25.558123936336866
1.17,-22.3606278521674
1.18,-20.40366381143815
1.19,-21.899981517072995
1.2,-19.705004735132714
1.21,-20.755000132551743
1.22,-22.25345730698741
1.23,-22.984276224828495
1.24,-23.078219273808777
1.25,-23.066892313318895
1.26,-21.10909357824653
1.27,-16.736810368015835
1.28,-14.380287522990866
1.29,-17.375044073207665
1.3,-21.672077785219845
1.31,-24.711099098961597
1.32,-24.55296410058984
1.33,-23.972823658133912
1.34,-26.446506732105128
1.35,-27.85812821781927
1.36,-26.530429023977288
1.37,-27.135719082914566
1.38,-25.28110169839227
1.39,-22.448029370858794
1.4,-19.95980216838971
1.41,-16.662486325838216
1.42,-15.200649442975632
1.43,-13.49809494645758
1.44,-17.37700366478689
1.45,-15.861256815651883
1.46,-17.617438242116595
1.47,-18.604297431878848
1.48,-18.076656488107638
1.49,-22.161180609779723
1.5,-23.362398392855347
1.51,-23.50011640239199
1.52,-22.94326100115174
1.53,-24.490507511539267
1.54,-23.55183011837247
1.55,-25.37902708327834
1.56,-26.40761876982255
1.57,-25.334823987176
1.58,-25.508003256941404
1.59,-25.649076491351277
1.6,-24.620384022303966
1.61,-20.70310949913423
1.62,-21.601668566941132
1.63,-20.057978841110142
1.64,-21.421856186073803
1.65,-21.022189006641007
1.66,-21.37514937176381
1.67,-20.965719379812548
1.68,-21.73011289848287
1.69,-21.89009058075491
1.7,-24.078159531170456
1.71,-23.81923403304123
1.72,-19.920314800920302
1.73,-17.773981625526496
1.74,-16.642653460756705
1.75,-17.773981625526496
1.76,-18.521178236455697
1.77,-17.78835374261398
1.78,-17.846081206435564
1.79,-18.663185044814476
1.8,-20.364875085115266
1.81,-22.38501175727963
1.82,-23.893614132420623
1.83,-22.246588275678
1.84,-20.74055494439275
1.85,-20.591732107247665
1.86,-18.252611850540358
1.87,-22.50089556959274
1.88,-21.966210504647844
1.89,-21.070028795119118
1.9,-20.470564447471343
1.91,-20.149184202800527
1.92,-18.114976651606366
1.93,-17.891709193891934
1.94,-17.326197416309977
1.95,-18.33975468971135
1.96,-19.01094524861026
1.97,-15.853030761776253
1.98,-16.773298090810247
1.99,-14.171838108818008
2.0,-13.889215170873365
2.01,-14.86696731365412
2.02,-17.03686453670395
2.03,-15.975579187991647
2.04,-16.802599032408516
2.05,-17.16788164205228
2.06,-19.50240920337688
2.07,-18.770659579890218
2.08,-18.95200968773222
2.09,-17.519268913822636
2.1,-18.14275784524781
2.11,-19.818479966666843
2.12,-19.146832666583368
2.13,-18.328813902727486
2.14,-18.935579138996424
2.15,-19.053627838863974
2.16,-19.412760464038833
2.17,-18.32444144371843
2.18,-18.224477637504958
2.19,-19.161261058004214
2.2,-19.50240920337688
2.21,-18.50554206726807
2.22,-18.89813990155641
2.23,-18.239615504517584
2.24,-18.937924458205504
2.25,-20.348304225453816
2.26,-23.960268768492373
2.27,-25.393811579848816
2.28,-26.821986749606754
2.29,-26.08658787403337
2.3,-24.508306471943996
2.31,-26.986319293092173
2.32,-26.259232357992488
2.33,-26.886175678626714
2.34,-27.15382097825708
2.35,-27.638220531790004
