seconds_elapsed,dBFS
0.0,-32.225511333511086
0.01,-33.39463833986118
0.02,-34.19898153602635
0.03,-33.77454829581452
0.04,-33.90496950948155
0.05,-33.544614261041836
0.06,-34.25352419335484
0.07,-32.41160556428931
0.08,-32.81936234520502
0.09,-32.30165612606495
0.1,-32.865873244228496
0.11,-33.054448132834864
0.12,-32.467106645384746
0.13,-33.89183891040035
0.14,-33.74869741471482
0.15,-32.02213555680554
0.16,-32.70416318128475
0.17,-32.16077148370263
0.18,-33.456813906983115
0.19,-32.45597802164835
0.2,-32.02213555680554
0.21,-31.864873150414027
0.22,-31.53860419566452
0.23,-32.06455756854605
0.24,-31.19524369292424
0.25,-32.085846524394825
0.26,-32.912634539607794
0.27,-32.26894087217977
0.28,-32.279832271272106
0.29,-33.826482020863374
0.3,-35.790766053293396
0.31,-35.08548243607973
0.32,-31.31144461845686
0.33,-30.17967785420972
0.34,-29.520716315671613
0.35,-34.18539921951661
0.36,-33.030651160037145
0.37,-33.0783104820136
0.38,-30.56461410103426
0.39,-31.730844894315304
0.4,-15.473364776331024
0.41,-17.213920034135754
0.42,-23.00298372643461
0.43,-25.155427201810664
0.44,-28.783473591110003
0.45,-28.67485329724737
0.46,-29.426046281619897
0.47,-30.555673400668866
0.48,-30.378765256110782
0.49,-29.959984108983633
0.5,-29.28594825024673
0.51,-31.399626996557963
0.52,-30.52000234586052
0.53,-24.638451401960488
0.54,-32.18229786309254
0.55,-30.4933448631316
0.56,-29.934988725869488
0.57,-31.340739383622335
0.58,-31.813078783236115
0.59,-23.889465152337888
0.6,-30.754526593417395
0.61,-30.727140686427823
0.62,-30.63647295670367
0.63,-32.590471903165735
0.64,-33.32061042325637
0.65,-31.57872384961649
0.66,-27.87780181544434
0.67,-31.379953398932898
0.68,-31.19524369292424
0.69,-30.92068045211473
0.7,-31.95888850814342
0.71,-30.92068045211473
0.72,-31.844118326588827
0.73,-32.32353495284228
0.74,-31.128170852772485
0.75,-31.224148510407858
0.76,-30.948684419321516
0.77,-28.26032458556763
0.78,-30.457928342551646
0.79,-56.86704154048
0.8,-63.074441978842486
0.81,-65.20354859712823
0.82,-52.807773431360346
0.83,-37.225467861635146
0.84,-31.19524369292424
0.85,-29.262816706247886
0.86,-30.001803591010074
0.87,-31.071089225837348
0.88,-32.0539326257679
0.89,-30.205388449118754
0.9,-31.802756869201367
0.91,-30.27432444301435
0.92,-29.36350135151077
0.93,-28.75437510614651
0.94,-28.489737167279724
0.95,-27.28773363211935
0.96,-26.291988737372805
0.97,-23.757733495448797
0.98,-28.496784542626223
0.99,-30.7636744506485
1.0,-31.253149838312517
1.01,-28.137698224537665
1.02,-28.31538587700935
1.03,-30.8003625290091
1.04,-31.042688471472133
1.05,-29.117730341169
1.06,-30.378765256110782
1.07,-31.05214507516951
1.08,-33.247208102157046
1.09,-31.802756869201367
1.1,-30.83720623064922
1.11,-28.219256472946455
1.12,-28.588924586826717
1.13,-28.050199177512752
1.14,-30.12848385745615
1.15,-28.32920591117081
1.16,-27.374038426581556
1.17,-30.248409288121998
1.18,-31.31144461845686
1.19,-29.072412553300374
1.2,-28.50383764056803
1.21,-29.11016093795526
1.22,-29.332396968627354
1.23,-27.349292285518256
1.24,-29.959984108983633
1.25,-28.864000746924063
1.26,-29.79469102116754
1.27,-30.10299956639812
1.28,-31.291969521423425
1.29,-31.214502879613097
1.3,-29.91006506561751
1.31,-30.001803591010074
1.32,-29.560468740381882
1.33,-30.7636744506485
1.34,-30.119980783220477
1.35,-29.9266728902529
1.36,-29.95164431992424
1.37,-30.864941931613068
1.38,-30.326387873446933
1.39,-30.600469217534325
1.4,-31.548616749670153
1.41,-31.128170852772485
1.42,-19.66410582666271
1.43,-11.44504609781583
1.44,-19.2970945494078
1.45,-11.272537992876117
1.46,-12.725933775509436
1.47,-17.445869386800233
1.48,-17.063288384751758
1.49,-13.955047603933878
1.5,-15.707895651684362
1.51,-12.862376274589344
1.52,-15.997287661330432
1.53,-15.728944513750555
1.54,-17.152589578880413
1.55,-17.567213228587747
1.56,-20.63440071919388
1.57,-20.370405737730056
1.58,-18.074532539047517
1.59,-18.76375962747806
1.6,-17.692308342633346
1.61,-18.501079755514102
1.62,-18.196434259041983
1.63,-17.625501263942354
1.64,-17.835744552070267
1.65,-18.337565429551535
1.66,-15.746795017187544
1.67,-14.155592674584685
1.68,-17.469606745153172
1.69,-17.033096254806207
1.7,-19.26050178511265
1.71,-18.289540785459394
1.72,-18.846923035914532
1.73,-21.791795797637548
1.74,-19.299539557063092
1.75,-17.269877308532873
1.76,-16.10326574513654
1.77,-16.57269960904802
1.78,-15.500165800199037
1.79,-17.369167949651906
1.8,-17.402518667948492
1.81,-16.32959861247398
1.82,-19.58793559601026
1.83,-18.96847137601315
1.84,-18.786780816777565
1.85,-19.12044270400456
1.86,-16.89295301397548
1.87,-16.54416277964012
1.88,-17.914613386959815
1.89,-15.530218075124766
1.9,-16.38536695582388
1.91,-16.778784493543284
1.92,-19.0180444640754
1.93,-17.20238753900754
1.94,-15.284956807427292
1.95,-14.539974558725246
1.96,-16.003978121617372
1.97,-14.545631276371003
1.98,-17.30284823655563
1.99,-18.50554206726807
2.0,-16.537043197570963
2.01,-13.595187269345846
2.02,-13.463056012633052
2.03,-14.021382809795595
2.04,-16.229422199026637
2.05,-18.46324238015174
2.06,-15.93398400440105
2.07,-16.272460091251567
2.08,-15.657907102165716
2.09,-17.059508624188165
2.1,-15.503324305556774
2.11,-14.779333582520726
2.12,-16.510396618829997
2.13,-11.252181565680326
2.14,-11.92220596344609
2.15,-11.394704417997154
2.16,-14.23985638622608
2.17,-15.942287121024224
2.18,-15.323550533225951
2.19,-12.583697518599227
2.2,-12.438201827901132
2.21,-13.906283661785753
2.22,-15.649871307681863
2.23,-16.452060313649756
2.24,-14.138027674386247
2.25,-13.37236364272921
2.26,-15.549252172525742
2.27,-15.828399240482403
2.28,-17.573224918506863
2.29,-18.166334611363023
2.3,-16.54772476026747
2.31,-15.722462506257141
2.32,-14.744526163872427
2.33,-12.574673216864795
2.34,-16.45911054913267
2.35,-15.135301701545538
2.36,-15.255739836774914
2.37,-14.479396378794341
2.38,-14.785148404252919
2.39,-11.855527342023272
2.4,-13.490574695218921
2.41,-13.568599728376189
2.42,-16.25177528773577
2.43,-17.3359447965699
2.44,-16.22770511102301
2.45,-16.457347453696176
2.46,-15.348340816591486
2.47,-15.576288745457932
2.48,-15.015017423227
2.49,-15.241934446364438
2.5,-14.562623566703405
2.51,-13.5926516133249
2.52,-13.843427560160944
2.53,-16.413385978953126
2.54,-14.66528136935403
2.55,-16.666097171717723
2.56,-14.207141132340897
2.57,-15.947272803532524
2.58,-14.287788102237247
2.59,-16.5192697319094
2.6,-15.03744420986145
2.61,-17.051954033898433
2.62,-15.71922331560313
2.63,-17.12398932374114
2.64,-16.397614158470645
2.65,-17.471587789668103
2.66,-17.881318129561294
2.67,-19.9756475172135
2.68,-17.32814601747083
2.69,-16.831999152335374
2.7,-15.552428581278663
2.71,-14.030710298222289
2.72,-20.0900597257349
2.73,-42.56120217241977
2.74,-32.467106645384746
2.75,-29.441753138771766
2.76,-28.267188188957626
2.77,-26.001535643525916
2.78,-27.015994380508417
2.79,-28.198795003794878
2.8,-29.270520378272224
2.81,-28.42656678238313
2.82,-28.703686152397463
2.83,-27.117654834521954
2.84,-25.85466927624269
2.85,-20.495785632071623
2.86,-20.501400299130776
2.87,-14.541388392803093
2.88,-10.663574038402988
2.89,-10.24754677984086
2.9,-9.80779932720278
2.91,-11.097680642830403
2.92,-11.001201294891912
2.93,-11.124353718174438
2.94,-9.645350424610458
2.95,-10.219991639409871
