seconds_elapsed,dBFS
0.0,-27.864681133737825
0.01,-27.97684381942939
0.02,-28.13093614584809
0.03,-28.79805947134374
0.04,-28.66047268197892
0.05,-28.232924280075217
0.06,-28.336124182853215
0.07,-28.151238195538383
0.08,-28.85664916828962
0.09,-28.510896470406397
0.1,-28.043504849907347
0.11,-27.943704177404772
0.12,-27.17801567255873
0.13,-28.3222931454752
0.14,-28.56757458106365
0.15,-27.87123899712073
0.16,-27.663804908573468
0.17,-28.22608768811419
0.18,-29.371294882440154
0.19,-28.475659547280667
0.2,-28.739862338128503
0.21,-28.532107444654272
0.22,-28.989939092916963
0.23,-28.617473140507737
0.24,-28.553370343003508
0.25,-27.417514547002032
0.26,-28.050199177512752
0.27,-29.072412553300374
0.28,-29.193789405439663
0.29,-27.62545654765903
0.3,-28.212430626121247
0.31,-28.00344687127633
0.32,-28.805361606820526
0.33,-28.63894630258901
0.34,-29.496951896912897
0.35,-28.454585805512373
0.36,-28.03013165305762
0.37,-28.667660013492096
0.38,-28.81998432010253
0.39,-28.419576126361463
0.4,-28.18518075392605
0.41,-27.838499080339716
0.42,-29.61642956668795
0.43,-29.057359014631096
0.44,-28.96014184366674
0.45,-28.08374842601305
0.46,-28.043504849907347
0.47,-28.703686152397463
0.48,-29.46536680887903
0.49,-29.324638245790723
0.5,-28.653291292865354
0.51,-27.760423142162377
0.52,-28.461604706611944
0.53,-28.356912121706138
0.54,-28.496784542626223
0.55,-29.536595460200303
0.56,-29.75385460538329
0.57,-28.989939092916963
0.58,-28.63894630258901
0.59,-29.23974660068525
0.6,-29.102598125428653
0.61,-29.309141560791502
0.62,-29.02732997992244
0.63,-29.22440050192641
0.64,-28.336124182853215
0.65,-29.552503687427517
0.66,-29.31688644729489
0.67,-28.010110384942664
0.68,-27.937091394719115
0.69,-28.510896470406397
0.7,-29.51278761622735
0.71,-29.68891307192362
0.72,-29.43389615982077
0.73,-29.893488935323198
0.74,-29.13288896567622
0.75,-29.186153458013308
0.76,-28.89346944232566
0.77,-28.89346944232566
0.78,-28.732615037217386
0.79,-28.391669629623504
0.8,-27.845037198554383
0.81,-28.219256472946455
0.82,-29.034827511366007
0.83,-28.878722597292573
0.84,-28.57468542029671
0.85,-28.532107444654272
0.86,-28.22608768811419
0.87,-29.355714807163157
0.88,-29.324638245790723
0.89,-28.989939092916963
0.9,-28.761640593511224
0.91,-28.79805947134374
0.92,-28.510896470406397
0.93,-28.51796104146527
0.94,-28.82730491862948
0.95,-29.102598125428653
0.96,-28.85664916828962
0.97,-28.405611670559253
0.98,-28.54627692518333
0.99,-28.41259109209836
1.0,-28.849303806635746
1.01,-29.064882522800104
1.02,-28.308484097037105
1.03,-28.52503136309138
1.04,-28.384706992266256
1.05,-29.340162628186267
1.06,-28.653291292865354
1.07,-28.952708475957554
1.08,-29.762006543699226
1.09,-28.93044646555292
1.1,-29.68891307192362
1.11,-28.22608768811419
1.12,-28.812669886290863
1.13,-28.849303806635746
1.14,-28.3222931454752
1.15,-28.191985211491485
1.16,-28.849303806635746
1.17,-29.985051628945577
1.18,-29.672753272586945
1.19,-29.79469102116754
1.2,-29.69700425987533
1.21,-30.01019170333563
1.22,-29.324638245790723
1.23,-29.528652259246115
1.24,-29.819285345211014
1.25,-29.193789405439663
1.26,-29.61642956668795
1.27,-28.908241367039253
1.28,-29.386902954273584
1.29,-29.095041892122122
1.3,-28.703686152397463
1.31,-29.17852421761235
1.32,-28.718138551136235
1.33,-28.732615037217386
1.34,-28.144465571695786
1.35,-28.103940352126294
1.36,-28.603187134593053
1.37,-28.370798439033223
1.38,-28.103940352126294
1.39,-28.75437510614651
1.4,-28.696468960758242
1.41,-29.012354304422878
1.42,-28.232924280075217
1.43,-27.956944865392668
1.44,-28.056898668502868
1.45,-28.267188188957626
1.46,-28.219256472946455
1.47,-27.930483642678823
1.48,-28.212430626121247
1.49,-28.274057220267032
1.5,-27.983486947583472
1.51,-27.027892861325324
1.52,-28.3222931454752
1.53,-28.01677901455089
1.54,-27.87780181544434
1.55,-27.111641757343023
1.56,-28.09047385386595
1.57,-27.845037198554383
1.58,-27.612711292785153
1.59,-28.117427761106622
1.6,-27.367845278627158
1.61,-28.349977279311354
1.62,-28.056898668502868
1.63,-28.17158780962128
1.64,-28.489737167279724
1.65,-28.03013165305762
1.66,-28.391669629623504
1.67,-28.164799306236986
1.68,-28.58180208569939
1.69,-28.864000746924063
1.7,-28.09047385386595
1.71,-27.97684381942939
1.72,-27.851580241905648
1.73,-28.294696967732726
1.74,-28.475659547280667
1.75,-28.144465571695786
1.76,-28.151238195538383
1.77,-27.996788465708363
1.78,-28.56757458106365
1.79,-28.219256472946455
1.8,-28.841964651456337
1.81,-28.28093168808774
1.82,-29.079949117450493
1.83,-28.89346944232566
1.84,-28.52503136309138
1.85,-27.910690494034537
1.86,-27.50512512762173
1.87,-28.144465571695786
1.88,-28.66047268197892
1.89,-27.461209376817635
1.9,-28.056898668502868
1.91,-28.294696967732726
1.92,-27.542944735868726
1.93,-27.97684381942939
1.94,-28.31538587700935
1.95,-28.22608768811419
1.96,-27.799373385182477
1.97,-27.715200855208337
1.98,-28.103940352126294
1.99,-27.90410278826705
2.0,-27.963572786079073
2.01,-27.818914202508715
2.02,-28.23976625730026
2.03,-28.13093614584809
2.04,-27.657401745999618
2.05,-27.825437589700854
2.06,-27.663804908573468
2.07,-28.077028201586476
2.08,-27.845037198554383
2.09,-28.391669629623504
2.1,-28.405611670559253
2.11,-27.593628407837908
2.12,-27.97684381942939
2.13,-28.117427761106622
2.14,-28.13093614584809
2.15,-27.42997637071509
2.16,-27.80588210758375
2.17,-27.78637055395467
2.18,-28.043504849907347
2.19,-27.676625412211845
2.2,-27.83196587985264
2.21,-27.890942346903813
2.22,-27.708759705756272
2.23,-27.80588210758375
2.24,-28.274057220267032
2.25,-28.81998432010253
2.26,-28.151238195538383
2.27,-28.31538587700935
2.28,-28.64611583633331
2.29,-28.144465571695786
2.3,-28.191985211491485
2.31,-28.25346640152553
2.32,-27.715200855208337
2.33,-28.151238195538383
2.34,-27.89752007507736
2.35,-27.85812821781927
2.36,-28.36385250532596
2.37,-28.64611583633331
2.38,-27.884369596201925
2.39,-28.370798439033223
2.4,-28.539189295546432
2.41,-28.349977279311354
2.42,-28.25346640152553
2.43,-28.747115691066142
2.44,-28.66047268197892
2.45,-28.124179327430294
2.46,-28.232924280075217
2.47,-28.39863785273134
2.48,-28.124179327430294
2.49,-28.23976625730026
2.5,-28.18518075392605
2.51,-28.274057220267032
2.52,-28.41259109209836
2.53,-28.232924280075217
2.54,-28.22608768811419
2.55,-28.440564995949657
2.56,-28.79805947134374
2.57,-28.482695505249897
2.58,-28.212430626121247
2.59,-27.963572786079073
2.6,-28.532107444654272
2.61,-28.384706992266256
2.62,-28.191985211491485
2.63,-28.496784542626223
2.64,-28.532107444654272
2.65,-28.267188188957626
2.66,-28.482695505249897
2.67,-28.28093168808774
2.68,-28.28093168808774
2.69,-28.689257760976613
2.7,-28.560469558468643
2.71,-28.989939092916963
2.72,-28.703686152397463
2.73,-28.732615037217386
2.74,-28.461604706611944
2.75,-28.08374842601305
2.76,-28.596052933257226
2.77,-28.812669886290863
2.78,-28.24661362828008
2.79,-29.102598125428653
2.8,-28.864000746924063
2.81,-28.391669629623504
2.82,-28.3222931454752
2.83,-28.336124182853215
2.84,-28.67485329724737
2.85,-27.728097501435194
2.86,-28.151238195538383
2.87,-28.219256472946455
2.88,-28.689257760976613
2.89,-28.703686152397463
2.9,-28.036815677733795
2.91,-28.864000746924063
2.92,-28.57468542029671
2.93,-27.766902731898206
2.94,-27.593628407837908
2.95,-28.747115691066142
2.96,-28.405611670559253
2.97,-28.739862338128503
2.98,-28.17158780962128
2.99,-26.729459753330964
3.0,-28.24661362828008
3.01,-28.482695505249897
3.02,-28.539189295546432
3.03,-27.97684381942939
3.04,-28.164799306236986
3.05,-27.779876430558268
3.06,-28.24661362828008
3.07,-27.956944865392668
3.08,-27.555587954459252
3.09,-27.498837838430763
3.1,-27.990135160413253
3.11,-28.09720449320938
3.12,-28.539189295546432
3.13,-28.03013165305762
3.14,-27.799373385182477
3.15,-28.72537377824186
3.16,-27.956944865392668
3.17,-28.09047385386595
3.18,-27.670212794985865
3.19,-27.473734093678598
3.2,-28.588924586826717
3.21,-27.599984712284076
3.22,-27.29386990198818
3.23,-27.708759705756272
3.24,-27.480003231185005
3.25,-28.274057220267032
3.26,-28.667660013492096
3.27,-28.617473140507737
3.28,-27.92388091363562
3.29,-28.805361606820526
3.3,-27.300010509976744
3.31,-28.15801610430063
3.32,-28.137698224537665
3.33,-28.489737167279724
3.34,-28.09047385386595
3.35,-27.792869536403817
3.36,-27.760423142162377
3.37,-28.761640593511224
3.38,-27.72164678473464
3.39,-29.209081468611522
3.4,-28.02345276796263
3.41,-28.103940352126294
3.42,-28.09720449320938
3.43,-28.51796104146527
3.44,-28.440564995949657
3.45,-28.41259109209836
3.46,-28.99740440462539
3.47,-28.560469558468643
3.48,-28.36385250532596
3.49,-28.50383764056803
3.5,-28.57468542029671
3.51,-27.392644409357803
3.52,-29.117730341169
3.53,-28.267188188957626
3.54,-27.812395710917173
3.55,-28.15801610430063
3.56,-28.26032458556763
3.57,-27.963572786079073
3.58,-27.825437589700854
3.59,-28.02345276796263
3.6,-27.454953784442043
3.61,-28.384706992266256
3.62,-29.049842017504155
3.63,-29.28594825024673
3.64,-27.760423142162377
3.65,-27.825437589700854
3.66,-28.864000746924063
3.67,-28.747115691066142
3.68,-28.32920591117081
3.69,-28.336124182853215
3.7,-27.930483642678823
3.71,-29.019838914655985
3.72,-28.631782681862894
3.73,-27.753948382534894
3.74,-28.22608768811419
3.75,-27.06966637191286
3.76,-28.631782681862894
3.77,-28.937860797747096
3.78,-27.734553012425817
3.79,-28.274057220267032
3.8,-28.475659547280667
3.81,-27.448702694112455
3.82,-27.937091394719115
3.83,-28.18518075392605
3.84,-27.890942346903813
3.85,-28.15801610430063
3.86,-28.144465571695786
3.87,-28.110681438718494
3.88,-28.864000746924063
3.89,-28.419576126361463
3.9,-28.010110384942664
3.91,-28.294696967732726
3.92,-28.24661362828008
3.93,-28.13093614584809
3.94,-27.46746947772866
3.95,-28.58180208569939
3.96,-27.42997637071509
3.97,-28.28093168808774
3.98,-27.417514547002032
3.99,-28.82730491862948
4.0,-26.74673365290172
4.01,-27.511416971169623
4.02,-28.596052933257226
4.03,-28.06360333084894
4.04,-28.274057220267032
4.05,-28.18518075392605
4.06,-28.732615037217386
4.07,-28.391669629623504
4.08,-27.708759705756272
4.09,-27.753948382534894
4.1,-28.44757257167309
4.11,-28.22608768811419
4.12,-28.26032458556763
4.13,-28.44757257167309
4.14,-27.884369596201925
4.15,-29.004876138108116
4.16,-28.454585805512373
4.17,-28.036815677733795
4.18,-28.768912163327354
4.19,-28.24661362828008
4.2,-27.990135160413253
4.21,-28.768912163327354
4.22,-28.739862338128503
4.23,-28.41259109209836
4.24,-28.653291292865354
4.25,-28.72537377824186
4.26,-28.617473140507737
4.27,-28.783473591110003
4.28,-28.915636760962443
4.29,-29.064882522800104
4.3,-29.680829414161877
4.31,-29.209081468611522
4.32,-28.588924586826717
4.33,-28.377749931711644
4.34,-28.294696967732726
4.35,-28.25346640152553
4.36,-28.82730491862948
4.37,-28.783473591110003
4.38,-28.32920591117081
4.39,-28.308484097037105
4.4,-28.952708475957554
4.41,-27.937091394719115
4.42,-28.63894630258901
4.43,-28.103940352126294
4.44,-28.878722597292573
4.45,-28.370798439033223
4.46,-28.87135855307185
4.47,-28.44757257167309
4.48,-29.811079497044656
4.49,-29.672753272586945
4.5,-28.631782681862894
4.51,-30.035404753370504
4.52,-27.825437589700854
4.53,-28.64611583633331
4.54,-28.915636760962443
4.55,-29.004876138108116
4.56,-28.532107444654272
4.57,-28.79805947134374
4.58,-28.44757257167309
4.59,-29.664684633234724
4.6,-29.70510299205933
4.61,-28.886092890172698
4.62,-29.14047821005425
4.63,-29.095041892122122
4.64,-28.3222931454752
4.65,-29.402539123461207
4.66,-29.255119860694997
4.67,-28.603187134593053
4.68,-29.012354304422878
4.69,-29.721323145490164
4.7,-29.46536680887903
4.71,-29.426046281619897
4.72,-29.355714807163157
4.73,-29.16328581083006
4.74,-29.332396968627354
4.75,-28.496784542626223
4.76,-28.405611670559253
4.77,-28.93044646555292
4.78,-28.768912163327354
4.79,-28.81998432010253
4.8,-29.745710310704958
4.81,-29.332396968627354
4.82,-28.75437510614651
4.83,-29.004876138108116
4.84,-28.89346944232566
4.85,-28.63894630258901
4.86,-29.24742982952596
4.87,-28.952708475957554
4.88,-28.64611583633331
4.89,-28.952708475957554
4.9,-28.79805947134374
4.91,-28.747115691066142
4.92,-28.560469558468643
4.93,-29.17852421761235
4.94,-29.15567662099777
4.95,-28.97502769073445
4.96,-29.22440050192641
4.97,-28.945281464271126
4.98,-29.489044850724543
4.99,-29.9266728902529
5.0,-28.617473140507737
5.01,-29.721323145490164
5.02,-28.370798439033223
5.03,-29.69700425987533
5.04,-28.989939092916963
5.05,-29.8521864816638
5.06,-28.96014184366674
5.07,-29.9266728902529
5.08,-29.095041892122122
5.09,-30.213975587374332
5.1,-29.648569805536145
5.11,-29.77016614001377
5.12,-29.528652259246115
5.13,-29.762006543699226
5.14,-29.293672474533512
5.15,-29.04233152015937
5.16,-30.154043139179556
5.17,-29.04233152015937
5.18,-29.46536680887903
5.19,-29.835720335238488
5.2,-29.02732997992244
5.21,-29.57642079195113
5.22,-29.504866147700135
5.23,-29.87694437862951
5.24,-29.95164431992424
5.25,-29.536595460200303
5.26,-30.855686853872136
5.27,-29.893488935323198
5.28,-29.019838914655985
5.29,-30.12848385745615
5.3,-29.340162628186267
5.31,-29.78650836428535
5.32,-29.713209282557244
5.33,-29.14807409128872
5.34,-29.87694437862951
5.35,-29.721323145490164
5.36,-29.737573645343605
5.37,-30.231175374456143
5.38,-28.97502769073445
5.39,-29.885212717795593
5.4,-29.402539123461207
5.41,-29.69700425987533
5.42,-29.170901672464904
5.43,-29.8521864816638
5.44,-29.9266728902529
5.45,-28.812669886290863
5.46,-30.930005079567504
