seconds_elapsed,dBFS
0.0,-33.054448132834864
0.01,-31.844118326588827
0.02,-33.235034463670864
0.03,-32.32353495284228
0.04,-33.407037898909216
0.05,-33.431890246731136
0.06,-33.0069192063718
0.07,-33.65882044506963
0.08,-34.46116490922928
0.09,-34.98074175694637
0.1,-37.38092417473297
0.11,-38.224477637504954
0.12,-40.708859840051346
0.13,-41.459403317905384
0.14,-43.82334959324051
0.15,-43.700723232210535
0.16,-45.75126460692089
0.17,-47.08163865449485
0.18,-49.96833191321875
0.19,-47.70232332929424
0.2,-47.32461644608676
0.21,-50.573564013869465
0.22,-49.72132314549016
0.23,-49.481144996029855
0.24,-47.89752007507736
0.25,-47.89752007507736
0.26,-47.263231811533224
0.27,-39.42763781218884
0.28,-38.289540785459394
0.29,-35.26802974280558
0.3,-31.548616749670153
0.31,-31.91697822351214
0.32,-31.147281728772654
0.33,-31.42922119771892
0.34,-30.930005079567504
0.35,-30.08605148367841
0.36,-30.326387873446933
0.37,-32.36745863500595
0.38,-27.417514547002032
0.39,-23.843956695760617
0.4,-20.883164478015583
0.41,-19.044124676386396
0.42,-16.76050994516941
0.43,-15.683671717684526
0.44,-14.683946814225228
0.45,-17.57723502459751
0.46,-23.22298745228716
0.47,-23.273072561253887
0.48,-25.65415744477962
0.49,-24.41526621360549
0.5,-23.547841190799232
0.51,-15.571511466225907
0.52,-11.900270568179184
0.53,-11.79244720669951
0.54,-10.64188641255859
0.55,-10.55835464459757
0.56,-12.092243399340688
0.57,-14.254892157707316
0.58,-25.39874534291136
0.59,-26.55294592482597
0.6,-27.57458735606622
0.61,-29.959984108983633
0.62,-30.995559274792225
0.63,-33.174420891536705
0.64,-31.166434745658094
0.65,-31.49866900054301
0.66,-32.4005477784062
0.67,-29.394717520377004
0.68,-17.061398298869406
0.69,-14.579649164388705
0.7,-18.756865151943643
0.71,-21.525503902324985
0.72,-22.928394263011292
0.73,-21.678507015445337
0.74,-22.388500767022492
0.75,-24.137710427969576
0.76,-26.40761876982255
0.77,-35.206753371292926
0.78,-39.25563437695049
0.79,-40.76657360480111
0.8,-41.5539874427866
0.81,-44.41967417596249
0.82,-46.17248117855736
0.83,-46.50236473578853
0.84,-44.64297412512336
0.85,-46.50236473578853
0.86,-43.782281480619325
0.87,-41.81136596657302
0.88,-42.9246815509915
0.89,-41.459403317905384
0.9,-41.77877347190285
0.91,-43.22682991624633
0.92,-47.263231811533224
0.93,-49.96833191321875
0.94,-52.92436430457484
0.95,-52.24719895935549
0.96,-46.67212694029891
0.97,-50.136995263955995
0.98,-51.32119856629609
0.99,-52.467106645384746
1.0,-53.16234877056899
1.01,-52.807773431360346
1.02,-53.04254149678523
1.03,-54.745973691521485
1.04,-53.28383172481285
1.05,-55.50174490930948
1.06,-53.04254149678523
1.07,-53.28383172481285
1.08,-54.60240199897902
1.09,-53.787502645177824
1.1,-51.92743685167287
1.11,-52.24719895935549
1.12,-51.32119856629609
1.13,-52.69272685357852
1.14,-52.467106645384746
1.15,-55.19150158574453
1.16,-52.69272685357852
1.17,-49.80288139389895
1.18,-53.918119988356985
1.19,-52.807773431360346
1.2,-47.44870269411245
1.21,-46.39100565100968
1.22,-51.03324215228325
1.23,-50.30899869919435
1.24,-51.619029674323
1.25,-50.05225420509091
1.26,-47.574587356066225
1.27,-45.39874534291136
1.28,-52.467106645384746
1.29,-53.65882044506962
1.3,-53.40703789890922
1.31,-52.24719895935549
1.32,-52.03272165152002
1.33,-53.16234877056899
1.34,-55.66112350273499
1.35,-38.44327735878521
1.36,-31.20486794835552
1.37,-31.518613646821983
1.38,-30.077589827248794
1.39,-30.119980783220477
1.4,-32.26894087217977
1.41,-32.001001994948965
1.42,-33.38225645659825
1.43,-33.89183891040035
1.44,-34.98074175694637
1.45,-34.57397025628313
1.46,-35.31427238781313
1.47,-36.63005608416411
1.48,-35.83988525849064
1.49,-36.55841947490166
1.5,-36.59416392714908
1.51,-33.984172699358695
1.52,-31.042688471472133
1.53,-29.680829414161877
1.54,-30.44027408924212
1.55,-30.911365824264358
1.56,-32.92436430457484
1.57,-38.159898234900986
1.58,-34.789512076606975
1.59,-32.947871462733524
1.6,-33.34521635936638
1.61,-33.49433400695822
1.62,-35.04043882793561
1.63,-35.93896492184887
1.64,-36.522821516721955
1.65,-30.0606912039457
1.66,-26.474390831937228
1.67,-25.643998508372352
1.68,-25.088502019346407
1.69,-24.327573498646164
1.7,-24.6837849580941
1.71,-25.628782347450773
1.72,-25.74099152513426
1.73,-25.649076491351277
1.74,-24.6565564416331
1.75,-24.33193717100022
1.76,-23.815120421958863
1.77,-24.05698991396917
1.78,-23.75364890113978
1.79,-23.025486043781967
1.8,-22.412963155940137
1.81,-23.40544636834028
1.82,-23.704783007763798
1.83,-23.15030175918528
1.84,-23.652153359307327
1.85,-26.270137431161352
1.86,-26.874469626129734
1.87,-27.812395710917173
1.88,-28.219256472946455
1.89,-30.967404016304414
1.9,-30.74538836044608
1.91,-30.582523158179047
1.92,-30.708931267519425
1.93,-31.875269189522314
1.94,-32.075195524117134
1.95,-32.98325191751046
1.96,-32.36745863500595
1.97,-33.12623275330374
1.98,-33.684404821853086
1.99,-33.33290467815828
2.0,-29.410367776211153
2.01,-20.490174592058622
2.02,-11.704285643868658
2.03,-10.305525038025058
2.04,-13.993460293227102
2.05,-17.289256811525455
2.06,-17.85643017660786
2.07,-18.94496421785446
2.08,-19.681975407533162
2.09,-17.910444493364995
2.1,-16.540602259140144
2.11,-18.846923035914532
2.12,-20.48737043073061
2.13,-21.350341387350756
2.14,-21.75278724567455
2.15,-22.80304393484758
2.16,-24.526141980547695
2.17,-26.16169794981292
2.18,-27.638220531790004
2.19,-26.51357957225688
2.2,-28.56757458106365
2.21,-28.191985211491485
2.22,-24.9749593615126
2.23,-27.57458735606622
2.24,-29.193789405439663
2.25,-28.25346640152553
2.26,-26.706481195913277
2.27,-20.86264777285752
2.28,-26.874469626129734
2.29,-22.3606278521674
2.3,-31.156852957992452
2.31,-29.943312530663736
2.32,-31.690018075843895
2.33,-33.09026628519248
2.34,-33.34521635936638
2.35,-34.68825992677172
2.36,-32.738562789170224
2.37,-32.601774298564116
2.38,-29.544545931819982
2.39,-25.155427201810664
2.4,-18.328813902727486
2.41,-13.563544649148351
2.42,-12.225511333511088
2.43,-12.35425819228581
2.44,-13.132241670622648
2.45,-11.482746191981118
2.46,-12.115738996113993
2.47,-12.709886996739373
2.48,-12.338882988507184
2.49,-12.43376345803549
2.5,-12.746609005251006
2.51,-12.758116544875477
2.52,-13.651159803998548
2.53,-17.112575538080257
2.54,-16.40462032109134
2.55,-17.786299126486583
2.56,-16.232857393707786
2.57,-15.844812491092128
2.58,-18.344134866121905
2.59,-17.36133929690196
2.6,-17.8171695166574
2.61,-17.424166982319782
2.62,-17.794520508679238
2.63,-14.709857674256238
2.64,-13.395877499523472
2.65,-13.9220690175853
2.66,-14.066781875132364
2.67,-17.150679962595255
2.68,-17.808926678897087
2.69,-20.40366381143815
2.7,-28.62462496440958
2.71,-31.619029674323002
2.72,-32.03272165152002
2.73,-29.65662348217996
2.74,-31.458916575832742
2.75,-32.50057832317607
2.76,-33.80047634383789
2.77,-32.65850794009675
2.78,-32.433763458035486
2.79,-30.986164044413698
2.8,-29.811079497044656
2.81,-18.733923010665663
2.82,-15.391894795719779
2.83,-16.80626860983448
2.84,-16.126993068171025
2.85,-13.36989219879788
2.86,-15.434101127345132
2.87,-15.84152735881467
2.88,-14.825961520100151
2.89,-14.616652846536851
2.9,-16.416894720522983
2.91,-15.196074310060759
2.92,-15.558784885724835
2.93,-13.803073410575157
2.94,-13.897088768304553
2.95,-13.329214574171012
2.96,-14.419237766010966
2.97,-14.300156272469223
2.98,-13.831692512704132
2.99,-12.450419052090243
3.0,-13.218019982935342
3.01,-13.144271990604096
3.02,-13.341521022302324
3.03,-13.18409068339327
3.04,-13.029463021106622
3.05,-13.689530752741348
3.06,-14.4387785833372
3.07,-15.81365378626815
3.08,-15.882681087076376
3.09,-16.46793139851274
3.1,-14.544216751550996
3.11,-14.485013769216852
3.12,-12.378474349403252
3.13,-13.866945326255948
3.14,-13.233818037698983
3.15,-17.127797254375594
3.16,-16.80076482489709
3.17,-18.919179612218695
3.18,-14.10300387839098
3.19,-16.41864962297123
3.2,-15.6643410947844
3.21,-17.839877737795685
3.22,-21.046075964667367
3.23,-17.827484076280705
3.24,-20.685881282633652
3.25,-23.993788885879663
3.26,-21.933032887387284
