seconds_elapsed,dBFS
0.0,-4.121506200860949
0.01,-5.248542026967623
0.02,-6.7825422784945735
0.03,-5.5576212952303905
0.04,-6.167087890809997
0.05,-5.990962435113726
0.06,-6.765774704673412
0.07,-7.20713854858631
0.08,-4.967911986166101
0.09,-3.6138939018009477
0.1,-3.2943496648717643
0.11,-2.492768503455596
0.12,-2.0229049366277256
0.13,-2.8184308115695034
0.14,-3.075197306434443
0.15,-2.532060827204145
0.16,-2.040320931557246
0.17,-2.0671831445183204
0.18,-1.5495505304073856
0.19,-1.3863361229871014
0.2,-1.5571580541151306
0.21,-2.390943907997212
0.22,-2.048370876190961
0.23,-1.8526074087288036
0.24,-1.8081012081665817
0.25,-1.3565367439886362
0.26,-1.800270791014153
0.27,-1.6236900879882696
0.28,-2.099865403248084
0.29,-1.7459787243054508
0.3,-1.5308769761585057
0.31,-1.4415481910967622
0.32,-2.0739116982966324
0.33,-1.5378353033836567
0.34,-1.3676995338647024
0.35,-2.0655018201798083
0.36,-1.717505676340445
0.37,-1.3655278675450957
0.38,-1.5803386459924118
0.39,-1.37390728830137
0.4,-1.6579502076533394
0.41,-1.6090028721908898
0.42,-1.1256740233713032
0.43,-1.9871776603433047
0.44,-1.3919349061168598
0.45,-1.4162380891628177
0.46,-0.9568365875216929
0.47,-1.635521766453132
0.48,-1.4312277636469206
0.49,-2.517172550090425
0.5,-3.3612273406137634
0.51,-3.343680476721112
0.52,-4.4223200275252434
0.53,-4.587957143724031
0.54,-4.97966079038953
0.55,-5.49102789672454
0.56,-6.998177164746896
0.57,-6.993432073321556
0.58,-6.821405384214616
0.59,-7.22539005695788
0.6,-6.026963979729719
0.61,-7.1122428777722115
0.62,-6.690432299314537
0.63,-4.095557200591886
0.64,-4.730270233172368
0.65,-2.937311252044663
0.66,-3.4985300833960626
0.67,-2.348461521520627
0.68,-1.9013011599862089
0.69,-2.2558627518810885
0.7,-1.6975010182570627
0.71,-1.8237832519445272
0.72,-1.482009752512172
0.73,-1.6656533103425937
0.74,-2.1809205030377927
0.75,-1.9171525332026715
0.76,-1.6900916358262892
0.77,-1.4873559799423877
0.78,-1.7036265832762023
0.79,-1.4199830833160032
0.8,-1.6262469234596713
0.81,-2.8677052848316995
0.82,-2.176151592179029
0.83,-1.8930566791974488
0.84,-2.29996590005544
0.85,-2.51150753137465
0.86,-2.9440050064319117
0.87,-2.789145923282206
0.88,-2.489237366876324
0.89,-1.935351200079694
0.9,-2.5023097489573205
0.91,-2.9361961276646493
0.92,-2.788415064630753
0.93,-2.059115754181655
0.94,-2.411563447672172
0.95,-1.9098837293992008
0.96,-1.1072867156449864
0.97,-1.2582438206063962
0.98,-1.4728973052802967
0.99,-1.8440812204582016
1.0,-1.9171525332026715
1.01,-2.022570355643572
1.02,-2.9790453366017084
1.03,-3.28041694224033
1.04,-2.5040777970099306
1.05,-1.9452938404030693
1.06,-1.7898412037040727
1.07,-2.253113726376299
1.08,-1.8943752703629193
1.09,-2.357150018432024
1.1,-2.5459085438167195
1.11,-2.761416436045559
1.12,-2.896146700056254
1.13,-1.9751902316830776
1.14,-2.245558389349335
1.15,-2.143181574902018
1.16,-2.464559524370503
1.17,-3.3561546045458233
1.18,-2.3965308120776334
1.19,-2.405267550264268
1.2,-2.1445386921483345
1.21,-2.3099892114681326
1.22,-2.6409504893580484
1.23,-2.368980339040443
1.24,-1.7120159420245242
1.25,-3.1206375860480735
1.26,-3.5850091098617227
1.27,-3.1804498653472626
1.28,-3.2912515723201032
1.29,-2.886532687555366
1.3,-3.8985955259645797
1.31,-2.9839024854666314
1.32,-3.1434471832898363
1.33,-3.159449616416384
1.34,-2.432232052824861
1.35,-2.922454685285658
1.36,-2.595086190983139
1.37,-2.4143630898037642
1.38,-3.105464397390769
1.39,-2.8835766694426685
1.4,-2.635922269943193
1.41,-3.153731076715411
1.42,-3.046917377701648
1.43,-3.0646286926733115
1.44,-3.481099668713524
1.45,-1.7804001953158053
1.46,-1.3773234453083718
1.47,-1.8378558329485204
1.48,-1.9436359431183379
1.49,-1.8355633934040059
1.5,-1.5577923152887352
1.51,-1.8736306750558775
1.52,-1.8309803286260242
1.53,-1.7291424622338227
1.54,-1.7391755356839875
1.55,-1.2294906732767321
1.56,-1.9069118801906932
1.57,-2.381175464590391
1.58,-2.515047735066644
1.59,-2.9603892668021405
1.6,-2.691393429874162
1.61,-3.265348336967109
1.62,-2.5016026304941086
1.63,-2.4920621612873557
1.64,-3.2210668575556096
1.65,-2.7301447269256114
1.66,-3.546246132556195
1.67,-3.5080523459664947
1.68,-3.3032628412701897
1.69,-3.978688822825636
1.7,-3.5758022301059573
1.71,-2.6510156690576157
1.72,-3.622336758463261
1.73,-2.4871193737816877
1.74,-1.6342418888057761
1.75,-1.320356436851
1.76,-1.7039491011322097
1.77,-1.709111016160225
1.78,-1.7996185747842188
1.79,-1.9221120257174964
1.8,-1.9376701317079703
1.81,-1.7764965708294131
1.82,-2.426972658393465
1.83,-2.9131822185788314
1.84,-2.151667038578842
1.85,-2.722888344182718
1.86,-2.3065315904527415
1.87,-1.0802287841230922
1.88,-1.698145611180406
1.89,-0.9275876585692948
1.9,-1.4791807284487084
1.91,-1.050262944569155
1.92,-1.233155992304882
1.93,-2.1989979928569188
1.94,-2.229782071210099
1.95,-2.124881215402889
1.96,-1.6419239850949188
1.97,-1.9901771042769036
1.98,-2.179557689880833
1.99,-2.4392495362508577
2.0,-3.121776644424641
2.01,-2.285125006593853
2.02,-2.649217459905164
2.03,-2.4575215710315343
2.04,-1.5835188926733945
2.05,-2.52000644559291
2.06,-2.778554487112114
2.07,-2.510445751575263
2.08,-2.2727195443973933
2.09,-3.775728564700776
2.1,-3.7120953889769908
2.11,-3.9862355729979915
2.12,-2.8459753568765684
2.13,-3.682072666143026
