seconds_elapsed,dBFS
0.0,-24.384472953971144
0.01,-24.692880131321022
0.02,-24.9280845060419
0.03,-25.771847293419885
0.04,-26.781384854328948
0.05,-33.78750264517783
0.06,-28.42656678238313
0.07,-28.682052543111705
0.08,-29.819285345211014
0.09,-31.090074784517725
0.1,-30.043825393524028
0.11,-29.811079497044656
0.12,-29.520716315671613
0.13,-28.886092890172698
0.14,-28.15801610430063
0.15,-35.85632024851811
0.16,-28.44757257167309
0.17,-28.812669886290863
0.18,-32.579184195744716
0.19,-27.34311675049944
0.2,-25.87028670263425
0.21,-23.885318153148077
0.22,-24.124915105786204
0.23,-24.441747604965446
0.24,-24.48606346455664
0.25,-26.028025110955525
0.26,-27.741013324838228
0.27,-25.383952453207918
0.28,-27.171960677794132
0.29,-25.42840691859392
0.3,-26.204911420231465
0.31,-27.04577119965399
0.32,-25.533027444916016
0.33,-24.336303036705647
0.34,-24.00639235552232
0.35,-23.704783007763798
0.36,-27.606345671658858
0.37,-25.969854551972418
0.38,-25.266507649081472
0.39,-25.354442040999892
0.4,-24.46830997929963
0.41,-26.868622510703226
0.42,-24.6837849580941
0.43,-27.983486947583472
0.44,-29.034827511366007
0.45,-25.959319814916235
0.46,-27.644609564544467
0.47,-33.41945518428073
0.48,-29.86868390283995
0.49,-28.62462496440958
0.5,-26.37994786512657
0.51,-28.9824801919536
0.52,-30.12848385745615
0.53,-27.423743223954546
0.54,-27.15382097825708
0.55,-32.76157178179887
0.56,-26.564226302564784
0.57,-28.87135855307185
0.58,-28.42656678238313
0.59,-27.184074891247466
0.6,-27.12367207732447
0.61,-26.85694007499716
0.62,-29.125306346566934
0.63,-28.596052933257226
0.64,-30.68168851762347
0.65,-33.81346944968344
0.66,-28.841964651456337
0.67,-29.201432071694352
0.68,-30.378765256110782
0.69,-28.66047268197892
0.7,-32.19308109183699
0.71,-31.350526302559825
0.72,-26.804562692333306
0.73,-32.56791113817521
0.74,-29.75385460538329
0.75,-30.77283195243303
0.76,-28.689257760976613
0.77,-28.110681438718494
0.78,-27.555587954459252
0.79,-30.976778965555667
0.8,-29.309141560791502
0.81,-31.340739383622335
0.82,-28.077028201586476
0.83,-27.773387158954176
0.84,-31.071089225837348
0.85,-30.413859807441792
0.86,-30.911365824264358
0.87,-26.845273330948878
0.88,-31.56867654989807
0.89,-35.17627653427739
0.9,-29.324638245790723
0.91,-27.3184584241074
0.92,-32.16077148370263
0.93,-29.087492226598517
0.94,-27.825437589700854
0.95,-23.64811810272461
0.96,-23.157924304332727
0.97,-23.31567901726176
0.98,-29.608413055146997
0.99,-28.747115691066142
1.0,-32.26894087217977
1.01,-29.680829414161877
1.02,-30.8003625290091
1.03,-32.422677445505585
1.04,-34.46116490922928
1.05,-31.518613646821983
1.06,-29.072412553300374
1.07,-30.035404753370504
1.08,-33.697225325491466
1.09,-31.91697822351214
1.1,-33.06637111293361
1.11,-31.48871382508296
1.12,-29.22440050192641
1.13,-30.54674189382732
1.14,-30.582523158179047
1.15,-28.667660013492096
1.16,-31.82341297795672
1.17,-31.449006831873547
1.18,-32.936109931297835
1.19,-32.6813055637829
1.2,-25.912070978707142
1.21,-31.659523405651292
1.22,-33.984172699358695
1.23,-31.46883763874809
1.24,-26.956745244643756
1.25,-26.851104744150835
1.26,-25.751264606920884
1.27,-28.103940352126294
1.28,-30.56461410103426
1.29,-29.528652259246115
1.3,-31.710407497502597
1.31,-26.874469626129734
1.32,-29.340162628186267
1.33,-31.43910838107231
1.34,-29.201432071694352
1.35,-26.592491506935115
1.36,-28.596052933257226
1.37,-28.31538587700935
1.38,-32.56791113817521
1.39,-34.93623667424207
1.4,-34.44716669566275
1.41,-29.61642956668795
1.42,-28.51796104146527
1.43,-28.09720449320938
1.44,-32.25806311291453
1.45,-32.15002826694891
1.46,-30.094521391358896
1.47,-29.61642956668795
1.48,-30.754526593417395
1.49,-24.807380730057183
1.5,-28.82730491862948
1.51,-31.5988533827001
1.52,-27.644609564544467
1.53,-24.76598641991842
1.54,-28.703686152397463
1.55,-31.224148510407858
1.56,-28.900852264391965
1.57,-30.7911759711585
1.58,-28.588924586826717
1.59,-29.934988725869488
1.6,-29.70510299205933
1.61,-32.6813055637829
1.62,-29.968331913218748
1.63,-30.052254205090914
1.64,-28.923038456883774
1.65,-31.20486794835552
1.66,-33.12623275330374
1.67,-30.939339728115655
1.68,-29.2167376080566
1.69,-29.095041892122122
1.7,-32.865873244228496
1.71,-30.537819561622044
1.72,-36.666097171717716
1.73,-29.23974660068525
1.74,-29.441753138771766
1.75,-28.915636760962443
1.76,-27.238798913177604
1.77,-29.600403935503394
1.78,-30.948684419321516
1.79,-31.969397752786712
1.8,-33.030651160037145
1.81,-27.099628076813605
1.82,-32.81936234520502
1.83,-33.544614261041836
1.84,-28.99740440462539
1.85,-32.01156234839335
1.86,-27.257117140644958
1.87,-32.47824954574307
1.88,-27.930483642678823
1.89,-30.317688934674713
1.9,-29.170901672464904
1.91,-31.36032426145334
1.92,-27.32461644608676
1.93,-31.508635599041092
1.94,-31.185630089687088
1.95,-32.66989927240235
1.96,-30.431460400370135
1.97,-27.355472214372384
1.98,-31.31144461845686
1.99,-30.56461410103426
2.0,-30.582523158179047
2.01,-30.708931267519425
2.02,-28.952708475957554
2.03,-25.751264606920884
2.04,-30.326387873446933
2.05,-28.06360333084894
2.06,-27.43621399370349
2.07,-28.52503136309138
2.08,-26.043957655266425
2.09,-27.57458735606622
2.1,-28.64611583633331
2.11,-28.06360333084894
2.12,-33.09026628519248
2.13,-28.696468960758242
2.14,-30.90206117459249
2.15,-29.13288896567622
