seconds_elapsed,dBFS
0.0,-12.090110584194779
0.01,-11.132944631204309
0.02,-10.930005079567504
0.03,-11.236703865381548
0.04,-11.677807357378251
0.05,-11.14919513105775
0.06,-10.795768035573188
0.07,-13.2899507033245
0.08,-12.314776807771464
0.09,-12.676741249627387
0.1,-10.932804420937195
0.11,-13.210738253037245
0.12,-14.329084010316729
0.13,-14.052067959852932
0.14,-12.521843961415726
0.15,-14.14748133736822
0.16,-13.4244270731618
0.17,-12.459315111900604
0.18,-11.370133285237848
0.19,-11.86591219457318
0.2,-12.427110152740381
0.21,-14.31667460956438
0.22,-12.186609548283124
0.23,-12.206038662074036
0.24,-12.511764274030588
0.25,-13.67672159301238
0.26,-12.202797456872647
0.27,-13.098645149959431
0.28,-14.012065327105091
0.29,-15.68528454651435
0.3,-13.878728131098894
0.31,-12.44708537726979
0.32,-13.339058337387026
0.33,-13.451823450288485
0.34,-12.594991096627759
0.35,-9.427615689816072
0.36,-8.472846759160857
0.37,-6.211953960630055
0.38,-9.088246897925993
0.39,-9.154155582619302
0.4,-12.900920593613815
0.41,-14.610949701461262
0.42,-9.68244554397174
0.43,-9.67759805637235
0.44,-11.906532173379878
0.45,-10.449979487785427
0.46,-12.316965516271912
0.47,-15.298830802167434
0.48,-12.23309584437365
0.49,-12.673319587326663
0.5,-10.952425112591254
0.51,-12.484942153988447
0.52,-12.33559183988376
0.53,-15.346789349294683
0.54,-12.032721651520024
0.55,-12.853057899402389
0.56,-10.933737735249384
0.57,-14.948082417146022
0.58,-12.697299577894759
0.59,-15.22968138189115
0.6,-12.705307642665689
0.61,-11.888802669253671
0.62,-11.985185499583606
0.63,-12.128581614971237
0.64,-11.037964027712432
0.65,-10.040456157780437
0.66,-12.733968295734314
0.67,-13.961658373442473
0.68,-13.793987072233802
0.69,-12.44708537726979
0.7,-12.023193585875378
0.71,-12.524085481334765
0.72,-13.176837330455633
0.73,-13.760320791178772
0.74,-14.258997343906488
0.75,-14.620932664134187
0.76,-15.294203674487342
0.77,-14.073478267136284
0.78,-11.613981205922776
0.79,-13.194982082485613
0.8,-12.85189380509815
0.81,-10.25272311470089
0.82,-8.374273489944981
0.83,-8.077028201586478
0.84,-10.293378152124449
0.85,-10.715300222653843
0.86,-10.686223046381151
0.87,-11.381918754668867
0.88,-11.533602243532009
0.89,-10.848289885455698
0.9,-10.425296135148015
0.91,-11.057823983275082
0.92,-12.696156171108658
0.93,-12.687014331414012
0.94,-12.747759073394107
0.95,-12.916151806162464
0.96,-15.6546918921945
0.97,-16.00899935095351
0.98,-13.844732433541008
0.99,-14.238490787663709
1.0,-11.713470043096319
1.01,-11.832724277370563
1.02,-12.058181043381609
1.03,-12.891560797839501
1.04,-11.90235726840257
1.05,-8.72537377824186
1.06,-12.72937623131963
1.07,-14.971822478766004
1.08,-7.9238809136356245
1.09,-10.218272342167902
1.1,-12.527448846193078
1.11,-14.192187722900902
1.12,-10.528015570429952
1.13,-9.752225135415454
1.14,-11.347589068815536
1.15,-16.709544813645987
1.16,-15.670779856856909
1.17,-13.685686021005507
1.18,-15.139844926985042
1.19,-11.79244720669951
1.2,-14.886071722894654
1.21,-12.539792338486631
1.22,-14.352572471913884
1.23,-13.23625106002247
1.24,-12.877539988276784
1.25,-12.63917689541576
1.26,-10.887194436452049
1.27,-10.487136538216609
1.28,-8.684213480960413
1.29,-11.160684404740977
1.3,-10.351664174411464
1.31,-8.522909662236945
1.32,-11.063506606728062
1.33,-10.138698546565262
1.34,-9.055103232346486
1.35,-11.156852957992452
1.36,-9.84230304842818
1.37,-10.391032226265613
1.38,-10.35428316723639
1.39,-10.702566979019231
1.4,-11.887760883388786
1.41,-11.636216448695855
1.42,-12.964364408816476
1.43,-12.074131142075723
1.44,-11.763645082976726
1.45,-11.003082782961233
1.46,-11.36228518021956
1.47,-10.869573171199228
1.48,-13.087873807656887
1.49,-13.94712131626164
1.5,-16.868889798735317
1.51,-13.901028245114723
1.52,-12.497225345084612
1.53,-13.351378750286854
1.54,-13.58378264202462
1.55,-13.031839461514899
1.56,-15.73056577173717
1.57,-10.693483219941925
1.58,-13.806970467234294
1.59,-13.530758151074384
1.6,-11.539604931841453
1.61,-14.028044279282367
1.62,-12.034840419584699
1.63,-13.409519936256604
1.64,-13.030651160037149
1.65,-11.260899907653869
1.66,-14.817199693898468
1.67,-13.099842790724935
1.68,-12.83793682892198
1.69,-11.819277824516057
1.7,-11.542607832351246
1.71,-13.443097044464213
1.72,-10.7709996795356
1.73,-9.171663626028101
1.74,-7.237579070518757
1.75,-10.05478444435862
1.76,-14.084203244128568
1.77,-9.339385749724315
1.78,-9.228234485496966
1.79,-9.868683902839953
1.8,-10.645497258438098
1.81,-10.232036258508398
1.82,-11.842045569237847
1.83,-10.728963729699936
1.84,-10.53692783228108
1.85,-12.900920593613815
1.86,-11.020977275939732
1.87,-10.794849428450755
1.88,-10.44556659857906
1.89,-13.302201607524776
1.9,-11.090074784517729
1.91,-10.154043139179558
1.92,-11.310469825836112
1.93,-12.939636718774622
1.94,-15.629012968426618
1.95,-12.454865943081046
1.96,-13.282608446219452
1.97,-14.121845294972243
1.98,-14.005416096405984
1.99,-14.528672163326865
2.0,-11.648368797146249
2.01,-13.2899507033245
2.02,-12.996260945201783
2.03,-13.186509814348351
2.04,-10.564614101034259
2.05,-11.365227388672487
2.06,-12.453754006878022
2.07,-15.877732332044738
2.08,-14.298781161306998
2.09,-13.214378354915512
2.1,-13.703642680521522
2.11,-11.880471878889047
2.12,-13.105833472828792
2.13,-12.770792472301814
2.14,-13.476804455825649
2.15,-13.187719632532362
2.16,-12.738562789170228
2.17,-12.36635783155247
2.18,-11.784208278277113
2.19,-11.323150670953845
2.2,-10.050567788303155
2.21,-10.266541774691124
2.22,-9.466943338448306
2.23,-8.4911461849871
2.24,-11.037964027712432
2.25,-10.528906385223621
2.26,-10.835360329114682
2.27,-9.408801481077877
2.28,-10.555673400668866
2.29,-10.85383702112357
2.3,-10.191666661686657
