seconds_elapsed,dBFS
0.0,-41.15136076451451
0.01,-43.03675910135147
0.02,-42.455059634001046
0.03,-42.56120217241977
0.04,-44.15907794093009
0.05,-43.90607297697328
0.06,-41.71395309914619
0.07,-42.77745955806411
0.08,-42.77745955806411
0.09,-42.41996508267003
0.1,-42.38501175727962
0.11,-43.15030175918528
0.12,-40.09809849506211
0.13,-41.81136596657302
0.14,-39.628476578071655
0.15,-34.37751203498576
0.16,-37.88547306369365
0.17,-42.043003417569324
0.18,-43.15030175918528
0.19,-43.50011640239199
0.2,-45.34953337195822
0.21,-43.94773199993912
0.22,-45.70002027162887
0.23,-44.87216656846438
0.24,-42.31552426957359
0.25,-41.12114894400974
0.26,-43.46054508275023
0.27,-42.178195090515246
0.28,-43.539868827102254
0.29,-43.7414066304196
0.3,-44.37569489396373
0.31,-44.37569489396373
0.32,-43.26534833696711
0.33,-42.49029655712677
0.34,-42.63269137958573
0.35,-44.733926680137785
0.36,-45.300598653016465
0.37,-46.39100565100968
0.38,-43.7414066304196
0.39,-44.03165429181129
0.4,-43.989591790056004
0.41,-42.96188027867397
0.42,-43.421153225492134
0.43,-42.99923900137636
0.44,-42.3501985257536
0.45,-42.49029655712677
0.46,-41.77877347190285
0.47,-41.77877347190285
0.48,-41.490817057890006
0.49,-40.151881265277744
0.5,-40.82467341766925
0.51,-40.76657360480111
0.52,-39.86011402906796
0.53,-37.70044119869388
0.54,-38.736214499832904
0.55,-39.03937699130614
0.56,-39.6539111193444
0.57,-40.23318503805073
0.58,-38.59978410902434
0.59,-38.66773144096018
0.6,-38.532364187310215
0.61,-39.67942035834925
0.62,-39.27999873973685
0.63,-39.353504591437904
0.64,-34.89195846635147
0.65,-39.42763781218884
0.66,-40.28781345483932
0.67,-39.99152182496077
0.68,-40.34278762340235
0.69,-39.20710972762797
0.7,-41.97618855242873
0.71,-41.74630281861858
0.72,-41.84408122045819
0.73,-41.15136076451451
0.74,-41.15136076451451
0.75,-42.2123243667956
0.76,-41.9098837293992
0.77,-40.82467341766925
0.78,-43.03675910135147
0.79,-41.81136596657302
0.8,-40.82467341766925
0.81,-44.463877272064835
0.82,-42.49029655712677
0.83,-44.91873981483603
0.84,-45.90683693839325
0.85,-45.39874534291136
0.86,-41.522344822589105
0.87,-44.11639535067637
0.88,-44.463877272064835
0.89,-40.37040573773005
0.9,-38.311337257720595
0.91,-39.75640068176758
0.92,-43.03675910135147
0.93,-43.22682991624633
0.94,-44.82584171392076
0.95,-43.700723232210535
0.96,-42.850758639792225
0.97,-41.58574575837924
0.98,-42.043003417569324
0.99,-43.700723232210535
1.0,-42.59687322722811
1.01,-42.81403177899228
1.02,-42.7410406802316
1.03,-42.14419939295736
1.04,-43.989591790056004
1.05,-44.91873981483603
1.06,-42.96188027867397
1.07,-41.091041844063405
1.08,-39.78221315139747
1.09,-40.59457016956276
1.1,-40.59457016956276
1.11,-42.63269137958573
1.12,-42.96188027867397
1.13,-43.7414066304196
1.14,-44.96556413113407
1.15,-41.522344822589105
1.16,-43.0744419788425
1.17,-45.64907649135128
1.18,-44.68833135423981
1.19,-42.3501985257536
1.2,-42.41996508267003
1.21,-42.31552426957359
1.22,-41.3969146337224
1.23,-42.043003417569324
1.24,-44.33193717100022
1.25,-43.46054508275023
1.26,-42.52567701190371
1.27,-41.71395309914619
1.28,-41.273269988708556
1.29,-41.64961288170624
1.3,-43.03675910135147
1.31,-43.86461280451597
1.32,-44.15907794093009
1.33,-42.07660457992975
1.34,-36.20883951252764
1.35,-37.579240772127044
1.36,-39.628476578071655
1.37,-43.15030175918528
1.38,-43.46054508275023
1.39,-45.90683693839325
1.4,-46.96265200423083
1.41,-46.90376439129521
1.42,-48.87135855307185
1.43,-48.87135855307185
1.44,-46.33585696010591
1.45,-45.90683693839325
1.46,-42.96188027867397
1.47,-42.96188027867397
1.48,-42.49029655712677
1.49,-42.850758639792225
1.5,-43.26534833696711
1.51,-42.2123243667956
1.52,-41.74630281861858
1.53,-43.57980402222377
1.54,-42.14419939295736
1.55,-40.39811194826538
1.56,-43.82334959324051
1.57,-43.7414066304196
1.58,-43.94773199993912
1.59,-42.81403177899228
1.6,-43.57980402222377
1.61,-43.539868827102254
1.62,-44.24507755078458
1.63,-44.37569489396373
1.64,-43.989591790056004
1.65,-44.15907794093009
1.66,-44.073921478079264
1.67,-41.74630281861858
1.68,-43.26534833696711
1.69,-24.59335322360646
1.7,-23.897765095289625
1.71,-29.843949506520126
1.72,-30.78199911912889
1.73,-33.38225645659825
1.74,-33.456813906983115
1.75,-36.39936516939041
1.76,-37.96899187677637
1.77,-39.15885466108119
1.78,-41.58574575837924
1.79,-39.67942035834925
1.8,-42.704773864962235
1.81,-43.539868827102254
1.82,-41.68172341601461
1.83,-42.455059634001046
1.84,-38.44327735878521
1.85,-34.70265245639133
1.86,-35.517551810192515
1.87,-37.14877076605211
1.88,-42.49029655712677
1.89,-42.99923900137636
1.9,-42.110336232568464
1.91,-43.50011640239199
1.92,-44.82584171392076
1.93,-45.05997690458577
1.94,-43.989591790056004
1.95,-45.34953337195822
1.96,-46.39100565100968
1.97,-47.3864379856296
1.98,-46.90376439129521
1.99,-38.39907426268287
2.0,-18.975535947072025
2.01,-23.943557094961818
2.02,-29.901773046240198
2.03,-33.633311206064775
2.04,-37.11067469779735
2.05,-37.53921356010161
2.06,-38.96847137601314
2.07,-40.53798436918547
2.08,-20.965719379812548
2.09,-23.56380790418884
2.1,-29.993423571413533
2.11,-34.731509259139564
2.12,-36.0391878373155
2.13,-37.7616815673397
2.14,-31.042688471472133
2.15,-30.257039084796183
2.16,-37.341798479575715
2.17,-40.01804364598864
2.18,-38.96847137601314
2.19,-41.15136076451451
2.2,-43.61992367617574
2.21,-44.073921478079264
2.22,-44.68833135423981
2.23,-43.782281480619325
2.24,-36.123599479677736
2.25,-37.16788164205228
2.26,-40.79557493270576
2.27,-43.782281480619325
2.28,-42.99923900137636
2.29,-23.943557094961818
2.3,-23.55183011837247
2.31,-25.508003256941404
2.32,-29.255119860694997
2.33,-30.939339728115655
2.34,-34.70265245639133
2.35,-37.400553312212516
2.36,-35.22203198497398
2.37,-36.45206031364975
2.38,-37.42022690983759
2.39,-36.848580556616426
2.4,-37.42022690983759
2.41,-32.19308109183699
2.42,-35.677223395459585
2.43,-36.26038797028385
2.44,-38.37705678666515
2.45,-38.992042325724
2.46,-24.75681441311253
2.47,-25.78731637967788
2.48,-31.458916575832742
2.49,-35.75817355862323
2.5,-35.28341661952751
2.51,-34.68825992677172
2.52,-31.927436851672873
2.53,-33.60787666479203
2.54,-37.80274967996088
2.55,-41.68172341601461
2.56,-41.36583807234997
2.57,-43.61992367617574
2.58,-43.46054508275023
2.59,-44.55296410058984
2.6,-44.59785251903888
2.61,-45.70002027162887
2.62,-46.118698408341736
2.63,-45.802813064677096
2.64,-45.75126460692089
2.65,-47.141748857289365
2.66,-50.84644162720038
