seconds_elapsed,dBFS
0.0,-10.828902761246065
0.01,-16.961807775532616
0.02,-17.73509104491389
0.03,-15.32045671675938
0.04,-15.66595033789008
0.05,-14.28504201001138
0.06,-14.033377135712708
0.07,-14.73440021927212
0.08,-15.348340816591486
0.09,-14.504703294314771
0.1,-12.345469029240828
0.11,-12.972622640673393
0.12,-12.714468766402813
0.13,-15.173234723831996
0.14,-13.117827246673288
0.15,-16.317446871216173
0.16,-19.965080740194875
0.17,-25.36426770905907
0.18,-24.661088604343846
0.19,-19.407807005314297
0.2,-15.32509785480091
0.21,-10.943076398269246
0.22,-10.675344151768652
0.23,-11.669676404630906
0.24,-11.503650870274118
0.25,-11.945245472015845
0.26,-11.326079650795482
0.27,-13.34028959256494
0.28,-14.252156444412869
0.29,-13.451823450288485
0.3,-15.830039170561488
0.31,-14.265843635455127
0.32,-13.470552465605339
0.33,-14.521615627364724
0.34,-15.179319410342169
0.35,-15.079463108300324
0.36,-15.046431163211619
0.37,-16.61568141867714
0.38,-17.641649796854217
0.39,-17.103075493779766
0.4,-17.4834835545561
0.41,-15.84316976964268
0.42,-16.19172445351597
0.43,-17.503346105260743
0.44,-16.34524730187191
0.45,-15.75817355862323
0.46,-14.077498581782491
0.47,-12.813565955508393
0.48,-13.061599956736709
0.49,-15.391894795719779
0.5,-14.504703294314771
0.51,-15.413753957882797
0.52,-10.596877038145628
0.53,-15.75817355862323
0.54,-17.48745243268687
0.55,-19.59046387128297
0.56,-19.67686606053991
0.57,-17.958508001468513
0.58,-14.60525029860712
0.59,-15.20980694476016
0.6,-10.892766481744003
0.61,-14.205780667205676
0.62,-17.473569286115172
0.63,-17.90419490227773
0.64,-22.5754530199776
0.65,-23.188481555331904
0.66,-25.725604648412336
0.67,-28.653291292865354
0.68,-31.82341297795672
0.69,-32.912634539607794
0.7,-33.710064780361634
0.71,-35.145906259846555
0.72,-35.11564180540175
0.73,-37.439945169470604
0.74,-36.55841947490166
0.75,-38.44327735878521
0.76,-38.992042325724
0.77,-44.20197131026188
0.78,-38.62237421184374
0.79,-37.88547306369365
0.8,-36.59416392714908
0.81,-30.8003625290091
0.82,-35.80710827756498
0.83,-31.42922119771892
0.84,-30.986164044413698
0.85,-32.81936234520502
0.86,-29.943312530663736
0.87,-36.94128036539435
0.88,-39.01567741415257
0.89,-41.36583807234997
0.9,-39.9387199016366
0.91,-41.9098837293992
0.92,-39.96508074019487
0.93,-44.20197131026188
0.94,-43.539868827102254
0.95,-41.00134167022599
0.96,-41.459403317905384
0.97,-42.56120217241977
0.98,-44.463877272064835
0.99,-39.86011402906796
1.0,-43.700723232210535
1.01,-44.15907794093009
1.02,-37.579240772127044
