seconds_elapsed,dBFS
0.0,-24.112138604872943
0.01,-24.9280845060419
0.02,-26.69501467327366
0.03,-27.17801567255873
0.04,-28.010110384942664
0.05,-26.67784322193863
0.06,-29.600403935503394
0.07,-30.591491553026483
0.08,-31.185630089687088
0.09,-27.950321998401524
0.1,-29.426046281619897
0.11,-27.92388091363562
0.12,-31.90653217337988
0.13,-35.29883080216743
0.14,-34.6452248776892
0.15,-29.592402194137794
0.16,-31.24347196584827
0.17,-32.03272165152002
0.18,-33.33290467815828
0.19,-29.426046281619897
0.2,-30.727140686427823
0.21,-29.27823088888781
0.22,-27.492555097008147
0.23,-28.747115691066142
0.24,-30.396294807243358
0.25,-22.367587700006183
0.26,-18.615591009907384
0.27,-25.649076491351277
0.28,-23.595829653408327
0.29,-23.725110397425336
0.3,-22.71926242484888
0.31,-24.881461261312868
0.32,-24.375694893963733
0.33,-23.078219273808777
0.34,-21.765770640675047
0.35,-19.12044270400456
0.36,-23.146492993661383
0.37,-23.173189492160038
0.38,-21.949605854899616
0.39,-22.832375797717752
0.4,-23.30016156849313
0.41,-20.597409159500785
0.42,-16.30704460693328
0.43,-15.987261623697716
0.44,-17.870939481369746
0.45,-13.211951450837677
0.46,-9.25665868426853
0.47,-14.465368776200782
0.48,-5.5878313644232716
0.49,-8.953451526528012
0.5,-3.758550644857941
0.51,-5.956161883727815
0.52,-3.815531695409453
0.53,-3.3976035780665157
0.54,-6.464342240708824
0.55,-5.930939681937776
0.56,-6.799922174184697
0.57,-7.118857949647923
0.58,-5.977236477684325
0.59,-6.8809060025917725
0.6,-6.354568254657052
0.61,-7.7533011719509295
0.62,-7.31907402987952
0.63,-6.829548042835115
0.64,-8.355524710212404
0.65,-6.548437872492746
0.66,-4.979190532971475
0.67,-5.8697656690935265
0.68,-4.398536328244488
0.69,-5.509502676855603
0.7,-4.660181982596969
0.71,-7.50135220800631
0.72,-5.5270150614470195
0.73,-6.175179078761711
0.74,-6.021130074090242
0.75,-5.998362329368453
0.76,-7.779227285186865
0.77,-5.018781177758909
0.78,-3.711282598105854
0.79,-5.420487255735644
0.8,-6.266864471389637
0.81,-7.7928695364038205
0.82,-7.023131512905117
0.83,-7.620993580814671
0.84,-6.759423048347908
0.85,-8.873567110859247
0.86,-7.017183495389883
0.87,-11.18947425422785
0.88,-6.792966042228769
0.89,-6.088190584553291
0.9,-6.2027456330021735
0.91,-6.298007496378873
0.92,-8.588212073833574
0.93,-7.069068190745441
0.94,-6.728884547897954
0.95,-8.68853697016768
0.96,-7.347439163944238
0.97,-8.144465571695786
0.98,-9.430755357169275
0.99,-9.830786572175947
1.0,-5.723555122768554
1.01,-7.12788662892461
1.02,-8.547695145390264
1.03,-6.921388792955368
1.04,-5.85935155641613
1.05,-8.875776230358603
1.06,-5.966165940428741
1.07,-7.294483767470469
1.08,-9.510410417023149
1.09,-7.263231811533228
1.1,-8.258952515485312
1.11,-8.42866507678591
1.12,-8.616758281889329
1.13,-8.726821547165635
1.14,-8.162085389752464
1.15,-10.64188641255859
1.16,-10.621153128709047
1.17,-8.415384431771272
1.18,-9.051344896587073
1.19,-7.112844039805745
1.2,-8.347204891915313
1.21,-7.5974416322957605
1.22,-7.048157760910402
1.23,-11.0087296937494
1.24,-9.296764088603549
1.25,-12.315871093081645
1.26,-11.600868904147376
1.27,-8.635363753708333
1.28,-10.257039084796187
1.29,-9.772615514369823
1.3,-8.322293145475202
1.31,-6.565919623486039
1.32,-8.734788592628833
1.33,-8.358993654560628
1.34,-7.518343267235568
1.35,-10.879770598702622
1.36,-8.407007106282084
1.37,-9.040079636733696
1.38,-10.836283230846206
1.39,-8.604614678295517
1.4,-9.997612570596765
1.41,-9.055103232346486
1.42,-11.980972627116843
1.43,-10.282114090962331
1.44,-10.7709996795356
1.45,-12.429327354957419
1.46,-12.544285233783015
1.47,-10.174544855160665
1.48,-6.959698122332595
1.49,-7.330162401136131
1.5,-11.325103214434712
1.51,-9.016095803355629
1.52,-8.68277279599475
1.53,-8.091819564557012
1.54,-9.602005168734596
1.55,-10.306393323089818
1.56,-11.064454072192657
1.57,-10.882553794338099
1.58,-10.67896893622942
1.59,-10.333353302559642
1.6,-11.651409542718374
1.61,-11.22028897262471
1.62,-10.752698177530624
1.63,-9.028828968559873
1.64,-9.995098928663994
1.65,-14.46116490922928
1.66,-12.098644988849028
1.67,-9.936652848805526
1.68,-13.612957618220374
1.69,-15.215917314085715
1.7,-11.953638650239231
1.71,-15.245000415206036
1.72,-12.655093451562415
1.73,-10.888122862473784
1.74,-8.445469705269387
1.75,-12.719052954205786
1.76,-13.601529649794182
1.77,-9.683253721654395
1.78,-12.463766560883654
1.79,-10.887194436452049
1.8,-13.683123811654166
1.81,-9.397845316463403
1.82,-8.106636158987808
1.83,-11.897141457498188
1.84,-9.96165302812376
1.85,-10.80587913106057
1.86,-9.089756437317709
1.87,-10.804959454037311
1.88,-12.754662681894821
1.89,-10.746301751228566
1.9,-4.367802217693201
1.91,-4.1432609266122595
1.92,-6.02643346272616
1.93,-4.1774961372653765
1.94,-4.016488315168944
1.95,-7.359800782252267
1.96,-8.00078289651597
1.97,-4.712923099312286
1.98,-5.9036980274497175
1.99,-5.5270150614470195
2.0,-3.716973732063982
2.01,-3.6074667529062476
2.02,-5.370660358895847
2.03,-5.072326287679339
2.04,-5.329436781341289
2.05,-4.503408120784021
2.06,-4.979190532971475
2.07,-6.277233077723984
2.08,-6.014240506305075
2.09,-7.860093573555242
2.1,-4.6447838739866825
2.11,-5.859871965609424
2.12,-6.629942973862759
2.13,-5.779578392851578
2.14,-7.343116750499443
2.15,-6.3611818765284065
2.16,-7.269962925049047
2.17,-9.495369911727197
2.18,-8.125530270684912
2.19,-6.6766996646151355
2.2,-8.813401052555704
2.21,-11.916978223512139
2.22,-8.950479705563922
2.23,-7.38892002297698
2.24,-9.326965135023213
2.25,-10.257902536224709
2.26,-11.371114797147822
2.27,-10.40595116136528
2.28,-11.201016966409016
2.29,-13.409519936256604
2.3,-11.03701944724953
2.31,-12.999812245955063
2.32,-13.033027925584353
2.33,-13.851259742511344
2.34,-14.66528136935403
2.35,-13.12503146851681
2.36,-16.133784225388023
2.37,-14.351189038027378
2.38,-15.086987920031511
2.39,-15.223561325525171
2.4,-13.602798681813104
2.41,-15.298830802167434
2.42,-18.96847137601315
2.43,-15.907467243831546
2.44,-19.01094524861026
2.45,-19.844477859880335
2.46,-19.36088950584456
2.47,-20.45937849661682
2.48,-22.036298755223243
2.49,-14.650950579701465
2.5,-19.582881252173685
2.51,-19.517441032288176
2.52,-21.390690420171886
2.53,-24.116395350676385
2.54,-20.467766608942377
2.55,-22.686697084997345
2.56,-22.995495890076004
2.57,-23.085778795293837
2.58,-23.504083467835724
2.59,-23.69666535330559
2.6,-24.201971310261882
