seconds_elapsed,dBFS
0.0,-9.056607022107524
0.01,-8.849303806635751
0.02,-13.97621980122513
0.03,-13.41945518428073
0.04,-11.36915188422691
0.05,-10.47738955570756
0.06,-11.96309068028057
0.07,-14.551291680375867
0.08,-14.589596196554167
0.09,-13.275272390345807
0.1,-13.640956114557186
0.11,-13.748697414714819
0.12,-12.88571604313537
0.13,-13.808269874767284
0.14,-12.973803029292196
0.15,-12.40275820967861
0.16,-14.064104763186974
0.17,-11.977814313172079
0.18,-13.9947879034151
0.19,-14.645224877689206
0.2,-12.910290486257159
0.21,-14.658113018994154
0.22,-14.11915116044752
0.23,-14.088228527110038
0.24,-15.659515153570487
0.25,-14.46116490922928
0.26,-13.67672159301238
0.27,-14.652382595142521
0.28,-13.856485123711543
0.29,-15.258810683417497
0.3,-16.452060313649756
0.31,-13.87479875322683
0.32,-14.701212129775303
0.33,-15.724082554688223
0.34,-14.057415591013422
0.35,-12.719052954205786
0.36,-12.36635783155247
0.37,-11.498669000543014
0.38,-10.995559274792225
0.39,-12.658507940096747
0.4,-15.993944362737167
0.41,-12.742010254838847
0.42,-13.529499600084996
0.43,-12.951403030026764
0.44,-10.328128707131102
0.45,-12.982070244202323
0.46,-14.163711593672215
0.47,-12.412712117528342
0.48,-15.138330254448626
0.49,-18.063920577265613
0.5,-9.614825672372977
0.51,-17.289256811525455
0.52,-14.140727671186994
0.53,-9.477197761407023
0.54,-12.004168753070468
0.55,-13.066371112933615
0.56,-13.394638339861185
0.57,-14.668150366783275
0.58,-12.18014282285371
0.59,-14.182685303032086
0.6,-15.993944362737167
0.61,-13.642230920406407
0.62,-14.660979649263762
0.63,-14.233030539400872
0.64,-12.52632757985988
0.65,-16.630056084164114
0.66,-14.30565889516708
0.67,-13.64860775766373
0.68,-16.46969664384715
0.69,-13.245989970237504
0.7,-14.635213972248028
0.71,-16.631854591187427
0.72,-14.859630638128749
0.73,-15.096026307567236
0.74,-15.303460396114502
0.75,-13.503112066965633
0.76,-14.992648392995992
0.77,-13.598992141847981
0.78,-13.649883687102388
0.79,-15.318910221671512
0.8,-13.256959312429661
0.81,-13.762905877399659
0.82,-13.314469815267802
0.83,-12.675600545753129
0.84,-14.237125403767468
0.85,-15.73056577173717
0.86,-12.75121019176468
0.87,-15.023981190418894
0.88,-14.068120740589825
0.89,-13.561018212353906
0.9,-10.265677464064204
0.91,-10.728963729699936
0.92,-11.33682770166563
0.93,-16.997378878835296
0.94,-14.476589045338077
0.95,-13.20709967602192
0.96,-10.952425112591254
0.97,-14.527260397433784
0.98,-15.60021463416473
0.99,-15.508064218164478
1.0,-15.141359863700849
1.01,-13.779727717338332
1.02,-15.020992240066594
1.03,-14.25762873291523
1.04,-13.768078359099674
1.05,-14.412269542903129
1.06,-13.266721482199127
1.07,-15.105074110091678
1.08,-9.500116731940828
1.09,-8.5010157140851
1.1,-11.652423361177425
1.11,-11.851376875028487
1.12,-15.576288745457932
1.13,-13.358779395129394
1.14,-12.840261434753618
1.15,-14.852300154413992
1.16,-16.67151625662142
1.17,-14.86696731365412
1.18,-16.164410312648478
1.19,-15.168674004568345
1.2,-16.657072869983292
1.21,-18.331000957916697
1.22,-13.665209477824094
1.23,-17.053842065562876
1.24,-15.828399240482403
1.25,-14.928841280318878
1.26,-9.802881393898952
1.27,-11.195243692924242
1.28,-13.443097044464213
1.29,-13.642230920406407
1.3,-13.953726053587003
1.31,-13.690812708265492
1.32,-16.115121304638517
1.33,-16.025757777217294
1.34,-16.535264213511887
1.35,-17.93548792149156
1.36,-16.43445972072142
1.37,-19.983581044607554
1.38,-18.030049163587364
1.39,-15.94561059136822
1.4,-18.3529018511085
1.41,-17.61340953627532
1.42,-16.928242681491238
1.43,-16.00899935095351
1.44,-10.90857338262704
1.45,-8.04952951253127
1.46,-10.26394910078359
1.47,-10.567298106711917
1.48,-15.648265040522766
1.49,-12.346567188372203
1.5,-9.586006104277295
1.51,-14.338748038567326
1.52,-13.538313288956985
1.53,-13.129837604834243
1.54,-16.050956198249903
1.55,-16.93010401003968
1.56,-12.847238987388643
1.57,-15.083977213021102
1.58,-16.42742945757917
1.59,-15.441939671003244
1.6,-16.775126506697024
1.61,-15.409065218423157
1.62,-14.95252873904402
1.63,-16.86149912427277
1.64,-16.3365501051524
1.65,-17.046292400039274
1.66,-18.3968700018823
1.67,-18.177072515608653
1.68,-18.50554206726807
1.69,-18.313519916266593
1.7,-20.375939914176
1.71,-19.482407145860485
1.72,-20.318006181091377
1.73,-19.620860716436816
1.74,-20.755000132551743
1.75,-19.805510142488927
1.76,-16.881838630324527
1.77,-17.34960953193492
1.78,-17.206230002966713
1.79,-20.789766915345883
1.8,-17.527241277519607
1.81,-11.571689519681904
1.82,-10.261357200539143
1.83,-10.05478444435862
1.84,-16.60670931826357
1.85,-13.71006478036164
1.86,-13.441851130435245
1.87,-11.375041954279519
1.88,-14.575389635261383
1.89,-16.184887861554948
1.9,-10.960847567244901
1.91,-8.94231243684927
1.92,-13.53705364286123
1.93,-17.53522096539189
1.94,-15.484390478684942
1.95,-13.167175605724083
1.96,-13.156318996194196
1.97,-18.388058548285574
1.98,-15.371646142185769
1.99,-10.314211797062995
2.0,-16.35395321583926
2.01,-15.985591741997279
2.02,-13.71006478036164
2.03,-15.950598182454485
2.04,-16.52104544276871
2.05,-16.457347453696176
2.06,-13.614228321117537
2.07,-15.942287121024224
2.08,-15.856320248518113
2.09,-16.705915864506895
2.1,-16.513944776411225
2.11,-18.313519916266593
2.12,-16.143980927366805
2.13,-17.11828055611003
2.14,-16.357438026172094
2.15,-16.154189613718934
