seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-29.270520378272224
0.04,-20.697362962610978
0.05,-21.992844146483492
0.06,-22.315524269573594
0.07,-20.22774104562052
0.08,-19.878391873620135
0.09,-20.43704971918382
0.1,-21.462539584282865
0.11,-17.31062432448597
0.12,-18.61107181644536
0.13,-20.865575765347092
0.14,-24.078159531170456
0.15,-24.624897345158473
0.16,-19.338753572373648
0.17,-25.059976904585763
0.18,-23.939384195704008
0.19,-29.729444595018798
0.2,-20.839259297902988
0.21,-28.336124182853215
0.22,-23.19613769477698
0.23,-22.222589354759744
0.24,-24.129178119191074
0.25,-23.2306740807871
0.26,-17.93130899928535
0.27,-20.950919768738352
0.28,-14.084203244128568
0.29,-24.86288181115263
0.3,-17.378963698562117
0.31,-19.01094524861026
0.32,-32.70416318128475
0.33,-17.739176599851902
0.34,-15.39657427305559
0.35,-17.040634454140765
0.36,-15.196074310060759
0.37,-15.86454941979975
0.38,-21.35343851330193
0.39,-18.902810990476762
0.4,-20.786864362390528
0.41,-25.383952453207918
0.42,-23.86461280451597
0.43,-15.856320248518113
0.44,-14.499073159852166
0.45,-22.766517852265235
0.46,-19.75897847957195
0.47,-19.241048496716754
0.48,-26.006827078132492
0.49,-21.199919323621792
0.5,-31.449006831873547
0.51,-32.959648942013324
0.52,-23.021731606879744
0.53,-16.828318690569258
0.54,-22.346724864584306
0.55,-18.842281897873004
0.56,-18.000519641475478
0.57,-19.730664693641263
0.58,-23.03675910135147
0.59,-17.179368383384386
0.6,-11.706325782372005
0.61,-13.929972466390904
0.62,-21.830980328626023
0.63,-20.07935292667433
0.64,-22.232866488245904
0.65,-18.55477939881613
0.66,-25.990962435113723
0.67,-19.631016683262462
0.68,-17.120183061788005
0.69,-17.806867191125004
0.7,-24.720222933453947
0.71,-16.62646018693285
0.72,-12.53081351392373
0.73,-15.459209407558854
0.74,-21.337963915162796
0.75,-25.568182871610542
0.76,-26.474390831937228
0.77,-21.8637696829223
0.78,-19.221638679392605
0.79,-24.67469929864844
0.8,-14.53290883830139
0.81,-22.828703893356128
0.82,-22.45154379115277
0.83,-21.860485171770264
0.84,-20.162677897666086
0.85,-23.997988010756256
0.86,-29.087492226598517
0.87,-30.976778965555667
0.88,-29.51278761622735
0.89,-28.212430626121247
0.9,-22.8250335406127
0.91,-23.440826823117206
0.92,-21.557158054115128
0.93,-13.4893219527868
0.94,-17.747353479380767
0.95,-27.087630989770865
0.96,-28.703686152397463
0.97,-21.484525214342106
0.98,-18.05755961789083
0.99,-18.877151031968214
1.0,-16.298385559622524
1.01,-21.769019524063612
1.02,-21.870342433624188
1.03,-21.1121058514302
1.04,-25.498013733542365
1.05,-18.722474624089255
1.06,-24.588856257604867
1.07,-29.893488935323198
1.08,-25.26164840999638
1.09,-28.144465571695786
1.1,-20.912558379631093
1.11,-11.424281823324755
1.12,-18.534603107193227
1.13,-24.87216656846438
1.14,-16.26038797028385
1.15,-11.230906830925163
1.16,-17.66998217401002
1.17,-17.72896631345452
1.18,-20.095418078550157
1.19,-24.35378847721168
1.2,-25.408621284439295
1.21,-17.394659911802282
1.22,-13.015218016457338
1.23,-19.44005509756035
1.24,-15.857965459175187
1.25,-14.991159170594049
1.26,-19.472423363568108
1.27,-16.622865777761724
1.28,-16.820962442288725
1.29,-23.87703008988748
1.3,-21.221249356255253
1.31,-21.949605854899616
1.32,-17.112575538080257
1.33,-19.68453120853382
1.34,-20.45379091865761
1.35,-16.154189613718934
1.36,-18.606554973058046
1.37,-8.239081816999047
1.38,-8.461604706611945
1.39,-15.009046713496746
1.4,-18.051203313444663
1.41,-14.612375136704973
1.42,-20.02070028758698
1.43,-19.55009951336462
1.44,-17.359383235720838
1.45,-24.150524626956727
1.46,-19.93345732065886
1.47,-18.604297431878848
1.48,-17.34960953193492
1.49,-22.381524148464223
1.5,-25.61359279597603
1.51,-30.484477185344456
1.52,-25.558123936336866
1.53,-23.591820472798
1.54,-27.612711292785153
1.55,-29.97668774805081
1.56,-32.35645687338553
1.57,-25.012642239003625
1.58,-28.475659547280667
1.59,-30.690759943657483
1.6,-33.28383172481285
1.61,-20.883164478015583
1.62,-21.47195518372852
1.63,-30.939339728115655
1.64,-31.690018075843895
1.65,-30.690759943657483
1.66,-37.74122009818812
1.67,-33.95769130799874
1.68,-21.57620606534114
1.69,-20.38147761894634
1.7,-17.891709193891934
1.71,-14.69113652545278
1.72,-21.484525214342106
1.73,-15.823481307178577
1.74,-19.537524023057244
1.75,-37.225467861635146
1.76,-31.508635599041092
1.77,-32.279832271272106
1.78,-30.413859807441792
1.79,-21.503414434482593
1.8,-24.65202664250146
1.81,-17.25827032733385
1.82,-17.435997934847773
1.83,-21.949605854899616
1.84,-28.178381622746727
1.85,-27.996788465708363
1.86,-18.94966056273127
1.87,-16.791599592815224
1.88,-15.150455036927772
1.89,-20.766573604801106
1.9,-18.654099385368816
1.91,-12.805457502900278
1.92,-18.772960782616106
1.93,-19.427637812188845
1.94,-25.823518413309202
1.95,-26.330361300550177
1.96,-18.545806371532517
1.97,-21.837528304539646
1.98,-26.35787443612363
1.99,-26.291988737372805
2.0,-29.664684633234724
2.01,-25.912070978707142
2.02,-30.213975587374332
2.03,-29.943312530663736
2.04,-31.948391963496753
2.05,-22.708393739837746
2.06,-14.930319855458729
2.07,-25.37902708327834
2.08,-16.808103980076503
2.09,-21.356536743988634
2.1,-38.62237421184374
2.11,-41.97618855242873
2.12,-33.722923242573856
2.13,-33.65882044506963
2.14,-17.479516489112367
2.15,-16.229422199026637
2.16,-9.0988191870884
2.17,-13.153908258005513
2.18,-14.132630197351872
2.19,-26.40761876982255
2.2,-35.629012968426615
2.21,-22.71201512393776
2.22,-25.603481165453307
2.23,-26.76981908745619
2.24,-25.012642239003625
2.25,-32.35645687338553
2.26,-33.710064780361634
2.27,-30.12848385745615
2.28,-22.81403177899228
2.29,-28.718138551136235
2.3,-24.03165429181129
2.31,-27.930483642678823
